hero_name,num_games,blue_ban_num,red_ban_num,full_ban_num,full_ban_rate,blue_ban_ratio,red_ban_ratio,mbat_team_name,mbat_ban_num,mbat_ban_ratio,blue_pick_num,blue_pick_rate,red_pick_num,red_pick_rate,full_pick_num,full_pick_rate,mpnt_team_name,mpnt_pick_num,mpnt_win_num,mpnt_win_rate,full_bp_num,full_bp_rate,full_win_num,full_lose_num,full_win_rate,full_win_avg_game_time_sec,full_lose_avg_game_time_sec,mwrt_team_name,mwrt_pick_num,mwrt_win_num,mwrt_win_rate
nolan,152,51,72,123,0.8092,0.4146,0.5854,AP.Bren,17,0.13821138211382114,22,0.9167,5,0.7143,27,0.931,ONIC Esports,5,5.0,1.0,150,0.9868,19,8,0.7037,1036,1068,ONIC Esports,5,5.0,1.0
guinevere,152,22,76,98,0.6447,0.2245,0.7755,Blacklist Intl.,14,0.14285714285714285,28,0.9032,23,0.8846,51,0.9444,ONIC Esports,6,6.0,1.0,149,0.9803,32,19,0.6275,1013,1130,ONIC Esports,6,6.0,1.0
joy,152,61,57,118,0.7763,0.5169,0.4831,ONIC Esports,17,0.1440677966101695,18,0.72,9,0.5625,27,0.7941,Team SMG,4,2.0,0.5,145,0.9539,12,15,0.4444,1190,922,Burmese Ghouls,1,1.0,1.0
wanwan,152,62,50,112,0.7368,0.5536,0.4464,Blacklist Intl.,13,0.11607142857142858,10,0.5556,22,0.7333,32,0.8,AP.Bren,5,4.0,0.8,144,0.9474,19,13,0.5938,1014,1197,Imperio,2,2.0,1.0
bruno,152,20,31,51,0.3355,0.3922,0.6078,Deus Vult,7,0.13725490196078433,41,0.7069,43,0.7167,84,0.8317,Geek Fam ID,10,4.0,0.4,135,0.8882,47,37,0.5595,1082,1083,Niightmare,2,2.0,1.0
mathilda,152,44,38,82,0.5395,0.5366,0.4634,AP.Bren,15,0.18292682926829268,29,0.58,20,0.4878,49,0.7,AP.Bren,9,7.0,0.7778,131,0.8618,27,22,0.551,1053,1156,Bigetron Sons,1,1.0,1.0
faramis,152,32,32,64,0.4211,0.5,0.5,Deus Vult,11,0.171875,24,0.5333,43,0.6719,67,0.7614,Deus Vult,8,4.0,0.5,131,0.8618,34,33,0.5075,1072,1069,AP.Bren,7,7.0,1.0
arlott,152,40,14,54,0.3553,0.7407,0.2593,Team SMG,8,0.14814814814814814,26,0.4483,40,0.5556,66,0.6735,AP.Bren,12,8.0,0.6667,120,0.7895,29,37,0.4394,1030,1044,Umbrella Squad,2,2.0,1.0
valentina,152,17,15,32,0.2105,0.5312,0.4688,Blacklist Intl.,6,0.1875,41,0.5395,44,0.557,85,0.7083,Blacklist Intl.,12,8.0,0.6667,117,0.7697,41,44,0.4824,1059,1042,HomeBois,1,1.0,1.0
terizla,152,22,11,33,0.2171,0.6667,0.3333,RRQ Akira,4,0.12121212121212122,44,0.5238,35,0.4667,79,0.6639,Deus Vult,12,6.0,0.5,112,0.7368,42,37,0.5316,1103,1041,RRQ Akira,1,1.0,1.0
baxia,152,27,31,58,0.3816,0.4655,0.5345,Blacklist Intl.,9,0.15517241379310345,22,0.3188,25,0.3472,47,0.5,Deus Vult,9,4.0,0.4444,105,0.6908,19,28,0.4043,1219,1037,AP.Bren,2,2.0,1.0
minotaur,152,34,32,66,0.4342,0.5152,0.4848,Deus Vult,7,0.10606060606060606,14,0.2121,20,0.2778,34,0.3953,Deus Vult,6,3.0,0.5,100,0.6579,18,16,0.5294,1090,1062,ONIC Esports,3,3.0,1.0
angela,152,27,31,58,0.3816,0.4655,0.5345,Imperio,7,0.1206896551724138,12,0.169,23,0.2805,35,0.3723,Burmese Ghouls,5,1.0,0.2,93,0.6118,14,21,0.4,1048,999,AP.Bren,2,2.0,1.0
claude,152,16,11,27,0.1776,0.5926,0.4074,Blacklist Intl.,5,0.18518518518518517,28,0.2947,30,0.3093,58,0.464,ONIC Esports,11,7.0,0.6364,85,0.5592,28,30,0.4828,1080,1059,Geek Fam ID,7,5.0,0.7143
lylia,152,12,20,32,0.2105,0.375,0.625,Geek Fam ID,5,0.15625,37,0.3524,15,0.1807,52,0.4333,Geek Fam ID,8,3.0,0.375,84,0.5526,25,27,0.4808,1080,1104,Team SMG,6,6.0,1.0
brody,152,9,13,22,0.1447,0.4091,0.5909,Team SMG,3,0.13636363636363635,28,0.2692,26,0.2549,54,0.4154,AP.Bren,8,7.0,0.875,76,0.5,23,31,0.4259,1101,1039,Niightmare,2,2.0,1.0
martis,152,14,5,19,0.125,0.7368,0.2632,Team Lilgun,6,0.3157894736842105,16,0.1553,30,0.2564,46,0.3459,See You Soon,6,3.0,0.5,65,0.4276,20,26,0.4348,1123,1078,ONIC Esports,1,1.0,1.0
khaleed,152,22,16,38,0.25,0.5789,0.4211,Geek Fam ID,7,0.18421052631578946,14,0.1373,12,0.12,26,0.2281,Geek Fam ID,5,4.0,0.8,64,0.4211,15,11,0.5769,1170,1045,Blacklist Intl.,4,4.0,1.0
kaja,152,21,14,35,0.2303,0.6,0.4,ONIC Esports,11,0.3142857142857143,15,0.1402,10,0.098,25,0.2137,See You Soon,7,3.0,0.4286,60,0.3947,10,15,0.4,944,960,RRQ Akira,1,1.0,1.0
akai,152,13,8,21,0.1382,0.619,0.381,Blacklist Intl.,6,0.2857142857142857,20,0.177,18,0.1622,38,0.2901,Team SMG,8,7.0,0.875,59,0.3882,18,20,0.4737,1028,1145,KeepBest Gaming,1,1.0,1.0
novaria,152,8,7,15,0.0987,0.5333,0.4667,ONIC Esports,3,0.2,21,0.1765,18,0.1552,39,0.2847,AP.Bren,9,7.0,0.7778,54,0.3553,22,17,0.5641,1216,1072,ONIC Esports,5,5.0,1.0
fredrinn,152,6,5,11,0.0724,0.5455,0.4545,Blacklist Intl.,5,0.45454545454545453,19,0.1597,22,0.1803,41,0.2908,Blacklist Intl.,10,5.0,0.5,52,0.3421,20,21,0.4878,950,1081,AP.Bren,8,7.0,0.875
fanny,152,29,13,42,0.2763,0.6905,0.3095,ONIC Esports,10,0.23809523809523808,3,0.0286,5,0.0467,8,0.0727,TheOhioBrothers,2,1.0,0.5,50,0.3289,3,5,0.375,1193,1139,Fire Flux Esports,1,1.0,1.0
diggie,152,9,25,34,0.2237,0.2647,0.7353,Deus Vult,9,0.2647058823529412,2,0.018,7,0.0603,9,0.0763,Deus Vult,4,4.0,1.0,43,0.2829,5,4,0.5556,1269,887,Deus Vult,4,4.0,1.0
phoveus,152,21,11,32,0.2105,0.6562,0.3438,AP.Bren,6,0.1875,5,0.0439,6,0.0522,11,0.0917,AP.Bren,2,1.0,0.5,43,0.2829,6,5,0.5455,960,1235,Deus Vult,1,1.0,1.0
ixia,152,13,18,31,0.2039,0.4194,0.5806,Fire Flux Esports,8,0.25806451612903225,8,0.0684,4,0.0354,12,0.0992,Deus Vult,2,1.0,0.5,43,0.2829,5,7,0.4167,1137,1109,Blacklist Intl.,1,1.0,1.0
tigreal,152,13,4,17,0.1118,0.7647,0.2353,ONIC Esports,6,0.35294117647058826,15,0.121,11,0.0917,26,0.1926,Fire Flux Esports,6,4.0,0.6667,43,0.2829,14,12,0.5385,1086,1112,Blacklist Intl.,2,2.0,1.0
khufra,152,10,9,19,0.125,0.5263,0.4737,Team Lilgun,3,0.15789473684210525,11,0.0894,10,0.082,21,0.1579,Imperio,4,2.0,0.5,40,0.2632,10,11,0.4762,954,903,Niightmare,2,2.0,1.0
paquito,152,8,6,14,0.0921,0.5714,0.4286,AP.Bren,6,0.42857142857142855,13,0.104,13,0.104,26,0.1884,AP.Bren,7,6.0,0.8571,40,0.2632,14,12,0.5385,1040,1054,ONIC Esports,1,1.0,1.0
edith,152,9,7,16,0.1053,0.5625,0.4375,Blacklist Intl.,7,0.4375,13,0.1024,9,0.0732,22,0.1618,Blacklist Intl.,6,3.0,0.5,38,0.25,11,11,0.5,1046,1094,AP.Bren,4,4.0,1.0
yu zhong,152,5,7,12,0.0789,0.4167,0.5833,AP.Bren,2,0.16666666666666666,8,0.0656,18,0.1364,26,0.1857,See You Soon,4,3.0,0.75,38,0.25,9,17,0.3462,1000,1149,Bigetron Sons,1,1.0,1.0
beatrix,152,4,4,8,0.0526,0.5,0.5,Team Lilgun,4,0.5,20,0.146,7,0.0565,27,0.1875,Fire Flux Esports,5,3.0,0.6,35,0.2303,13,14,0.4815,1122,1177,Deus Vult,3,3.0,1.0
lapu-lapu,152,5,7,12,0.0789,0.4167,0.5833,Geek Fam ID,4,0.3333333333333333,9,0.0703,12,0.0916,21,0.15,Geek Fam ID,6,2.0,0.3333,33,0.2171,9,12,0.4286,1194,1130,See You Soon,2,2.0,1.0
dyrroth,152,7,5,12,0.0789,0.5833,0.4167,ONIC Esports,4,0.3333333333333333,8,0.0625,12,0.0909,20,0.1429,ONIC Esports,5,4.0,0.8,32,0.2105,12,8,0.6,1086,998,Niightmare,2,2.0,1.0
chou,152,3,3,6,0.0395,0.5,0.5,HomeBois,2,0.3333333333333333,11,0.0827,13,0.0963,24,0.1644,Team SMG,7,4.0,0.5714,30,0.1974,12,12,0.5,921,1241,Imperio,1,1.0,1.0
hilda,152,2,10,12,0.0789,0.1667,0.8333,Deus Vult,2,0.16666666666666666,5,0.0373,6,0.0444,11,0.0786,Fire Flux Esports,3,2.0,0.6667,23,0.1513,4,7,0.3636,1202,920,TheOhioBrothers,2,2.0,1.0
lancelot,152,7,3,10,0.0658,0.7,0.3,See You Soon,6,0.6,5,0.0373,8,0.0584,13,0.0915,See You Soon,5,3.0,0.6,23,0.1513,6,7,0.4615,1038,978,See You Soon,5,3.0,0.6
