,khaleed,diggie,kaja,kadita,gloo,bruno,paquito,faramis,wanwan,x.borg,mathilda,joy,yve,fredrinn,terizla,karrie,irithel,novaria,lylia,franco,akai,yu zhong,edith,beatrix,baxia,chou,hayabusa,claude,fanny,valentina,lolita,ruby,pharsa,melissa,ling,arlott,minotaur,brody,lancelot,grock,khufra,martis,lapu-lapu,rafaela,benedetta,harith,angela,uranus,N_games,Total_WR
khaleed,,0.75,0.36363637,0.5,0.33333334,0.6923077,0.27272728,0.46666667,0.5,0.85714287,0.375,0.875,0.4,0.4,0.53333336,0.6,0.6666667,0.5714286,0.6,0.5,0.5,0.8,0.8,0.47368422,0.75,0.7,0.0,0.61904764,0.6666667,0.7352941,0.6666667,0.0,0.71428573,1.0,0.6,0.53333336,0.75,0.7,0.6363636,0.61538464,0.61538464,0.9047619,0.5714286,1.0,0.5714286,1.0,0.6923077,0.71428573,105.0,0.62857145
diggie,0.25,,0.6666667,0.53333336,0.41666666,0.5,0.25,0.5,0.6,1.0,0.6666667,0.6,0.45,0.41379312,0.75,0.46666667,0.6666667,1.0,0.85714287,0.45454547,0.54545456,0.33333334,0.6666667,0.5,1.0,0.33333334,0.4,0.8,0.5,0.53571427,0.5555556,0.0,0.7058824,0.5833333,0.75,0.5625,0.875,0.5,0.8333333,0.6666667,0.71428573,0.75,0.6666667,1.0,0.375,0.0,1.0,0.5,110.0,0.58181816
kaja,0.6363636,0.33333334,0.5,0.58536583,0.52272725,0.41666666,0.4871795,0.4520548,0.42857143,0.625,0.35,0.5192308,0.6111111,0.5443038,0.47887325,0.6507937,0.5641026,0.4857143,0.6333333,0.5714286,0.6181818,0.4,0.6060606,0.5576923,0.5121951,0.5555556,0.55,0.5591398,0.72,0.5691057,0.5,0.6296296,0.6125,0.5576923,0.5652174,0.6119403,0.5925926,0.64179105,0.5652174,0.57894737,0.5925926,0.61627907,0.63793105,0.75,0.7222222,0.5833333,0.39285713,0.64,519.0,0.56647396
kadita,0.5,0.46666667,0.41463414,,0.516129,0.45454547,0.6,0.46341464,0.33333334,0.29411766,0.75,0.5714286,0.48979592,0.46938777,0.7209302,0.48979592,0.61538464,0.6,0.71428573,0.64,0.6666667,0.44117647,0.625,0.6727273,0.6111111,0.45833334,0.7,0.44827586,0.64285713,0.5625,0.5833333,0.5833333,0.5441176,0.6,0.44444445,0.5365854,0.5,0.6666667,0.5641026,0.6440678,0.61904764,0.5833333,0.5405405,0.5714286,0.64705884,0.6,0.5,0.8235294,327.0,0.559633
gloo,0.6666667,0.5833333,0.47727272,0.48387095,,0.6666667,0.4375,0.38235295,0.5,0.33333334,0.33333334,0.46875,0.52307695,0.5323741,0.51282054,0.5483871,0.5714286,0.23076923,0.6363636,0.44827586,0.51724136,0.53125,0.5714286,0.48,0.45454547,0.47058824,0.46666667,0.5254237,0.7058824,0.5729167,0.5714286,0.6315789,0.625,0.6904762,0.5294118,0.5409836,0.6923077,0.54285717,0.5277778,0.58064514,0.64285713,0.6315789,0.5588235,1.0,0.7297297,0.64705884,0.75,0.6666667,346.0,0.55780345
bruno,0.30769232,0.5,0.5833333,0.54545456,0.33333334,,0.42553192,0.53333336,0.4375,0.5,0.5294118,0.5151515,0.6666667,0.4574468,0.6097561,0.6666667,0.5607477,0.46153846,0.5405405,0.41666666,0.5952381,0.4864865,0.56060606,0.37037036,0.5625,0.61538464,0.75,0.53333336,0.5625,0.5981308,0.5,0.31578946,0.47619048,0.6,1.0,0.62222224,0.5185185,0.6666667,0.65789473,0.56666666,0.65957445,0.66129035,0.71428573,0.5714286,0.4,,0.59090906,0.78571427,366.0,0.5546448
paquito,0.72727275,0.75,0.51282054,0.4,0.5625,0.5744681,0.5,0.4651163,0.5,0.33333334,0.5,0.5,0.57575756,0.5151515,0.46835443,0.57894737,0.47619048,0.627907,0.53333336,0.60714287,0.4,0.5116279,0.41509435,0.49122807,0.6666667,0.5714286,0.7,0.5671642,0.45,0.5425532,0.7,0.44444445,0.75,0.42105263,0.42857143,0.59375,0.5625,0.6097561,0.62068963,0.6,0.5686275,0.59322035,0.6666667,0.4,0.7083333,0.71428573,0.5882353,0.75,344.0,0.5523256
faramis,0.53333336,0.5,0.5479452,0.5365854,0.61764705,0.46666667,0.53488374,,0.7096774,0.54545456,0.53571427,0.3846154,0.5217391,0.54347825,0.5,0.5714286,0.5,0.5,0.5185185,0.51724136,0.5,0.46341464,0.62222224,0.52272725,0.53333336,0.41860464,0.75,0.5319149,0.65,0.5473684,0.5,0.7,0.5529412,0.5254237,0.6315789,0.49411765,0.53846157,0.4888889,0.62222224,0.6666667,0.6875,0.609375,0.53731346,0.6666667,0.5185185,0.54545456,0.45945945,0.6666667,540.0,0.5462963
wanwan,0.5,0.4,0.5714286,0.6666667,0.5,0.5625,0.5,0.29032257,,1.0,0.4117647,0.5555556,0.73913044,0.4680851,0.56,0.46666667,0.6666667,0.5,0.45,0.4,0.5925926,0.5416667,0.53846157,0.53333336,0.4347826,0.5555556,0.46153846,0.58928573,0.27272728,0.41463414,0.7083333,0.33333334,0.625,0.73333335,0.42857143,0.62068963,0.42857143,0.2857143,0.6666667,0.6086956,0.61538464,0.7567568,0.75,0.625,0.5,1.0,0.64285713,0.6666667,207.0,0.5458937
x.borg,0.14285715,0.0,0.375,0.7058824,0.6666667,0.5,0.6666667,0.45454547,0.0,,0.33333334,0.0,0.44444445,0.41860464,0.60294116,0.71428573,0.59375,0.45833334,0.6,0.5,0.46666667,0.47619048,0.5,0.47368422,0.5625,0.6666667,0.5,0.5625,0.6666667,0.5365854,0.0,0.33333334,0.7222222,1.0,1.0,0.42857143,0.33333334,0.62068963,0.59090906,0.6086956,0.6666667,0.7,0.8181818,0.5,0.8,0.33333334,0.72727275,0.4,168.0,0.5416667
