hero_name,num_games,blue_ban_num,red_ban_num,full_ban_num,full_ban_rate,blue_ban_ratio,red_ban_ratio,mbat_team_name,mbat_ban_num,mbat_ban_ratio,blue_pick_num,blue_pick_rate,red_pick_num,red_pick_rate,full_pick_num,full_pick_rate,mpnt_team_name,mpnt_pick_num,mpnt_win_num,mpnt_win_rate,full_bp_num,full_bp_rate,full_win_num,full_lose_num,full_win_rate,full_win_avg_game_time_sec,full_lose_avg_game_time_sec,mwrt_team_name,mwrt_pick_num,mwrt_win_num,mwrt_win_rate
nolan,57,19,31,50,0.8772,0.38,0.62,AP.Bren,13,0.26,6,1,1,1,7,1,ONIC Esports,3,3,1,57,1,7,0,1,902,0,ONIC Esports,3,3,1
guinevere,57,5,36,41,0.7193,0.122,0.878,Blacklist Intl.,13,0.317073171,8,1,8,1,16,1,Geek Fam ID,3,2,0.6667,57,1,7,9,0.4375,1095,1040,ONIC Esports,2,2,1
joy,57,32,20,52,0.9123,0.6154,0.3846,ONIC Esports,15,0.288461538,2,0.6667,2,0.6667,4,0.8,Burmese Ghouls,1,1,1,56,0.9825,2,2,0.5,1228,706,Burmese Ghouls,1,1,1
wanwan,57,18,21,39,0.6842,0.4615,0.5385,Blacklist Intl.,10,0.256410256,4,0.5,10,0.7143,14,0.7778,ONIC Esports,5,4,0.8,53,0.9298,10,4,0.7143,1025,1150,Deus Vult,1,1,1
faramis,57,13,12,25,0.4386,0.52,0.48,Deus Vult,9,0.36,7,0.4667,17,0.68,24,0.75,AP.Bren,6,6,1,49,0.8596,13,11,0.5417,1068,1012,AP.Bren,6,6,1
valentina,57,5,8,13,0.2281,0.3846,0.6154,Blacklist Intl.,4,0.307692308,20,0.6897,15,0.625,35,0.7955,Blacklist Intl.,12,8,0.6667,48,0.8421,18,17,0.5143,955,1119,Blacklist Intl.,12,8,0.6667
mathilda,57,16,12,28,0.4912,0.5714,0.4286,AP.Bren,12,0.428571429,8,0.3636,7,0.3333,15,0.5172,AP.Bren,8,6,0.75,43,0.7544,8,7,0.5333,1036,1108,AP.Bren,8,6,0.75
minotaur,57,16,14,30,0.5263,0.5333,0.4667,AP.Bren,6,0.2,5,0.25,7,0.3182,12,0.4444,Deus Vult,3,1,0.3333,42,0.7368,5,7,0.4167,1077,978,ONIC Esports,2,2,1
bruno,57,4,4,8,0.1404,0.5,0.5,Deus Vult,3,0.375,19,0.5588,15,0.5,34,0.6939,Geek Fam ID,8,3,0.375,42,0.7368,17,17,0.5,1131,1037,Blacklist Intl.,6,5,0.8333
claude,57,7,4,11,0.193,0.6364,0.3636,Blacklist Intl.,4,0.363636364,13,0.4333,16,0.4848,29,0.6304,ONIC Esports,8,4,0.5,40,0.7018,12,17,0.4138,1031,1060,ONIC Esports,8,4,0.5
lylia,57,7,10,17,0.2982,0.4118,0.5882,Geek Fam ID,5,0.294117647,15,0.4412,6,0.24,21,0.525,Fire Flux Esports,5,2,0.4,38,0.6667,6,15,0.2857,1289,1095,Burmese Ghouls,2,1,0.5
terizla,57,5,2,7,0.1228,0.7143,0.2857,Deus Vult,2,0.285714286,15,0.4054,13,0.3714,28,0.56,Deus Vult,9,3,0.3333,35,0.614,14,14,0.5,1115,951,ONIC Esports,8,6,0.75
baxia,57,4,9,13,0.2281,0.3077,0.6923,Blacklist Intl.,6,0.461538462,10,0.2941,10,0.2941,20,0.4545,Deus Vult,8,3,0.375,33,0.5789,8,12,0.4,1262,977,AP.Bren,1,1,1
arlott,57,10,2,12,0.2105,0.8333,0.1667,AP.Bren,5,0.416666667,10,0.2941,11,0.3143,21,0.4667,AP.Bren,8,4,0.5,33,0.5789,7,14,0.3333,904,1032,AP.Bren,8,4,0.5
khaleed,57,11,6,17,0.2982,0.6471,0.3529,Geek Fam ID,7,0.411764706,6,0.1818,7,0.2059,13,0.325,Blacklist Intl.,4,4,1,30,0.5263,8,5,0.6154,1141,990,Blacklist Intl.,4,4,1
tigreal,57,10,4,14,0.2456,0.7143,0.2857,ONIC Esports,6,0.428571429,10,0.2632,5,0.1515,15,0.3488,Fire Flux Esports,4,2,0.5,29,0.5088,7,8,0.4667,1009,1142,Blacklist Intl.,1,1,1
kaja,57,11,6,17,0.2982,0.6471,0.3529,ONIC Esports,10,0.588235294,4,0.1212,7,0.1944,11,0.275,See You Soon,4,1,0.25,28,0.4912,4,7,0.3636,992,808,ONIC Esports,3,2,0.6667
