tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
101,20230728,ECHO,blue,"('Grock', 'Paquito', 'Valentina', 'Harith', 'Khufra')","('Ling', 'Claude', 'Kaja', 'Wanwan', 'Joy')",0,ECHO Proud,red,"('Franco', 'Brody', 'Pharsa', 'Martis', 'Arlott')","('Yu Zhong', 'Terizla', 'Kadita', 'Yve', 'Fredrinn')",1,11:46,706,3,1,0,0,bracket
101,20230728,ECHO,red,"('Terizla', 'Akai', 'Valentina', 'Wanwan', 'Khufra')","('Ling', 'Kaja', 'Arlott', 'Joy', 'Fanny')",0,ECHO Proud,blue,"('Minotaur', 'Claude', 'Kadita', 'Bane', 'Lapu-Lapu')","('Martis', 'Uranus', 'Yve', 'Franco', 'Fredrinn')",1,10:25,625,3,2,0,1,bracket
101,20230728,EVOS Icon,blue,"('Paquito', 'Baxia', 'Faramis', 'Brody', 'Kadita')","('Claude', 'Kaja', 'Valentina', 'Arlott', 'Melissa')",1,Onic Overlord,red,"('Grock', 'Beatrix', 'Novaria', 'Fredrinn', 'Esmeralda')","('Joy', 'Lancelot', 'Yve', 'Ling', 'Fanny')",0,13:06,786,3,1,0,0,bracket
101,20230728,EVOS Icon,red,"('Arlott', 'Martis', 'Valentina', 'Beatrix', 'Diggie')","('Fanny', 'Yve', 'Faramis', 'Ling', 'Uranus')",1,Onic Overlord,blue,"('Minotaur', 'Melissa', 'Kadita', 'Joy', 'Fredrinn')","('Grock', 'Floryn', 'Angela', 'Kaja', 'Claude')",0,11:43,703,3,2,1,0,bracket
101,20230728,ECHO Proud,red,"('Edith', 'Joy', 'Kadita', 'Brody', 'Franco')","('Fredrinn', 'Kaja', 'Faramis', 'Melissa', 'Harith')",1,EVOS Icon,blue,"('Chou', 'Bane', 'Valentina', 'Fanny', 'Grock')","('Baxia', 'Martis', 'Yve', 'Claude', 'Ling')",0,17:44,1064,3,1,0,0,bracket
101,20230728,ECHO Proud,blue,"('Uranus', 'Martis', 'Pharsa', 'Brody', 'Kaja')","('Fredrinn', 'Faramis', 'Kadita', 'Franco', 'Melissa')",0,EVOS Icon,red,"('Angela', 'Beatrix', 'Valentina', 'Baxia', 'Terizla')","('Joy', 'Fanny', 'Claude', 'Yve', 'Ling')",1,17:21,1041,3,2,1,0,bracket
101,20230728,ECHO Proud,blue,"('Edith', 'Joy', 'Yve', 'Beatrix', 'Kaja')","('Fredrinn', 'Faramis', 'Angela', 'Chou', 'Harith')",1,EVOS Icon,red,"('Arlott', 'Melissa', 'Valentina', 'Fanny', 'Terizla')","('Bane', 'Martis', 'Kadita', 'Claude', 'Ling')",0,17:23,1043,3,3,1,1,bracket
101,20230729,ECHO,red,"('Uranus', 'Fredrinn', 'Pharsa', 'Beatrix', 'Franco')","('Fanny', 'Ling', 'Yve', 'Novaria', 'Wanwan')",0,Onic Overlord,blue,"('Kaja', 'Moskov', 'Lunox', 'Lancelot', 'Terizla')","('Chou', 'Melissa', 'Valentina', 'Kadita', 'Claude')",1,23:41,1421,3,1,0,0,bracket
101,20230729,ECHO,blue,"('Arlott', 'Lancelot', 'Yve', 'Harith', 'Minotaur')","('Fanny', 'Ling', 'Fredrinn', 'Franco', 'Joy')",0,Onic Overlord,red,"('Grock', 'Beatrix', 'Kadita', 'Helcurt', 'Paquito')","('Chou', 'Melissa', 'Valentina', 'Kaja', 'Claude')",1,13:12,792,3,2,0,1,bracket
101,20230729,EVOS Icon,red,"('Lapu-Lapu', 'Fredrinn', 'Pharsa', 'Melissa', 'Edith')","('Claude', 'Valentina', 'Kadita', 'Lolita', 'Arlott')",1,Onic Overlord,blue,"('Kaja', 'Karrie', 'Faramis', 'Lancelot', 'Terizla')","('Moskov', 'Beatrix', 'Yve', 'Ling', 'Fanny')",0,11:40,700,3,1,0,0,bracket
