tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
103,20230720,Deus Vult,blue,"('Joy', 'Lancelot', 'Yve', 'Brody', 'Grock')","('Ling', 'Angela', 'Fanny', 'Khufra', 'Paquito')",0,Team Max,red,"('Kaja', 'Claude', 'Faramis', 'Bane', 'Arlott')","('Valentina', 'Minotaur', 'Novaria', 'Selena', 'Uranus')",1,13:41,821,3,1,0,0,bracket
103,20230720,Deus Vult,red,"('Arlott', 'Lancelot', 'Eudora', 'Lesley', 'Kaja')","('Ling', 'Angela', 'Faramis', 'Khufra', 'Paquito')",1,Team Max,blue,"('Grock', 'Claude', 'Valentina', 'Fanny', 'Fredrinn')","('Clint', 'Brody', 'Uranus', 'Novaria', 'Selena')",0,11:34,694,3,2,0,1,bracket
103,20230720,Deus Vult,blue,"('Terizla', 'Lancelot', 'Valir', 'Lesley', 'Kaja')","('Ling', 'Angela', 'Faramis', 'Khufra', 'Akai')",1,Team Max,red,"('Ruby', 'Brody', 'Valentina', 'Bane', 'Arlott')","('Clint', 'Yve', 'Uranus', 'Novaria', 'Selena')",0,21:16,1276,3,3,1,1,bracket
103,20230720,Team Lilgun,blue,"('Terizla', 'Fredrinn', 'Faramis', 'Karrie', 'Minotaur')","('Joy', 'Fanny', 'Uranus', 'Ling', 'Arlott')",1,Fire Flux Impunity,red,"('Grock', 'Claude', 'Valentina', 'Martis', 'Gloo')","('Beatrix', 'Lesley', 'Angela', 'Novaria', 'Yve')",0,11:18,678,3,1,0,0,bracket
103,20230720,Team Lilgun,red,"('Uranus', 'Ling', 'Angela', 'Lunox', 'Grock')","('Fanny', 'Joy', 'Fredrinn', 'Kaja', 'Baxia')",1,Fire Flux Impunity,blue,"('Estes', 'Claude', 'Pharsa', 'Bane', 'Arlott')","('Minotaur', 'Lesley', 'Terizla', 'Yve', 'Novaria')",0,13:30,810,3,2,1,0,bracket
103,20230721,Deus Vult,blue,"('Terizla', 'Ling', 'Valentina', 'Clint', 'Lolita')","('Angela', 'Faramis', 'Fredrinn', 'Hilda', 'Minotaur')",1,Team Lilgun,red,"('Grock', 'Claude', 'Yve', 'Fanny', 'Uranus')","('Kaja', 'Novaria', 'Selena', 'Khufra', 'Franco')",0,15:33,933,3,1,0,0,bracket
103,20230721,Deus Vult,red,"('Gloo', 'Lancelot', 'Valir', 'Brody', 'Kaja')","('Angela', 'Faramis', 'Fredrinn', 'Paquito', 'Martis')",0,Team Lilgun,blue,"('Minotaur', 'Beatrix', 'Valentina', 'Hayabusa', 'Terizla')","('Uranus', 'Clint', 'Novaria', 'Ling')",1,13:54,834,3,2,1,0,bracket
103,20230721,Deus Vult,blue,"('Dyrroth', 'Lancelot', 'Valentina', 'Brody', 'Kaja')","('Angela', 'Faramis', 'Fredrinn', 'Minotaur', 'Paquito')",0,Team Lilgun,red,"('Khufra', 'Beatrix', 'Yve', 'Hayabusa', 'Uranus')","('Claude', 'Clint', 'Terizla', 'Ling', 'Novaria')",1,18:05,1085,3,3,1,1,bracket
103,20230721,Team Max,blue,"('Uranus', 'Lancelot', 'Faramis', 'Claude', 'Khufra')","('Joy', 'Fredrinn', 'Fanny', 'Lesley', 'Melissa')",0,Fire Flux Impunity,red,"('Minotaur', 'Beatrix', 'Valentina', 'Aamon', 'Paquito')","('Hayabusa', 'Diggie', 'Kadita', 'Yve', 'Angela')",1,12:36,756,3,1,0,0,bracket
103,20230721,Team Max,red,"('Arlott', 'Martis', 'Novaria', 'Claude', 'Chou')","('Joy', 'Angela', 'Fredrinn', 'Minotaur', 'Harith')",1,Fire Flux Impunity,blue,"('Grock', 'Lesley', 'Valentina', 'Fanny', 'Paquito')","('Lancelot', 'Bane', 'Kaja', 'Kadita', 'Yve')",0,19:22,1162,3,2,0,1,bracket
