tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
104,20230712,Mongolia,blue,"('Dyrroth', 'Hayabusa', 'Yve', 'Beatrix', 'Diggie')","('Ling', 'Selena', 'Kadita', 'Pharsa', 'Faramis')",1,Kazakhstan,red,"('Kaja', 'Karrie', 'Lunox', 'Lancelot', 'Uranus')","('Akai', 'Bane', 'Fredrinn', 'Fanny', 'Novaria')",0,12:06,726,3,1,0,0,bracket
104,20230712,Mongolia,red,"('Benedetta', 'Bane', 'Faramis', 'Beatrix', 'Khufra')","('Selena', 'Ling', 'Kadita', 'Claude', 'Lapu-Lapu')",0,Kazakhstan,blue,"('Novaria', 'Clint', 'Yve', 'Fredrinn', 'Yu Zhong')","('Lolita', 'Arlott', 'Diggie', 'Uranus', 'Fanny')",1,13:39,819,3,2,1,0,bracket
104,20230712,Mongolia,red,"('Arlott', 'Akai', 'Faramis', 'Brody', 'Estes')","('Novaria', 'Yve', 'Ling', 'Lapu-Lapu', 'Yu Zhong')",1,Kazakhstan,blue,"('Kadita', 'Karrie', 'Pharsa', 'Fredrinn', 'Esmeralda')","('Grock', 'Lolita', 'Uranus', 'Diggie', 'Fanny')",0,14:48,888,3,3,1,1,bracket
104,20230712,Philippines,blue,"('Uranus', 'Fanny', 'Angela', 'Beatrix', 'Grock')","('Natalia', 'Franco', 'Kaja', 'Harith', 'Karrie')",1,Cambodia,red,"('Khufra', 'Lunox', 'Fredrinn', 'Ling', 'Joy')","('Karina', 'Roger', 'Yve', 'Kadita', 'Faramis')",0,10:44,644,3,1,0,0,bracket
104,20230712,Philippines,red,"('Uranus', 'Lancelot', 'Cecilion', 'Claude', 'Atlas')","('Natalia', 'Franco', 'Yve', 'Diggie', 'Paquito')",1,Cambodia,blue,"('Estes', 'Brody', 'Novaria', 'Fredrinn', 'Dyrroth')","('Faramis', 'Joy', 'Ling', 'Angela', 'Fanny')",0,16:13,973,3,2,1,0,bracket
104,20230713,Mongolia,blue,"('Dyrroth', 'Akai', 'Novaria', 'Lesley', 'Natalia')","('Ling', 'Angela', 'Fanny', 'Yve', 'Gloo')",0,Philippines,red,"('Grock', 'Claude', 'Lunox', 'Hayabusa', 'Uranus')","('Fredrinn', 'Paquito', 'Kaja', 'Franco', 'Diggie')",1,11:23,683,3,1,0,0,bracket
104,20230713,Mongolia,red,"('Terizla', 'Fredrinn', 'Novaria', 'Beatrix', 'Faramis')","('Ling', 'Uranus', 'Fanny', 'Grock', 'Chou')",1,Philippines,blue,"('Angela', 'Claude', 'Yve', 'Lancelot', 'Esmeralda')","('Arlott', 'Dyrroth', 'Kaja', 'Franco', 'Diggie')",0,14:03,843,3,2,0,1,bracket
104,20230713,Mongolia,blue,"('Terizla', 'Akai', 'Yve', 'Claude', 'Estes')","('Ling', 'Fanny', 'Uranus', 'Joy', 'Beatrix')",0,Philippines,red,"('Grock', 'Karrie', 'Kadita', 'Hayabusa', 'Fredrinn')","('Martis', 'Bane', 'Diggie', 'Faramis', 'Novaria')",1,19:37,1177,3,3,1,1,bracket
104,20230712,Kazakhstan,blue,"('Yu Zhong', 'Ling', 'Yve', 'Clint', 'Kadita')","('Estes', 'Diggie', 'Uranus', 'Floryn', 'Faramis')",0,Cambodia,red,"('Angela', 'Claude', 'Fredrinn', 'Roger', 'Joy')","('Brody', 'Lesley', 'Kaja', 'Novaria', 'Selena')",1,14:28,868,3,1,0,0,bracket
104,20230712,Kazakhstan,red,"('Esmeralda', 'Fredrinn', 'Pharsa', 'Karrie', 'Angela')","('Novaria', 'Joy', 'Arlott', 'Estes', 'Diggie')",0,Cambodia,blue,"('Franco', 'Beatrix', 'Yve', 'Bane', 'Gloo')","('Claude', 'Roger', 'Ling', 'Uranus', 'Kadita')",1,11:23,683,3,2,0,1,bracket
104,20230713,Mongolia,blue,"('Benedetta', 'Akai', 'Novaria', 'Brody', 'Estes')","('Ling', 'Joy', 'Uranus', 'Franco', 'Claude')",0,Cambodia,red,"('Lolita', 'Melissa', 'Yve', 'Fredrinn', 'Arlott')","('Beatrix', 'Yu Zhong', 'Terizla', 'Faramis', 'Diggie')",1,15:59,959,3,1,0,0,bracket
104,20230713,Mongolia,red,"('Uranus', 'Hayabusa', 'Faramis', 'Wanwan', 'Lolita')","('Ling', 'Novaria', 'Joy', 'Franco', 'Bane')",1,Cambodia,blue,"('Grock', 'Melissa', 'Yve', 'Lancelot', 'Gloo')","('Beatrix', 'Claude', 'Diggie', 'Terizla', 'Fredrinn')",0,13:08,788,3,2,0,1,bracket
104,20230713,Mongolia,blue,"('Lapu-Lapu', 'Hayabusa', 'Novaria', 'Lesley', 'Faramis')","('Joy', 'Fredrinn', 'Ling', 'Claude', 'Lolita')",1,Cambodia,red,"('Natalia', 'Beatrix', 'Yve', 'Bane', 'Arlott')","('Wanwan', 'Brody', 'Uranus', 'Terizla', 'Diggie')",0,20:45,1245,3,3,1,1,bracket
