tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
105,20230625,Modern Tiger Gaze,blue,"('Joy', 'Hayabusa', 'Pharsa', 'Clint', 'Kaja')","('Kadita', 'Fredrinn', 'Faramis', 'Franco', 'Minotaur')",0,OPI Pegasus,red,"('Khufra', 'Claude', 'Valentina', 'Martis', 'Arlott')","('Wanwan', 'Beatrix', 'Lancelot', 'Novaria', 'Yve')",1,11:34,694,3,1,0,0,bracket
105,20230625,Modern Tiger Gaze,red,"('Gloo', 'Hayabusa', 'Yve', 'Clint', 'Diggie')","('Kadita', 'Fredrinn', 'Arlott')",0,OPI Pegasus,blue,"('Novaria', 'Lesley', 'Valentina', 'Baxia', 'Terizla')","('Fanny', 'Joy', 'Faramis')",1,22:55,1375,3,2,0,1,bracket
105,20230625,Rise N Beyond,blue,"('Joy', 'Ling', 'Arlott', 'Lunox', 'Lolita')","('Fanny', 'Yve', 'Kaja', 'Karrie', 'Yu Zhong')",0,ESI Kalteng,red,"('Franco', 'Claude', 'Novaria', 'Fredrinn', 'Lapu-Lapu')","('Lesley', 'Kadita', 'Minsitthar', 'Claude', 'Gloo')",1,20:02,1202,3,1,0,0,bracket
105,20230625,Rise N Beyond,red,"('Yu Zhong', 'Hayabusa', 'Valentina', 'Karrie', 'Kaja')","('Fredrinn', 'Novaria', 'Gloo', 'Melissa', 'Beatrix')",1,ESI Kalteng,blue,"('Kadita', 'Claude', 'Yve', 'Alice', 'Joy')","('Ling', 'Hanzo', 'Arlott', 'Fanny', 'Lancelot')",0,14:14,854,3,2,0,1,bracket
105,20230625,Rise N Beyond,blue,"('Gloo', 'Bane', 'Arlott', 'Harith', 'Floryn')","('Kaja', 'Yve', 'Fredrinn', 'Diggie', 'Atlas')",1,ESI Kalteng,red,"('Grock', 'Beatrix', 'Faramis', 'Martis', 'Lapu-Lapu')","('Kadita', 'Valentina', 'Joy', 'Lancelot', 'Fanny')",0,13:35,815,3,3,1,1,bracket
105,20230625,OPI Pegasus,red,"('Joy', 'Martis', 'Valentina', 'Melissa', 'Chou')","('Yve', 'Faramis', 'Fanny', 'Beatrix', 'Claude')",1,Rise N Beyond,blue,"('Kadita', 'Harith', 'Arlott', 'Bane', 'Gloo')","('Khufra', 'Diggie', 'Fredrinn', 'Novaria', 'Kaja')",0,21:38,1298,3,1,0,0,bracket
105,20230625,OPI Pegasus,blue,"('Terizla', 'Akai', 'Valentina', 'Lesley', 'Novaria')","('Kadita', 'Fanny', 'Kaja', 'Lolita', 'Khufra')",1,Rise N Beyond,red,"('Franco', 'Melissa', ""Chang'e"", 'Ling', 'Arlott')","('Lancelot', 'Baxia', 'Yve', 'Gloo', 'Fredrinn')",0,17:28,1048,3,2,1,0,bracket
105,20230625,Jamkrida Kalteng,blue,"('Gloo', 'Alice', 'Valentina', 'Beatrix', 'Minotaur')","('Fanny', 'Lancelot', 'Novaria', 'Lapu-Lapu', 'Khufra')",1,KINGS Esports,red,"('Kaja', 'Claude', 'Kadita', 'Fredrinn', 'Uranus')","('Wanwan', 'Lesley', 'Joy', 'Yve', 'Arlott')",0,14:13,853,3,1,0,0,bracket
105,20230625,Jamkrida Kalteng,red,"('Joy', 'Aamon', 'Pharsa', 'Beatrix', 'Kaja')","('Fanny', 'Gloo', 'Minsitthar', 'Karrie', 'Franco')",0,KINGS Esports,blue,"('Masha', 'Lesley', 'Valentina', 'Lancelot', 'Arlott')","('Kadita', 'Fredrinn', 'Novaria', 'Yve', 'Alice')",1,19:13,1153,3,2,1,0,bracket
105,20230625,Jamkrida Kalteng,blue,"('Joy', 'Martis', 'Pharsa', 'Karrie', 'Kaja')","('Fanny', 'Lancelot', 'Novaria', 'Lesley', 'Franco')",0,KINGS Esports,red,"('Lolita', 'Claude', 'Yve', 'Fredrinn', 'Minsitthar')","('Kadita', 'Valentina', 'Arlott', 'Gloo', 'Alice')",1,18:59,1139,3,3,1,1,bracket
105,20230625,Team Vagos,red,"('Gloo', 'Martis', 'Valentina', 'Melissa', 'Franco')","('Wanwan', 'Arlott', 'Joy', 'Yve', 'Khufra')",0,Pendekar Esports,blue,"('Akai', 'Lesley', 'Novaria', 'Lancelot', 'Uranus')","('Hayabusa', 'Karrie', 'Kaja', 'Kadita', 'Fanny')",1,14:43,883,3,1,0,0,bracket
105,20230625,Team Vagos,blue,"('Uranus', 'Fredrinn', 'Kadita', 'Wanwan', 'Chou')","('Novaria', 'Lancelot', 'Gloo', 'Khufra', 'Diggie')",0,Pendekar Esports,red,"('Akai', 'Beatrix', 'Valentina', 'Ling', 'Phoveus')","('Pharsa', 'Esmeralda', 'Kaja', 'Franco', 'Joy')",1,13:21,801,3,2,0,1,bracket
105,20230625,KINGS Esports,blue,"('Gloo', 'Balmond', 'Alice', 'Claude', 'Angela')","('Lancelot', 'Kaja', 'Lesley', 'Karrie', 'Wanwan')",0,Pendekar Esports,red,"('Minotaur', 'Melissa', 'Valentina', 'Hayabusa', 'Fredrinn')","('Faramis', 'Lolita', 'Minsitthar', 'Joy', 'Kadita')",1,19:05,1145,3,1,0,0,bracket
