tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
106,20230602,Bigetron Alpha,blue,"('Fredrinn', 'Joy', 'Yve', 'Moskov', 'Khufra')","('Kaja', 'Faramis', 'Valentina', 'Beatrix', 'Karrie')",1,RRQ Sena,red,"('Franco', 'Melissa', 'Novaria', 'Lancelot', 'Arlott')","('Lolita', 'Atlas', 'Fanny', 'Gloo', 'Wanwan')",0,14:12,852,3,1,0,0,bracket
106,20230602,Bigetron Alpha,red,"('Fredrinn', 'Fanny', 'Pharsa', 'Harith', 'Franco')","('Wanwan', 'Arlott', 'Faramis', 'Akai', 'Khufra')",1,RRQ Sena,blue,"('Ruby', 'Beatrix', 'Kadita', 'Joy', 'Gloo')","('Claude', 'Karrie', 'Valentina', 'Yve', 'Kaja')",0,17:56,1076,3,2,1,0,bracket
106,20230602,Rex Regum Qeon,blue,"('Joy', 'Fredrinn', 'Yve', 'Melissa', 'Minotaur')","('Fanny', 'Kaja', 'Valentina', 'Franco', 'Kadita')",1,Pajajaran Esports,red,"('Faramis', 'Beatrix', 'Lylia', 'Lancelot', 'Benedetta')","('Akai', 'Minsitthar', 'Claude', 'Arlott', 'Wanwan')",0,14:54,894,3,1,0,0,bracket
106,20230602,Rex Regum Qeon,red,"('Minsitthar', 'Fredrinn', 'Valentina', 'Beatrix', 'Franco')","('Fanny', 'Wanwan', 'Yve', 'Faramis', 'Lancelot')",1,Pajajaran Esports,blue,"('Kadita', 'Melissa', 'Grock', 'Martis', 'Joy')","('Lapu-Lapu', 'Karrie', 'Kaja', 'Arlott', 'Claude')",0,24:36,1476,3,2,1,0,bracket
106,20230602,EVOS Legends,blue,"('Gloo', 'Lancelot', 'Valentina', 'Beatrix', 'Franco')","('Faramis', 'Arlott', 'Joy', 'Lapu-Lapu', 'Terizla')",1,RRQ Sena,red,"('Estes', 'Melissa', 'Yve', 'Fredrinn', 'Benedetta')","('Novaria', 'Pharsa', 'Wanwan', 'Kadita', 'Fanny')",0,19:37,1177,3,1,0,0,bracket
106,20230602,EVOS Legends,red,"('Arlott', 'Lancelot', 'Lylia', 'Claude', 'Novaria')","('Wanwan', 'Joy', 'Fredrinn', 'Aamon', 'Kaja')",1,RRQ Sena,blue,"('Estes', 'Beatrix', 'Yve', 'Grock', 'Gloo')","('Valentina', 'Pharsa', 'Faramis', 'Kadita', 'Fanny')",0,23:28,1408,3,2,1,0,bracket
106,20230603,Bigetron Alpha,blue,"('Grock', 'Fredrinn', 'Valentina', 'Claude', 'Kadita')","('Lancelot', 'Fanny', 'Faramis', 'Martis', 'Diggie')",1,EVOS Legends,red,"('Novaria', 'Lesley', 'Yve', 'Akai', 'Arlott')","('Hayabusa', 'Ling', 'Wanwan', 'Gloo', 'Joy')",0,15:43,943,3,1,0,0,bracket
106,20230603,Bigetron Alpha,red,"('Arlott', 'Bane', 'Harley', 'Beatrix', 'Kaja')","('Wanwan', 'Lancelot', 'Valentina', 'Faramis', 'Yve')",1,EVOS Legends,blue,"('Khufra', 'Karrie', 'Novaria', 'Joy', 'Grock')","('Ling', 'Hayabusa', 'Fredrinn', 'Gloo', 'Fanny')",0,14:47,887,3,2,1,0,bracket
106,20230603,Rex Regum Qeon,blue,"('Minsitthar', 'Joy', 'Novaria', 'Melissa', 'Khufra')","('Kaja', 'Valentina', 'Yve', 'Franco', 'Karrie')",0,RRQ Sena,red,"('Atlas', 'Beatrix', 'Faramis', 'Fredrinn', 'Arlott')","('Natalia', 'Gloo', 'Kadita', 'Claude', 'Wanwan')",1,13:13,793,3,1,0,0,bracket
106,20230603,Rex Regum Qeon,red,"('Arlott', 'Joy', 'Novaria', 'Karrie', 'Khufra')","('Yve', 'Wanwan', 'Kaja', 'Franco', 'Atlas')",1,RRQ Sena,blue,"('Minotaur', 'Beatrix', 'Valentina', 'Fredrinn', 'Lapu-Lapu')","('Kadita', 'Melissa', 'Gloo', 'Faramis', 'Claude')",0,17:59,1079,3,2,0,1,bracket
106,20230603,Bigetron Alpha,blue,"('Fredrinn', 'Joy', 'Pharsa', 'Melissa', 'Khufra')","('Faramis', 'Valentina', 'Arlott', 'Kadita', 'Lylia')",1,Pajajaran Esports,red,"('Grock', 'Wanwan', 'Lunox', 'Fanny', 'Gloo')","('Claude', 'Beatrix', 'Franco', 'Yve', 'Kaja')",0,11:42,702,3,1,0,0,bracket
106,20230603,Bigetron Alpha,red,"('Khaleed', 'Hayabusa', 'Faramis', 'Wanwan', 'Khufra')","('Valentina', 'Yve', 'Fredrinn', 'Minsitthar', 'Phoveus')",1,Pajajaran Esports,blue,"('Franco', 'Beatrix', 'Pharsa', 'Fanny', 'Joy')","('Lapu-Lapu', 'Akai', 'Lancelot', 'Arlott', 'Kaja')",0,15:37,937,3,2,1,0,bracket
106,20230604,EVOS Legends,blue,"('Terizla', 'Fredrinn', 'Yve', 'Beatrix', 'Lolita')","('Fanny', 'Joy', 'Valentina', 'Claude', 'Karrie')",0,Pajajaran Esports,red,"('Kaja', 'Melissa', 'Pharsa', 'Martis', 'Yu Zhong')","('Franco', 'Faramis', 'Gloo', 'Wanwan', 'Kadita')",1,16:00,960,3,1,0,0,bracket
106,20230604,EVOS Legends,red,"('Lapu-Lapu', 'Lancelot', 'Yve', 'Melissa', 'Diggie')","('Wanwan', 'Joy', 'Valentina', 'Yu Zhong', 'Kaja')",1,Pajajaran Esports,blue,"('Khufra', 'Beatrix', 'Faramis', 'Martis', 'Esmeralda')","('Arlott', 'Lolita', 'Kadita', 'Gloo', 'Fanny')",0,12:32,752,3,2,0,1,bracket
106,20230604,Bigetron Alpha,blue,"('Gloo', 'Joy', ""Chang'e"", 'Melissa', 'Diggie')","('Natalia', 'Valentina', 'Fredrinn', 'Hayabusa', 'Lancelot')",1,Rex Regum Qeon,red,"('Franco', 'Wanwan', 'Faramis', 'Paquito', 'Arlott')","('Estes', 'Pharsa', 'Yve', 'Kaja', 'Fanny')",0,19:03,1143,3,1,0,0,bracket
106,20230604,Bigetron Alpha,red,"('Khaleed', 'Fredrinn', 'Valentina', 'Beatrix', 'Arlott')","('Natalia', 'Faramis', 'Gloo', 'Khufra', 'Lancelot')",1,Rex Regum Qeon,blue,"('Minotaur', 'Claude', 'Yve', 'Bane', 'Joy')","('Diggie', 'Franco', 'Wanwan', 'Kaja', 'Fanny')",0,14:37,877,3,2,1,0,bracket
106,20230604,RRQ Sena,blue,"('Arlott', 'Fredrinn', 'Yve', 'Karrie', 'Kaja')","('Fanny', 'Kadita', 'Lancelot', 'Hanzo', 'Minotaur')",1,Pajajaran Esports,red,"('Khufra', 'Melissa', 'Valentina', 'Akai', 'Lapu-Lapu')","('Beatrix', 'Claude', 'Joy', 'Gloo', 'Wanwan')",0,22:55,1375,3,1,0,0,bracket
106,20230604,RRQ Sena,red,"('Arlott', 'Baxia', 'Faramis', 'Beatrix', 'Kaja')","('Joy', 'Wanwan', 'Lancelot', 'Masha', 'Yu Zhong')",1,Pajajaran Esports,blue,"('Lolita', 'Melissa', 'Valentina', 'Fredrinn', 'Benedetta')","('Khufra', 'Pharsa', 'Yve', 'Gloo', 'Fanny')",0,14:50,890,3,2,1,0,bracket
106,20230604,EVOS Legends,blue,"('Minsitthar', 'Fredrinn', 'Faramis', 'Melissa', 'Franco')","('Novaria', 'Joy', 'Fanny', 'Claude', 'Beatrix')",0,Rex Regum Qeon,red,"('Minotaur', 'Harith', 'Valentina', 'Bane', 'Arlott')","('Gloo', 'Diggie', 'Kaja', 'Lancelot', 'Wanwan')",1,17:13,1033,3,1,0,0,bracket
106,20230604,EVOS Legends,red,"('Lapu-Lapu', 'Lancelot', 'Faramis', 'Karrie', 'Akai')","('Joy', 'Wanwan', 'Arlott', 'Beatrix', 'Harith')",0,Rex Regum Qeon,blue,"('Kaja', 'Brody', 'Pharsa', 'Fredrinn', 'Minsitthar')","('Atlas', 'Claude', 'Fanny', 'Yve', 'Valentina')",1,13:59,839,3,2,0,1,bracket
106,20230606,ONIC Prodigy,blue,"('Arlott', 'Fredrinn', 'Kadita', 'Moskov', 'Khufra')","('Aldous', 'Kaja', 'Joy', 'Claude', 'Karrie')",1,4Kings Esports,red,"('Grock', 'Beatrix', 'Valentina', 'Lancelot', 'Minsitthar')","('Hanzo', 'Fanny', 'Novaria', 'Wanwan', 'Gloo')",0,14:13,853,3,1,0,0,bracket
106,20230606,ONIC Prodigy,red,"('Uranus', 'Ling', 'Rafaela', 'Lylia', 'Chou')","('Aldous', 'Joy', 'Beatrix', 'Hilda', 'Grock')",0,4Kings Esports,blue,"('Kadita', 'Wanwan', 'Valentina', 'Akai', 'Gloo')","('Melissa', 'Claude', 'Novaria', 'Kaja', 'Arlott')",1,21:54,1314,3,2,1,0,bracket
