tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
107,20230619,Final Episode,blue,"('Grock', 'Fredrinn', 'Novaria', 'Clint', 'Diggie')","('Fanny', 'Valentina')",1,Divine Nine,red,"('Lolita', 'Karrie', 'Lunox', 'Lancelot', 'Minsitthar')","('Claude', 'Joy', 'Faramis')",0,11:36,696,3,1,0,0,bracket
107,20230619,Final Episode,red,"('Benedetta', 'Alice', 'Valentina', 'Karrie', 'Estes')","('Joy', 'Fanny', 'Claude')",1,Divine Nine,blue,"('Franco', 'Beatrix', 'Lunox', 'Alpha', 'Arlott')","('Grock', 'Novaria', 'Faramis')",0,11:10,670,3,2,1,0,bracket
107,20230619,Team Lilgun,blue,"('Uranus', 'Fredrinn', 'Novaria', 'Lesley', 'Diggie')","('Joy', 'Lancelot', 'Ling')",1,In Game Name,red,"('Franco', 'Claude', 'Faramis', 'Martis', 'Arlott')","('Gloo',)",0,11:32,692,3,1,0,0,bracket
107,20230619,Team Lilgun,red,"('Lapu-Lapu', 'Martis', 'Faramis', 'Karrie', 'Minotaur')","('Joy', 'Novaria', 'Estes')",1,In Game Name,blue,"('Grock', 'Beatrix', 'Yve', 'Akai', 'Alice')","('Claude', 'Diggie', 'Valentina')",0,18:01,1081,3,2,1,0,bracket
107,20230619,Positive Gaming,red,"('Arlott', 'Lancelot', 'Novaria', 'Karrie', 'Khufra')","('Joy', 'Valentina', 'Martis')",1,Generation of Miracles,blue,"('Faramis', 'Clint', 'Pharsa', 'Akai', 'Uranus')","('Kaja', 'Chou', 'Fanny')",0,11:00,660,3,1,0,0,bracket
107,20230619,Positive Gaming,blue,"('Uranus', 'Hayabusa', 'Valentina', 'Moskov', 'Chou')","('Arlott', 'Kaja', 'Franco')",1,Generation of Miracles,red,"('Khufra', 'Karrie', 'Xavier', 'Lancelot', 'Badang')","('Fredrinn', 'Joy', 'Fanny')",0,15:28,928,3,2,1,0,bracket
107,20230619,Marvist,blue,"('Minsitthar', 'Karina', 'Faramis', 'Beatrix', 'Kaja')","('Fanny', 'Novaria', 'Wanwan')",0,Team Virtus,red,"('Franco', 'Melissa', 'Valentina', 'Fredrinn', 'Arlott')","('Lancelot', 'Martis', 'Joy')",1,19:31,1171,3,1,0,0,bracket
107,20230619,Marvist,red,"('Grock', 'Fredrinn', 'Valentina', 'Brody', 'Diggie')","('Novaria', 'Faramis', 'Wanwan')",0,Team Virtus,blue,"('Minsitthar', 'Claude', 'Lunox', 'Hayabusa', 'Joy')","('Lesley', 'Kaja', 'Martis')",1,13:39,819,3,2,0,1,bracket
107,20230619,NWS,red,"('Gloo', 'Lancelot', 'Valentina', 'Karrie', 'Kaja')","('Faramis', 'Joy', 'Claude')",1,Illuminate,blue,"('Estes', 'Brody', 'Yve', 'Fredrinn', 'Yu Zhong')","('Melissa', 'Fanny', 'Arlott')",0,14:26,866,3,1,0,0,bracket
107,20230619,NWS,blue,"('Gloo', 'Fanny', 'Faramis', 'Beatrix', 'Khufra')","('Joy', 'Novaria', 'Yve')",1,Illuminate,red,"('Kaja', 'Karrie', 'Lunox', 'Lancelot', 'Lapu-Lapu')","('Melissa', 'Arlott', 'Valentina')",0,15:59,959,3,2,1,0,bracket
