tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
108,20230531,RRQ Akira,blue,"('Gloo', 'Yi Sun-Shin', 'Novaria', 'Lunox', 'Chou')","('Fanny', 'Joy', 'Diggie', 'Hayabusa', 'Lancelot')",1,LAST eSports,red,"('Grock', 'Claude', 'Yve', 'Dyrroth', 'Arlott')","('Harith', 'Lesley', 'Minotaur', 'Valentina', 'Wanwan')",0,09:13,553,3,1,0,0,qualifiers
108,20230531,RRQ Akira,red,"('Phoveus', 'Ling', 'Kadita', 'Karrie', 'Franco')","('Novaria', 'Wanwan', 'Fanny', 'Claude', 'Minotaur')",1,LAST eSports,blue,"('Khufra', 'Brody', 'Kagura', 'Martis', 'Joy')","('Hayabusa', 'Gloo', 'Chou', 'Kaja', 'Valentina')",0,11:42,702,3,2,1,0,qualifiers
108,20230531,Randoms,blue,"('Joy', 'Martis', 'Yve', 'Lesley', 'Chou')","('Fanny', 'Kaja', 'Claude', 'Karrie', 'Beatrix')",1,Team Ectuus,red,"('Mathilda', 'Harith', 'Pharsa', 'Lancelot', 'Gloo')","('Floryn', 'Melissa', 'Arlott', 'Franco', 'Wanwan')",0,26:37,1597,3,1,0,0,qualifiers
108,20230531,Randoms,red,"('Arlott', 'Martis', 'Pharsa', 'Karrie', 'Khufra')","('Wanwan', 'Fanny', 'Kaja', 'Hayabusa', 'Barats')",1,Team Ectuus,blue,"('Grock', 'Harith', 'Valentina', 'Ling', 'Joy')","('Lancelot', 'Fredrinn', 'Gloo', 'Yve', 'Franco')",0,31:44,1904,3,2,1,0,qualifiers
108,20230531,DreamMax Ice,blue,"('Uranus', 'Ling', 'Joy', 'Harith', 'Chou')","('Melissa', 'Arlott', 'Faramis', 'Martis', 'Lancelot')",0,Team Zeus E-sports,red,"('Grock', 'Karrie', 'Yve', 'Minsitthar', 'Gloo')","('Beatrix', 'Claude', 'Kaja', 'Novaria', 'Wanwan')",1,18:15,1095,3,1,0,0,qualifiers
108,20230531,DreamMax Ice,red,"('Lapu-Lapu', 'Lancelot', 'Pharsa', 'Karrie', 'Khufra')","('Wanwan', 'Arlott', 'Melissa', 'Minsitthar', 'Harith')",0,Team Zeus E-sports,blue,"('Grock', 'Brody', 'Valentina', 'Martis', 'Gloo')","('Franco', 'Chou', 'Faramis', 'Novaria', 'Kaja')",1,16:18,978,3,2,0,1,qualifiers
108,20230601,Team Ectuus,blue,"('Joy', 'Fanny', 'Novaria', 'Wanwan', 'Kaja')","('Harith', 'Minsitthar', 'Faramis', 'Hayabusa', 'Phoveus')",1,SNS Academy,red,"('Minotaur', 'Clint', 'Cecilion', 'Dyrroth', 'Zilong')","('Mathilda', 'Lancelot', 'Arlott', 'Melissa', 'Martis')",0,16:10,970,3,1,0,0,qualifiers
108,20230601,Team Ectuus,red,"('Minsitthar', 'Bane', 'Valentina', 'Lesley', 'Saber')","('Harith', 'Kaja', 'Joy', 'Minotaur', 'Diggie')",1,SNS Academy,blue,"('Franco', 'Claude', 'Novaria', 'Barats', 'Arlott')","('Khufra', 'Beatrix', 'Melissa', 'Martis', 'Wanwan')",0,17:43,1063,3,2,1,0,qualifiers
108,20230601,Royal of Olimpo,blue,"('Terizla', 'Hanzo', 'Novaria', 'Argus', 'Chou')","('Melissa', 'Valentina', 'Gloo', 'Claude', 'Faramis')",0,DreamMax Ice,red,"('Yin', 'Bane', 'Guinevere', 'Fredrinn', 'Fanny')","('Brody', 'Kaja', 'Joy', 'Arlott', 'Wanwan')",1,18:11,1091,3,1,0,0,qualifiers
108,20230601,Royal of Olimpo,red,"('Terizla', 'Martis', 'Yve', 'Melissa', 'Kaja')","('Valentina', 'Gloo', 'Joy', 'Hayabusa', 'Minsitthar')",1,DreamMax Ice,blue,"('Nana', 'Chou', 'Odette', 'Johnson', 'Fanny')","('Grock', 'Phoveus', 'Diggie', 'Arlott', 'Wanwan')",0,14:45,885,3,2,0,1,qualifiers
108,20230601,Royal of Olimpo,blue,"('Khaleed', 'Hanzo', 'Yve', 'Melissa', 'Kaja')","('Valentina', 'Gloo', 'Joy', 'Pharsa', 'Claude')",0,DreamMax Ice,red,"('Yu Zhong', 'Yi Sun-Shin', 'Gusion', 'Hayabusa', 'Baxia')","('Lunox', 'Martis', 'Wanwan', 'Arlott', 'Fanny')",1,22:59,1379,3,3,1,1,qualifiers
108,20230601,DreamMax,blue,"('Grock', 'Lancelot', 'Pharsa', 'Claude', 'Chou')","('Kaja', 'Arlott', 'Fredrinn', 'Faramis', 'Lolita')",1,Cyber E-Sports,red,"('Minsitthar', 'Lesley', 'Yve', 'Martis', 'Lapu-Lapu')","('Benedetta', 'Hanzo', 'Wanwan', 'Gloo', 'Joy')",0,14:31,871,3,1,0,0,qualifiers
108,20230601,DreamMax,red,"('Uranus', 'Martis', 'Yve', 'Beatrix', 'Chou')","('Wanwan', 'Joy', 'Gloo', 'Melissa', 'Karrie')",0,Cyber E-Sports,blue,"('Kadita', 'Popol and Kupa', 'Xavier', 'Fredrinn', 'Lapu-Lapu')","('Kaja', 'Claude', 'Arlott', 'Grock', 'Pharsa')",1,37:20,2240,3,2,1,0,qualifiers
