tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
109,20230601,HomeBois,blue,"('Joy', 'Fredrinn', 'Faramis', 'Karrie', 'Minotaur')","('Fanny', 'Kaja', 'Wanwan', 'Hanzo', 'Odette')",1,Big Bang Club,red,"('Khufra', 'Beatrix', 'Luo Yi', 'Bane', 'Gloo')","('Grock', 'Claude', 'Valentina', 'Pharsa', 'Arlott')",0,10:14,614,3,1,0,0,bracket
109,20230601,HomeBois,red,"('Joy', 'Fredrinn', 'Valentina', 'Brody', 'Lolita')","('Odette', 'Fanny', 'Wanwan', 'Hanzo', 'Kaja')",1,Big Bang Club,blue,"('Khufra', 'Natan', 'Alice', 'Lancelot', 'Arlott')","('Claude', 'Karrie', 'Gloo', 'Yve', 'Pharsa')",0,11:47,707,3,2,1,0,bracket
109,20230601,Blacklist Academy,blue,"('Terizla', 'Lancelot', 'Yve', 'Claude', 'Khufra')","('Faramis', 'Kaja', 'Fredrinn', 'Hanzo', 'Diggie')",1,Kagendra,red,"('Lolita', 'Beatrix', 'Novaria', 'Hayabusa', 'Gloo')","('Chou', 'Grock', 'Fanny', 'Joy', 'Wanwan')",0,14:09,849,3,1,0,0,bracket
109,20230601,Blacklist Academy,red,"('Yu Zhong', 'Fredrinn', 'Valentina', 'Claude', 'Kadita')","('Fanny', 'Joy', 'Faramis', 'Hanzo', 'Diggie')",1,Kagendra,blue,"('Kaja', 'Karrie', 'Pharsa', 'Bane', 'Gloo')","('Terizla', 'Khufra', 'Arlott', 'Wanwan', 'Yve')",0,23:56,1436,3,2,1,0,bracket
109,20230603,HomeBois,blue,"('Arlott', 'Fredrinn', 'Novaria', 'Natan', 'Minotaur')","('Fanny', 'Kaja', 'Yve', 'Gloo', 'Lapu-Lapu')",1,Blacklist Academy,red,"('Grock', 'Claude', 'Kadita', 'Lancelot', 'Yu Zhong')","('Lesley', 'Diggie', 'Faramis', 'Joy', 'Wanwan')",0,16:27,987,5,1,0,0,bracket
109,20230603,HomeBois,red,"('Gloo', 'Fredrinn', 'Valentina', 'Natan', 'Minotaur')","('Joy', 'Fanny', 'Wanwan', 'Kaja', 'Khufra')",1,Blacklist Academy,blue,"('Valir', 'Claude', 'Kadita', 'Lancelot', 'Terizla')","('Arlott', 'Lesley', 'Novaria', 'Yve', 'Faramis')",0,28:57,1737,5,2,1,0,bracket
109,20230603,HomeBois,blue,"('Gloo', 'Fredrinn', 'Faramis', 'Melissa', 'Diggie')","('Fanny', 'Kaja', 'Valentina', 'Terizla', 'Arlott')",1,Blacklist Academy,red,"('Franco', 'Claude', 'Yve', 'Lancelot', 'Grock')","('Minotaur', 'Natan', 'Novaria', 'Wanwan', 'Joy')",0,15:10,910,5,3,2,0,bracket
109,20230601,See You Soon,blue,"('Fredrinn', 'Hayabusa', 'Kadita', 'Wanwan', 'Khufra')","('Kaja', 'Valentina', 'Yve', 'Phoveus', 'Pharsa')",1,MAO Esports,red,"('Franco', 'Claude', 'Cecilion', 'Lancelot', 'Arlott')","('Minsitthar', 'Grock', 'Faramis', 'Gloo', 'Joy')",0,16:12,972,3,1,0,0,bracket
109,20230601,See You Soon,red,"('Arlott', 'Hayabusa', 'Valentina', 'Claude', 'Grock')","('Joy', 'Wanwan', 'Gloo', 'Khufra', 'Ling')",1,MAO Esports,blue,"('Diggie', 'Wanwan', 'Faramis', 'Fredrinn', 'Phoveus')","('Fanny', 'Franco', 'Yve', 'Kadita', 'Kaja')",0,12:44,764,3,2,1,0,bracket
109,20230601,Bigetron Alpha,blue,"('Fredrinn', 'Lancelot', 'Valentina', 'Karrie', 'Franco')","('Kaja', 'Faramis', 'Arlott', 'Claude', 'Gloo')",1,MAB Esports,red,"('Khufra', 'Beatrix', 'Pharsa', 'Fanny', 'Lapu-Lapu')","('Yu Zhong', 'Moskov', 'Minsitthar', 'Joy', 'Wanwan')",0,12:28,748,3,1,0,0,bracket
109,20230601,Bigetron Alpha,red,"('Grock', 'Ling', 'Valentina', 'Claude', 'Minsitthar')","('Faramis', 'Wanwan', 'Fredrinn', 'Brody', 'Diggie')",1,MAB Esports,blue,"('Lolita', 'Lesley', 'Yve', 'Martis', 'Arlott')","('Hayabusa', 'Lancelot', 'Gloo', 'Joy', 'Fanny')",0,14:08,848,3,2,1,0,bracket
109,20230603,See You Soon,blue,"('Gloo', 'Ling', 'Kadita', 'Karrie', 'Franco')","('Faramis', 'Kaja', 'Lancelot', 'Grock', 'Akai')",0,Bigetron Beta,red,"('Edith', 'Beatrix', 'Valentina', 'Fanny', 'Arlott')","('Martis', 'Minsitthar', 'Fredrinn', 'Wanwan', 'Joy')",1,11:20,680,5,1,0,0,bracket
109,20230603,See You Soon,red,"('Grock', 'Hayabusa', 'Pharsa', 'Beatrix', 'Kaja')","('Wanwan', 'Joy', 'Faramis', 'Khufra', 'Atlas')",0,Bigetron Beta,blue,"('Edith', 'Melissa', 'Kadita', 'Lancelot', 'Arlott')","('Gloo', 'Lapu-Lapu', 'Fredrinn', 'Valentina', 'Yve')",1,21:27,1287,5,2,0,1,bracket
109,20230603,See You Soon,red,"('Phoveus', 'Fanny', 'Faramis', 'Beatrix', 'Ruby')","('Joy', 'Lancelot', 'Kaja', 'Lolita', 'Akai')",0,Bigetron Beta,blue,"('Franco', 'Wanwan', 'Pharsa', 'Baxia', 'Arlott')","('Diggie', 'Minsitthar', 'Fredrinn', 'Yve', 'Valentina')",1,14:32,872,5,3,0,2,bracket
109,20230604,HomeBois,blue,"('Gloo', 'Paquito', 'Novaria', 'Karrie', 'Minotaur')","('Fanny', 'Kaja', 'Valentina', 'Yve', 'Edith')",0,Bigetron Beta,red,"('Grock', 'Beatrix', 'Lylia', 'Fredrinn', 'Arlott')","('Martis', 'Lancelot', 'Faramis', 'Wanwan', 'Joy')",1,14:13,853,5,1,0,0,bracket
109,20230604,HomeBois,red,"('Arlott', 'Fredrinn', 'Novaria', 'Claude', 'Lolita')","('Fanny', 'Wanwan', 'Gloo', 'Beatrix', 'Lesley')",0,Bigetron Beta,blue,"('Grock', 'Karrie', 'Valentina', 'Joy', 'Lapu-Lapu')","('Franco', 'Faramis', 'Kaja', 'Martis', 'Yve')",1,19:27,1167,5,2,0,1,bracket
109,20230604,HomeBois,red,"('Arlott', 'Lancelot', 'Faramis', 'Karrie', 'Grock')","('Fanny', 'Wanwan', 'Joy', 'Lapu-Lapu', 'Franco')",1,Bigetron Beta,blue,"('Minsitthar', 'Beatrix', 'Valentina', 'Fredrinn', 'Benedetta')","('Melissa', 'Natan', 'Kaja', 'Yve', 'Martis')",0,22:08,1328,5,3,0,2,bracket
