tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
10,20231019,Triple Esports,blue,"('Terizla', 'Martis', 'Valentina', 'Bruno', 'Rafaela')","('Fanny', 'Novaria', 'Nolan', 'Baxia', 'Yu Zhong')",1,Twisted Minds,red,"('Chou', 'Brody', 'Lylia', 'Lancelot', 'Edith')","('Khufra', 'Franco', 'Mathilda', 'Angela', 'Kadita')",0,18:59,1139,3,1,0,0,bracket
10,20231019,Triple Esports,red,"('Dyrroth', 'Fredrinn', 'Valentina', 'Irithel', 'Rafaela')","('Fanny', 'Nolan', 'Mathilda', 'Brody', 'Beatrix')",1,Twisted Minds,blue,"('Khufra', 'Claude', 'Novaria', 'Baxia', 'Yu Zhong')","('Martis', 'Akai', 'Angela', 'Bruno', 'Kadita')",0,17:52,1072,3,2,1,0,bracket
10,20231019,Okami Esports,blue,"('Uranus', 'Bane', 'Valentina', 'Bruno', 'Kaja')","('Claude', 'Joy', 'Nolan', 'Akai', 'Fredrinn')",0,Team Falcons,red,"('Rafaela', 'Beatrix', 'Faramis', 'Martis', 'Paquito')","('Terizla', 'Arlott', 'Edith', 'Baxia', 'Angela')",1,15:28,928,3,1,0,0,bracket
10,20231019,Okami Esports,blue,"('Lapu-Lapu', 'Fredrinn', 'Novaria', 'Irithel', 'Mathilda')","('Nolan', 'Paquito', 'Faramis', 'Akai', 'Claude')",0,Team Falcons,red,"('Rafaela', 'Bruno', 'Valentina', 'Martis', 'Yu Zhong')","('Terizla', 'Ixia', 'Edith', 'Baxia', 'Angela')",1,18:22,1102,3,2,0,1,bracket
10,20231020,Triple Esports,red,"('Uranus', 'Baxia', 'Pharsa', 'Bruno', 'Edith')","('Nolan', 'Mathilda', 'Angela', 'Brody', 'Yu Zhong')",0,Team Falcons,blue,"('Rafaela', 'Beatrix', 'Faramis', 'Akai', 'X.Borg')","('Diggie', 'Dyrroth', 'Valentina', 'Paquito', 'Kadita')",1,24:01,1441,3,1,0,0,bracket
10,20231020,Triple Esports,blue,"('Uranus', 'Martis', 'Valentina', 'Clint', 'Khufra')","('Nolan', 'Mathilda', 'Paquito', 'Baxia', 'Fanny')",0,Team Falcons,red,"('Edith', 'Beatrix', 'Faramis', 'Lancelot', 'Yu Zhong')","('Terizla', 'Dyrroth', 'Rafaela', 'Angela', 'Kadita')",1,14:33,873,3,2,0,1,bracket
10,20231019,Twisted Minds,blue,"('Yu Zhong', 'Fanny', 'Lylia', 'Beatrix', 'Khufra')","('Novaria', 'Bruno', 'Fredrinn', 'Baxia', 'Akai')",1,Okami Esports,red,"('Chou', 'Clint', 'Valentina', 'Martis', 'Edith')","('Terizla', 'Paquito', 'Nolan', 'Mathilda', 'Angela')",0,36:58,2218,3,1,0,0,bracket
10,20231019,Twisted Minds,red,"('Terizla', 'Joy', 'Faramis', 'Irithel', 'Mathilda')","('Novaria', 'Nolan', 'Bruno', 'Brody', 'Clint')",1,Okami Esports,blue,"('Angela', 'Ixia', 'Xavier', 'Baxia', 'Paquito')","('Fredrinn', 'Gord', 'Valentina', 'Lylia', 'Fanny')",0,19:15,1155,3,2,1,0,bracket
10,20231020,Triple Esports,red,"('Dyrroth', 'Baxia', 'Lylia', 'Bruno', 'Chou')","('Nolan', 'Fanny', 'Mathilda', 'Yu Zhong', 'Terizla')",1,Twisted Minds,blue,"('Angela', 'Irithel', 'Novaria', 'Fredrinn', 'Edith')","('Paquito', 'Uranus', 'Valentina', 'Rafaela', 'Kadita')",0,18:38,1118,5,1,0,0,bracket
10,20231020,Triple Esports,red,"('Dyrroth', 'Martis', 'Valentina', 'Irithel', 'Chou')","('Nolan', 'Fanny', 'Mathilda', 'Terizla', 'Benedetta')",1,Twisted Minds,blue,"('Khufra', 'Beatrix', 'Novaria', 'Baxia', 'Lapu-Lapu')","('Uranus', 'Paquito', 'Angela', 'Rafaela', 'Kadita')",0,19:38,1178,5,2,1,0,bracket
10,20231020,Triple Esports,red,"('Paquito', 'Baxia', 'Faramis', 'Brody', 'Rafaela')","('Nolan', 'Fanny', 'Mathilda', 'Beatrix', 'Joy')",1,Twisted Minds,blue,"('Chou', 'Wanwan', 'Valentina', 'Roger', 'Yu Zhong')","('Pharsa', 'Lylia', 'Irithel', 'Bruno', 'Kadita')",0,10:39,639,5,3,2,0,bracket
10,20231021,Team Falcons,red,"('Yu Zhong', 'Martis', 'Valentina', 'Claude', 'Edith')","('Kadita', 'Angela', 'Rafaela', 'Baxia', 'Lylia')",1,Triple Esports,blue,"('Mathilda', 'Irithel', 'Pharsa', 'Akai', 'Dyrroth')","('Beatrix', 'Bruno', 'Faramis', 'Paquito', 'Nolan')",0,14:59,899,7,1,0,0,bracket
10,20231021,Team Falcons,red,"('Yu Zhong', 'Baxia', 'Gord', 'Claude', 'Edith')","('Kadita', 'Angela', 'Rafaela', 'Uranus', 'Terizla')",0,Triple Esports,blue,"('Chou', 'Irithel', 'Valentina', 'Martis', 'X.Borg')","('Novaria', 'Lylia', 'Faramis', 'Paquito', 'Nolan')",1,19:30,1170,7,2,1,0,bracket
10,20231021,Team Falcons,blue,"('Paquito', 'Baxia', 'Lylia', 'Claude', 'Mathilda')","('Kadita', 'Chou', 'Angela', 'Irithel', 'Bruno')",0,Triple Esports,red,"('Rafaela', 'Beatrix', 'Pharsa', 'Martis', 'Edith')","('Kaja', 'Franco', 'Valentina', 'Faramis', 'Nolan')",1,27:43,1663,7,3,1,1,bracket
10,20231021,Team Falcons,blue,"('Yu Zhong', 'Martis', 'Lylia', 'Brody', 'Angela')","('Kadita', 'Rafaela', 'Baxia', 'Akai', 'Irithel')",0,Triple Esports,red,"('Edith', 'Bruno', 'Pharsa', 'Guinevere', 'Paquito')","('Beatrix', 'Claude', 'Vale', 'Faramis', 'Nolan')",1,20:35,1235,7,4,1,2,bracket
10,20231021,Team Falcons,red,"('Yu Zhong', 'Lancelot', 'Novaria', 'Bruno', 'Edith')","('Kadita', 'Rafaela', 'Angela', 'Uranus', 'Irithel')",1,Triple Esports,blue,"('Chou', 'Clint', 'Valentina', 'Martis', 'Terizla')","('Baxia', 'Beatrix', 'Paquito', 'Faramis', 'Nolan')",0,18:52,1132,7,5,1,3,bracket
10,20231021,Team Falcons,blue,"('Yu Zhong', 'Baxia', 'Novaria', 'Bruno', 'Edith')","('Kadita', 'Rafaela', 'Angela', 'Mathilda', 'Lylia')",0,Triple Esports,red,"('Franco', 'Irithel', 'Pharsa', 'Martis', 'Paquito')","('Beatrix', 'Lancelot', 'Valentina', 'Faramis', 'Nolan')",1,15:03,903,7,6,2,3,bracket
10,20230908,Team Falcons,blue,"('Yu Zhong', 'Martis', 'Faramis', 'Beatrix', 'Minotaur')","('Kadita', 'Angela', 'Baxia', 'Bruno', 'Clint')",0,Team Occupy,red,"('Grock', 'Brody', 'Arlott', 'Joy', 'Terizla')","('Franco', 'Diggie', 'Kaja', 'Fredrinn', 'Yve')",1,11:05,665,3,1,0,0,qualifiers
10,20230908,Team Falcons,blue,"('Terizla', 'Akai', 'Gord', 'Beatrix', 'Khufra')","('Joy', 'Novaria', 'Baxia', 'X.Borg', 'Hylos')",0,Team Occupy,red,"('Minotaur', 'Brody', 'Pharsa', 'Ling', 'Gloo')","('Faramis', 'Martis', 'Kadita', 'Fredrinn', 'Yve')",1,33:46,2026,3,2,0,1,qualifiers
10,20230908,Okami Esports,red,"('Terizla', 'Joy', 'Novaria', 'Brody', 'Edith')","('Fanny', 'Yve', 'Baxia', 'Hayabusa', 'Ling')",1,Twisted Minds,blue,"('Kaja', 'Bruno', 'Valentina', 'Lancelot', 'X.Borg')","('Beatrix', 'Khufra', 'Faramis', 'Fredrinn', 'Martis')",0,21:19,1279,3,1,0,0,qualifiers
10,20230908,Okami Esports,red,"('Terizla', 'Joy', 'Novaria', 'Clint', 'Franco')","('Fanny', 'Yve', 'Baxia', 'Hayabusa', 'Kaja')",1,Twisted Minds,blue,"('Khufra', 'Brody', 'Valentina', 'Ling', 'X.Borg')","('Beatrix', 'Edith', 'Faramis', 'Fredrinn', 'Martis')",0,18:08,1088,3,2,1,0,qualifiers
10,20230909,Triple Esports,blue,"('Paquito', 'Baxia', 'Kadita', 'Irithel', 'Chou')","('Yve', 'Novaria', 'Faramis', 'Diggie', 'X.Borg')",1,Curse Squad,red,"('Khufra', 'Claude', 'Pharsa', 'Fredrinn', 'Lapu-Lapu')","('Brody', 'Bruno', 'Kaja', 'Edith', 'Franco')",0,13:33,813,3,1,0,0,qualifiers
10,20230909,Triple Esports,blue,"('Paquito', 'Fredrinn', 'Valentina', 'Clint', 'Chou')","('Yve', 'Novaria', 'Ling', 'Edith', 'Arlott')",1,Curse Squad,red,"('Angela', 'Brody', 'Faramis', 'Martis', 'Gloo')","('Irithel', 'Bruno', 'Kaja', 'Kadita', 'Franco')",0,14:10,850,3,2,1,0,qualifiers
10,20230909,Team SEN,red,"('Gloo', 'Fredrinn', 'Novaria', 'Clint', 'Khufra')","('Kaja', 'Estes', 'Bruno', 'Floryn', 'Karrie')",0,Geekay Esports,blue,"('Faramis', 'Irithel', 'Kadita', 'Martis', 'Terizla')","('Angela', 'Franco', 'Valentina', 'Edith', 'Baxia')",1,18:43,1123,3,1,0,0,qualifiers
10,20230909,Team SEN,red,"('Uranus', 'Fredrinn', 'Valentina', 'Irithel', 'Khufra')","('Edith', 'Terizla', 'Baxia', 'Angela', 'Franco')",0,Geekay Esports,blue,"('Grock', 'Brody', 'Kadita', 'Martis', 'Gloo')","('Kaja', 'Floryn', 'Faramis', 'Bruno', 'Estes')",1,13:46,826,3,2,0,1,qualifiers
10,20230915,Team Falcons,blue,"('Paquito', 'Fredrinn', 'Valentina', 'Claude', 'Novaria')","('Kaja', 'Edith', 'Kadita', 'Khufra', 'Franco')",1,Team SEN,red,"('Grock', 'Bruno', 'Pharsa', 'Martis', 'Terizla')","('Beatrix', 'Joy', 'Irithel', 'Brody', 'Fanny')",0,14:08,848,3,1,0,0,qualifiers
10,20230915,Team Falcons,red,"('Fredrinn', 'Ling', 'Yve', 'Bruno', 'Khufra')","('Kadita', 'Edith', 'Kaja', 'X.Borg', 'Gloo')",1,Team SEN,blue,"('Franco', 'Brody', 'Novaria', 'Lancelot', 'Uranus')","('Terizla', 'Yu Zhong', 'Fanny', 'Joy', 'Paquito')",0,15:19,919,3,2,1,0,qualifiers
10,20230915,Team Occupy,blue,"('Terizla', 'Fredrinn', 'Pharsa', 'Irithel', 'Franco')","('Yve', 'Bruno', 'Brody', 'Kadita', 'Martis')",1,Curse Squad,red,"('Kaja', 'Beatrix', 'Gord', 'Baxia', 'X.Borg')","('Fanny', 'Ling', 'Joy', 'Novaria', 'Paquito')",0,23:18,1398,3,1,0,0,qualifiers
10,20230915,Team Occupy,blue,"('Fredrinn', 'Fanny', 'Xavier', 'Beatrix', 'Kaja')","('Kadita', 'Yve', 'Baxia', 'Martis', 'X.Borg')",0,Curse Squad,red,"('Khufra', 'Bruno', 'Gord', 'Hayabusa', 'Yu Zhong')","('Novaria', 'Paquito', 'Joy', 'Brody', 'Pharsa')",1,15:11,911,3,2,1,0,qualifiers
10,20230915,Team Occupy,red,"('Uranus', 'Fredrinn', 'Yve', 'Brody', 'Floryn')","('Gord', 'Kaja', 'Kadita', 'Terizla', 'Baxia')",1,Curse Squad,blue,"('Diggie', 'Claude', 'Novaria', 'Martis', 'Yu Zhong')","('Franco', 'Bruno', 'Paquito', 'Ling', 'Joy')",0,13:56,836,3,3,1,1,qualifiers
10,20230916,Twisted Minds,blue,"('Paquito', 'Fredrinn', 'Yve', 'Claude', 'Novaria')","('Bruno', 'Kadita', 'Martis', 'Gord', 'X.Borg')",0,Geekay Esports,red,"('Edith', 'Beatrix', 'Lunox', 'Baxia', 'Yu Zhong')","('Valentina', 'Terizla', 'Brody', 'Fanny', 'Grock')",1,25:28,1528,3,1,0,0,qualifiers
10,20230916,Twisted Minds,red,"('X.Borg', 'Baxia', 'Gord', 'Claude', 'Khufra')","('Kadita', 'Martis', 'Bruno', 'Uranus', 'Yu Zhong')",0,Geekay Esports,blue,"('Grock', 'Beatrix', 'Valentina', 'Fredrinn', 'Lapu-Lapu')","('Floryn', 'Brody', 'Terizla', 'Fanny', 'Angela')",1,14:42,882,3,2,0,1,qualifiers
10,20230916,Okami Esports,red,"('X.Borg', 'Martis', 'Valentina', 'Clint', 'Minotaur')","('Kadita', 'Irithel', 'Yve', 'Pharsa', 'Gord')",0,Triple Esports,blue,"('Edith', 'Bruno', 'Faramis', 'Fredrinn', 'Paquito')","('Terizla', 'Diggie', 'Baxia', 'Brody', 'Novaria')",1,15:44,944,3,1,0,0,qualifiers
10,20230916,Okami Esports,blue,"('Terizla', 'Akai', 'Yve', 'Bruno', 'Franco')","('Kadita', 'Paquito', 'Irithel', 'Beatrix', 'Clint')",1,Triple Esports,red,"('Khufra', 'Karrie', 'Valentina', 'Baxia', 'Edith')","('Joy', 'Lancelot', 'Fredrinn', 'Brody', 'Novaria')",0,11:28,688,3,2,0,1,qualifiers
10,20230916,Okami Esports,red,"('Terizla', 'Martis', 'Yve', 'Beatrix', 'Grock')","('Irithel', 'Paquito', 'Bruno', 'Baxia', 'Akai')",0,Triple Esports,blue,"('Franco', 'Clint', 'Kadita', 'Guinevere', 'Edith')","('Kaja', 'Diggie', 'Fredrinn', 'Brody', 'Novaria')",1,13:55,835,3,3,1,1,qualifiers
10,20230916,Curse Squad,blue,"('Joy', 'Fredrinn', 'Yve', 'Brody', 'Angela')","('Paquito', 'Fanny', 'Lancelot', 'Ling', 'Yu Zhong')",0,Twisted Minds,red,"('Edith', 'Bruno', 'Gord', 'Akai', 'Lapu-Lapu')","('Kaja', 'Grock', 'Terizla', 'Baxia', 'Martis')",1,19:59,1199,3,1,0,0,qualifiers
10,20230916,Curse Squad,red,"('Arlott', 'Akai', 'Valentina', 'Brody', 'Kadita')","('Paquito', 'Fanny', 'Edith', 'Pharsa', 'Gord')",0,Twisted Minds,blue,"('Kaja', 'Bruno', 'Faramis', 'Fredrinn', 'Yu Zhong')","('X.Borg', 'Khufra', 'Yve', 'Terizla', 'Martis')",1,14:53,893,3,2,0,1,qualifiers
