tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
111,20230429,Outplay,blue,"('Terizla', 'Lancelot', 'Pharsa', 'Wanwan', 'Franco')","('Freya', 'Melissa', 'Kaja', 'Beatrix', 'Martis')",1,The Empire,red,"('Lolita', 'Lapu-Lapu', 'Valentina', 'Granger', 'Minsitthar')","('Karina', 'Fredrinn', 'Joy', 'Fanny', 'Arlott')",0,16:07,967,5,1,0,0,bracket
111,20230429,Outplay,red,"('Gloo', 'Ling', 'Kagura', 'Wanwan', 'Atlas')","('Freya', 'Yve', 'Joy', 'Martis', 'Karrie')",1,The Empire,blue,"('Franco', 'Phoveus', 'Valentina', 'Hanzo', 'Lapu-Lapu')","('Faramis', 'Pharsa', 'Kaja', 'Arlott', 'Fanny')",0,20:39,1239,5,2,1,0,bracket
111,20230429,Outplay,blue,"('Minsitthar', 'Valentina', 'Faramis', 'Claude', 'Grock')","('Hanzo', 'Freya', 'Kaja', 'Martis', 'Lapu-Lapu')",1,The Empire,red,"('Franco', 'Alice', 'Pharsa', 'Karina', 'Benedetta')","('Lancelot', 'Fredrinn', 'Joy', 'Arlott', 'Fanny')",0,13:05,785,5,3,2,0,bracket
111,20230429,BloodThirstyKings,blue,"('Lapu-Lapu', 'Fredrinn', 'Kagura', 'Beatrix', 'Khufra')","('Melissa', 'Kaja', 'Gloo', 'Franco', 'Fanny')",1,Ackerman,red,"('Lolita', 'Karrie', 'Yve', 'Lancelot', 'Yu Zhong')","('Pharsa', 'Claude', 'Joy', 'Wanwan')",0,32:26,1946,5,1,0,0,bracket
111,20230429,BloodThirstyKings,red,"('Fanny', 'Fredrinn', 'Kagura', 'Melissa', 'Franco')","('Joy', 'Gloo', 'Arlott', 'Kaja', 'Martis')",0,Ackerman,blue,"('Khufra', 'Beatrix', 'Pharsa', 'Akai', 'Lapu-Lapu')","('Valentina', 'Yve', 'Yu Zhong', 'Claude', 'Wanwan')",1,22:42,1362,5,2,1,0,bracket
111,20230429,BloodThirstyKings,blue,"('Arlott', 'Lancelot', 'Valentina', 'Karrie', 'Atlas')","('Melissa', 'Kaja', 'Gloo', 'Harith', 'Yve')",1,Ackerman,red,"('Franco', 'Beatrix', 'Pharsa', 'Fredrinn', 'Lapu-Lapu')","('Khufra', 'Akai', 'Claude', 'Joy', 'Wanwan')",0,15:40,940,5,3,1,1,bracket
111,20230429,BloodThirstyKings,red,"('Terizla', 'Lancelot', 'Kagura', 'Karrie', 'Chou')","('Melissa', 'Joy', 'Gloo', 'Fanny', 'Lolita')",0,Ackerman,blue,"('Grock', 'Brody', 'Valentina', 'Helcurt', 'Arlott')","('Khufra', 'Pharsa', 'Yu Zhong', 'Claude', 'Wanwan')",1,21:07,1267,5,4,2,1,bracket
111,20230429,BloodThirstyKings,blue,"('Arlott', 'Lancelot', 'Pharsa', 'Beatrix', 'Grock')","('Melissa', 'Gloo', 'Yu Zhong', 'Fanny', 'Helcurt')",1,Ackerman,red,"('Khufra', 'Karrie', 'Valentina', 'Karina', 'Minsitthar')","('Yve', 'Faramis', 'Claude', 'Wanwan', 'Joy')",0,16:39,999,5,5,2,2,bracket
111,20230430,Outplay,blue,"('Gloo', 'Helcurt', 'Lylia', 'Wanwan', 'Kaja')","('Yu Zhong', 'Yve', 'Valentina', 'Beatrix', 'Akai')",1,BloodThirstyKings,red,"('Lolita', 'Claude', 'Pharsa', 'Fredrinn', 'Lapu-Lapu')","('Lancelot', 'Fanny', 'Faramis', 'Joy', 'Arlott')",0,21:05,1265,5,1,0,0,bracket
111,20230430,Outplay,red,"('Fredrinn', 'Fanny', 'Pharsa', 'Karrie', 'Kaja')","('Joy', 'Wanwan', 'Gloo', 'Khufra', 'Akai')",1,BloodThirstyKings,blue,"('Atlas', 'Claude', 'Yve', 'Paquito', 'Yu Zhong')","('Kadita', 'Diggie', 'Arlott', 'Valentina', 'Faramis')",0,20:54,1254,5,2,1,0,bracket
