tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
114,20230505,DreamMax Ice,red,"('Terizla', 'Lancelot', 'Yve', 'Claude', 'Grock')","('Gloo', 'Wanwan', 'Martis', 'Kadita', 'Pharsa')",1,S11 Gaming,blue,"('Khufra', 'Melissa', 'Xavier', 'Joy', 'Lapu-Lapu')","('Hilda', 'Franco', 'Kaja', 'Valentina', 'Arlott')",0,24:09,1449,3,1,0,0,bracket
114,20230505,DreamMax Ice,blue,"('Gloo', 'Hayabusa', 'Lunox', 'Brody', 'Franco')","('Arlott', 'Melissa', 'Martis', 'Fredrinn', 'Atlas')",0,S11 Gaming,red,"('Lolita', 'Claude', 'Yve', 'Lancelot', 'Joy')","('Valentina', 'Kadita', 'Wanwan', 'Faramis', 'Kaja')",1,23:42,1422,3,2,1,0,bracket
114,20230505,DreamMax Ice,blue,"('Gloo', 'Fredrinn', 'Joy', 'Claude', 'Chou')","('Lancelot', 'Yve', 'Fanny', 'Beatrix', 'Lesley')",0,S11 Gaming,red,"('Grock', 'Melissa', 'Faramis', 'Martis', 'Lapu-Lapu')","('Akai', 'Valentina', 'Wanwan', 'Arlott', 'Kaja')",1,24:36,1476,3,3,1,1,bracket
114,20230505,Íntimos,red,"('Esmeralda', 'Lancelot', 'Valentina', 'Melissa', 'Lolita')","('Claude', 'Joy', 'Gloo', 'Hanzo', 'Fanny')",1,S11 Gaming,blue,"('Grock', 'Beatrix', 'Yve', 'Fredrinn', 'Lapu-Lapu')","('Yu Zhong', 'Hilda', 'Wanwan', 'Kaja', 'Arlott')",0,14:21,861,3,1,0,0,bracket
114,20230505,Íntimos,blue,"('Esmeralda', 'Joy', 'Valentina', 'Karrie', 'Khufra')","('Claude', 'Kaja', 'Gloo', 'Xavier', 'Pharsa')",1,S11 Gaming,red,"('Grock', 'Brody', 'Kadita', 'Lancelot', 'Lapu-Lapu')","('Fredrinn', 'Hilda', 'Melissa', 'Wanwan', 'Arlott')",0,25:10,1510,3,2,1,0,bracket
114,20230505,New Wave Arg,blue,"('Lapu-Lapu', 'Grock', 'Pharsa', 'Beatrix', 'Kaja')","('Valentina', 'Gloo', 'Wanwan', 'Yu Zhong', 'Khufra')",1,Warriors Team,red,"('Mathilda', 'Claude', 'Yve', 'Fredrinn', 'Terizla')","('Akai', 'Karrie', 'Arlott', 'Melissa', 'Joy')",0,20:53,1253,3,1,0,0,bracket
114,20230505,New Wave Arg,red,"('Arlott', 'Lancelot', 'Faramis', 'Karrie', 'Lolita')","('Joy', 'Wanwan', 'Melissa', 'Khufra', 'Martis')",1,Warriors Team,blue,"('Ruby', 'Brody', 'Valentina', 'Karina', 'Gloo')","('Grock', 'Akai', 'Yve', 'Lapu-Lapu', 'Kaja')",0,20:37,1237,3,2,1,0,bracket
114,20230505,Infamous,red,"('Lapu-Lapu', 'Helcurt', 'Valentina', 'Clint', 'Khufra')","('Melissa', 'Wanwan', 'Gloo', 'Grock', 'Brody')",1,New Wave Arg,blue,"('Kaja', 'Karrie', 'Kadita', 'Martis', 'Arlott')","('Franco', 'Akai', 'Joy', 'Yve', 'Pharsa')",0,13:28,808,3,1,0,0,bracket
114,20230505,Infamous,blue,"('Joy', 'Hayabusa', 'Yve', 'Brody', 'Grock')","('Faramis', 'Kaja', 'Valentina', 'Akai', 'Franco')",1,New Wave Arg,red,"('Chou', 'Karrie', 'Pharsa', 'Fanny', 'Arlott')","('Beatrix', 'Helcurt', 'Gloo', 'Wanwan', 'Melissa')",0,12:02,722,3,2,1,0,bracket
114,20230506,Íntimos,blue,"('Gloo', 'Lancelot', 'Faramis', 'Moskov', 'Khufra')","('Yve', 'Valentina', 'Kaja', 'Beatrix', 'Brody')",1,Infamous,red,"('Franco', 'Hanabi', 'Pharsa', 'Fredrinn', 'Lapu-Lapu')","('Karrie', 'Claude', 'Joy', 'Wanwan', 'Melissa')",0,17:10,1030,5,1,0,0,bracket
