tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
116,20230428,New Wave Colombia,blue,"('Terizla', 'Fredrinn', 'Valentina', 'Beatrix', 'Lolita')","('Lancelot', 'Kaja', 'Gloo', 'Minotaur', 'Khufra')",1,MTY Esports,red,"('Atlas', 'Karrie', 'Faramis', 'Martis', 'Lapu-Lapu')","('Diggie', 'Grock', 'Joy', 'Arlott', 'Melissa')",0,13:30,810,3,1,0,0,bracket
116,20230428,New Wave Colombia,red,"('Arlott', 'Fredrinn', 'Yve', 'Moskov', 'Akai')","('Kaja', 'Joy', 'Gloo', 'Karrie', 'Lapu-Lapu')",1,MTY Esports,blue,"('Grock', 'Beatrix', 'Kadita', 'Lancelot', 'Yu Zhong')","('Khufra', 'Lolita', 'Faramis', 'Valentina', 'Melissa')",0,14:08,848,3,2,1,0,bracket
116,20230428,IGNIS Esports,red,"('Arlott', 'Martis', 'Cecilion', 'Karrie', 'Gloo')","('Valentina', 'Fredrinn', 'Minsitthar', 'Lolita', 'Hayabusa')",0,New Wave Colombia,blue,"('Khufra', 'Beatrix', 'Yve', 'Akai', 'Joy')","('Grock', 'Lancelot', 'Faramis', 'Wanwan', 'Kaja')",1,17:33,1053,3,1,0,0,bracket
116,20230428,IGNIS Esports,blue,"('Benedetta', 'Barats', 'Faramis', 'Beatrix', 'Grock')","('Valentina', 'Joy', 'Arlott', 'Lolita', 'Akai')",0,New Wave Colombia,red,"('Atlas', 'Melissa', 'Yve', 'Fredrinn', 'Lapu-Lapu')","('Lancelot', 'Yu Zhong', 'Gloo', 'Wanwan', 'Kaja')",1,19:17,1157,3,2,0,1,bracket
116,20230428,GMX Colombia,blue,"('Arlott', 'Fredrinn', 'Cecilion', 'Lesley', 'Kaja')","('Harith', 'Faramis', 'Lapu-Lapu', 'Valir', 'Lolita')",0,Skull Cracker,red,"('Grock', 'Claude', 'Valentina', 'X.Borg', 'Gloo')","('Minotaur', 'Irithel', 'Joy', 'Minsitthar', 'Martis')",1,22:05,1325,3,1,0,0,bracket
116,20230428,GMX Colombia,red,"('Fredrinn', 'Barats', 'Yve', 'Claude', 'Kaja')","('Joy', 'Harith', 'Lapu-Lapu', 'Minsitthar', 'Beatrix')",0,Skull Cracker,blue,"('Minotaur', 'Claude', 'Valentina', 'Akai', 'Yu Zhong')","('Esmeralda', 'Gloo', 'Martis', 'Minsitthar', 'Arlott')",1,17:41,1061,3,2,0,1,bracket
116,20230428,ESTORM,blue,"('Joy', 'Akai', 'Xavier', 'Claude', 'Lolita')","('Harith', 'Valentina', 'Faramis', 'Melissa', 'Lesley')",1,Skull Cracker,red,"('Minotaur', 'Karrie', 'Yve', 'Lancelot', 'Minsitthar')","('Diggie', 'Franco', 'Arlott', 'Grock', 'Pharsa')",0,17:05,1025,3,1,0,0,bracket
116,20230428,ESTORM,red,"('Lapu-Lapu', 'Martis', 'Yve', 'Claude', 'Lolita')","('Joy', 'Valentina', 'Harith', 'Lancelot', 'Minotaur')",1,Skull Cracker,blue,"('Kaja', 'Beatrix', 'Pharsa', 'Hayabusa', 'Yu Zhong')","('Barats', 'Fredrinn', 'Akai', 'Grock', 'Arlott')",0,22:10,1330,3,2,1,0,bracket
116,20230429,New Wave Colombia,red,"('Arlott', 'Fredrinn', 'Cecilion', 'Claude', 'Grock')","('Wanwan', 'Kaja', 'Faramis', 'Yu Zhong', 'Lolita')",1,ESTORM,blue,"('Franco', 'Melissa', 'Pharsa', 'Akai', 'Gloo')","('Hayabusa', 'Lancelot', 'Joy', 'Yve', 'Valentina')",0,19:12,1152,5,1,0,0,bracket
116,20230429,New Wave Colombia,blue,"('Fredrinn', 'Hayabusa', 'Yve', 'Melissa', 'Akai')","('Wanwan', 'Kaja', 'Gloo', 'Cecilion', 'X.Borg')",0,ESTORM,red,"('Grock', 'Claude', 'Xavier', 'Martis', 'Lapu-Lapu')","('Yu Zhong', 'Lolita', 'Arlott', 'Joy', 'Valentina')",1,22:45,1365,5,2,1,0,bracket
