tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
117,20230419,Bren Euphoria,red,"('Arlott', 'Fredrinn', 'Yve', 'Claude', 'Khufra')","('Joy', 'Wanwan', 'Faramis', 'Pharsa', 'Kaja')",1,MHRLK Esports,blue,"('Grock', 'Beatrix', 'Kagura', 'Lancelot', 'Gloo')","('Ling', 'Martis', 'Fanny', 'Valentina', 'Kadita')",0,21:28,1288,3,1,0,0,bracket
117,20230419,Bren Euphoria,blue,"('Esmeralda', 'Fredrinn', 'Yve', 'Wanwan', 'Grock')","('Kadita', 'Valentina', 'Gloo', 'Ling', 'Fanny')",1,MHRLK Esports,red,"('Lolita', 'Beatrix', 'Faramis', 'Karina', 'Phoveus')","('Khufra', 'Franco', 'Arlott', 'Kaja', 'Joy')",0,15:06,906,3,2,1,0,bracket
117,20230419,GameLab,red,"('Grock', 'Lancelot', 'Valentina', 'Claude', 'Khufra')","('Joy', 'Wanwan', 'Gloo', 'Chou', 'Diggie')",1,GPX,blue,"('Lolita', 'Melissa', 'Pharsa', 'Fanny', 'Terizla')","('Atlas', 'Masha', 'Arlott', 'Kaja', 'Faramis')",0,23:24,1404,3,1,0,0,bracket
117,20230419,GameLab,blue,"('Fredrinn', 'Fanny', 'Faramis', 'Claude', 'Lolita')","('Gloo', 'Yve', 'Kaja', 'Martis', 'Akai')",1,GPX,red,"('Khufra', 'Brody', 'Pharsa', 'Lancelot', 'Grock')","('Diggie', 'Masha', 'Arlott', 'Wanwan', 'Joy')",0,17:47,1067,3,2,1,0,bracket
117,20230420,Bren Euphoria,blue,"('Gloo', 'Fredrinn', 'Faramis', 'Karrie', 'Ruby')","('Kaja', 'Valentina', 'Fanny', 'Melissa', 'Khufra')",1,GameLab,red,"('Grock', 'Brody', 'Yve', 'Lancelot', 'Arlott')","('Beatrix', 'Claude', 'Wanwan', 'Joy', 'Kadita')",0,24:22,1462,3,1,0,0,bracket
117,20230420,Bren Euphoria,red,"('Gloo', 'Fanny', 'Kagura', 'Karrie', 'Khufra')","('Wanwan', 'Joy', 'Arlott', 'Grock', 'Brody')",1,GameLab,blue,"('Kaja', 'Moskov', 'Yve', 'Lancelot', 'Fredrinn')","('Claude', 'Pharsa', 'Valentina', 'Faramis', 'Kadita')",0,26:09,1569,3,2,1,0,bracket
117,20230420,MHRLK Esports,blue,"('Arlott', 'Ling', 'Faramis', 'Harith', 'Kaja')","('Kadita', 'Fanny', 'Valentina', 'Khufra', 'Gloo')",0,GPX,red,"('Grock', 'Melissa', 'Pharsa', 'Lancelot', 'Terizla')","('Paquito', 'Claude', 'Beatrix', 'Wanwan', 'Joy')",1,21:22,1282,3,1,0,0,bracket
117,20230420,MHRLK Esports,blue,"('Arlott', 'Martis', 'Yve', 'Melissa', 'Chou')","('Fanny', 'Kadita', 'Pharsa', 'Kagura', 'Claude')",0,GPX,red,"('Kaja', 'Moskov', 'Valentina', 'Lancelot', 'Gloo')","('Estes', 'Khufra', 'Wanwan', 'Beatrix', 'Joy')",1,23:29,1409,3,2,0,1,bracket
117,20230420,GameLab,red,"('Benedetta', 'Lancelot', 'Faramis', 'Karrie', 'Lolita')","('Joy', 'Wanwan', 'Gloo', 'Martis', 'Akai')",1,GPX,blue,"('Grock', 'Claude', 'Valentina', 'Hayabusa', 'Yu Zhong')","('Diggie', 'Khufra', 'Fanny', 'Arlott', 'Kaja')",0,14:23,863,3,1,0,0,bracket
117,20230420,GameLab,blue,"('Benedetta', 'Fanny', 'Faramis', 'Claude', 'Grock')","('Gloo', 'Kaja', 'Yve', 'Brody', 'Terizla')",1,GPX,red,"('Lolita', 'Beatrix', 'Valentina', 'Lancelot', 'Minsitthar')","('Karrie', 'Melissa', 'Arlott', 'Wanwan', 'Joy')",0,18:55,1135,3,2,1,0,bracket
