tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
118,20230407,BURN x FLASH,blue,"('Gloo', 'Akai', 'Pharsa', 'Claude', 'Floryn')","('Kaja', 'Valentina', 'Kadita', 'Ling', 'Hayabusa')",1,Impunity KH,red,"('Minotaur', 'Karrie', 'Yve', 'Lancelot', 'Fredrinn')","('Martis', 'Franco', 'Wanwan', 'Arlott', 'Joy')",0,12:12,732,5,1,0,0,bracket
118,20230407,BURN x FLASH,blue,"('Gloo', 'Lancelot', 'Yve', 'Claude', 'Grock')","('Kaja', 'Valentina', 'Kadita', 'Ling', 'Hayabusa')",1,Impunity KH,red,"('Faramis', 'Lesley', 'Lylia', 'Fredrinn', 'Lapu-Lapu')","('Floryn', 'Estes', 'Wanwan', 'Arlott', 'Joy')",0,15:08,908,5,2,1,0,bracket
118,20230407,BURN x FLASH,red,"('Arlott', 'Martis', 'Pharsa', 'Beatrix', 'Minsitthar')","('Kaja', 'Wanwan', 'Valentina', 'Fredrinn', 'Yu Zhong')",0,Impunity KH,blue,"('Grock', 'Claude', 'Kadita', 'Joy', 'Gloo')","('Brody', 'Lesley', 'Franco', 'Faramis', 'Yve')",1,18:39,1119,5,3,2,0,bracket
118,20230407,BURN x FLASH,blue,"('Arlott', 'Fredrinn', 'Faramis', 'Karrie', 'Natalia')","('Kaja', 'Kadita', 'Valentina', 'Grock', 'Hayabusa')",1,Impunity KH,red,"('Lolita', 'Claude', 'Pharsa', 'Lancelot', 'Edith')","('Floryn', 'Estes', 'Gloo', 'Wanwan', 'Joy')",0,14:14,854,5,4,2,1,bracket
118,20230408,See You Soon,blue,"('Arlott', 'Martis', 'Julian', 'Melissa', 'Edith')","('Yve', 'Faramis', 'Diggie', 'Grock', 'Atlas')",1,BURN x FLASH,red,"('Estes', 'Claude', 'Valentina', 'Fredrinn', 'Gloo')","('Franco', 'Pharsa', 'Wanwan', 'Joy', 'Kaja')",0,11:33,693,5,1,0,0,bracket
118,20230408,See You Soon,red,"('Arlott', 'Fredrinn', 'Lunox', 'Karrie', 'Diggie')","('Yve', 'Valentina', 'Pharsa', 'Xavier', 'Lylia')",1,BURN x FLASH,blue,"('Mathilda', 'Wanwan', 'Phoveus', 'Martis', 'Gloo')","('Minsitthar', 'Lolita', 'Joy', 'Faramis', 'Kaja')",0,15:11,911,5,2,1,0,bracket
118,20230408,See You Soon,blue,"('Benedetta', 'Fredrinn', 'Faramis', 'Karrie', 'Grock')","('Yve', 'Valentina', 'Fanny', 'Diggie', 'Akai')",1,BURN x FLASH,red,"('Atlas', 'Claude', 'Pharsa', 'Lancelot', 'Gloo')","('Kaja', 'Terizla', 'Wanwan', 'Joy', 'Arlott')",0,18:52,1132,5,3,2,0,bracket
118,20230407,PRO Esports,blue,"('Minsitthar', 'Martis', 'Yve', 'Melissa', 'Grock')","('Fanny', 'Minotaur', 'Edith', 'Wanwan', 'Valentina')",1,Team Max,red,"('Chou', 'Arlott', 'Joy', 'Harith', 'Lapu-Lapu')","('Diggie', 'Natalia', 'Kaja', 'Pharsa', 'Kadita')",0,15:13,913,5,1,0,0,bracket
118,20230407,PRO Esports,blue,"('Gloo', 'Baxia', 'Yve', 'Melissa', 'Estes')","('Fanny', 'Minotaur', 'Edith', 'Hayabusa', 'Lancelot')",1,Team Max,red,"('Diggie', 'Brody', 'Valentina', 'Ling', 'Lapu-Lapu')","('Martis', 'Franco', 'Joy', 'Kaja', 'Pharsa')",0,15:18,918,5,2,1,0,bracket
118,20230407,PRO Esports,red,"('Lapu-Lapu', 'Akai', 'Valentina', 'Karrie', 'Kaja')","('Fanny', 'Minotaur', 'Edith', 'Wanwan', 'Joy')",1,Team Max,blue,"('Grock', 'Claude', 'Faramis', 'Helcurt', 'Arlott')","('Fredrinn', 'Martis', 'Pharsa', 'Yve', 'Melissa')",0,11:12,672,5,3,2,0,bracket
118,20230408,CFU Gaming,blue,"('Gloo', 'Martis', 'Faramis', 'Melissa', 'Kaja')","('Yve', 'Pharsa', 'Claude', 'Franco', 'Lapu-Lapu')",1,PRO Esports,red,"('Lolita', 'Moskov', 'Valentina', 'Fredrinn', 'Terizla')","('Diggie', 'Estes', 'Barats', 'Akai', 'Arlott')",0,14:41,881,5,1,0,0,bracket
118,20230408,CFU Gaming,blue,"('Joy', 'Fredrinn', 'Valentina', 'Beatrix', 'Estes')","('Yve', 'Pharsa', 'Claude', 'Alice', 'Martis')",0,PRO Esports,red,"('Kaja', 'Karrie', 'Kadita', 'Lancelot', 'Gloo')","('Wanwan', 'Diggie', 'Melissa', 'Faramis', 'Arlott')",1,16:07,967,5,2,1,0,bracket
118,20230408,CFU Gaming,red,"('Gloo', 'Fredrinn', 'Lylia', 'Claude', 'Diggie')","('Yve', 'Pharsa', 'Faramis', 'Lancelot', 'Alice')",0,PRO Esports,blue,"('Kaja', 'Melissa', 'Kadita', 'Akai', 'Lapu-Lapu')","('Lunox', 'Xavier', 'Joy', 'Valentina', 'Arlott')",1,13:05,785,5,3,1,1,bracket
118,20230408,CFU Gaming,blue,"('Grock', 'Martis', 'Valentina', 'Wanwan', 'Lolita')","('Yve', 'Pharsa', 'Gloo', 'Lancelot', 'Akai')",1,PRO Esports,red,"('Kaja', 'Claude', 'Kadita', 'Joy', 'Lapu-Lapu')","('Diggie', 'Ruby', 'Melissa', 'Faramis', 'Arlott')",0,13:58,838,5,4,1,2,bracket
118,20230408,CFU Gaming,red,"('Joy', 'Fredrinn', 'Valentina', 'Claude', 'Grock')","('Yve', 'Melissa', 'Gloo', 'Karrie', 'Brody')",1,PRO Esports,blue,"('Kaja', 'Lesley', 'Pharsa', 'Lancelot', 'Khaleed')","('Martis', 'Lolita', 'Wanwan', 'Faramis', 'Arlott')",0,16:47,1007,5,5,2,2,bracket
118,20230409,See You Soon,red,"('Yu Zhong', 'Fredrinn', 'Faramis', 'Wanwan', 'Grock')","('Valentina', 'Claude', 'Kaja', 'Irithel', 'Beatrix')",1,CFU Gaming,blue,"('Lolita', 'Karrie', 'Pharsa', 'Martis', 'Arlott')","('Franco', 'Gloo', 'Joy', 'Melissa', 'Yve')",0,26:13,1573,5,1,0,0,bracket
118,20230409,See You Soon,red,"('Arlott', 'Fredrinn', 'Julian', 'Beatrix', 'Edith')","('Valentina', 'Claude', 'Martis', 'Yu Zhong', 'Barats')",0,CFU Gaming,blue,"('Kaja', 'Melissa', 'Faramis', 'Dyrroth', 'Grock')","('Xavier', 'Pharsa', 'Joy', 'Yve', 'Gloo')",1,10:20,620,5,2,1,0,bracket
118,20230409,See You Soon,blue,"('Yu Zhong', 'Fredrinn', 'Faramis', 'Beatrix', 'Grock')","('Valentina', 'Claude', 'Arlott', 'Xavier', 'Masha')",1,CFU Gaming,red,"('Kaja', 'Melissa', 'Lunox', 'Barats', 'Lapu-Lapu')","('Wanwan', 'Karrie', 'Gloo', 'Yve', 'Joy')",0,18:08,1088,5,3,1,1,bracket
118,20230409,See You Soon,red,"('Joy', 'Alice', 'Xavier', 'Melissa', 'Grock')","('Valentina', 'Claude', 'Martis', 'Wanwan', 'Karrie')",0,CFU Gaming,blue,"('Kaja', 'Beatrix', 'Faramis', 'Fredrinn', 'Benedetta')","('Barats', 'Akai', 'Arlott', 'Yu Zhong', 'Yve')",1,14:01,841,5,4,2,1,bracket
118,20230409,See You Soon,blue,"('Gloo', 'Martis', 'Faramis', 'Beatrix', 'Grock')","('Kaja', 'Claude', 'Valentina', 'Lolita', 'Diggie')",0,CFU Gaming,red,"('Estes', 'Melissa', 'Yve', 'Fredrinn', 'Benedetta')","('Karrie', 'Wanwan', 'Joy', 'Arlott', 'Yu Zhong')",1,11:07,667,5,5,2,2,bracket
118,20230422,PRO Esports,red,"('Minsitthar', 'Grock', 'Pharsa', 'Karrie', 'Franco')","('Diggie', 'Wanwan', 'Gloo', 'Brody', 'Estes')",0,BURN x FLASH,blue,"('Lolita', 'Claude', 'Valentina', 'Fredrinn', 'Joy')","('Arlott', 'Lancelot', 'Melissa', 'Kadita', 'Kaja')",1,11:44,704,5,1,0,0,bracket
118,20230422,PRO Esports,red,"('Gloo', 'Akai', 'Lylia', 'Claude', 'Grock')","('Joy', 'Diggie', 'Wanwan', 'Lesley', 'Franco')",1,BURN x FLASH,blue,"('Estes', 'Karrie', 'Yve', 'Fredrinn', 'Arlott')","('Pharsa', 'Valentina', 'Kadita', 'Melissa', 'Kaja')",0,17:18,1038,5,2,0,1,bracket
118,20230422,PRO Esports,blue,"('Benedetta', 'Akai', 'Yve', 'Melissa', 'Natalia')","('Diggie', 'Joy', 'Wanwan', 'Lancelot', 'Hayabusa')",0,BURN x FLASH,red,"('Grock', 'Beatrix', 'Pharsa', 'Paquito', 'Gloo')","('Arlott', 'Terizla', 'Kadita', 'Valentina', 'Claude')",1,32:48,1968,5,3,1,1,bracket
118,20230422,PRO Esports,red,"('Lapu-Lapu', 'Akai', 'Pharsa', 'Karrie', 'Kaja')","('Joy', 'Wanwan', 'Diggie', 'Atlas', 'Melissa')",0,BURN x FLASH,blue,"('Khufra', 'Lesley', 'Yve', 'Lancelot', 'Gloo')","('Valentina', 'Benedetta', 'Claude', 'Kadita', 'Grock')",1,19:32,1172,5,4,1,2,bracket
118,20230422,See You Soon,blue,"('Lapu-Lapu', 'Akai', 'Faramis', 'Karrie', 'Kaja')","('Yve', 'Valentina', 'Diggie', 'Atlas', 'Lolita')",1,BURN x FLASH,red,"('Grock', 'Wanwan', 'Pharsa', 'Lancelot', 'Fredrinn')","('Yu Zhong', 'Minsitthar', 'Gloo', 'Joy', 'Arlott')",0,16:11,971,5,1,0,0,bracket
118,20230422,See You Soon,red,"('Grock', 'Fredrinn', 'Lylia', 'Wanwan', 'Hilda')","('Yve', 'Valentina', 'Pharsa', 'Akai', 'Xavier')",0,BURN x FLASH,blue,"('Diggie', 'Melissa', 'Gloo', 'Paquito', 'Joy')","('Benedetta', 'Lunox', 'Faramis', 'Arlott', 'Kaja')",1,16:55,1015,5,2,1,0,bracket
118,20230422,See You Soon,blue,"('Yu Zhong', 'Joy', 'Pharsa', 'Beatrix', 'Khufra')","('Yve', 'Valentina', 'Diggie', 'Franco', 'Fredrinn')",1,BURN x FLASH,red,"('Atlas', 'Wanwan', 'Faramis', 'Akai', 'Gloo')","('Grock', 'Lolita', 'Melissa', 'Arlott', 'Kaja')",0,15:45,945,5,3,1,1,bracket
118,20230422,See You Soon,blue,"('Lapu-Lapu', 'Joy', 'Pharsa', 'Beatrix', 'Grock')","('Yve', 'Valentina', 'Diggie', 'Gloo', 'Akai')",0,BURN x FLASH,red,"('Franco', 'Wanwan', 'Faramis', 'Lancelot', 'Yu Zhong')","('Khufra', 'Lolita', 'Melissa', 'Arlott', 'Kaja')",1,15:10,910,5,4,2,1,bracket
118,20230422,See You Soon,red,"('Gloo', 'Hayabusa', 'Pharsa', 'Beatrix', 'Khufra')","('Yve', 'Diggie', 'Joy', 'Grock', 'Atlas')",0,BURN x FLASH,blue,"('Franco', 'Wanwan', 'Valentina', 'Lancelot', 'Yu Zhong')","('Karrie', 'Melissa', 'Faramis', 'Arlott', 'Kaja')",1,14:08,848,5,5,2,2,bracket
118,20230423,CFU Gaming,blue,"('Grock', 'Barats', 'Xavier', 'Melissa', 'Estes')","('Yve', 'Pharsa', 'Wanwan', 'Lancelot', 'Akai')",0,BURN x FLASH,red,"('Atlas', 'Claude', 'Faramis', 'Martis', 'Gloo')","('Fredrinn', 'Benedetta', 'Joy', 'Valentina', 'Arlott')",1,26:34,1594,7,1,0,0,bracket
118,20230423,CFU Gaming,blue,"('Benedetta', 'Martis', 'Faramis', 'Brody', 'Kaja')","('Yve', 'Gloo', 'Wanwan', 'Yu Zhong', 'Lapu-Lapu')",0,BURN x FLASH,red,"('Lolita', 'Melissa', 'Pharsa', 'Lancelot', 'Esmeralda')","('Beatrix', 'Claude', 'Joy', 'Valentina', 'Arlott')",1,14:41,881,7,2,0,1,bracket
118,20230423,CFU Gaming,red,"('Grock', 'Akai', 'Faramis', 'Beatrix', 'Kaja')","('Wanwan', 'Gloo', 'Yve', 'Khufra', 'Atlas')",1,BURN x FLASH,blue,"('Lolita', 'Claude', 'Joy', 'Lancelot', 'Yu Zhong')","('Martis', 'Fredrinn', 'Arlott', 'Melissa', 'Valentina')",0,17:37,1057,7,3,0,2,bracket
118,20230423,CFU Gaming,blue,"('Grock', 'Fredrinn', 'Valentina', 'Melissa', 'Lolita')","('Yve', 'Wanwan', 'Gloo', 'Claude', 'Karrie')",0,BURN x FLASH,red,"('Kaja', 'Beatrix', 'Lylia', 'Lancelot', 'Joy')","('Estes', 'Benedetta', 'Pharsa', 'Faramis', 'Arlott')",1,17:03,1023,7,4,1,2,bracket
118,20230423,CFU Gaming,blue,"('Grock', 'Lancelot', 'Lunox', 'Wanwan', 'Lolita')","('Yve', 'Gloo', 'Valentina', 'Akai', 'Khufra')",0,BURN x FLASH,red,"('Diggie', 'Beatrix', 'Pharsa', 'Paquito', 'Joy')","('Benedetta', 'Franco', 'Arlott', 'Faramis', 'Kaja')",1,16:14,974,7,5,1,3,bracket
118,20230409,Impunity KH,blue,"('Gloo', 'Fredrinn', 'Valentina', 'Lesley', 'Chou')","('Fanny', 'Melissa', 'Edith', 'Wanwan', 'Grock')",1,Team Max,red,"('Minotaur', 'Claude', 'Faramis', 'Martis', 'Arlott')","('Lancelot', 'Diggie', 'Kaja', 'Joy', 'Kadita')",0,15:00,900,5,1,0,0,bracket
118,20230409,Impunity KH,blue,"('Fredrinn', 'Joy', 'Valentina', 'Claude', 'Chou')","('Fanny', 'Melissa', 'Edith', 'Wanwan', 'Minotaur')",1,Team Max,red,"('Khufra', 'Brody', 'Pharsa', 'Lancelot', 'Grock')","('Karrie', 'Arlott', 'Kaja', 'Gloo', 'Kadita')",0,18:51,1131,5,2,1,0,bracket
118,20230409,Impunity KH,red,"('Arlott', 'Martis', 'Valentina', 'Claude', 'Kaja')","('Fanny', 'Joy', 'Wanwan', 'Edith', 'Helcurt')",1,Team Max,blue,"('Diggie', 'Melissa', 'Faramis', 'Fredrinn', 'Terizla')","('Lancelot', 'Ling', 'Pharsa', 'Gloo', 'Kadita')",0,17:41,1061,5,3,2,0,bracket
118,20230304,BURN x FLASH,red,"('Lapu-Lapu', 'Aamon', 'Faramis', 'Karrie', 'Chou')","('Wanwan', 'Kaja', 'Joy', 'Benedetta', 'Yu Zhong')",0,ZD Gaming,blue,"('Lolita', 'Brody', 'Valentina', 'Fredrinn', 'Terizla')","('Hayabusa', 'Gloo', 'Yve', 'Hayabusa')",1,14:13,853,3,1,0,0,qualifiers
118,20230304,BURN x FLASH,blue,"('Joy', 'Ling', 'Pharsa', 'Lesley', 'Khufra')","('Fredrinn', 'Valentina', 'Faramis', 'Kadita')",1,ZD Gaming,red,"('Kaja', 'Brody', 'Xavier', 'Martis', 'Lapu-Lapu')","('Grock', 'Atlas', 'Gloo', 'Yve', 'Wanwan')",0,17:09,1029,3,2,0,1,qualifiers
118,20230304,Team Max,red,"('Yu Zhong', 'Hayabusa', 'Yve', 'Claude', 'Grock')","('Joy', 'Gloo', 'Wanwan', 'Diggie', 'Lapu-Lapu')",0,CFU Gaming,blue,"('Lolita', 'Brody', 'Valentina', 'Fredrinn', 'Arlott')","('Khufra', 'Atlas', 'Kaja', 'Faramis', 'Fanny')",1,13:22,802,3,1,0,0,qualifiers
118,20230304,Team Max,red,"('Benedetta', 'Fredrinn', 'Valentina', 'Karrie', 'Atlas')","('Joy', 'Wanwan', 'Diggie', 'Yve', 'Pharsa')",0,CFU Gaming,blue,"('Lolita', 'Brody', 'Lunox', 'Hayabusa', 'Gloo')","('Moskov', 'Claude', 'Kaja', 'Faramis', 'Fanny')",1,16:58,1018,3,2,0,1,qualifiers
118,20230304,Logic Esports,blue,"('Gloo', 'Yin', 'Yve', 'Brody', 'Khufra')","('Kaja', 'Faramis', 'Fredrinn', 'Barats', 'Yu Zhong')",0,See You Soon,red,"('Lolita', 'Claude', 'Valentina', 'Arlott', 'Terizla')","('Ling', 'Martis', 'Fanny', 'Wanwan', 'Joy')",1,15:53,953,3,1,0,0,qualifiers
