tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
119,20230421,Blacklist Academy,blue,"('Martis', 'Baxia', 'Pharsa', 'Beatrix', 'Kaja')","('Faramis', 'Arlott', 'Lancelot', 'Claude', 'Hayabusa')",1,RSG Ignite,red,"('Khufra', 'Karrie', 'Valentina', 'Fredrinn', 'Lapu-Lapu')","('Benedetta', 'Paquito', 'Joy', 'Gloo', 'Wanwan')",0,27:45,1665,3,1,0,0,bracket
119,20230421,Blacklist Academy,red,"('Paquito', 'Lancelot', 'Yve', 'Karrie', 'Franco')","('Wanwan', 'Joy', 'Gloo', 'Hayabusa', 'Helcurt')",1,RSG Ignite,blue,"('Atlas', 'Claude', 'Valentina', 'Akai', 'Arlott')","('Diggie', 'Lesley', 'Fredrinn', 'Kaja', 'Faramis')",0,15:15,915,3,2,1,0,bracket
119,20230422,GameLab,red,"('Arlott', 'Helcurt', 'Yve', 'Karrie', 'Khufra')","('Joy', 'Wanwan', 'Gloo', 'Claude', 'Franco')",1,Blacklist Academy,blue,"('Ruby', 'Harith', 'Pharsa', 'Lancelot', 'Paquito')","('Grock', 'Hayabusa', 'Kaja', 'Faramis', 'Fanny')",0,14:16,856,3,1,0,0,bracket
119,20230422,GameLab,red,"('Arlott', 'Ling', 'Yve', 'Karrie', 'Khufra')","('Joy', 'Wanwan', 'Gloo', 'Claude', 'Franco')",1,Blacklist Academy,blue,"('Chou', 'Harith', 'Pharsa', 'Lancelot', 'Paquito')","('Helcurt', 'Hayabusa', 'Kaja', 'Faramis', 'Fanny')",0,21:23,1283,3,2,1,0,bracket
119,20230421,Bren Euphoria,blue,"('Joy', 'Ling', 'Faramis', 'Beatrix', 'Khufra')","('Kadita', 'Kaja', 'Wanwan', 'Minsitthar', 'Franco')",1,Omega Neos,red,"('Masha', 'Harith', 'Yve', 'Lancelot', 'Gloo')","('Claude', 'Karrie', 'Valentina', 'Fanny', 'Fredrinn')",0,13:27,807,3,1,0,0,bracket
119,20230421,Bren Euphoria,red,"('Benedetta', 'Lancelot', 'Faramis', 'Melissa', 'Khufra')","('Joy', 'Arlott', 'Wanwan', 'Harith', 'Karina')",0,Omega Neos,blue,"('Kaja', 'Brody', 'Yve', 'Helcurt', 'Gloo')","('Beatrix', 'Karrie', 'Valentina', 'Fredrinn', 'Fanny')",1,24:14,1454,3,2,1,0,bracket
119,20230421,Bren Euphoria,blue,"('Joy', 'Ling', 'Faramis', 'Claude', 'Khufra')","('Kadita', 'Kaja', 'Wanwan', 'Franco', 'Minsitthar')",1,Omega Neos,red,"('Jawhead', 'Harith', 'Yve', 'Lancelot', 'Gloo')","('Beatrix', 'Karrie', 'Valentina', 'Fanny', 'Fredrinn')",0,25:50,1550,3,3,1,1,bracket
119,20230422,ECHO Proud,blue,"('Arlott', 'Lancelot', 'Kagura', 'Karrie', 'Franco')","('Faramis', 'Gloo', 'Fredrinn', 'Fanny', 'Ling')",1,Bren Euphoria,red,"('Khufra', 'Harith', 'Valentina', 'Helcurt', 'Joy')","('Yve', 'Hayabusa', 'Kadita', 'Kaja', 'Wanwan')",0,22:33,1353,3,1,0,0,bracket
119,20230422,ECHO Proud,red,"('Arlott', 'Lancelot', 'Valentina', 'Karrie', 'Atlas')","('Faramis', 'Gloo', 'Wanwan', 'Beatrix', 'Khufra')",1,Bren Euphoria,blue,"('Ruby', 'Brody', 'Yve', 'Fredrinn', 'Joy')","('Natalia', 'Helcurt', 'Fanny', 'Kadita', 'Kaja')",0,11:13,673,3,2,1,0,bracket
119,20230423,GameLab,red,"('Phoveus', 'Joy', 'Lunox', 'Karrie', 'Khufra')","('Wanwan', 'Kadita', 'Kaja', 'Franco', 'Natalia')",0,ECHO Proud,blue,"('Lolita', 'Harith', 'Valentina', 'Lancelot', 'Arlott')","('Pharsa', 'Fanny', 'Gloo', 'Faramis', 'Yve')",1,14:52,892,5,1,0,0,bracket
