tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
124,20230208,Bigetron Era,red,"('Terizla', 'Fanny', 'Lunox', 'Moskov', 'Lolita')","('Wanwan', 'Gloo', 'Pharsa', 'Xavier', 'Yve')",1,Grayback Odyssey,blue,"('Diggie', 'Karrie', 'Lylia', 'Fredrinn', 'Lapu-Lapu')","('Kadita', 'Faramis', 'Kaja', 'Hayabusa', 'Joy')",0,11:55,715,3,1,0,0,bracket
124,20230208,Bigetron Era,red,"('Benedetta', 'Fredrinn', 'Kadita', 'Moskov', 'Hilda')","('Wanwan', 'Gloo', 'Xavier', 'Yve', 'Faramis')",1,Grayback Odyssey,blue,"('Lolita', 'Karrie', 'Lunox', 'Hayabusa', 'Joy')","('Ling', 'Valentina', 'Kaja', 'Hayabusa', 'Fanny')",0,10:49,649,3,2,1,0,bracket
124,20230208,Risk Velkhana,blue,"('Lapu-Lapu', 'Hayabusa', 'Selena', 'Beatrix', 'Chou')","('Yve', 'Gloo', 'Fredrinn', 'Lolita', 'Atlas')",1,Impunity Starlets,red,"('Franco', 'Claude', 'Valentina', 'Martis', 'Yu Zhong')","('Joy', 'Kaja', 'Diggie', 'Wanwan', 'Karrie')",0,16:56,1016,3,1,0,0,bracket
124,20230208,Risk Velkhana,red,"('Joy', 'Lancelot', 'Valentina', 'Lesley', 'Lolita')","('Karrie', 'Gloo', 'Barats', 'Martis', 'Yve')",1,Impunity Starlets,blue,"('Franco', 'Beatrix', 'Xavier', 'Ling', 'Lapu-Lapu')","('Harith', 'Fredrinn', 'Selena', 'Hayabusa', 'Wanwan')",0,14:34,874,3,2,1,0,bracket
124,20230212,Bigetron Era,blue,"('Gloo', 'Benedetta', 'Kadita', 'Brody', 'Kaja')","('Hayabusa', 'Faramis', 'Wanwan', 'Lolita', 'Atlas')",1,Risk Velkhana,red,"('Ruby', 'Beatrix', 'Valentina', 'Martis', 'Lapu-Lapu')","('Akai', 'Fredrinn', 'Yve', 'Karrie', 'Joy')",0,13:06,786,3,1,0,0,bracket
124,20230212,Bigetron Era,blue,"('Gloo', 'Martis', 'Lunox', 'Beatrix', 'Kaja')","('Hayabusa', 'Faramis', 'Wanwan', 'Lolita', 'Ruby')",1,Risk Velkhana,red,"('Grock', 'Brody', 'Valentina', 'Ling', 'Lapu-Lapu')","('Fredrinn', 'Benedetta', 'Yve', 'Karrie', 'Joy')",0,13:13,793,3,2,1,0,bracket
124,20230208,Omega Empress,blue,"('Fredrinn', 'Fanny', 'Yve', 'Beatrix', 'Ruby')","('Lapu-Lapu', 'Lolita', 'Valentina', 'Barats', 'Leomord')",1,MDH Phoenix,red,"('Kadita', 'Karrie', 'Pharsa', 'Saber', 'Yu Zhong')","('Joy', 'Atlas', 'Estes', 'Gloo', 'Wanwan')",0,14:12,852,3,1,0,0,bracket
124,20230208,Omega Empress,red,"('Yu Zhong', 'Joy', 'Kadita', 'Beatrix', 'Lolita')","('Valentina', 'Lapu-Lapu', 'Ruby', 'Franco', 'Fredrinn')",1,MDH Phoenix,blue,"('Mathilda', 'Harith', 'Yve', 'Leomord', 'Gloo')","('Terizla', 'Hayabusa', 'Karrie', 'Wanwan', 'Ling')",0,14:30,870,3,2,1,0,bracket
124,20230208,GPX Basreng,red,"('Lapu-Lapu', 'Hayabusa', 'Pharsa', 'Clint', 'Franco')","('Gloo', 'Yve', 'Fredrinn', 'Hilda', 'Karrie')",1,Zeg Iris,blue,"('Khufra', 'Wanwan', 'Cecilion', 'Leomord', 'Terizla')","('Irithel', 'Brody', 'Kadita', 'Lolita', 'Kaja')",0,17:19,1039,3,1,0,0,bracket
124,20230208,GPX Basreng,blue,"('Masha', 'Martis', 'Yve', 'Brody', 'Atlas')","('Khufra', 'Hayabusa', 'Kaja', 'Irithel', 'Claude')",1,Zeg Iris,red,"('Lolita', 'Beatrix', 'Pharsa', 'Fredrinn', 'Esmeralda')","('Karrie', 'Lapu-Lapu', 'Yu Zhong', 'Wanwan', 'Gloo')",0,12:11,731,3,2,1,0,bracket
124,20230212,Omega Empress,blue,"('Yu Zhong', 'Fredrinn', 'Kadita', 'Wanwan', 'Lolita')","('Lapu-Lapu', 'Hayabusa', 'Pharsa', 'Karrie', 'Beatrix')",0,GPX Basreng,red,"('Kaja', 'Brody', 'Faramis', 'Akai', 'Phoveus')","('Joy', 'Xavier', 'Valentina', 'Yve', 'Gloo')",1,24:39,1479,3,1,0,0,bracket
124,20230212,Omega Empress,blue,"('Joy', 'Fredrinn', 'Kadita', 'Beatrix', 'Lolita')","('Phoveus', 'Valentina', 'Faramis', 'Pharsa', 'Lapu-Lapu')",0,GPX Basreng,red,"('Karrie', 'Brody', 'Cecilion', 'Martis', 'Masha')","('Hayabusa', 'Yu Zhong', 'Wanwan', 'Yve', 'Gloo')",1,19:23,1163,3,2,0,1,bracket
124,20230212,Bigetron Era,blue,"('Kaja', 'Fredrinn', 'Lapu-Lapu', 'Xavier', 'Moskov')","('Hayabusa', 'Faramis', 'Wanwan', 'Masha', 'Benedetta')",1,GPX Basreng,red,"('Lolita', 'Karrie', 'Valentina', 'Lunox', 'Terizla')","('Kadita', 'Brody', 'Joy', 'Yve', 'Gloo')",0,11:00,660,5,1,0,0,bracket
124,20230212,Bigetron Era,red,"('Hilda', 'Hanzo', 'Xavier', 'Brody', 'Lolita')","('Gloo', 'Wanwan', 'Yve', 'Masha', 'Franco')",1,GPX Basreng,blue,"('Khufra', 'Karrie', 'Faramis', 'Martis', 'Fredrinn')","('Benedetta', 'Ling', 'Kadita', 'Karrie', 'Joy')",0,14:14,854,5,2,1,0,bracket
124,20230212,Bigetron Era,blue,"('Lapu-Lapu', 'Benedetta', 'Lunox', 'Moskov', 'Kaja')","('Hayabusa', 'Faramis', 'Wanwan', 'Lolita', 'Khufra')",1,GPX Basreng,red,"('Franco', 'Karrie', 'Pharsa', 'Fredrinn', 'Masha')","('Cecilion', 'Kadita', 'Joy', 'Yve', 'Gloo')",0,16:33,993,5,3,2,0,bracket
