tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
126,20230205,AURA Blaze,blue,"('Gloo', 'Ruby', 'Cecilion', 'Moskov', 'Diggie')","('Kaja', 'Valentina', 'Fredrinn', 'Hayabusa', 'Kadita')",0,EVOS Icon,red,"('Franco', 'Karrie', 'Yve', 'Martis', 'Lapu-Lapu')","('Xavier', 'Pharsa', 'Faramis', 'Joy', 'Wanwan')",1,21:04,1264,3,1,0,0,bracket
126,20230205,AURA Blaze,red,"('Hilda', 'Benedetta', 'Faramis', 'Claude', 'Atlas')","('Wanwan', 'Fredrinn', 'Joy', 'Moskov', 'Kadita')",0,EVOS Icon,blue,"('Franco', 'Brody', 'Valentina', 'Akai', 'Gloo')","('Lapu-Lapu', 'Martis', 'Yve', 'Karrie', 'Kaja')",1,12:36,756,3,2,0,1,bracket
126,20230205,Alter Ego X,red,"('Lapu-Lapu', 'Baxia', 'Chou', 'Beatrix', 'Kadita')","('Wanwan', 'Joy', 'Faramis', 'Claude', 'Ruby')",0,EVOS Icon,blue,"('Grock', 'Harith', 'Valentina', 'Fredrinn', 'Yu Zhong')","('Martis', 'Barats', 'Karrie', 'Gloo', 'Kaja')",1,17:07,1027,3,1,0,0,bracket
126,20230205,Alter Ego X,blue,"('Khaleed', 'Akai', 'Kadita', 'Karrie', 'Ruby')","('Kaja', 'Gloo', 'Valentina', 'Diggie', 'Melissa')",1,EVOS Icon,red,"('Grock', 'Harith', 'Yve', 'Fredrinn', 'Yu Zhong')","('Faramis', 'Terizla', 'Lapu-Lapu', 'Joy', 'Wanwan')",0,12:43,763,3,2,0,1,bracket
126,20230205,Alter Ego X,red,"('Lapu-Lapu', 'Akai', 'Valentina', 'Beatrix', 'Lolita')","('Wanwan', 'Joy', 'Yve', 'Claude', 'Lunox')",0,EVOS Icon,blue,"('Kaja', 'Irithel', 'Faramis', 'Fredrinn', 'Yu Zhong')","('Ruby', 'Atlas', 'Kadita', 'Karrie', 'Gloo')",1,18:18,1098,3,3,1,1,bracket
126,20230205,Kagendra,blue,"('Benedetta', 'Baxia', 'Valentina', 'Wanwan', 'Franco')","('Fanny', 'Gloo', 'Karrie', 'Irithel', 'Moskov')",0,Bigetron Beta,red,"('Lolita', 'Melissa', 'Pharsa', 'Ling', 'Joy')","('Akai', 'Karina', 'Lapu-Lapu', 'Kaja', 'Fredrinn')",1,17:38,1058,3,1,0,0,bracket
126,20230205,Kagendra,red,"('Benedetta', 'Karina', 'Yve', 'Karrie', 'Chou')","('Fanny', 'Wanwan', 'Gloo', 'Ling', 'Hayabusa')",0,Bigetron Beta,blue,"('Lolita', 'Melissa', 'Valentina', 'Joy', 'Paquito')","('Khufra', 'Franco', 'Lapu-Lapu', 'Kaja', 'Fredrinn')",1,11:00,660,3,2,0,1,bracket
126,20230205,RRQ Sena,red,"('Benedetta', 'Fredrinn', 'Xavier', 'Karrie', 'Ruby')","('Wanwan', 'Fanny', 'Joy', 'Ling', 'Hayabusa')",0,Bigetron Beta,blue,"('Lolita', 'Melissa', 'Valentina', 'Karina', 'Gloo')","('Franco', 'Khufra', 'Lapu-Lapu', 'Faramis', 'Kaja')",1,16:10,970,3,1,0,0,bracket
126,20230205,RRQ Sena,blue,"('Joy', 'Hayabusa', 'Selena', 'Moskov', 'Chou')","('Fanny', 'Faramis', 'Melissa', 'Franco', 'Lolita')",0,Bigetron Beta,red,"('Ruby', 'Karrie', 'Valentina', 'Ling', 'Gloo')","('Karina', 'Martis', 'Fredrinn', 'Wanwan', 'Kaja')",1,16:34,994,3,2,0,1,bracket
126,20230206,EVOS Icon,blue,"('Joy', 'Martis', 'Pharsa', 'Moskov', 'Ruby')","('Fanny', 'Karrie', 'Kaja', 'Lolita', 'Atlas')",0,Bigetron Beta,red,"('Hilda', 'Brody', 'Valentina', 'Ling', 'Gloo')","('Grock', 'Franco', 'Yve', 'Wanwan', 'Fredrinn')",1,22:09,1329,3,1,0,0,bracket
126,20230206,EVOS Icon,red,"('Grock', 'Hayabusa', 'Valentina', 'Brody', 'Lolita')","('Wanwan', 'Joy', 'Gloo', 'Ling', 'Fanny')",1,Bigetron Beta,blue,"('Hilda', 'Karrie', 'Lunox', 'Lancelot', 'Lapu-Lapu')","('Harith', 'Moskov', 'Yve', 'Kaja', 'Fredrinn')",0,14:07,847,3,2,0,1,bracket
