tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
127,20230203,RRQ Mika,red,"('Dyrroth', 'Baxia', 'Valentina', 'Claude', 'Kaja')","('Gloo', 'Yve', 'Karrie', 'Ruby', 'Brody')",0,MBR Delphyne,blue,"('Chou', 'Beatrix', 'Pharsa', 'Fredrinn', 'Lapu-Lapu')","('Akai', 'Martis', 'Joy', 'Hayabusa', 'Faramis')",1,15:11,911,3,1,0,0,bracket
127,20230203,RRQ Mika,red,"('Lapu-Lapu', 'Fredrinn', 'Pharsa', 'Irithel', 'Mathilda')","('Gloo', 'Yve', 'Karrie', 'Ruby', 'Lolita')",0,MBR Delphyne,blue,"('Kaja', 'Brody', 'Valentina', 'Martis', 'Yu Zhong')","('Hilda', 'Diggie', 'Joy', 'Hayabusa', 'Faramis')",1,13:54,834,3,2,0,1,bracket
127,20230203,GPX Basreng,red,"('Masha', 'Akai', 'Valentina', 'Brody', 'Kaja')","('Gloo', 'Yve', 'Wanwan', 'Chou', 'Ruby')",1,MBR Delphyne,blue,"('Khufra', 'Beatrix', 'Pharsa', 'Fredrinn', 'Lapu-Lapu')","('Joy', 'Martis', 'Karrie', 'Hayabusa', 'Faramis')",0,17:01,1021,3,1,0,0,bracket
127,20230203,GPX Basreng,red,"('Fredrinn', 'Benedetta', 'Lunox', 'Clint', 'Franco')","('Yve', 'Gloo', 'Karrie', 'Kaja', 'Lolita')",1,MBR Delphyne,blue,"('Ruby', 'Brody', 'Valentina', 'Martis', 'Yu Zhong')","('Beatrix', 'Wanwan', 'Kadita', 'Hayabusa', 'Faramis')",0,20:12,1212,3,2,1,0,bracket
127,20230204,Bigetron Era,red,"('Terizla', 'Fredrinn', 'Pharsa', 'Brody', 'Lolita')","('Wanwan', 'Gloo', 'Yve', 'Franco', 'Benedetta')",1,GPX Basreng,blue,"('Minsitthar', 'Karrie', 'Valentina', 'Martis', 'Lapu-Lapu')","('Yu Zhong', 'Kadita', 'Kaja', 'Hayabusa', 'Joy')",0,16:15,975,5,1,0,0,bracket
127,20230204,Bigetron Era,blue,"('Joy', 'Benedetta', 'Cecilion', 'Karrie', 'Atlas')","('Hayabusa', 'Faramis', 'Wanwan', 'Brody', 'Masha')",1,GPX Basreng,red,"('Franco', 'Irithel', 'Lunox', 'Fredrinn', 'Yu Zhong')","('Kadita', 'Valentina', 'Kaja', 'Yve', 'Gloo')",0,10:42,642,5,2,1,0,bracket
127,20230204,Bigetron Era,red,"('Lapu-Lapu', 'Aamon', 'Kadita', 'Beatrix', 'Chou')","('Wanwan', 'Gloo', 'Masha', 'Brody', 'Joy')",1,GPX Basreng,blue,"('Grock', 'Moskov', 'Yve', 'Akai', 'Phoveus')","('Ling', 'Claude', 'Yu Zhong', 'Hayabusa', 'Kaja')",0,14:25,865,5,3,2,0,bracket
127,20230203,Nigma Galaxy,red,"('Joy', 'Fredrinn', 'Lylia', 'Beatrix', 'Mathilda')","('Gloo', 'Karrie', 'Wanwan', 'Lunox', 'Xavier')",0,Tiger Wong Seiren,blue,"('Kaja', 'Brody', 'Faramis', 'Martis', 'Benedetta')","('Atlas', 'Pharsa', 'Hayabusa', 'Yve', 'Valentina')",1,16:17,977,3,1,0,0,bracket
127,20230203,Nigma Galaxy,red,"('Lapu-Lapu', 'Ling', 'Yve', 'Wanwan', 'Baxia')","('Fredrinn', 'Karrie', 'Joy', 'Claude', 'Lolita')",1,Tiger Wong Seiren,blue,"('Hilda', 'Irithel', 'Valentina', 'Akai', 'Gloo')","('Floryn', 'Martis', 'Faramis', 'Kaja', 'Hayabusa')",0,17:30,1050,3,2,0,1,bracket
127,20230203,Nigma Galaxy,red,"('Yu Zhong', 'Hayabusa', 'Valentina', 'Clint', 'Ruby')","('Karrie', 'Yve', 'Wanwan', 'Lapu-Lapu', 'Lylia')",1,Tiger Wong Seiren,blue,"('Lolita', 'Beatrix', 'Lunox', 'Fredrinn', 'Joy')","('Grock', 'Atlas', 'Brody', 'Kaja', 'Gloo')",0,12:23,743,3,3,1,1,bracket
