tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
12,20231005,Team HAQ,blue,"('Esmeralda', 'Lancelot', 'Novaria', 'Wanwan', 'Mathilda')","('Terizla', 'Yu Zhong', 'Irithel', 'Minotaur', 'Brody')",1,MPX NSEA,red,"('Angela', 'Karrie', 'Fredrinn', 'Joy', 'Gloo')","('Khaleed', 'Uranus', 'Baxia', 'Edith', 'Fanny')",0,15:56,956,3,1,0,0,bracket
12,20231005,Team HAQ,blue,"('Paquito', 'Martis', 'Gord', 'Ixia', 'Mathilda')","('Yu Zhong', 'Terizla', 'Angela', 'Esmeralda', 'Lylia')",1,MPX NSEA,red,"('Floryn', 'Brody', 'Novaria', 'Baxia', 'Fredrinn')","('Wanwan', 'Dyrroth', 'Lancelot', 'Edith', 'Fanny')",0,17:56,1076,3,2,1,0,bracket
12,20231005,HomeBois,blue,"('Lapu-Lapu', 'Martis', 'Novaria', 'Bruno', 'Edith')","('Fanny', 'Baxia', 'Angela', 'Wanwan', 'Ixia')",1,Team HAQ,red,"('Minotaur', 'Irithel', 'Valentina', 'Lancelot', 'Terizla')","('Helcurt', 'Chou', 'Yu Zhong', 'Mathilda', 'Paquito')",0,10:38,638,3,1,0,0,bracket
12,20231005,HomeBois,red,"('Gloo', 'Lancelot', 'Valentina', 'Claude', 'Edith')","('Fanny', 'Baxia', 'Mathilda', 'Wanwan', 'Ixia')",1,Team HAQ,blue,"('Khufra', 'Bruno', 'Faramis', 'Martis', 'Terizla')","('Chou', 'Lylia', 'Angela', 'Paquito', 'Novaria')",0,13:18,798,3,2,1,0,bracket
12,20231006,RSG Malaysia,blue,"('Paquito', 'Lancelot', 'Angela', 'Irithel', 'Minotaur')","('Edith', 'Martis', 'Valentina', 'Fredrinn', 'Franco')",0,HomeBois,red,"('Khufra', 'Bruno', 'Novaria', 'Helcurt', 'Terizla')","('Esmeralda', 'Gloo', 'Yu Zhong', 'Baxia', 'Fanny')",1,13:54,834,3,1,0,0,bracket
12,20231006,RSG Malaysia,red,"('Khaleed', 'Fredrinn', 'Valentina', 'Bruno', 'Edith')","('Martis', 'Terizla', 'Angela', 'Lapu-Lapu', 'Gloo')",1,HomeBois,blue,"('Khufra', 'Ixia', 'Novaria', 'Lancelot', 'Arlott')","('Kadita', 'Joy', 'Yu Zhong', 'Baxia', 'Fanny')",0,19:44,1184,3,2,0,1,bracket
12,20231006,RSG Malaysia,blue,"('Esmeralda', 'Martis', 'Valentina', 'Claude', 'Grock')","('Terizla', 'Angela', 'Bruno', 'Franco', 'Kaja')",0,HomeBois,red,"('Edith', 'Brody', 'Novaria', 'Lancelot', 'Paquito')","('Wanwan', 'Harith', 'Yu Zhong', 'Baxia', 'Fanny')",1,15:24,924,3,3,1,1,bracket
12,20231005,TODAK,red,"('Gloo', 'Helcurt', 'Valentina', 'Ixia', 'Grock')","('Mathilda', 'Angela', 'Fanny', 'Khaleed', 'Edith')",1,Team Lunatix,blue,"('Rafaela', 'Yin', 'Brody', 'Joy', 'Terizla')","('Bruno', 'Irithel', 'Kaja', 'Kadita', 'Claude')",0,11:39,699,3,1,0,0,bracket
12,20231005,TODAK,blue,"('Yu Zhong', 'Fredrinn', 'Valentina', 'Claude', 'Lolita')","('Khaleed', 'Wanwan', 'Baxia', 'Terizla', 'Lylia')",0,Team Lunatix,red,"('Minotaur', 'Edith', 'Lunox', 'Benedetta', 'Irithel')","('Diggie', 'Grock', 'Helcurt', 'Kadita', 'Angela')",1,22:19,1339,3,2,1,0,bracket
12,20231005,TODAK,red,"('Uranus', 'Lancelot', 'Novaria', 'Irithel', 'Mathilda')","('Edith', 'Minotaur', 'Lunox', 'Benedetta', 'Khaleed')",1,Team Lunatix,blue,"('Angela', 'Beatrix', 'Lylia', 'Alice', 'Fredrinn')","('Gloo', 'Pharsa', 'Valentina', 'Kadita', 'Helcurt')",0,14:18,858,3,3,1,1,bracket
12,20231006,Red Giants Esports,blue,"('Khaleed', 'Fredrinn', 'Valentina', 'Karrie', 'Mathilda')","('Helcurt', 'Terizla', 'Lancelot', 'Irithel', 'Ixia')",0,TODAK,red,"('Angela', 'Bruno', 'Novaria', 'Baxia', 'Yu Zhong')","('Wanwan', 'X.Borg', 'Edith', 'Claude', 'Fanny')",1,11:23,683,3,1,0,0,bracket
12,20231006,Red Giants Esports,blue,"('Yu Zhong', 'Fredrinn', 'Kadita', 'Irithel', 'Mathilda')","('Helcurt', 'Lancelot', 'Angela', 'Terizla', 'Gloo')",1,TODAK,red,"('Minotaur', 'Bruno', 'Valentina', 'Baxia', 'Uranus')","('Gord', 'Lylia', 'Edith', 'Claude', 'Fanny')",0,16:05,965,3,2,0,1,bracket
12,20231006,Red Giants Esports,red,"('X.Borg', 'Akai', 'Valentina', 'Irithel', 'Grock')","('Mathilda', 'Angela', 'Terizla', 'Bruno', 'Ixia')",1,TODAK,blue,"('Khufra', 'Brody', 'Lylia', 'Fredrinn', 'Yu Zhong')","('Minotaur', 'Helcurt', 'Edith', 'Claude', 'Fanny')",0,26:39,1599,3,3,1,1,bracket
