tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
136,20221216,BURN x FLASH,red,"('Uranus', 'Akai', 'Yve', 'Beatrix', 'Mathilda')","('Joy', 'Fanny', 'Kaja', 'Pharsa', 'Lapu-Lapu')",1,See You Soon,blue,"('Lolita', 'Claude', 'Gord', 'Grock', 'Fredrinn')","('Yu Zhong', 'Benedetta', 'Wanwan', 'Valentina', 'Martis')",0,21:50,1310,3,1,0,0,bracket
136,20221216,BURN x FLASH,blue,"('Lapu-Lapu', 'Ling', 'Valentina', 'Irithel', 'Atlas')","('Fanny', 'Benedetta', 'Yu Zhong', 'Beatrix', 'Claude')",0,See You Soon,red,"('Mathilda', 'Karrie', 'Yve', 'Martis', 'Fredrinn')","('Lolita', 'Carmilla', 'Wanwan', 'Kaja', 'Joy')",1,14:53,893,3,2,1,0,bracket
136,20221216,BURN x FLASH,blue,"('Yu Zhong', 'Hayabusa', 'Valentina', 'Lesley', 'Mathilda')","('Fredrinn', 'Fanny', 'Yve', 'Beatrix', 'Atlas')",0,See You Soon,red,"('Hilda', 'Irithel', 'Pharsa', 'Martis', 'Benedetta')","('Masha', 'Esmeralda', 'Wanwan', 'Kaja', 'Joy')",1,17:41,1061,3,3,1,1,bracket
136,20221216,Impunity KH,blue,"('Minsitthar', 'Helcurt', 'Yve', 'Wanwan', 'Diggie')","('Lylia', 'Pharsa', 'Natalia', 'Karina', 'Akai')",0,Falcon Esports,red,"('Lolita', 'Beatrix', 'Valentina', 'Ling', 'Lapu-Lapu')","('Martis', 'Fredrinn', 'Kaja', 'Fanny', 'Joy')",1,9:55,595,3,1,0,0,bracket
136,20221216,Impunity KH,blue,"('Lapu-Lapu', 'Leomord', 'Valentina', 'Claude', 'Lolita')","('Lylia', 'Pharsa', 'Wanwan', 'Kagura', 'Diggie')",0,Falcon Esports,red,"('Chou', 'Beatrix', 'Julian', 'Fredrinn', 'Esmeralda')","('Akai', 'Martis', 'Kaja', 'Fanny', 'Joy')",1,12:21,741,3,2,0,1,bracket
136,20221217,See You Soon,red,"('Fredrinn', 'Akai', 'Valentina', 'Lesley', 'Hilda')","('Joy', 'Wanwan', 'Beatrix', 'Irithel', 'Melissa')",0,Falcon Esports,blue,"('Chou', 'Harith', 'Julian', 'Fanny', 'Lapu-Lapu')","('Khufra', 'Mathilda', 'Kaja', 'Diggie', 'Martis')",1,18:00,1080,3,1,0,0,bracket
136,20221217,See You Soon,blue,"('Yu Zhong', 'Fanny', 'Pharsa', 'Karrie', 'Jawhead')","('Joy', 'Diggie', 'Wanwan', 'Esmeralda', 'Lapu-Lapu')",0,Falcon Esports,red,"('Khufra', 'Beatrix', 'Valentina', 'Ling', 'Fredrinn')","('Claude', 'Hilda', 'Yve', 'Kaja', 'Martis')",1,13:39,819,3,2,0,1,bracket
136,20221216,Orange Esports,blue,"('Benedetta', 'Leomord', 'Faramis', 'Bruno', 'Kaja')","('Martis', 'Fanny', 'Valentina', 'Lolita', 'Mathilda')",1,Niightmare,red,"('Carmilla', 'Beatrix', 'Yve', 'Akai', 'Yu Zhong')","('Lapu-Lapu', 'Claude', 'Wanwan', 'Joy', 'Pharsa')",0,19:55,1195,3,1,0,0,bracket
136,20221216,Orange Esports,red,"('Fredrinn', 'Ling', 'Cecilion', 'Irithel', 'Mathilda')","('Joy', 'Wanwan', 'Fanny', 'Lolita', 'Hilda')",1,Niightmare,blue,"('Chou', 'Beatrix', 'Yve', 'Akai', 'Benedetta')","('Lylia', 'Faramis', 'Kaja', 'Valentina', 'Pharsa')",0,15:31,931,3,2,1,0,bracket
136,20221217,Impunity KH,blue,"('Lapu-Lapu', 'Martis', 'Lylia', 'Claude', 'Kaja')","('Pharsa', 'Akai', 'Valentina', 'Karrie', 'Lesley')",1,Orange Esports,red,"('Atlas', 'Brody', 'Yve', 'Ling', 'Fredrinn')","('Faramis', 'Diggie', 'Wanwan', 'Fanny', 'Joy')",0,13:58,838,3,1,0,0,bracket
