tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
138,20221124,The Last Saiyan,blue,"('Chou', 'Leomord', 'Gusion', 'Lesley', 'Mathilda')","('Wanwan', 'Martis', 'Fanny', 'Ling', 'Hayabusa')",0,Riq Fam Esports,red,"('Faramis', 'Beatrix', 'Lylia', 'Aamon', 'Fredrinn')","('Lolita', 'Atlas', 'Akai', 'Valentina', 'Kaja')",1,14:59,899,3,1,0,0,bracket
138,20221124,The Last Saiyan,red,"('Benedetta', 'Carmilla', 'Valentina', 'Brody', 'Grock')","('Leomord', 'Wanwan', 'Fanny', 'Lylia', 'Diggie')",0,Riq Fam Esports,blue,"('Mathilda', 'Beatrix', 'Gusion', 'Fredrinn', 'Martis')","('Atlas', 'Ling', 'Kaja', 'Faramis', 'Akai')",1,20:52,1252,3,2,0,1,bracket
138,20221124,Bountee Esports,blue,"('Benedetta', 'Chou', 'Lylia', 'Clint', 'Carmilla')","('Faramis', 'Leomord', 'Valentina', 'Ling', 'Hayabusa')",1,Pugnacious Esports,red,"('Grock', 'Lesley', 'Yve', 'Dyrroth', 'Edith')","('Beatrix', 'Brody', 'Wanwan', 'Martis', 'Kaja')",0,15:05,905,3,1,0,0,bracket
138,20221124,Bountee Esports,red,"('Benedetta', 'Akai', 'Cecilion', 'Lesley', 'Khufra')","('Kaja', 'Wanwan', 'Valentina', 'Pharsa', 'Paquito')",0,Pugnacious Esports,blue,"('Chou', 'Claude', 'Kagura', 'Leomord', 'Dyrroth')","('Lylia', 'Franco', 'Faramis', 'Martis', 'Carmilla')",1,10:35,635,3,2,1,0,bracket
138,20221124,Bountee Esports,blue,"('Phoveus', 'Martis', 'Lylia', 'Clint', 'Grock')","('Valentina', 'Wanwan', 'Faramis', 'Kagura', 'Yve')",0,Pugnacious Esports,red,"('Lolita', 'Brody', 'Pharsa', 'Leomord', 'Benedetta')","('Atlas', 'Chou', 'Franco', 'Kaja', 'Carmilla')",1,14:55,895,3,3,1,1,bracket
138,20221126,Riq Fam Esports,red,"('Fredrinn', 'Akai', 'Lylia', 'Beatrix', 'Grock')","('Kaja', 'Martis', 'Valentina', 'Chou', 'Diggie')",0,Pugnacious Esports,blue,"('Mathilda', 'Claude', 'Yve', 'Leomord', 'Edith')","('Lolita', 'Kagura', 'Lesley', 'Carmilla', 'Fanny')",1,12:52,772,3,1,0,0,bracket
138,20221126,Riq Fam Esports,blue,"('Chou', 'Leomord', 'Gusion', 'Claude', 'Mathilda')","('Akai', 'Faramis', 'Valentina', 'Lylia', 'Atlas')",0,Pugnacious Esports,red,"('Lolita', 'Irithel', 'Lunox', 'Hayabusa', 'Carmilla')","('Lesley', 'Fredrinn', 'Martis', 'Kaja', 'Fanny')",1,13:34,814,3,2,0,1,bracket
138,20221124,Tupai Esports,blue,"('Fredrinn', 'Kaja', 'Lylia', 'Beatrix', 'Mathilda')","('Wanwan', 'Carmilla', 'Faramis', 'Benedetta', 'Dyrroth')",0,ELX Esports,red,"('Franco', 'Lesley', 'Valentina', 'Leomord', 'Chou')","('Yu Zhong', 'Ling', 'Akai', 'Martis', 'Fanny')",1,16:59,1019,3,1,0,0,bracket
138,20221124,Tupai Esports,red,"('Phoveus', 'Leomord', 'Yve', 'Lesley', 'Atlas')","('Fanny', 'Wanwan', 'Kaja', 'Lylia', 'Kadita')",0,ELX Esports,blue,"('Hylos', 'Clint', 'Pharsa', 'Martis', 'Chou')","('Fredrinn', 'Mathilda', 'Faramis', 'Carmilla', 'Valentina')",1,13:08,788,3,2,0,1,bracket
138,20221124,Terbang,blue,"('Paquito', 'Hayabusa', 'Yve', 'Wanwan', 'Khufra')","('Carmilla', 'Gusion', 'Lesley', 'Phoveus', 'Fredrinn')",0,Miracle Gaming,red,"('Franco', 'Beatrix', 'Valentina', 'Fanny', 'Hilda')","('Benedetta', 'Lylia', 'Leomord', 'Martis', 'Kaja')",1,22:35,1355,3,1,0,0,bracket
