tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
13,20230927,RRQ Akira,red,"('Terizla', 'Grock', 'Kadita', 'Bruno', 'Edith')","('Fanny', 'Mathilda', 'Angela', 'Martis', 'Lancelot')",0,IGNIS Esports,blue,"('Rafaela', 'Irithel', 'Faramis', 'X.Borg', 'Yu Zhong')","('Beatrix', 'Ixia', 'Fredrinn', 'Valentina', 'Baxia')",1,23:45,1425,3,1,0,0,bracket
13,20230927,RRQ Akira,blue,"('Esmeralda', 'Grock', 'Valentina', 'Karrie', 'Kaja')","('X.Borg', 'Irithel', 'Angela', 'Wanwan', 'Bruno')",1,IGNIS Esports,red,"('Rafaela', 'Clint', 'Novaria', 'Martis', 'Edith')","('Akai', 'Chou', 'Mathilda', 'Fredrinn', 'Baxia')",0,14:02,842,3,2,0,1,bracket
13,20230927,RRQ Akira,red,"('Terizla', 'Martis', 'Novaria', 'Bruno', 'Rafaela')","('X.Borg', 'Irithel', 'Mathilda', 'Yu Zhong', 'Faramis')",1,IGNIS Esports,blue,"('Chou', 'Brody', 'Angela', 'Dyrroth', 'Grock')","('Khufra', 'Kaja', 'Fredrinn', 'Valentina', 'Baxia')",0,16:41,1001,3,3,1,1,bracket
13,20230927,Real Stars Esports,blue,"('Terizla', 'Joy', 'Mathilda', 'Claude', 'Khufra')","('Rafaela', 'Angela', 'Novaria', 'Beatrix', 'Bruno')",1,Skull Cracker,red,"('Edith', 'Irithel', 'Valentina', 'Martis', 'X.Borg')","('Lylia', 'Ixia', 'Kaja', 'Fredrinn', 'Baxia')",0,15:20,920,3,1,0,0,bracket
13,20230927,Real Stars Esports,red,"('X.Borg', 'Baxia', 'Novaria', 'Wanwan', 'Minotaur')","('Mathilda', 'Angela', 'Rafaela', 'Bruno', 'Lancelot')",1,Skull Cracker,blue,"('Floryn', 'Ixia', 'Lylia', 'Hayabusa', 'Edith')","('Irithel', 'Claude', 'Kaja', 'Khufra', 'Joy')",0,11:29,689,3,2,1,0,bracket
13,20230927,RRQ Akira,blue,"('Uranus', 'Fredrinn', 'Lylia', 'Wanwan', 'Chou')","('Joy', 'Irithel', 'Fanny', 'X.Borg', 'Lancelot')",1,Real Stars Esports,red,"('Grock', 'Bruno', 'Mathilda', 'Ling', 'Edith')","('Novaria', 'Paquito', 'Terizla', 'Baxia', 'Valentina')",0,13:36,816,3,1,0,0,bracket
13,20230927,RRQ Akira,red,"('Esmeralda', 'Grock', 'Kadita', 'Bruno', 'Kaja')","('Irithel', 'X.Borg', 'Angela', 'Terizla', 'Yu Zhong')",1,Real Stars Esports,blue,"('Minotaur', 'Karrie', 'Mathilda', 'Joy', 'Lapu-Lapu')","('Wanwan', 'Edith', 'Fredrinn', 'Valentina', 'Baxia')",0,12:07,727,3,2,1,0,bracket
13,20230928,Imperio,red,"('X.Borg', 'Yi Sun-Shin', 'Novaria', 'Ixia', 'Khufra')","('Valentina', 'Mathilda', 'Fredrinn', 'Lylia', 'Pharsa')",1,ESTORM,blue,"('Edith', 'Bruno', 'Xavier', 'Grock', 'Benedetta')","('Irithel', 'Floryn', 'Baxia', 'Angela', 'Rafaela')",0,14:36,876,3,1,0,0,bracket
13,20230928,Imperio,blue,"('Khaleed', 'Akai', 'Valentina', 'Wanwan', 'Grock')","('Edith', 'Fredrinn', 'Kaja', 'Novaria', 'Lylia')",1,ESTORM,red,"('Rafaela', 'Irithel', 'Cecilion', 'Martis', 'Terizla')","('Bruno', 'Yi Sun-Shin', 'X.Borg', 'Baxia', 'Mathilda')",0,15:38,938,3,2,1,0,bracket
13,20230928,DreamMax Ice,red,"('Edith', 'Baxia', 'Novaria', 'Wanwan', 'Kaja')","('Valentina', 'Mathilda', 'Rafaela', 'Floryn', 'Estes')",1,Bigetron Sons,blue,"('Minotaur', 'Irithel', 'Yve', 'Fredrinn', 'Terizla')","('Karrie', 'Yu Zhong', 'Joy', 'Kadita', 'Chou')",0,28:42,1722,3,1,0,0,bracket
