tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
140,20220930,The Valley,blue,"('Julian', 'Thamuz', 'Lylia', 'Claude', 'Grock')","('Fanny', 'Atlas', 'Balmond', 'Wanwan', 'Melissa')",1,Team Nylo,red,"('Diggie', 'Beatrix', 'Yve', 'Paquito', 'Dyrroth')","('Esmeralda', 'Barats', 'Faramis', 'Akai', 'Valentina')",0,11:34,694,3,1,0,0,bracket
140,20220930,The Valley,red,"('Ruby', 'Paquito', 'Faramis', 'Claude', 'Lolita')","('Fanny', 'Valentina', 'Atlas', 'Wanwan')",1,Team Nylo,blue,"('Estes', 'Bruno', 'Lylia', 'Balmond', 'Fredrinn')","('Uranus', 'Esmeralda', 'Grock', 'Julian', 'Akai')",0,10:37,637,3,2,1,0,bracket
140,20220929,TimeGAP,blue,"('Uranus', 'Benedetta', 'Cecilion', 'Claude', 'Diggie')","('Faramis', 'Paquito', 'Melissa', 'Pharsa', 'Lylia')",0,Team Gosu,red,"('Grock', 'Wanwan', 'Yve', 'Lancelot', 'Esmeralda')","('Akai', 'Karina', 'Balmond', 'Fanny', 'Valentina')",1,16:46,1006,3,1,0,0,bracket
140,20220929,TimeGAP,red,"('Lapu-Lapu', 'Karina', 'Pharsa', 'Melissa', 'Minotaur')","('Valentina', 'Faramis', 'Akai', 'Diggie', 'Grock')",1,Team Gosu,blue,"('Lolita', 'Wanwan', 'Yve', 'Hayabusa', 'Paquito')","('Phoveus', 'Atlas', 'Esmeralda', 'Balmond', 'Fanny')",0,20:36,1236,3,2,0,1,bracket
140,20220929,TimeGAP,blue,"('Dyrroth', 'Thamuz', 'Yve', 'Melissa', 'Masha')","('Faramis', 'Paquito', 'Grock', 'Pharsa', 'Lylia')",0,Team Gosu,red,"('Diggie', 'Wanwan', 'Lunox', 'Ling', 'Esmeralda')","('Akai', 'Karina', 'Balmond', 'Fanny', 'Valentina')",1,19:23,1163,3,3,1,1,bracket
140,20221001,The Valley,blue,"('Julian', 'Balmond', 'Faramis', 'Beatrix', 'Lolita')","('Fanny', 'Wanwan', 'Atlas', 'Lylia', 'Yve')",1,Team Gosu,red,"('Grock', 'Melissa', 'Pharsa', 'Paquito', 'Fredrinn')","('Brody', 'Clint', 'Valentina', 'Diggie', 'Claude')",0,20:38,1238,5,1,0,0,bracket
140,20221001,The Valley,red,"('Julian', 'Balmond', 'Lylia', 'Beatrix', 'Atlas')","('Fanny', 'Wanwan', 'Valentina', 'Yve', 'Lunox')",1,Team Gosu,blue,"('Lolita', 'Melissa', 'Selena', 'Paquito', 'Esmeralda')","('Clint', 'Brody', 'Faramis', 'Diggie', 'Claude')",0,22:03,1323,5,2,1,0,bracket
140,20221001,The Valley,blue,"('Fredrinn', 'Paquito', 'Yve', 'Clint', 'Mathilda')","('Fanny', 'Wanwan', 'Melissa', 'Esmeralda', 'Lancelot')",0,Team Gosu,red,"('Atlas', 'Brody', 'Lylia', 'Helcurt', 'Masha')","('Grock', 'Diggie', 'Faramis', 'Valentina', 'Claude')",1,23:22,1402,5,3,2,0,bracket
140,20221001,The Valley,red,"('Uranus', 'Akai', 'Lylia', 'Irithel', 'Diggie')","('Fanny', 'Melissa', 'Faramis', 'Pharsa', 'Grock')",1,Team Gosu,blue,"('Masha', 'Wanwan', 'Yve', 'Paquito', 'Esmeralda')","('Julian', 'Dyrroth', 'Valentina', 'Atlas', 'Claude')",0,12:11,731,5,4,2,1,bracket
140,20220929,Ackerman,red,"('Paquito', 'Balmond', 'Pharsa', 'Wanwan', 'Grock')","('Fanny', 'Claude', 'Diggie', 'Karrie', 'Balmond')",1,Incognito,blue,"('Mathilda', 'Bruno', 'Faramis', 'Akai', 'Esmeralda')","('Yve', 'Fredrinn', 'Melissa', 'Valentina', 'Dyrroth')",0,10:36,636,3,1,0,0,bracket
140,20220929,Ackerman,blue,"('Lylia', 'Lancelot', 'Chou', 'Claude', 'Selena')","('Fanny', 'Diggie', 'Grock', 'Yve', 'Wanwan')",1,Incognito,red,"('Atlas', 'Brody', 'Mathilda', 'Paquito', 'Uranus')","('Akai', 'Esmeralda', 'Balmond', 'Faramis', 'Valentina')",0,14:52,892,3,2,1,0,bracket
140,20221001,LEGACi,red,"('Esmeralda', 'Akai', 'Lylia', 'Bruno', 'Franco')","('Faramis', 'Atlas', 'Claude', 'Dyrroth', 'Uranus')",1,Apex Predator,blue,"('Diggie', 'Irithel', 'Julian', 'Balmond', 'Masha')","('Beatrix', 'Paquito', 'Clint', 'Valentina', 'Fanny')",0,9:54,594,3,1,0,0,bracket
140,20221001,LEGACi,blue,"('Benedetta', 'Balmond', 'Valentina', 'Brody', 'Franco')","('Claude', 'Atlas', 'Fanny', 'Pharsa', 'Yve')",1,Apex Predator,red,"('Grock', 'Melissa', 'Faramis', 'Minotaur', 'Esmeralda')","('Irithel', 'Clint', 'Akai', 'Paquito', 'Bruno')",0,10:51,651,3,2,1,0,bracket
140,20221001,Ackerman,red,"('Esmeralda', 'Akai', 'Pharsa', 'Wanwan', 'Franco')","('Fanny', 'Valentina', 'Diggie', 'Lolita', 'Karina')",1,LEGACi,blue,"('Minsitthar', 'Bruno', 'Faramis', 'Barats', 'Phoveus')","('Atlas', 'Lylia', 'Balmond', 'Claude', 'Melissa')",0,21:31,1291,5,1,0,0,bracket
140,20221001,Ackerman,blue,"('Esmeralda', 'Balmond', 'Pharsa', 'Melissa', 'Chou')","('Fanny', 'Diggie', 'Akai', 'Bruno', 'Clint')",1,LEGACi,red,"('Faramis', 'Brody', 'Lylia', 'Baxia', 'Benedetta')","('Wanwan', 'Atlas', 'Julian', 'Valentina', 'Claude')",0,14:22,862,5,2,1,0,bracket
140,20221001,Ackerman,red,"('Uranus', 'Paquito', 'Lylia', 'Karrie', 'Grock')","('Fanny', 'Valentina', 'Diggie', 'Pharsa', 'Yve')",0,LEGACi,blue,"('Atlas', 'Bruno', 'Cecilion', 'Akai', 'Phoveus')","('Clint', 'Melissa', 'Esmeralda', 'Faramis', 'Claude')",1,17:54,1074,5,3,2,0,bracket
140,20221001,Ackerman,blue,"('Yu Zhong', 'Julian', 'Pharsa', 'Wanwan', 'Ruby')","('Fanny', 'Akai', 'Phoveus', 'Lylia', 'Cecilion')",1,LEGACi,red,"('Franco', 'Bruno', 'Xavier', 'Baxia', 'Esmeralda')","('Dyrroth', 'Atlas', 'Balmond', 'Valentina', 'Claude')",0,10:23,623,5,4,2,1,bracket
140,20221007,The Valley,blue,"('Yu Zhong', 'Akai', 'Lylia', 'Melissa', 'Faramis')","('Selena', 'Atlas', 'Grock', 'Benedetta', 'Lolita')",1,Ackerman,red,"('Mathilda', 'Wanwan', 'Pharsa', 'Balmond', 'Esmeralda')","('Phoveus', 'Barats', 'Diggie', 'Claude', 'Valentina')",0,14:08,848,5,1,0,0,bracket
140,20221007,The Valley,red,"('Julian', 'Balmond', 'Lylia', 'Melissa', 'Mathilda')","('Selena', 'Atlas', 'Grock', 'Akai', 'Paquito')",0,Ackerman,blue,"('Chou', 'Wanwan', 'Valentina', 'Karina', 'Benedetta')","('Lolita', 'Phoveus', 'Claude', 'Diggie', 'Faramis')",1,13:32,812,5,2,1,0,bracket
140,20221007,The Valley,blue,"('Dyrroth', 'Akai', 'Faramis', 'Irithel', 'Grock')","('Chou', 'Wanwan', 'Atlas', 'Benedetta', 'Balmond')",1,Ackerman,red,"('Diggie', 'Melissa', 'Pharsa', 'Minotaur', 'Esmeralda')","('Brody', 'Clint', 'Lylia', 'Claude', 'Valentina')",0,14:59,899,5,3,1,1,bracket
140,20221007,The Valley,red,"('Julian', 'Balmond', 'Lunox', 'Clint', 'Grock')","('Chou', 'Valentina', 'Atlas', 'Wanwan', 'Benedetta')",1,Ackerman,blue,"('Akai', 'Irithel', 'Lylia', 'Barats', 'Yu Zhong')","('Yve', 'Kagura', 'Diggie', 'Claude', 'Faramis')",0,17:04,1024,5,4,2,1,bracket
140,20220929,Team Sexi,blue,"('Uranus', 'Ling', 'Lylia', 'Claude', 'Grock')","('Paquito', 'Dyrroth', 'Diggie', 'Melissa', 'Kagura')",0,The Simpsons,red,"('Atlas', 'Karrie', 'Yve', 'Balmond', 'Esmeralda')","('Akai', 'Karina', 'Wanwan', 'Valentina', 'Fanny')",1,13:41,821,3,1,0,0,bracket
140,20220929,Team Sexi,red,"('Esmeralda', 'Hayabusa', 'Yve', 'Bruno', 'Grock')","('Paquito', 'Valentina', 'Balmond', 'Melissa', 'Claude')",0,The Simpsons,blue,"('Diggie', 'Irithel', 'Lylia', 'Baxia', 'Dyrroth')","('Aamon', 'Karina', 'Akai', 'Wanwan', 'Fanny')",1,16:00,960,3,2,0,1,bracket
140,20220930,Vendetta,blue,"('Yu Zhong', 'Julian', 'Faramis', 'Melissa', 'Grock')","('Natalia', 'Diggie', 'Valentina', 'Lolita', 'Clint')",1,Ventrix Epro,red,"('Estes', 'Bruno', 'Lylia', 'Balmond', 'Esmeralda')","('Uranus', 'Dyrroth', 'Atlas', 'Claude', 'Paquito')",0,13:54,834,3,1,0,0,bracket
140,20220930,Vendetta,red,"('Uranus', 'Lancelot', 'Kagura', 'Melissa', 'Atlas')","('Natalia', 'Valentina', 'Faramis', 'Dyrroth', 'Wanwan')",1,Ventrix Epro,blue,"('Grock', 'Moskov', 'Lunox', 'Balmond', 'Esmeralda')","('Paquito', 'Selena', 'Diggie', 'Paquito', 'Claude')",0,10:51,651,3,2,1,0,bracket
140,20221002,The Simpsons,red,"('Dyrroth', 'Paquito', 'Kagura', 'Karrie', 'Grock')","('Valentina', 'Faramis', 'Balmond', 'Julian', 'Akai')",1,Vendetta,blue,"('Chou', 'Claude', 'Lylia', 'Karina', 'Esmeralda')","('Pharsa', 'Melissa', 'Wanwan', 'Atlas', 'Diggie')",0,20:35,1235,5,1,0,0,bracket
