tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
141,20221027,Warriors Team,blue,"('Yu Zhong', 'Valentina', 'Faramis', 'Beatrix', 'Estes')","('Fanny', 'Chou', 'Lunox', 'Balmond', 'Phoveus')",1,Infinity,red,"('Diggie', 'Claude', 'Pharsa', 'Fredrinn', 'Lapu-Lapu')","('Uranus', 'Barats', 'Kagura', 'Mathilda', 'Esmeralda')",0,39:38,2378,5,1,0,0,bracket
141,20221027,Warriors Team,red,"('Thamuz', 'Akai', 'Pharsa', 'Wanwan', 'Faramis')","('Fanny', 'Diggie', 'Chou', 'Phoveus', 'Irithel')",1,Infinity,blue,"('Valentina', 'Claude', 'Nana', 'Grock', 'Yu Zhong')","('Uranus', 'Esmeralda', 'Atlas', 'Barats', 'Lylia')",0,14:03,843,5,2,1,0,bracket
141,20221027,Warriors Team,blue,"('Dyrroth', 'Baxia', 'Valentina', 'Karrie', 'Ruby')","('Diggie', 'Fanny', 'Chou', 'Wanwan', 'Balmond')",0,Infinity,red,"('Grock', 'Irithel', 'Lunox', 'Akai', 'Phoveus')","('Barats', 'Uranus', 'Esmeralda', 'Faramis', 'Atlas')",1,16:33,993,5,3,2,0,bracket
141,20221027,Warriors Team,red,"('Thamuz', 'Martis', 'Valentina', 'Wanwan', 'Lolita')","('Diggie', 'Phoveus', 'Fanny', 'Grock', 'Mathilda')",1,Infinity,blue,"('Floryn', 'Irithel', 'Lunox', 'Barats', 'Ruby')","('Dyrroth', 'Akai', 'Lylia', 'Faramis', 'Esmeralda')",0,15:01,901,5,4,2,1,bracket
141,20221028,S11 Gaming,blue,"('Esmeralda', 'Gusion', 'Lylia', 'Wanwan', 'Rafaela')","('Mathilda', 'Grock', 'Faramis', 'Lolita', 'Pharsa')",1,Warriors Team,red,"('Ruby', 'Irithel', 'Yve', 'Akai', 'Phoveus')","('Martis', 'Atlas', 'Valentina', 'Diggie', 'Fanny')",0,17:00,1020,5,1,0,0,bracket
141,20221028,S11 Gaming,red,"('Fredrinn', 'Hayabusa', 'Selena', 'Beatrix', 'Grock')","('Wanwan', 'Valentina', 'Faramis', 'Mathilda', 'Atlas')",1,Warriors Team,blue,"('Chou', 'Claude', 'Lylia', 'Thamuz', 'Esmeralda')","('Kagura', 'Gusion', 'Paquito', 'Diggie', 'Fanny')",0,17:01,1021,5,2,1,0,bracket
141,20221028,S11 Gaming,blue,"('Uranus', 'Minotaur', 'Pharsa', 'Claude', 'Faramis')","('Mathilda', 'Beatrix', 'Grock', 'Melissa', 'Brody')",1,Warriors Team,red,"('Chou', 'Irithel', 'Valentina', 'Thamuz', 'Esmeralda')","('Kagura', 'Gusion', 'Diggie', 'Fanny', 'Wanwan')",0,25:42,1542,5,3,2,0,bracket
141,20221027,Malvinas Gaming,blue,"('Esmeralda', 'Baxia', 'Lylia', 'Wanwan', 'Khufra')","('Atlas', 'Diggie', 'Lunox', 'Irithel', 'Beatrix')",1,S11 Gaming Bolivia,red,"('Grock', 'Claude', 'Pharsa', 'Ling', 'Fredrinn')","('Lolita', 'Dyrroth', 'Mathilda', 'Akai', 'Faramis')",0,14:37,877,5,1,0,0,bracket
141,20221027,Malvinas Gaming,red,"('Esmeralda', 'Grock', 'Valentina', 'Bruno', 'Lolita')","('Atlas', 'Diggie', 'Lylia', 'Lunox', 'Julian')",1,S11 Gaming Bolivia,blue,"('Rafaela', 'Beatrix', 'Cecilion', 'Akai', 'Fredrinn')","('Irithel', 'Melissa', 'Mathilda', 'Wanwan', 'Faramis')",0,24:53,1493,5,2,1,0,bracket
141,20221027,Malvinas Gaming,blue,"('Dyrroth', 'Akai', 'Yve', 'Beatrix', 'Grock')","('Atlas', 'Diggie', 'Valentina', 'Martis', 'Barats')",1,S11 Gaming Bolivia,red,"('Mathilda', 'Melissa', 'Pharsa', 'Baxia', 'Uranus')","('Lunox', 'Kagura', 'Faramis', 'Esmeralda', 'Wanwan')",0,13:57,837,5,3,2,0,bracket
