tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
146,20221001,KONSEY,blue,"('Esmeralda', 'Dyrroth', 'Lylia', 'Claude', 'Mathilda')","('Wanwan', 'Diggie', 'Barats', 'Franco', 'Ling')",0,Selecta,red,"('Grock', 'Lesley', 'Pharsa', 'Aamon', 'Fredrinn')","('Yve', 'Balmond', 'Valentina', 'Faramis', 'Hanzo')",1,16:42,1002,3,1,0,0,bracket
146,20221001,KONSEY,red,"('Fredrinn', 'Dyrroth', ""Chang'e"", 'Clint', 'Franco')","('Wanwan', 'Diggie', 'Faramis', 'Lesley', 'Esmeralda')",0,Selecta,blue,"('Mathilda', 'Irithel', 'Yve', 'Barats', 'Yu Zhong')","('Lunox', 'Pharsa', 'Claude', 'Valentina', 'Hanzo')",1,12:06,726,3,2,0,1,bracket
146,20221001,Toho Meiwa,red,"('Esmeralda', 'Akai', 'Pharsa', 'Clint', 'Khufra')","('Dyrroth', 'Wanwan', 'Diggie', 'Fredrinn', 'Paquito')",0,Incendio Supremacy,blue,"('Atlas', 'Irithel', 'Faramis', 'Fanny', 'Ruby')","('Kadita', 'Barats', 'Mathilda', 'Julian', 'Valentina')",1,16:07,967,3,1,0,0,bracket
146,20221001,Toho Meiwa,blue,"('Esmeralda', 'Dyrroth', 'Gord', 'Lesley', 'Rafaela')","('Wanwan', 'Fanny', 'Faramis', 'Irithel', 'Paquito')",0,Incendio Supremacy,red,"('Atlas', 'Beatrix', 'Yve', 'Julian', 'Ruby')","('Natalia', 'Kadita', 'Valentina', 'Pharsa', 'Diggie')",1,10:38,638,3,2,0,1,bracket
146,20221001,Selecta,blue,"('Ruby', 'Barats', 'Yve', 'Claude', 'Grock')","('Faramis', 'Pharsa', 'Fanny', 'Dyrroth', 'Esmeralda')",0,Incendio Supremacy,red,"('Atlas', 'Lesley', 'Julian', 'Aamon', 'Paquito')","('Fredrinn', 'Mathilda', 'Valentina', 'Diggie', 'Wanwan')",1,15:36,936,3,1,0,0,bracket
146,20221001,Selecta,blue,"('Dyrroth', 'Barats', 'Kagura', 'Lesley', 'Grock')","('Faramis', 'Pharsa', 'Fanny', 'Fredrinn', 'Irithel')",0,Incendio Supremacy,red,"('Atlas', 'Melissa', 'Julian', 'Aamon', 'Masha')","('Yve', 'Mathilda', 'Valentina', 'Diggie', 'Wanwan')",1,15:54,954,3,2,0,1,bracket
146,20221001,KONSEY,blue,"('Benedetta', 'Barats', 'Pharsa', 'Claude', 'Akai')","('Lesley', 'Diggie', 'Valentina', 'Mathilda', 'Clint')",0,Toho Meiwa,red,"('Atlas', 'Irithel', 'Yve', 'Paquito', 'Esmeralda')","('Grock', 'Balmond', 'Faramis', 'Hanzo', 'Dyrroth')",1,22:09,1329,3,1,0,0,bracket
146,20221001,KONSEY,blue,"('Fredrinn', 'Barats', 'Pharsa', 'Beatrix', 'Akai')","('Lesley', 'Diggie', 'Valentina', 'Benedetta', 'Irithel')",1,Toho Meiwa,red,"('Atlas', 'Clint', 'Yve', 'Sun', 'Esmeralda')","('Yu Zhong', 'Balmond', 'Faramis', 'Hanzo', 'Dyrroth')",0,14:42,882,3,2,0,1,bracket
146,20221001,KONSEY,red,"('Esmeralda', 'Barats', 'Julian', 'Beatrix', 'Atlas')","('Lesley', 'Diggie', 'Valentina', 'Irithel', 'Clint')",0,Toho Meiwa,blue,"('Kadita', 'Melissa', 'Pharsa', 'Balmond', 'Benedetta')","('Akai', 'Mathilda', 'Dyrroth', 'Faramis', 'Hanzo')",1,14:09,849,3,3,1,1,bracket
146,20221002,Selecta,blue,"('Paquito', 'Julian', 'Lunox', 'Claude', 'Diggie')","('Pharsa', 'Valentina', 'Faramis', 'Lesley', 'Clint')",1,Toho Meiwa,red,"('Kadita', 'Beatrix', 'Yve', 'Balmond', 'Esmeralda')","('Irithel', 'Yu Zhong', 'Barats', 'Wanwan', 'Dyrroth')",0,11:10,670,5,1,0,0,bracket
