tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
149,20220822,Reborn,blue,"('Uranus', 'Balmond', 'Cecilion', 'Beatrix', 'Carmilla')","('Julian', 'Faramis', 'Akai', 'Yve', 'Lunox')",0,RRQ Mika,red,"('Estes', 'Brody', 'Lylia', 'Ling', 'Esmeralda')","('Karina', 'Atlas', 'Franco', 'Masha', 'Valentina')",1,13:19,799,5,1,0,0,bracket
149,20220822,Reborn,blue,"('Yu Zhong', 'Akai', 'Xavier', 'Wanwan', 'Atlas')","('Julian', 'Beatrix', 'Faramis', 'Popol and Kupa', 'Claude')",0,RRQ Mika,red,"('Franco', 'Karrie', 'Yve', 'Hanzo', 'Phoveus')","('Lunox', 'Lylia', 'Esmeralda', 'Masha', 'Valentina')",1,15:01,901,5,2,0,1,bracket
149,20220822,Reborn,blue,"('Thamuz', 'Helcurt', 'Kagura', 'Karrie', 'Faramis')","('Masha', 'Akai', 'Wanwan', 'Atlas', 'Johnson')",0,RRQ Mika,red,"('Lolita', 'Beatrix', 'Cecilion', 'Paquito', 'Baxia')","('Karina', 'Ling', 'Esmeralda', 'Julian', 'Valentina')",1,12:40,760,5,3,0,2,bracket
149,20220825,Rocka Azure,blue,"('Uranus', 'Hayabusa', 'Julian', 'Karrie', 'Grock')","('Wanwan', 'Akai', 'Valentina', 'Karina', 'Ling')",0,RRQ Mika,red,"('Atlas', 'Beatrix', 'Cecilion', 'Balmond', 'Esmeralda')","('Paquito', 'Diggie', 'Faramis', 'Franco', 'Masha')",1,18:57,1137,5,1,0,0,bracket
149,20220825,Rocka Azure,blue,"('Akai', 'Natalia', 'Lylia', 'Brody', 'Mathilda')","('Wanwan', 'Julian', 'Yve', 'Lolita', 'Grock')",1,RRQ Mika,red,"('Rafaela', 'Claude', 'Lunox', 'Ling', 'Paquito')","('Phoveus', 'Franco', 'Valentina', 'Faramis', 'Masha')",0,14:58,898,5,2,0,1,bracket
149,20220825,Rocka Azure,red,"('Esmeralda', 'Hanzo', 'Harith', 'Popol and Kupa', 'Diggie')","('Wanwan', 'Valentina', 'Julian', 'Khufra', 'Karrie')",0,RRQ Mika,blue,"('Mathilda', 'Martis', 'Yve', 'Yi Sun-Shin', 'Masha')","('Karina', 'Ling', 'Faramis', 'Paquito', 'Franco')",1,13:46,826,5,3,1,1,bracket
149,20220825,Rocka Azure,blue,"('Phoveus', 'Ling', 'Faramis', 'Beatrix', 'Lolita')","('Akai', 'Wanwan', 'Julian', 'Karina', 'Yu Zhong')",0,RRQ Mika,red,"('Franco', 'Brody', 'Xavier', 'Benedetta', 'Gatotkaca')","('Cecilion', 'Atlas', 'Paquito', 'Valentina', 'Masha')",1,11:54,714,5,4,1,2,bracket
149,20220823,Omega Empress,blue,"('Esmeralda', 'Paquito', 'Pharsa', 'Wanwan', 'Franco')","('Faramis', 'Fanny', 'Akai', 'Masha', 'Dyrroth')",1,Rose Ophelia,red,"('Atlas', 'Clint', 'Cecilion', 'Hayabusa', 'Thamuz')","('Xavier', 'Yve', 'Julian', 'Natalia', 'Valentina')",0,14:35,875,5,1,0,0,bracket
149,20220823,Omega Empress,red,"('Dyrroth', 'Akai', 'Selena', 'Beatrix', 'Grock')","('Valentina', 'Natalia', 'Faramis', 'Angela', 'Franco')",1,Rose Ophelia,blue,"('Mathilda', 'Wanwan', 'Julian', 'Barats', 'Esmeralda')","('Cecilion', 'Xavier', 'Yve', 'Masha', 'Fanny')",0,21:49,1309,5,2,1,0,bracket
149,20220823,Omega Empress,blue,"('Masha', 'Fanny', 'Xavier', 'Irithel', 'Khufra')","('Akai', 'Faramis', 'Natalia', 'Claude', 'Lunox')",1,Rose Ophelia,red,"('Franco', 'Brody', 'Kadita', 'Paquito', 'Ruby')","('Atlas', 'Popol and Kupa', 'Yve', 'Julian', 'Valentina')",0,22:04,1324,5,3,2,0,bracket
149,20220823,Bigetron Era,red,"('Esmeralda', 'Benedetta', 'Yve', 'Beatrix', 'Lolita')","('Valentina', 'Faramis', 'Wanwan', 'Lylia', 'Kagura')",1,DDE Empresses,blue,"('Mathilda', 'Brody', 'Lunox', 'Akai', 'Dyrroth')","('Hilda', 'Claude', 'Julian', 'Cecilion', 'Masha')",0,08:57,537,5,1,0,0,bracket
149,20220823,Bigetron Era,blue,"('Gloo', 'Akai', 'Cecilion', 'Bruno', 'Mathilda')","('Wanwan', 'Masha', 'Yve', 'Ling', 'Benedetta')",1,DDE Empresses,red,"('Hilda', 'Irithel', 'Lylia', 'Lancelot', 'Esmeralda')","('Popol and Kupa', 'Claude', 'Julian', 'Valentina', 'Faramis')",0,09:40,580,5,2,1,0,bracket
149,20220823,Bigetron Era,red,"('Paquito', 'Aamon', 'Selena', 'Popol and Kupa', 'Chou')","('Valentina', 'Faramis', 'Wanwan', 'Khufra', 'Atlas')",1,DDE Empresses,blue,"('Ruby', 'Melissa', 'Cecilion', 'Ling', 'Phoveus')","('Lunox', 'Lylia', 'Hilda', 'Julian', 'Masha')",0,11:10,670,5,3,2,0,bracket
149,20220825,Omega Empress,blue,"('Dyrroth', 'Helcurt', 'Yve', 'Beatrix', 'Jawhead')","('Faramis', 'Natalia', 'Fanny', 'Popol and Kupa', 'Claude')",0,Bigetron Era,red,"('Hilda', 'Clint', 'Julian', 'Akai', 'X.Borg')","('Franco', 'Atlas', 'Masha', 'Wanwan', 'Valentina')",1,11:17,677,5,1,0,0,bracket
149,20220825,Omega Empress,blue,"('Masha', 'Thamuz', 'Cecilion', 'Claude', 'Grock')","('Fanny', 'Natalia', 'Beatrix', 'Lolita', 'Franco')",0,Bigetron Era,red,"('Chou', 'Karrie', 'Yve', 'Karina', 'Esmeralda')","('Mathilda', 'Akai', 'Wanwan', 'Faramis', 'Valentina')",1,17:10,1030,5,2,0,1,bracket
149,20220825,Omega Empress,red,"('Esmeralda', 'Fanny', 'Xavier', 'Popol and Kupa', 'Diggie')","('Wanwan', 'Natalia', 'Akai', 'Atlas', 'Franco')",0,Bigetron Era,blue,"('Khufra', 'Brody', 'Faramis', 'Helcurt', 'Paquito')","('Ling', 'Dyrroth', 'Masha', 'Beatrix', 'Valentina')",1,10:26,626,5,3,0,2,bracket
149,20220824,IDNS Elsa,red,"('Esmeralda', 'Ling', 'Yve', 'Brody', 'Atlas')","('Valentina', 'Faramis', 'Wanwan', 'Dyrroth', 'Cecilion')",1,Reborn,blue,"('Franco', 'Claude', 'Lunox', 'Akai', 'Ruby')","('Clint', 'Popol and Kupa', 'Masha', 'Beatrix', 'Julian')",0,15:08,908,5,1,0,0,bracket
149,20220824,IDNS Elsa,red,"('Thamuz', 'Hayabusa', 'Cyclops', 'Claude', 'Franco')","('Wanwan', 'Valentina', 'Faramis', 'Yve', 'Cecilion')",0,Reborn,blue,"('Atlas', 'Beatrix', 'Kagura', 'X.Borg', 'Esmeralda')","('Lancelot', 'Dyrroth', 'Masha', 'Akai', 'Julian')",1,14:19,859,5,2,1,0,bracket
149,20220824,IDNS Elsa,blue,"('Dyrroth', 'Julian', 'Pharsa', 'Beatrix', 'Angela')","('Valentina', 'Masha', 'Popol and Kupa', 'Thamuz', 'Balmond')",0,Reborn,red,"('Grock', 'Clint', 'Cecilion', 'Ling', 'Uranus')","('Xavier', 'Kagura', 'Akai', 'Faramis', 'Wanwan')",1,12:11,731,5,3,1,1,bracket
149,20220824,IDNS Elsa,blue,"('Uranus', 'Paquito', 'Kagura', 'Clint', 'Lolita')","('Julian', 'Diggie', 'Dyrroth', 'Fanny', 'Karina')",0,Reborn,red,"('Khufra', 'Karrie', 'Yve', 'Leomord', 'Alice')","('Akai', 'Popol and Kupa', 'Valentina', 'Faramis', 'Wanwan')",1,13:42,822,5,4,1,2,bracket
149,20220826,Rocka Azure,blue,"('Dyrroth', 'Hayabusa', 'Julian', 'Beatrix', 'Grock')","('Natalia', 'Phoveus', 'Masha', 'Claude', 'Karrie')",1,Reborn,red,"('Mathilda', 'Clint', 'Cecilion', 'Akai', 'Esmeralda')","('Diggie', 'Atlas', 'Faramis', 'Wanwan', 'Valentina')",0,13:48,828,5,1,0,0,bracket
149,20220826,Rocka Azure,red,"('Phoveus', 'Ling', 'Xavier', 'Natan', 'Khufra')","('Valentina', 'Julian', 'Faramis', 'Atlas', 'Karina')",1,Reborn,blue,"('Diggie', 'Wanwan', 'Nana', 'Leomord', 'Dyrroth')","('Franco', 'Brody', 'Esmeralda', 'Masha', 'Akai')",0,13:37,817,5,2,1,0,bracket
149,20220826,Rocka Azure,red,"('Benedetta', 'Paquito', 'Cecilion', 'Claude', 'Atlas')","('Beatrix', 'Masha', 'Valentina', 'Ling', 'Natalia')",1,Reborn,blue,"('Faramis', 'Popol and Kupa', 'Yve', 'X.Borg', 'Uranus')","('Karina', 'Hanzo', 'Wanwan', 'Akai', 'Esmeralda')",0,18:41,1121,5,3,2,0,bracket
149,20220824,Rose Ophelia,red,"('Thamuz', 'Paquito', 'Xavier', 'Karrie', 'Diggie')","('Valentina', 'Wanwan', 'Faramis', 'Yve', 'Kagura')",0,DDE Empresses,blue,"('Ruby', 'Beatrix', 'Lylia', 'Akai', 'Esmeralda')","('Clint', 'Popol and Kupa', 'Masha', 'Julian', 'Cecilion')",1,21:57,1317,5,1,0,0,bracket
149,20220824,Rose Ophelia,blue,"('Esmeralda', 'Fanny', 'Kadita', 'Beatrix', 'Akai')","('Julian', 'Wanwan', 'Masha', 'Yve', 'Xavier')",1,DDE Empresses,red,"('Mathilda', 'Brody', 'Pharsa', 'Ling', 'Yu Zhong')","('Atlas', 'Lylia', 'Cecilion', 'Valentina', 'Faramis')",0,16:52,1012,5,2,0,1,bracket
