tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
14,20230831,Mongolia,blue,"('Paquito', 'Fredrinn', 'Novaria', 'Melissa', 'Chou')","('Yve', 'Kaja', 'Joy', 'Terizla', 'Edith')",0,Egypt,red,"('Franco', 'Brody', 'Valentina', 'Fanny', 'Barats')","('Kadita', 'Faramis', 'Beatrix', 'Khufra', 'Akai')",1,15:40,940,3,1,0,0,bracket
14,20230831,Mongolia,red,"('Yu Zhong', 'Martis', 'Yve', 'Brody', 'Lolita')","('Irithel', 'Claude', 'Kadita', 'Joy', 'Fanny')",0,Egypt,blue,"('Kaja', 'Clint', 'Valentina', 'Lancelot', 'Terizla')","('Franco', 'Khufra', 'Fredrinn', 'Faramis', 'Beatrix')",1,17:31,1051,3,2,0,1,bracket
14,20230831,Saudi Arabia,blue,"('Edith', 'Lancelot', 'Valentina', 'Claude', 'Kaja')","('Novaria', 'Baxia', 'Angela', 'Floryn', 'Yu Zhong')",0,Kazakhstan,red,"('Khufra', 'Brody', 'Yve', 'Martis', 'Lapu-Lapu')","('Akai', 'Ling', 'Kadita', 'Fredrinn', 'Joy')",1,18:27,1107,3,1,0,0,bracket
14,20230831,Saudi Arabia,red,"('Terizla', 'Baxia', 'Valentina', 'Karrie', 'Franco')","('Yu Zhong', 'Floryn', 'Yve', 'Angela', 'Arlott')",1,Kazakhstan,blue,"('Edith', 'Claude', 'Valir', 'Fredrinn', 'Lapu-Lapu')","('Lesley', 'Beatrix', 'Ling', 'Kadita', 'Joy')",0,22:40,1360,3,2,0,1,bracket
14,20230831,Saudi Arabia,blue,"('Terizla', 'Baxia', 'Valentina', 'Karrie', 'Khufra')","('Arlott', 'Yve', 'Angela', 'Yu Zhong', 'Brody')",1,Kazakhstan,red,"('Kaja', 'Lesley', 'Faramis', 'Martis', 'Lapu-Lapu')","('Fredrinn', 'Joy', 'Kadita', 'Franco', 'Floryn')",0,19:18,1158,3,3,1,1,bracket
14,20230901,Egypt,red,"('Uranus', 'Ling', 'Valentina', 'Clint', 'Khufra')","('Beatrix', 'Karrie', 'Franco', 'Kadita', 'Chou')",0,Saudi Arabia,blue,"('Arlott', 'Irithel', 'Yve', 'Fredrinn', 'Terizla')","('Yu Zhong', 'Lancelot', 'Joy', 'Kaja', 'Fanny')",1,18:03,1083,3,1,0,0,bracket
14,20230901,Egypt,blue,"('Barats', 'Hylos', 'Valentina', 'Beatrix', 'Franco')","('Yve', 'Chou', 'Terizla', 'X.Borg', 'Claude')",1,Saudi Arabia,red,"('Khufra', 'Karrie', 'Kadita', 'Fredrinn', 'Edith')","('Fanny', 'Joy', 'Kaja', 'Martis', 'Lancelot')",0,25:29,1529,3,2,0,1,bracket
14,20230901,Egypt,red,"('Terizla', 'Lancelot', 'Valentina', 'Claude', 'Faramis')","('Beatrix', 'Karrie', 'Fredrinn', 'Chou', 'Yve')",0,Saudi Arabia,blue,"('Franco', 'Irithel', 'Kadita', 'Baxia', 'Edith')","('Diggie', 'Khufra', 'Joy', 'Kaja', 'Fanny')",1,13:45,825,3,3,1,1,bracket
14,20230831,Indonesia,blue,"('Paquito', 'Fredrinn', 'Novaria', 'Beatrix', 'Kaja')","('Estes', 'Yve', 'Baxia', 'Barats', 'Martis')",1,Brazil,red,"('Khufra', 'Irithel', 'Valentina', 'Guinevere', 'Uranus')","('Kadita', 'Karrie', 'Ling', 'Joy', 'Fanny')",0,14:01,841,3,1,0,0,bracket
14,20230831,Indonesia,red,"('Terizla', 'Martis', 'Valentina', 'Melissa', 'Atlas')","('Kagura', 'Pharsa', 'Floryn', 'Yve', 'Estes')",1,Brazil,blue,"('Lolita', 'Brody', 'Novaria', 'Fredrinn', 'Paquito')","('Angela', 'Baxia', 'Joy', 'Kaja', 'Fanny')",0,20:15,1215,3,2,1,0,bracket
14,20230831,Philippines,blue,"('Gloo', 'Fredrinn', 'Kadita', 'Claude', 'Franco')","('Yve', 'Faramis', 'Kaja', 'Martis', 'Baxia')",1,United Arab Emirates,red,"('Floryn', 'Beatrix', 'Novaria', 'Balmond', 'Paquito')","('Fanny', 'Ling', 'Joy', 'Terizla', 'Khufra')",0,14:18,858,3,1,0,0,bracket
14,20230831,Philippines,red,"('Terizla', 'Martis', 'Pharsa', 'Brody', 'Novaria')","('Valir', 'Atlas', 'Faramis', 'Kaja', 'Yve')",1,United Arab Emirates,blue,"('Angela', 'Melissa', 'Valentina', 'Fredrinn', 'Yu Zhong')","('Baxia', 'Franco', 'Ling', 'Kadita', 'Fanny')",0,14:00,840,3,2,1,0,bracket
14,20230901,Indonesia,blue,"('Uranus', 'Fredrinn', 'Valentina', 'Claude', 'Angela')","('Kadita', 'Fanny', 'Paquito', 'Martis', 'Baxia')",0,Philippines,red,"('Franco', 'Brody', 'Novaria', 'Lancelot', 'Terizla')","('Kaja', 'Joy', 'Yve', 'Atlas', 'Yu Zhong')",1,11:00,660,3,1,0,0,bracket
14,20230901,Indonesia,red,"('Khaleed', 'Joy', 'Valentina', 'Brody', 'Lolita')","('Fredrinn', 'Lancelot', 'Kadita', 'Terizla', 'Fanny')",0,Philippines,blue,"('Franco', 'Beatrix', 'Novaria', 'Baxia', 'Paquito')","('Ruby', 'Yu Zhong', 'Yve', 'Faramis', 'Kaja')",1,11:55,715,3,2,0,1,bracket
14,20230902,Saudi Arabia,blue,"('Edith', 'Fredrinn', 'Valentina', 'Irithel', 'Franco')","('Fanny', 'Joy', 'Faramis', 'Brody', 'Beatrix')",0,Philippines,red,"('Khufra', 'Clint', 'Novaria', 'Baxia', 'Paquito')","('Karrie', 'Terizla', 'Kadita', 'Yve', 'Kaja')",1,16:18,978,3,1,0,0,bracket
14,20230902,Saudi Arabia,red,"('Terizla', 'Baxia', 'Valentina', 'Karrie', 'Edith')","('Fanny', 'Joy', 'Novaria', 'Paquito', 'Beatrix')",0,Philippines,blue,"('Franco', 'Brody', 'Pharsa', 'Fredrinn', 'X.Borg')","('Chou', 'Khufra', 'Kadita', 'Yve', 'Kaja')",1,11:57,717,3,2,0,1,bracket
14,20230901,Mongolia,red,"('Fredrinn', 'Ling', 'Valentina', 'Irithel', 'Faramis')","('Kadita', 'Angela', 'Kaja', 'Brody', 'Claude')",1,Kazakhstan,blue,"('Novaria', 'Beatrix', 'Yve', 'Baxia', 'Yu Zhong')","('Hayabusa', 'Terizla', 'Lancelot', 'Fanny', 'Joy')",0,13:40,820,3,1,0,0,bracket
14,20230901,Mongolia,blue,"('X.Borg', 'Lancelot', 'Valentina', 'Irithel', 'Franco')","('Kadita', 'Kaja', 'Angela', 'Khufra', 'Floryn')",0,Kazakhstan,red,"('Edith', 'Claude', 'Yve', 'Baxia', 'Terizla')","('Joy', 'Arlott', 'Faramis', 'Minotaur', 'Chou')",1,14:38,878,3,2,1,0,bracket
14,20230901,Mongolia,blue,"('Terizla', 'Fredrinn', 'Valentina', 'Lesley', 'Floryn')","('Baxia', 'Kadita', 'Kaja', 'Irithel', 'Brody')",1,Kazakhstan,red,"('Angela', 'Claude', 'Novaria', 'Martis', 'Lapu-Lapu')","('Joy', 'Faramis', 'Yve', 'Franco', 'Beatrix')",0,21:42,1302,3,3,1,1,bracket
14,20230902,Indonesia,blue,"('X.Borg', 'Fredrinn', 'Valentina', 'Claude', 'Grock')","('Faramis', 'Terizla', 'Novaria', 'Floryn', 'Baxia')",0,Mongolia,red,"('Khufra', 'Brody', 'Yve', 'Martis', 'Edith')","('Yu Zhong', 'Gloo', 'Paquito', 'Kaja', 'Joy')",1,15:21,921,3,1,0,0,bracket
14,20230902,Indonesia,red,"('Uranus', 'Martis', 'Yve', 'Melissa', 'Novaria')","('Terizla', 'Paquito', 'Edith', 'Ling', 'Floryn')",1,Mongolia,blue,"('Franco', 'Brody', 'Faramis', 'Fredrinn', 'Gloo')","('Lancelot', 'Baxia', 'Fanny', 'Joy', 'Kaja')",0,25:23,1523,3,2,0,1,bracket
14,20230902,Indonesia,blue,"('Fredrinn', 'Fanny', 'Kadita', 'Karrie', 'Kaja')","('Terizla', 'Edith', 'Faramis', 'Franco', 'Khufra')",1,Mongolia,red,"('Akai', 'Brody', 'Novaria', 'Baxia', 'Arlott')","('Joy', 'Yve', 'Paquito', 'Yu Zhong', 'Beatrix')",0,20:20,1220,3,3,1,1,bracket
14,20230901,Brazil,blue,"('Uranus', 'Fredrinn', 'Valentina', 'Irithel', 'Mathilda')","('Angela', 'Baxia', 'Kaja', 'Karrie', 'Yu Zhong')",1,United Arab Emirates,red,"('Novaria', 'Brody', 'Yve', 'Martis', 'Terizla')","('Floryn', 'Claude', 'Estes', 'Khufra', 'Lolita')",0,27:29,1649,3,1,0,0,bracket
14,20230901,Brazil,red,"('Terizla', 'Martis', 'Valentina', 'Claude', 'Lolita')","('Karrie', 'Yu Zhong', 'Kaja', 'Angela', 'Yve')",1,United Arab Emirates,blue,"('Khufra', 'Lesley', 'Novaria', 'Fredrinn', 'X.Borg')","('Brody', 'Irithel', 'Baxia', 'Estes', 'Floryn')",0,11:59,719,3,2,1,0,bracket
14,20230901,Egypt,red,"('Terizla', 'Fanny', 'Novaria', 'Irithel', 'Grock')","('Faramis', 'Valentina', 'Fredrinn', 'Yve', 'Kadita')",1,Brazil,blue,"('Estes', 'Claude', 'Kagura', 'Baxia', 'Edith')","('Khufra', 'Brody', 'Kaja', 'Franco', 'Joy')",0,15:00,900,3,1,0,0,bracket
14,20230901,Egypt,blue,"('Fredrinn', 'Fanny', 'Novaria', 'Brody', 'Khufra')","('Faramis', 'Yve', 'Kadita', 'Grock', 'Lolita')",1,Brazil,red,"('Ruby', 'Beatrix', 'Valentina', 'Martis', 'Terizla')","('Franco', 'Joy', 'Kaja', 'Floryn', 'Uranus')",0,15:29,929,3,2,1,0,bracket
14,20230902,Indonesia,red,"('Paquito', 'Baxia', 'Faramis', 'Beatrix', 'Novaria')","('Brody', 'Khufra', 'Terizla', 'Fanny', 'Franco')",1,Egypt,blue,"('Minotaur', 'Karrie', 'Valentina', 'Joy', 'Fredrinn')","('Floryn', 'Angela', 'Kaja', 'Kadita', 'Yve')",0,11:28,688,3,1,0,0,bracket
14,20230902,Indonesia,blue,"('Gloo', 'Joy', 'Faramis', 'Beatrix', 'Kaja')","('Franco', 'Terizla', 'Fanny', 'Barats', 'Uranus')",0,Egypt,red,"('Khufra', 'Brody', 'Novaria', 'Fredrinn', 'Yu Zhong')","('Yve', 'Kadita', 'Paquito', 'Lancelot', 'Baxia')",1,13:48,828,3,2,1,0,bracket
14,20230902,Indonesia,red,"('Grock', 'Lancelot', 'Novaria', 'Brody', 'Akai')","('Karrie', 'Beatrix', 'Khufra', 'Franco', 'Fredrinn')",1,Egypt,blue,"('Kaja', 'Clint', 'Kadita', 'Fanny', 'Gloo')","('Baxia', 'Terizla', 'Paquito', 'Faramis', 'Yve')",0,19:49,1189,3,3,1,1,bracket
