tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
153,20220729,Impunity KH,blue,"('Johnson', 'Kadita', 'Beatrix', 'Paquito', 'Hylos')","('Akai', 'Yve', 'Julian', 'Natalia', 'Diggie')",0,Falcon Esports,red,"('Baxia', 'Thamuz', 'Masha', 'Wanwan', 'Lylia')","('Karina', 'Ling', 'Faramis', 'Fanny', 'Valentina')",1,14:04,844,5,1,0,0,bracket
153,20220729,Impunity KH,blue,"('Faramis', 'Karrie', 'Xavier', 'Barats', 'Baxia')","('Akai', 'Lylia', 'Phoveus', 'Karina', 'Julian')",0,Falcon Esports,red,"('Benedetta', 'Cecilion', 'Natalia', 'Beatrix', 'Thamuz')","('Paquito', 'Masha', 'Wanwan', 'Valentina', 'Fanny')",1,12:11,731,5,2,0,1,bracket
153,20220729,Impunity KH,red,"('Rafaela', 'Beatrix', 'Masha', 'Karina', 'Luo Yi')","('Akai', 'Valentina', 'Johnson', 'Popol and Kupa', 'Irithel')",0,Falcon Esports,blue,"('Karrie', 'Atlas', 'Julian', 'Thamuz', 'Faramis')","('Paquito', 'Ling', 'Lylia', 'Fanny', 'Wanwan')",1,10:15,615,5,3,0,2,bracket
153,20220730,Yasbih Esports,blue,"('Thamuz', 'Natalia', 'Yve', 'Lunox', 'Paquito')","('Fanny', 'Masha', 'Johnson', 'Mathilda', 'Cecilion')",0,Falcon Esports,red,"('Jawhead', 'Kagura', 'Esmeralda', 'Akai', 'Karrie')","('Dyrroth', 'Ling', 'Wanwan', 'Faramis', 'Valentina')",1,25:00,1500,3,1,0,0,bracket
153,20220730,Yasbih Esports,blue,"('Akai', 'Natalia', 'Ling', 'Clint', 'Cecilion')","('Fanny', 'Masha', 'Karrie', 'Johnson', 'Mathilda')",0,Falcon Esports,red,"('Hilda', 'Kagura', 'Esmeralda', 'Julian', 'Beatrix')","('Popol and Kupa', 'Lunox', 'Thamuz', 'Faramis', 'Valentina')",1,15:37,937,3,2,0,1,bracket
153,20220729,See You Soon,red,"('Thamuz', 'Beatrix', 'Lylia', 'Hilda', 'Dyrroth')","('Natalia', 'Akai', 'Masha', 'Claude', 'Baxia')",1,AUG3 Esports,blue,"('Ling', 'Wanwan', 'Esmeralda', 'Yve', 'Faramis')","('Atlas', 'Chou', 'Fanny', 'Julian', 'Valentina')",0,13:18,798,5,1,0,0,bracket
153,20220729,See You Soon,red,"('Wanwan', 'Akai', 'Phoveus', 'Cecilion', 'Hayabusa')","('Natalia', 'Masha', 'Thamuz', 'Esmeralda', 'Grock')",0,AUG3 Esports,blue,"('Franco', 'Uranus', 'Beatrix', 'Xavier', 'Fanny')","('Khufra', 'Ruby', 'Faramis', 'Valentina', 'Julian')",1,19:55,1195,5,2,1,0,bracket
153,20220729,See You Soon,red,"('Wanwan', 'Akai', 'Phoveus', 'Cecilion', 'Atlas')","('Natalia', 'Masha', 'Julian', 'Esmeralda', 'Xavier')",1,AUG3 Esports,blue,"('Yve', 'Uranus', 'Franco', 'Beatrix', 'Fanny')","('Hilda', 'Ruby', 'Thamuz', 'Valentina', 'Faramis')",0,28:13,1693,5,3,1,1,bracket
153,20220729,See You Soon,red,"('Julian', 'Franco', 'Phoveus', 'Dyrroth', 'Karrie')","('Natalia', 'Akai', 'Wanwan', 'Esmeralda', 'Uranus')",1,AUG3 Esports,blue,"('Masha', 'Karina', 'Beatrix', 'Xavier', 'Thamuz')","('Brody', 'Claude', 'Fanny', 'Valentina', 'Faramis')",0,13:08,788,5,4,2,1,bracket
153,20220730,DNS HS.Romeo,red,"('Beatrix', 'Cecilion', 'Esmeralda', 'Barats', 'Rafaela')","('Julian', 'Valentina', 'Johnson', 'Yve', 'Wanwan')",0,See You Soon,blue,"('Lolita', 'Karrie', 'Karina', 'Thamuz', 'Faramis')","('Hayabusa', 'Franco', 'Fanny', 'Masha', 'Akai')",1,20:54,1254,3,1,0,0,bracket
