tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
154,20220610,MBR Delphyne,red,"('Cecilion', 'Dyrroth', 'Fanny', 'Franco', 'Beatrix')","('Xavier', 'Hilda', 'Akai', 'Thamuz', 'Atlas')",0,Alter Ego Nyx,blue,"('Uranus', 'Khufra', 'Brody', 'Yve', 'Ling')","('Wanwan', 'Popol and Kupa', 'Valentina', 'Julian', 'Masha')",1,16:08,968,3,1,0,0,bracket
154,20220610,MBR Delphyne,red,"('Cecilion', 'Dyrroth', 'Fanny', 'Franco', 'Wanwan')","('Xavier', 'Hilda', 'Akai', 'Khufra', 'Thamuz')",0,Alter Ego Nyx,blue,"('Atlas', 'Ruby', 'Popol and Kupa', 'Yve', 'Ling')","('Brody', 'Beatrix', 'Valentina', 'Julian', 'Masha')",1,21:43,1303,3,2,0,1,bracket
154,20220610,Bigetron Era,red,"('Esmeralda', 'Mathilda', 'Xavier', 'Balmond', 'Karrie')","('Akai', 'Ling', 'Valentina', 'Uranus', 'Karina')",1,Alter Ego Nyx,blue,"('Thamuz', 'Dyrroth', 'Hilda', 'Beatrix', 'Yve')","('Brody', 'Popol and Kupa', 'Wanwan', 'Masha', 'Julian')",0,13:59,839,3,1,0,0,bracket
154,20220610,Bigetron Era,red,"('Esmeralda', 'Hilda', 'Cecilion', 'Brody', 'Karina')","('Akai', 'Ling', 'Valentina', 'Mathilda', 'Angela')",1,Alter Ego Nyx,blue,"('Clint', 'Selena', 'Balmond', 'Yve', 'Masha')","('Lancelot', 'Helcurt', 'Xavier', 'Wanwan', 'Julian')",0,13:19,799,3,2,1,0,bracket
154,20220610,EVOS Lynx,red,"('Xavier', 'Wanwan', 'Hayabusa', 'Esmeralda', 'Khufra')","('Valentina', 'Akai', 'Ling', 'Cecilion', 'Lylia')",1,RRQ Mika,blue,"('Helcurt', 'Dyrroth', 'Lolita', 'Beatrix', 'Julian')","('Grock', 'Hilda', 'Masha', 'Atlas', 'Yve')",0,19:01,1141,3,1,0,0,bracket
154,20220610,EVOS Lynx,blue,"('Wanwan', 'Xavier', 'Hilda', 'Dyrroth', 'Baxia')","('Masha', 'Ling', 'Yve', 'Lolita', 'Atlas')",1,RRQ Mika,red,"('Carmilla', 'Esmeralda', 'Hayabusa', 'Brody', 'Cecilion')","('Helcurt', 'Karina', 'Akai', 'Julian', 'Valentina')",0,14:22,862,3,2,1,0,bracket
154,20220610,GPX Basreng,blue,"('Karina', 'Grock', 'Cecilion', 'Yu Zhong', 'Brody')","('Masha', 'Atlas', 'Yve', 'Balmond', 'Baxia')",1,EVOS Lynx,red,"('Ling', 'Beatrix', 'Hilda', 'Xavier', 'Julian')","('Mathilda', 'Esmeralda', 'Wanwan', 'Akai', 'Valentina')",0,15:37,937,3,1,0,0,bracket
154,20220610,GPX Basreng,blue,"('Karina', 'Clint', 'Grock', 'Lylia', 'Dyrroth')","('Atlas', 'Masha', 'Yve', 'Cecilion', 'Popol and Kupa')",0,EVOS Lynx,red,"('Beatrix', 'Esmeralda', 'Ling', 'Lolita', 'Julian')","('Franco', 'Hilda', 'Wanwan', 'Valentina', 'Akai')",1,24:06,1446,3,2,1,0,bracket
154,20220610,GPX Basreng,red,"('Xavier', 'Karina', 'Diggie', 'Brody', 'Yu Zhong')","('Valentina', 'Wanwan', 'Akai', 'Ling', 'Helcurt')",0,EVOS Lynx,blue,"('Hayabusa', 'Beatrix', 'Lolita', 'Esmeralda', 'Julian')","('Uranus', 'Popol and Kupa', 'Cecilion', 'Atlas', 'Masha')",1,31:03,1863,3,3,1,1,bracket
154,20220611,Bigetron Era,red,"('Hilda', 'Cecilion', 'Ling', 'Brody', 'Gloo')","('Julian', 'Valentina', 'Akai', 'Lylia', 'Lolita')",1,EVOS Lynx,blue,"('Lunox', 'Mathilda', 'Esmeralda', 'Karina', 'Wanwan')","('Popol and Kupa', 'Uranus', 'Xavier', 'Masha', 'Yve')",0,11:55,715,3,1,0,0,bracket
154,20220611,Bigetron Era,red,"('Yve', 'Esmeralda', 'Karina', 'Mathilda', 'Clint')","('Julian', 'Valentina', 'Akai', 'Lolita', 'Atlas')",1,EVOS Lynx,blue,"('Beatrix', 'Franco', 'Xavier', 'Helcurt', 'Masha')","('Brody', 'Popol and Kupa', 'Wanwan', 'Ling', 'Hilda')",0,14:01,841,3,2,1,0,bracket
154,20220610,Alter Ego Nyx,blue,"('Ling', 'Cecilion', 'Beatrix', 'Khufra', 'Phoveus')","('Julian', 'Hilda', 'Masha', 'Yu Zhong', 'Atlas')",0,GPX Basreng,red,"('Helcurt', 'Lolita', 'Grock', 'Wanwan', 'Xavier')","('Esmeralda', 'Diggie', 'Yve', 'Akai', 'Valentina')",1,14:21,861,3,1,0,0,bracket
154,20220610,Alter Ego Nyx,red,"('Xavier', 'Esmeralda', 'Lolita', 'Karina', 'Irithel')","('Valentina', 'Akai', 'Wanwan', 'Popol and Kupa', 'Brody')",0,GPX Basreng,blue,"('Karrie', 'Balmond', 'Mathilda', 'Uranus', 'Julian')","('Roger', 'Dyrroth', 'Yve', 'Ling', 'Atlas')",1,14:52,892,3,2,0,1,bracket
154,20220611,GPX Basreng,blue,"('Wanwan', 'Lolita', 'Cecilion', 'Karina', 'Grock')","('Julian', 'Ling', 'Atlas', 'Popol and Kupa', 'Beatrix')",1,EVOS Lynx,red,"('Fanny', 'Brody', 'Esmeralda', 'Xavier', 'Hilda')","('Valentina', 'Akai', 'Masha', 'Yu Zhong', 'Balmond')",0,22:47,1367,3,1,0,0,bracket
154,20220611,GPX Basreng,blue,"('Wanwan', 'Esmeralda', 'Lolita', 'Karina', 'Kagura')","('Julian', 'Ling', 'Yve', 'Beatrix', 'Hayabusa')",1,EVOS Lynx,red,"('Paquito', 'Clint', 'Franco', 'Xavier', 'Masha')","('Lylia', 'Helcurt', 'Cecilion', 'Akai', 'Valentina')",0,15:00,900,3,2,1,0,bracket
154,20220611,Bigetron Era,red,"('Karina', 'Xavier', 'Uranus', 'Brody', 'Lolita')","('Valentina', 'Akai', 'Wanwan', 'Balmond', 'Barats')",1,GPX Basreng,blue,"('Clint', 'Baxia', 'Cecilion', 'Mathilda', 'Esmeralda')","('Hilda', 'Atlas', 'Julian', 'Yve', 'Ling')",0,13:18,798,5,1,0,0,bracket
154,20220611,Bigetron Era,red,"('Karina', 'Cecilion', 'Atlas', 'Brody', 'Gloo')","('Valentina', 'Akai', 'Wanwan', 'Esmeralda', 'Popol and Kupa')",1,GPX Basreng,blue,"('Karrie', 'Grock', 'Balmond', 'Lolita', 'Xavier')","('Masha', 'Uranus', 'Yve', 'Julian', 'Ling')",0,19:34,1174,5,2,1,0,bracket
154,20220611,Bigetron Era,red,"('Karina', 'Cecilion', 'Esmeralda', 'Beatrix', 'Angela')","('Valentina', 'Akai', 'Wanwan', 'Balmond', 'Uranus')",1,GPX Basreng,blue,"('Grock', 'Hylos', 'Lolita', 'Brody', 'Xavier')","('Mathilda', 'Atlas', 'Yve', 'Julian', 'Ling')",0,17:45,1065,5,3,2,0,bracket
