tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
158,20220313,Breakers,red,"('Yu Zhong', ""Chang'e"", 'Ruby', 'Ling', 'Kagura')","('Clint', 'Roger', 'Lylia', 'Hayabusa', 'Paquito')",0,Ohana,blue,"('Popol and Kupa', 'Granger', 'Esmeralda', 'Rafaela', 'Yve')","('Beatrix', 'Claude', 'Cecilion', 'Selena', 'Valentina')",1,14:17,857,3,1,0,0,bracket
158,20220313,Breakers,red,"('Franco', 'Cecilion', 'Beatrix', 'Khaleed', 'Freya')","('Roger', 'Esmeralda', 'Lylia', 'Yve', 'Granger')",1,Ohana,blue,"('Kadita', 'Fanny', 'Yu Zhong', 'Chou', 'Ruby')","('Uranus', 'Phoveus', 'Paquito', 'Valentina', 'Selena')",0,10:00,600,3,2,0,1,bracket
158,20220313,Breakers,blue,"('Selena', 'Paquito', 'Chou', 'Yi Sun-Shin', 'Bane')","('Roger', 'Esmeralda', 'Yve', 'Hayabusa', 'Vale')",0,Ohana,red,"('Helcurt', 'Lunox', 'Phoveus', 'Lolita', 'Brody')","('Pharsa', 'Kagura', 'Lylia', 'Valentina', 'Cecilion')",1,18:27,1107,3,3,1,1,bracket
158,20220313,Reffex,blue,"('Yve', 'Uranus', 'Rafaela', 'Popol and Kupa', 'Selena')","('Kagura', 'Lylia', 'Ling', 'Harith', 'Clint')",0,RavenZ E-Sport,red,"('Aulus', 'Khaleed', 'Cecilion', 'Esmeralda', 'Natalia')","('Barats', 'Hayabusa', 'Valentina', 'Paquito', 'Roger')",1,21:06,1266,3,1,0,0,bracket
158,20220313,Reffex,red,"('Mathilda', 'Kagura', 'Phoveus', 'Wanwan', 'Helcurt')","('Paquito', 'Valentina', 'Cecilion', 'Esmeralda', 'Uranus')",1,RavenZ E-Sport,blue,"('Clint', 'Gloo', 'Ruby', 'Lancelot', 'Lylia')","('Hayabusa', 'Ling', 'Franco', 'Karina', 'Roger')",0,20:40,1240,3,2,0,1,bracket
158,20220313,Reffex,red,"('Rafaela', 'Esmeralda', 'Pharsa', 'Saber', 'Brody')","('Paquito', 'Valentina', 'Roger', 'Ling', 'Hayabusa')",0,RavenZ E-Sport,blue,"('Popol and Kupa', 'Harith', 'Chou', 'Ruby', 'Kagura')","('Wanwan', 'Helcurt', 'Clint', 'Uranus', 'Phoveus')",1,22:05,1325,3,3,1,1,bracket
158,20220403,Ohana,blue,"('Mathilda', 'Cecilion', 'Dyrroth', 'Lunox', 'Ruby')","('Wanwan', 'Masha', 'Valentina', 'Yve', 'Pharsa')",0,RavenZ E-Sport,red,"('Angela', 'Baxia', 'Uranus', 'Beatrix', 'Aulus')","('Popol and Kupa', 'Esmeralda', 'Lylia', 'Grock', 'Karina')",1,14:32,872,3,1,0,0,bracket
158,20220403,Ohana,red,"('Yu Zhong', 'Ruby', 'Yve', 'Ling', 'Lunox')","('Masha', 'Grock', 'Wanwan', 'Kagura', 'Pharsa')",0,RavenZ E-Sport,blue,"('Cecilion', 'Popol and Kupa', 'Esmeralda', 'Franco', 'Lancelot')","('Clint', 'Beatrix', 'Phoveus', 'Karina', 'Valentina')",1,12:56,776,3,2,0,1,bracket
158,20220320,Never Die,blue,"('Roger', 'Clint', 'Yve', 'Chou', 'Ruby')","('Fanny', 'Paquito', 'Karina', 'Khufra', 'Helcurt')",1,Impact Esports,red,"('Hayabusa', 'Selena', 'Brody', 'Cecilion', 'Yu Zhong')","('Esmeralda', 'Lolita', 'Yi Sun-Shin', 'Lylia', 'Valentina')",0,29:58,1798,3,1,0,0,bracket
158,20220320,Never Die,red,"('Yu Zhong', 'Roger', 'Brody', 'Ruby', 'Lunox')","('Fanny', 'Paquito', 'Valentina', 'Karina', 'Yi Sun-Shin')",1,Impact Esports,blue,"('Lylia', 'Aulus', 'Chou', 'Beatrix', 'Esmeralda')","('Pharsa', 'Lolita', 'Cecilion', 'Khufra', 'Yve')",0,15:04,904,3,2,1,0,bracket
158,20220320,Evanescent,red,"('Yve', 'Esmeralda', 'Popol and Kupa', 'Karina', 'Natalia')","('Selena', 'Lylia', 'Ruby', 'Wanwan', 'Beatrix')",0,Malvinas Gaming,blue,"('Lunox', 'Ling', 'Chou', 'Pharsa', 'Paquito')","('Lancelot', 'Hayabusa', 'Phoveus', 'Valentina', 'Roger')",1,13:33,813,3,1,0,0,bracket
158,20220320,Evanescent,blue,"('Brody', 'Pharsa', 'Hylos', 'Mathilda', 'Chou')","('Valentina', 'Roger', 'Karina', 'Hayabusa', 'Lancelot')",0,Malvinas Gaming,red,"('Kagura', 'Leomord', 'Dyrroth', 'Beatrix', 'Franco')","('Uranus', 'Esmeralda', 'Lylia', 'Ruby', 'Selena')",1,15:31,931,3,2,0,1,bracket
158,20220403,Never Die,red,"('Lylia', 'Rafaela', 'Hayabusa', 'Paquito', 'Brody')","('Wanwan', 'Grock', 'Masha', 'Esmeralda', 'Gloo')",0,Malvinas Gaming,blue,"('Kagura', 'Yu Zhong', 'Beatrix', 'Selena', 'Roger')","('Phoveus', 'Popol and Kupa', 'Valentina', 'Lolita', 'Karina')",1,11:52,712,3,1,0,0,bracket
158,20220403,Never Die,blue,"('Grock', 'Ruby', 'Yve', 'Clint', 'Leomord')","('Masha', 'Wanwan', 'Valentina', 'Kadita', 'Selena')",0,Malvinas Gaming,red,"('Natalia', 'Miya', 'Lylia', 'Phoveus', 'Roger')","('Beatrix', 'Popol and Kupa', 'Karina', 'Lolita')",1,10:01,601,3,2,0,1,bracket
158,20220417,RavenZ E-Sport,blue,"('Baxia', 'Yve', 'Clint', 'Lolita', 'Esmeralda')","('Selena', 'Grock', 'Valentina', 'Kagura', 'Natalia')",1,Malvinas Gaming,red,"('Pharsa', 'Mathilda', 'Beatrix', 'Dyrroth', 'Karina')","('Uranus', 'Ruby', 'Masha', 'Lylia', 'Hilda')",0,13:10,790,3,1,0,0,bracket
158,20220417,RavenZ E-Sport,red,"('Yve', 'Masha', 'Baxia', 'Brody', 'Angela')","('Selena', 'Grock', 'Hilda', 'Kagura', 'Ling')",1,Malvinas Gaming,blue,"('Cecilion', 'Roger', 'Yu Zhong', 'Clint', 'Ruby')","('Beatrix', 'Phoveus', 'Karina', 'Lylia', 'Valentina')",0,18:39,1119,3,2,1,0,bracket
158,20220327,Breakers,red,"('Wanwan', 'Yve', 'Lolita', 'Aulus', 'Masha')","('Karina', 'Cecilion', 'Phoveus', 'Yu Zhong', 'Popol and Kupa')",1,Evanescent,blue,"('Ruby', 'Clint', 'Belerick', 'Pharsa', 'Roger')","('Lancelot', 'Ling', 'Valentina', 'Lylia', 'Selena')",0,13:35,815,3,1,0,0,bracket
158,20220327,Breakers,red,"('Wanwan', 'Yu Zhong', 'Ruby', 'Roger', 'Lunox')","('Karina', 'Cecilion', 'Phoveus', 'Esmeralda', 'Paquito')",1,Evanescent,blue,"('X.Borg', 'Ling', 'Kagura', 'Lolita', 'Popol and Kupa')","('Pharsa', 'Yve', 'Valentina', 'Selena', 'Lylia')",0,18:25,1105,3,2,1,0,bracket
158,20220410,Never Die,blue,"('Grock', 'Beatrix', 'Ruby', 'Hayabusa', 'Lylia')","('Ling', 'Wanwan', 'Masha', 'Atlas', 'Paquito')",0,Breakers,red,"('Khufra', 'Yi Sun-Shin', 'Brody', 'Esmeralda', 'Yve')","('Roger', 'Cecilion', 'Valentina', 'Karina', 'Clint')",1,22:47,1367,3,1,0,0,bracket
158,20220410,Never Die,red,"('Cecilion', 'Esmeralda', 'Brody', 'Paquito', 'Lolita')","('Ling', 'Masha', 'Valentina', 'Atlas', 'Khufra')",0,Breakers,blue,"('Roger', 'Grock', 'Pharsa', 'Wanwan', 'Yu Zhong')","('Ruby', 'Hayabusa', 'Yve', 'Clint', 'Karina')",1,14:01,841,3,2,0,1,bracket
158,20220410,Ohana,blue,"('Esmeralda', 'Lunox', 'Clint', 'Lancelot', 'Edith')","('Masha', 'Grock', 'Baxia', 'Dyrroth', 'Khufra')",0,Reffex,red,"('Franco', 'Khaleed', 'Pharsa', 'Beatrix', 'Lancelot')","('Rafaela', 'Mathilda', 'Yve', 'Karina', 'Valentina')",1,15:13,913,3,1,0,0,bracket
158,20220410,Ohana,blue,"('Yu Zhong', 'Lolita', 'Beatrix', 'Yin', 'Pharsa')","('Ling', 'Masha', 'Baxia', 'Lylia', 'Popol and Kupa')",0,Reffex,red,"('Hayabusa', 'Esmeralda', 'Khaleed', 'Lancelot', 'Selena')","('Roger', 'Yve', 'Grock', 'Valentina', 'Karina')",1,10:34,634,3,2,0,1,bracket
158,20220417,Breakers,red,"('Karina', 'Ruby', 'Esmeralda', 'Karrie', 'Lunox')","('Franco', 'Baxia', 'Masha', 'Wanwan', 'Dyrroth')",0,Reffex,blue,"('Yu Zhong', 'Uranus', 'Ling', 'Grock', 'Yve')","('Cecilion', 'Kagura', 'Lylia', 'Selena', 'Valentina')",1,18:59,1139,3,1,0,0,bracket
158,20220417,Breakers,red,"('Grock', 'Cecilion', 'Popol and Kupa', 'Yi Sun-Shin', 'Mathilda')","('Yve', 'Karina', 'Uranus', 'Beatrix', 'Pharsa')",0,Reffex,blue,"('Clint', 'Kagura', 'Yu Zhong', 'Baxia', 'Hilda')","('Dyrroth', 'Esmeralda', 'Lylia', 'Selena', 'Valentina')",1,14:40,880,3,2,0,1,bracket
158,20220424,Malvinas Gaming,blue,"('Baxia', 'Karina', 'Wanwan', 'Masha', 'Pharsa')","('Valentina', 'Hilda', 'Angela', 'Phoveus', 'Franco')",1,Reffex,red,"('Dyrroth', 'Lolita', 'Barats', 'Clint', 'Yve')","('Kagura', 'Lylia', 'Grock', 'Ling', 'Selena')",0,17:27,1047,3,1,0,0,bracket
158,20220424,Malvinas Gaming,red,"('Karina', 'Beatrix', 'Natalia', 'Lylia', 'Esmeralda')","('Baxia', 'Yve', 'Hilda', 'Franco', 'Angela')",1,Reffex,blue,"('Yu Zhong', 'Mathilda', 'Kagura', 'Ling', 'Masha')","('Clint', 'Wanwan', 'Grock', 'Valentina', 'Selena')",0,12:38,758,3,2,1,0,bracket
158,20220424,RavenZ E-Sport,blue,"('Xavier', 'Karina', 'Franco', 'Brody', 'Paquito')","('Selena', 'Grock', 'Valentina', 'Natalia', 'Lolita')",0,Malvinas Gaming,red,"('Lunox', 'Ruby', 'Masha', 'Ling', 'Yve')","('Uranus', 'Wanwan', 'Angela', 'Hilda', 'Baxia')",1,29:35,1775,5,1,0,0,bracket
158,20220424,RavenZ E-Sport,red,"('Ling', 'Yve', 'Lolita', 'Hylos', 'Popol and Kupa')","('Angela', 'Grock', 'Masha', 'Kagura', 'Wanwan')",0,Malvinas Gaming,blue,"('Lylia', 'Beatrix', 'Esmeralda', 'Karina', 'Natalia')","('Dyrroth', 'Lunox', 'Franco', 'Hilda', 'Valentina')",1,16:52,1012,5,2,0,1,bracket
158,20220424,RavenZ E-Sport,red,"('Baxia', 'Esmeralda', 'Yve', 'Clint', 'Mathilda')","('Angela', 'Masha', 'Grock', 'Natalia', 'Ruby')",0,Malvinas Gaming,blue,"('Yu Zhong', 'Lolita', 'Wanwan', 'Lylia', 'Karina')","('Beatrix', 'Rafaela', 'Franco', 'Hilda', 'Valentina')",1,16:46,1006,5,3,0,2,bracket
