tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
159,20220312,Requiem,red,"('Brody', 'Mathilda', 'Pharsa', 'Baxia', 'Chou')","('Cecilion', 'Yve', 'Lylia', 'Kagura', 'Lunox')",0,D-Generation,blue,"(""Chang'e"", 'Kadita', 'Lolita', 'Granger', 'Yu Zhong')","('Ruby', 'Roger', 'Esmeralda', 'Lancelot', 'Valentina')",1,13:35,815,3,1,0,0,bracket
159,20220312,Requiem,red,"('Mathilda', 'Esmeralda', 'Roger', 'Clint', 'Chou')","('Kadita', 'Cecilion', 'Lylia', 'Granger', ""Chang'e"")",1,D-Generation,blue,"('Yi Sun-Shin', 'Brody', 'Lunox', 'Yu Zhong', 'Lolita')","('Kagura', 'Beatrix', 'Yve', 'Lancelot', 'Valentina')",0,13:57,837,3,2,0,1,bracket
159,20220312,Requiem,red,"('Yu Zhong', 'Lylia', 'Clint', 'Khufra', 'Natan')","('Valentina', 'Kadita', 'Cecilion', ""Chang'e"", 'Brody')",0,D-Generation,blue,"('Karrie', 'Valir', 'Granger', 'Paquito', 'Mathilda')","('Hayabusa', 'Lolita', 'Esmeralda', 'Lancelot', 'Roger')",1,18:43,1123,3,3,1,1,bracket
159,20220312,Method Gaming Bolivia,blue,"('Yve', 'Lolita', 'Esmeralda', 'Aldous', 'Popol and Kupa')","('Lancelot', 'Cecilion', 'Fanny', 'Paquito', 'Roger')",1,Rey de Reyes,red,"('Kagura', 'Granger', 'Mathilda', 'Yu Zhong', 'Brody')","('Beatrix', 'Aulus', 'Faramis', 'Valentina', 'Lylia')",0,14:37,877,3,1,0,0,bracket
159,20220312,Method Gaming Bolivia,blue,"('Yve', 'Brody', 'Estes', 'Barats', 'Khaleed')","('Pharsa', 'Esmeralda', 'Lylia', 'Popol and Kupa', 'Yin')",1,Rey de Reyes,red,"('Kimmy', 'Paquito', 'Faramis', 'Yu Zhong', 'Khufra')","('Roger', 'Aulus', 'Valentina', 'Cecilion', 'Lancelot')",0,15:02,902,3,2,1,0,bracket
159,20220402,D-Generation,blue,"('Clint', 'Esmeralda', 'Atlas', 'Pharsa', 'Cyclops')","('Lylia', 'Yve', 'Masha', 'Aldous', 'Khufra')",1,Method Gaming Bolivia,red,"('Tigreal', 'Kimmy', 'Faramis', 'Yu Zhong', 'Karrie')","('Roger', 'Lolita', 'Valentina', 'Cecilion', 'Wanwan')",0,20:56,1256,3,1,0,0,bracket
159,20220402,D-Generation,red,"('Clint', 'Ruby', 'Tigreal', 'Pharsa', 'Karina')","('Yve', 'Lylia', 'Valentina', 'Khufra', 'Atlas')",0,Method Gaming Bolivia,blue,"('Popol and Kupa', 'Diggie', 'Aldous', 'Faramis', 'Esmeralda')","('Aulus', 'Cyclops', 'Cecilion', 'Wanwan', 'Masha')",1,11:35,695,3,2,1,0,bracket
159,20220402,D-Generation,red,"(""Chang'e"", 'Yu Zhong', 'Lolita', 'Lunox', 'Granger')","('Esmeralda', 'Aldous', 'Faramis', 'Popol and Kupa', 'Aulus')",1,Method Gaming Bolivia,blue,"('Bruno', 'Roger', 'Uranus', 'Diggie', 'Valentina')","('Ling', 'Cyclops', 'Cecilion', 'Wanwan', 'Masha')",0,25:02,1502,3,3,1,1,bracket
159,20220319,Chaos Knight,blue,"('Yve', 'Diggie', 'Beatrix', 'Lapu-Lapu', 'Helcurt')","('Lancelot', 'Fanny', 'Cecilion', 'Clint', 'Yi Sun-Shin')",0,Level Up,red,"('Ling', 'Popol and Kupa', 'Pharsa', 'Esmeralda', 'Lolita')","('Yu Zhong', 'Aulus', 'Lylia', 'Roger', 'Valentina')",1,20:15,1215,3,1,0,0,bracket
159,20220319,Chaos Knight,red,"('Yve', 'Esmeralda', 'Paquito', 'Bruno', 'Rafaela')","('Lancelot', 'Fanny', 'Valentina', 'Dyrroth', 'Helcurt')",1,Level Up,blue,"('Popol and Kupa', 'Kimmy', 'Pharsa', 'Uranus', 'Lolita')","('Estes', 'Mathilda', 'Cecilion', 'Lylia', 'Roger')",0,13:37,817,3,2,0,1,bracket
