tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
15,20230721,ONIC Esports,red,"('Arlott', 'Joy', 'Valentina', 'Wanwan', 'Hilda')","('Yve', 'Uranus', 'Ling', 'Edith', 'Melissa')",1,Red Giants Esports,blue,"('Kaja', 'Beatrix', 'Yve', 'Hayabusa', 'Paquito')","('Terizla', 'Khufra', 'Fredrinn', 'Fanny', 'Kadita')",0,13:39,819,3,1,0,0,bracket
15,20230721,ONIC Esports,blue,"('Arlott', 'Ling', 'Pharsa', 'Beatrix', 'Hilda')","('Angela', 'Edith', 'Uranus', 'Joy', 'Grock')",1,Red Giants Esports,red,"('Chou', 'Claude', 'Valentina', 'Baxia', 'Yu Zhong')","('Wanwan', 'Harith', 'Paquito', 'Fanny', 'Kadita')",0,26:15,1575,3,2,1,0,bracket
15,20230721,RSG Philippines,red,"('Arlott', 'Karina', 'Valentina', 'Karrie', 'Franco')","('Kadita', 'Fanny', 'Ling', 'Faramis', 'Paquito')",0,ONIC Esports,blue,"('Kaja', 'Claude', 'Novaria', 'Fredrinn', 'Masha')","('Baxia', 'Wanwan', 'Martis', 'Yve', 'Uranus')",1,14:57,897,3,1,0,0,bracket
15,20230721,RSG Philippines,red,"('Gloo', 'Fredrinn', 'Valentina', 'Karrie', 'Lolita')","('Kadita', 'Ling', 'Fanny', 'Masha', 'Terizla')",0,ONIC Esports,blue,"('Kaja', 'Claude', 'Angela', 'Joy', 'Arlott')","('Esmeralda', 'Franco', 'Martis', 'Yve', 'Uranus')",1,15:55,955,3,2,0,1,bracket
15,20230721,ECHO,red,"('Uranus', 'Baxia', 'Yve', 'Brody', 'Kaja')","('Angela', 'Melissa', 'Paquito', 'Dyrroth', 'Franco')",1,Bigetron Alpha,blue,"('Faramis', 'Beatrix', 'Khufra', 'Joy', 'Ruby')","('Harith', 'Ling', 'Claude', 'Kadita', 'Valentina')",0,20:09,1209,3,1,0,0,bracket
15,20230721,ECHO,blue,"('Dyrroth', 'Karina', 'Pharsa', 'Brody', 'Kaja')","('Angela', 'Melissa', 'Paquito', 'Franco', 'Wanwan')",0,Bigetron Alpha,red,"('Atlas', 'Beatrix', 'Faramis', 'Fanny', 'Uranus')","('Fredrinn', 'Martis', 'Yve', 'Claude', 'Valentina')",1,14:10,850,3,2,1,0,bracket
15,20230721,ECHO,red,"('Paquito', 'Ling', 'Kadita', 'Brody', 'Franco')","('Angela', 'Melissa', 'Faramis', 'Pharsa', 'Wanwan')",1,Bigetron Alpha,blue,"('Kaja', 'Beatrix', 'Novaria', 'Fanny', 'Uranus')","('Baxia', 'Dyrroth', 'Yve', 'Claude', 'Valentina')",0,12:11,731,3,3,1,1,bracket
15,20230721,AP.Bren,blue,"('Paquito', 'Akai', 'Valentina', 'Karrie', 'Minotaur')","('Faramis', 'Joy', 'Angela', 'Dyrroth', 'Harith')",1,ECHO,red,"('Grock', 'Claude', 'Kadita', 'Ling', 'Uranus')","('Chou', 'Khufra', 'Yve', 'Kaja', 'Franco')",0,11:22,682,3,1,0,0,bracket
15,20230721,AP.Bren,red,"('Terizla', 'Fanny', 'Valentina', 'Beatrix', 'Minotaur')","('Franco', 'Kaja', 'Yve', 'Martis', 'Baxia')",1,ECHO,blue,"('Chou', 'Claude', 'Angela', 'Fredrinn', 'Uranus')","('Dyrroth', 'Brody', 'Paquito', 'Kadita', 'Joy')",0,14:03,843,3,2,1,0,bracket
15,20230722,ONIC Esports,red,"('Arlott', 'Fanny', 'Pharsa', 'Claude', 'Khufra')","('Joy', 'Minotaur', 'Valentina', 'Akai', 'Martis')",0,AP.Bren,blue,"('Kaja', 'Beatrix', 'Faramis', 'Fredrinn', 'Paquito')","('Masha', 'Terizla', 'Yve', 'Ling', 'Kadita')",1,23:27,1407,5,1,0,0,bracket
15,20230722,ONIC Esports,red,"('Fredrinn', 'Fanny', 'Novaria', 'Melissa', 'Kaja')","('Joy', 'Minotaur', 'Valentina', 'Atlas', 'Claude')",1,AP.Bren,blue,"('Grock', 'Brody', 'Faramis', 'Akai', 'Paquito')","('Masha', 'Pharsa', 'Yve', 'Ling', 'Kadita')",0,16:05,965,5,2,0,1,bracket
15,20230722,ONIC Esports,red,"('Masha', 'Paquito', 'Faramis', 'Harith', 'Arlott')","('Minotaur', 'Valentina', 'Joy', 'Melissa', 'Yve')",0,AP.Bren,blue,"('Angela', 'Clint', 'Fredrinn', 'Ling', 'Terizla')","('Beatrix', 'Hilda', 'Kaja', 'Fanny', 'Kadita')",1,10:49,649,5,3,1,1,bracket
15,20230722,ONIC Esports,red,"('Masha', 'Fredrinn', 'Yve', 'Claude', 'Novaria')","('Joy', 'Minotaur', 'Ling', 'Grock', 'Hayabusa')",1,AP.Bren,blue,"('Angela', 'Beatrix', 'Valentina', 'Baxia', 'Terizla')","('Khufra', 'Martis', 'Kaja', 'Fanny', 'Kadita')",0,23:50,1430,5,4,1,2,bracket
15,20230722,ONIC Esports,red,"('Dyrroth', 'Lancelot', 'Yve', 'Claude', 'Franco')","('Joy', 'Minotaur', 'Ling', 'Wanwan', 'Baxia')",1,AP.Bren,blue,"('Angela', 'Clint', 'Valentina', 'Hayabusa', 'Uranus')","('Novaria', 'Paquito', 'Fanny', 'Kaja', 'Kadita')",0,22:01,1321,5,5,2,2,bracket
15,20230722,Red Giants Esports,red,"('Arlott', 'Hayabusa', 'Pharsa', 'Claude', 'Khufra')","('Kadita', 'Yve', 'Fredrinn', 'Karina', 'Ling')",1,ECHO,blue,"('Minotaur', 'Karrie', 'Valentina', 'Joy', 'Terizla')","('Fanny', 'Kaja', 'Angela', 'Uranus', 'Diggie')",0,22:37,1357,3,1,0,0,bracket
15,20230722,Red Giants Esports,blue,"('Terizla', 'Fanny', 'Valentina', 'Karrie', 'Grock')","('Kadita', 'Yve', 'Uranus', 'Ling', 'Hayabusa')",0,ECHO,red,"('Kaja', 'Brody', 'Pharsa', 'Fredrinn', 'Yu Zhong')","('Franco', 'Khufra', 'Faramis', 'Claude', 'Diggie')",1,27:11,1631,3,2,1,0,bracket
15,20230722,Red Giants Esports,red,"('Terizla', 'Ling', 'Novaria', 'Karrie', 'Kaja')","('Kadita', 'Yve', 'Valentina', 'Uranus', 'Hayabusa')",0,ECHO,blue,"('Khufra', 'Beatrix', 'Pharsa', 'Fredrinn', 'Yu Zhong')","('Wanwan', 'Harith', 'Claude', 'Fanny', 'Diggie')",1,14:31,871,3,3,1,1,bracket
15,20230722,Bigetron Alpha,red,"('Paquito', 'Baxia', 'Valentina', 'Claude', 'Franco')","('Yve', 'Uranus', 'Martis', 'Arlott', 'Esmeralda')",1,RSG Philippines,blue,"('Kaja', 'Beatrix', 'Pharsa', 'Joy', 'Fredrinn')","('Angela', 'Kadita', 'Melissa', 'Faramis', 'Ling')",0,13:43,823,3,1,0,0,bracket
15,20230722,Bigetron Alpha,red,"('X.Borg', 'Paquito', 'Valentina', 'Wanwan', 'Franco')","('Yve', 'Uranus', 'Arlott', 'Esmeralda', 'Masha')",1,RSG Philippines,blue,"('Khufra', 'Claude', 'Angela', 'Martis', 'Terizla')","('Beatrix', 'Baxia', 'Melissa', 'Joy', 'Ling')",0,13:06,786,3,2,1,0,bracket
15,20230722,ECHO,blue,"('Joy', 'Baxia', 'Yve', 'Beatrix', 'Minotaur')","('Paquito', 'Franco', 'Fanny', 'Ling', 'Hayabusa')",0,Bigetron Alpha,red,"('Angela', 'Claude', 'Valentina', 'Fredrinn', 'Khaleed')","('Lesley', 'Chou', 'Uranus', 'Kaja', 'Paquito')",1,23:08,1388,3,1,0,0,bracket
15,20230722,ECHO,blue,"('Fredrinn', 'Ling', 'Yve', 'Beatrix', 'Khufra')","('Karrie', 'Wanwan', 'Fanny', 'Claude', 'Paquito')",0,Bigetron Alpha,red,"('Franco', 'Melissa', 'Valentina', 'Joy', 'Grock')","('Arlott', 'Yu Zhong', 'Uranus', 'Kaja', 'Kadita')",1,16:29,989,3,2,0,1,bracket
15,20230723,AP.Bren,blue,"('Terizla', 'Martis', 'Valentina', 'Karrie', 'Franco')","('Kaja', 'Yve', 'Paquito', 'Masha', 'Faramis')",0,Bigetron Alpha,red,"('Angela', 'Claude', 'Kadita', 'Fredrinn', 'X.Borg')","('Wanwan', 'Beatrix', 'Joy', 'Minotaur', 'Ling')",1,13:43,823,5,1,0,0,bracket
15,20230723,AP.Bren,blue,"('Lapu-Lapu', 'Fanny', 'Pharsa', 'Claude', 'Khufra')","('Kaja', 'Angela', 'Fredrinn', 'Karrie', 'Grock')",0,Bigetron Alpha,red,"('Franco', 'Wanwan', 'Valentina', 'Baxia', 'Paquito')","('Faramis', 'Kadita', 'Ling', 'Minotaur', 'Joy')",1,14:53,893,5,2,0,1,bracket
15,20230723,AP.Bren,blue,"('Arlott', 'Fredrinn', 'Faramis', 'Claude', 'Angela')","('Kaja', 'Yve', 'Franco', 'Wanwan', 'Dyrroth')",0,Bigetron Alpha,red,"('Grock', 'Brody', 'Valentina', 'Baxia', 'Paquito')","('Lancelot', 'Fanny', 'Ling', 'Minotaur', 'Joy')",1,13:26,806,5,3,0,2,bracket
15,20230723,ONIC Esports,red,"('Uranus', 'Hayabusa', 'Valentina', 'Wanwan', 'Kaja')","('Joy', 'Paquito', 'Angela', 'Grock', 'Dyrroth')",1,Bigetron Alpha,blue,"('Floryn', 'Claude', 'Yve', 'Alice', 'Fredrinn')","('Baxia', 'Lancelot', 'Ling', 'Fanny', 'Kadita')",0,13:33,813,7,1,0,0,bracket
15,20230723,ONIC Esports,blue,"('Uranus', 'Joy', 'Faramis', 'Beatrix', 'Grock')","('Paquito', 'Angela', 'Valentina', 'Yve', 'Lancelot')",1,Bigetron Alpha,red,"('Kaja', 'Claude', 'Lylia', 'Hayabusa', 'Dyrroth')","('Khufra', 'Franco', 'Kadita', 'Ling', 'Fanny')",0,16:07,967,7,2,1,0,bracket
15,20230723,ONIC Esports,red,"('Uranus', 'Bane', 'Yve', 'Claude', 'Chou')","('Paquito', 'Joy', 'Angela', 'Wanwan', 'Melissa')",1,Bigetron Alpha,blue,"('Franco', 'Clint', 'Valentina', 'Lancelot', 'Dyrroth')","('Hilda', 'Khufra', 'Ling', 'Fanny', 'Kadita')",0,20:47,1247,7,3,2,0,bracket
15,20230723,ONIC Esports,blue,"('Terizla', 'Fanny', 'Pharsa', 'Claude', 'Kaja')","('Paquito', 'Angela', 'Valentina', 'Grock', 'Baxia')",1,Bigetron Alpha,red,"('Khufra', 'Beatrix', 'Yve', 'Ling', 'Fredrinn')","('Masha', 'Harith', 'Uranus', 'Faramis', 'Kadita')",0,12:47,767,7,4,3,0,bracket
15,20230717,BURN x FLASH,blue,"('Lapu-Lapu', 'Fredrinn', 'Valentina', 'Beatrix', 'Diggie')","('Fanny', 'Kaja', 'Franco', 'Yve', 'Faramis')",1,EVOS Icon,red,"('Arlott', 'Melissa', 'Pharsa', 'Baxia', 'Joy')","('Lancelot', 'Hayabusa', 'Angela', 'Ling', 'Uranus')",0,24:10,1450,3,1,0,0,qualifiers
15,20230717,BURN x FLASH,red,"('Arlott', 'Akai', 'Yve', 'Claude', 'Floryn')","('Kaja', 'Fanny', 'Valentina', 'Franco', 'Masha')",1,EVOS Icon,blue,"('Minotaur', 'Beatrix', 'Kadita', 'Lancelot', 'Fredrinn')","('Hayabusa', 'Martis', 'Joy', 'Uranus', 'Ling')",0,20:51,1251,3,2,1,0,qualifiers
15,20230717,ECHO,blue,"('Terizla', 'Ling', 'Pharsa', 'Claude', 'Angela')","('Diggie', 'Fanny', 'Uranus', 'Lesley', 'Brody')",1,Red Giants Esports,red,"('Hilda', 'Beatrix', 'Faramis', 'Fredrinn', 'Arlott')","('Chou', 'Valir', 'Valentina', 'Yve', 'Kadita')",0,19:05,1145,3,1,0,0,qualifiers
15,20230717,ECHO,red,"('Uranus', 'Ling', 'Pharsa', 'Brody', 'Kaja')","('Fanny', 'Claude', 'Angela', 'Hayabusa', 'Karina')",0,Red Giants Esports,blue,"('Chou', 'Beatrix', 'Valentina', 'Paquito', 'Dyrroth')","('Khufra', 'Harith', 'Hilda', 'Yve', 'Kadita')",1,17:35,1055,3,2,1,0,qualifiers
15,20230717,ECHO,blue,"('Fredrinn', 'Karina', 'Kagura', 'Claude', 'Kaja')","('Diggie', 'Fanny', 'Uranus', 'Terizla', 'Gloo')",1,Red Giants Esports,red,"('Chou', 'Brody', 'Angela', 'Ling', 'Arlott')","('Pharsa', 'Faramis', 'Yve', 'Valentina', 'Kadita')",0,10:42,642,3,3,1,1,qualifiers
15,20230717,RSG Singapore,blue,"('Edith', 'Joy', 'Yve', 'Claude', 'Minotaur')","('Arlott', 'Kadita', 'Fanny', 'Lesley', 'Beatrix')",0,RSG Philippines,red,"('Kaja', 'Karrie', 'Valentina', 'Fredrinn', 'Uranus')","('Akai', 'Khufra', 'Khaleed', 'Badang', 'Angela')",1,14:02,842,3,1,0,0,qualifiers
15,20230717,RSG Singapore,blue,"('Paquito', 'Bane', 'Valentina', 'Lesley', 'Khufra')","('Arlott', 'Kadita', 'Fredrinn', 'Esmeralda', 'Gloo')",0,RSG Philippines,red,"('Kaja', 'Beatrix', 'Yve', 'Martis', 'Terizla')","('Karrie', 'Claude', 'Khaleed', 'Badang', 'Angela')",1,15:34,934,3,2,0,1,qualifiers
15,20230717,ECHO,blue,"('Terizla', 'Hayabusa', 'Angela', 'Claude', 'Chou')","('Kaja', 'Fanny', 'Diggie', 'Franco', 'Minotaur')",0,EVOS Icon,red,"('Floryn', 'Lesley', 'Kadita', 'Fredrinn', 'Grock')","('Joy', 'Lancelot', 'Valentina', 'Ling', 'Uranus')",1,20:47,1247,3,1,0,0,qualifiers
15,20230717,ECHO,red,"('Terizla', 'Fredrinn', 'Yve', 'Claude', 'Khufra')","('Fanny', 'Kaja', 'Angela', 'Floryn', 'Joy')",1,EVOS Icon,blue,"('Grock', 'Beatrix', 'Valentina', 'Martis', 'Arlott')","('Atlas', 'Chou', 'Kadita', 'Uranus', 'Ling')",0,25:38,1538,3,2,0,1,qualifiers
15,20230717,ECHO,blue,"('Grock', 'Akai', 'Valentina', 'Beatrix', 'Floryn')","('Ling', 'Uranus', 'Yve', 'Hayabusa', 'Paquito')",1,EVOS Icon,red,"('Franco', 'Claude', 'Kadita', 'Martis', 'Fredrinn')","('Terizla', 'Joy', 'Angela', 'Kaja', 'Fanny')",0,18:58,1138,3,3,1,1,qualifiers
15,20230717,Red Giants Esports,blue,"('Edith', 'Hayabusa', 'Kadita', 'Claude', 'Franco')","('Kaja', 'Fredrinn', 'Uranus', 'Khufra', 'Grock')",1,RSG Philippines,red,"('Hilda', 'Beatrix', 'Valentina', 'Joy', 'Masha')","('Esmeralda', 'Paquito', 'Angela', 'Ling', 'Fanny')",0,13:21,801,3,1,0,0,qualifiers
15,20230717,Red Giants Esports,blue,"('Edith', 'Martis', 'Valentina', 'Claude', 'Khufra')","('Kaja', 'Yve', 'Kadita', 'Uranus', 'Karrie')",1,RSG Philippines,red,"('Franco', 'Beatrix', 'Pharsa', 'Fredrinn', 'Terizla')","('Lancelot', 'Hayabusa', 'Angela', 'Ling', 'Fanny')",0,17:04,1024,3,2,1,0,qualifiers
15,20230717,BURN x FLASH,blue,"('Arlott', 'Fredrinn', 'Novaria', 'Brody', 'Khufra')","('Khaleed', 'Badang', 'Kaja', 'Martis', 'Ling')",0,RSG Singapore,red,"('Franco', 'Beatrix', 'Valentina', 'Alice', 'Guinevere')","('Estes', 'Floryn', 'Joy', 'Uranus', 'Angela')",1,18:42,1122,3,1,0,0,qualifiers
15,20230717,BURN x FLASH,blue,"('Terizla', 'Akai', 'Valentina', 'Beatrix', 'Faramis')","('Badang', 'Khaleed', 'Kaja', 'Yve', 'Guinevere')",0,RSG Singapore,red,"('Franco', 'Karrie', 'Kadita', 'Fredrinn', 'Lapu-Lapu')","('Estes', 'Floryn', 'Joy', 'Uranus', 'Angela')",1,14:15,855,3,2,0,1,qualifiers
