tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
161,20220402,Trend Esports,blue,"('Karina', 'Beatrix', 'Lylia', 'Esmeralda', 'Hilda')","('Selena', 'Kadita', 'Baxia', 'Melissa')",0,Falcon Esports,red,"('Karrie', 'Pharsa', 'Dyrroth', 'Grock', 'Franco')","('Angela', 'Masha', 'Mathilda', 'Valentina')",1,13:33,813,5,1,0,0,bracket
161,20220402,Trend Esports,red,"('Esmeralda', 'Baxia', 'Yve', 'Dyrroth', 'Bane')","('Valentina', 'Selena', 'Kadita', 'Yu Zhong', 'Vale')",0,Falcon Esports,blue,"('Pharsa', 'Grock', 'Karrie', 'Franco', 'Karina')","('Angela', 'Clint', 'Lylia', 'Mathilda', 'Masha')",1,11:39,699,5,2,0,1,bracket
161,20220402,Trend Esports,blue,"('Karina', 'Lylia', 'Baxia', 'Belerick', 'Melissa')","('Selena', 'Kadita', 'Franco', 'Pharsa', 'Kagura')",0,Falcon Esports,red,"('Yve', 'Rafaela', 'Karrie', 'Dyrroth', 'Grock')","('Clint', 'Angela', 'Valentina', 'Mathilda', 'Masha')",1,16:28,988,5,3,0,2,bracket
161,20220402,AI Esports,blue,"('Karina', 'Grock', 'Melissa', 'Pharsa', 'Angela')","('Lylia', 'Esmeralda', 'Baxia', 'Uranus', 'Franco')",0,Team Unicorn,red,"('Balmond', 'Diggie', 'Beatrix', 'Cecilion', 'Dyrroth')","('Hilda', 'Natalia', 'Selena', 'Valentina', 'Masha')",1,14:38,878,3,1,0,0,bracket
161,20220402,AI Esports,red,"('Mathilda', 'Karina', 'Beatrix', 'Paquito', 'Kimmy')","('Valentina', 'Esmeralda', 'Masha', 'Yu Zhong', 'Clint')",1,Team Unicorn,blue,"('Wanwan', 'Hylos', 'Baxia', 'Grock', 'Lylia')","('Lunox', 'Luo Yi', 'Selena', 'Dyrroth', 'Cecilion')",0,15:27,927,3,2,0,1,bracket
161,20220402,AI Esports,red,"('Lylia', 'Dyrroth', 'Kimmy', 'Paquito', 'Mathilda')","('Valentina', 'Masha', 'Cecilion', 'Pharsa', 'Kagura')",1,Team Unicorn,blue,"('Luo Yi', 'Diggie', 'Esmeralda', 'Beatrix', 'Karina')","('Rafaela', 'Franco', 'Grock', 'Baxia', 'Selena')",0,13:29,809,3,3,1,1,bracket
161,20220402,Burmese Ghouls,blue,"('Karina', 'Beatrix', 'Kagura', 'Dyrroth', 'Rafaela')","('Fanny', 'Masha', 'Baxia', 'Popol and Kupa', 'Yin')",1,Genesis Esports,red,"('Kimmy', 'Balmond', 'Chou', 'Grock', 'Selena')","('Uranus', 'Esmeralda', 'Clint', 'Ling', 'Valentina')",0,25:43,1543,3,1,0,0,bracket
161,20220402,Burmese Ghouls,red,"('Hilda', 'Grock', 'Kagura', 'Lancelot', 'Claude')","('Fanny', 'Masha', 'Karina', 'Yin', 'Chou')",0,Genesis Esports,blue,"('Angela', 'Hylos', 'Wanwan', 'Dyrroth', 'Valentina')","('Hayabusa', 'Clint', 'Baxia', 'Selena', 'Ling')",1,14:19,859,3,2,1,0,bracket
161,20220402,Burmese Ghouls,blue,"('Baxia', 'Grock', 'Selena', 'Brody', 'Esmeralda')","('Wanwan', 'Fanny', 'Karina', 'Angela', 'Masha')",0,Genesis Esports,red,"('Hylos', 'Popol and Kupa', 'Lylia', 'Dyrroth', 'Beatrix')","('Mathilda', 'Claude', 'Clint', 'Ling', 'Valentina')",1,14:37,877,3,3,1,1,bracket
161,20220403,AI Esports,red,"('Karina', 'Grock', 'Karrie', 'Franco', 'Kagura')","('Valentina', 'Fanny', 'Masha', 'Chou', 'Angela')",0,Genesis Esports,blue,"('Atlas', 'Pharsa', 'Baxia', 'Beatrix', 'Dyrroth')","('Luo Yi', 'Diggie', 'Lylia', 'Selena', 'Mathilda')",1,18:19,1099,3,1,0,0,bracket
