tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
163,20220214,Trend Esports,red,"('Mathilda', 'Paquito', 'Lylia', 'Clint', 'Hylos')","('Hayabusa', 'Brody', 'Gloo', 'Fanny', 'Valentina')",1,BURN x FLASH,blue,"('Beatrix', 'Barats', 'Esmeralda', 'Rafaela', 'Yve')","('Uranus', 'Yu Zhong', 'Cecilion', 'Selena', 'Lancelot')",0,14:25,865,3,1,0,0,bracket
163,20220214,Trend Esports,blue,"('Paquito', 'Cecilion', 'Lolita', 'Brody', 'Esmeralda')","('Gloo', 'Fanny', 'Selena', 'Ruby', 'Kagura')",0,BURN x FLASH,red,"('Johnson', 'Lunox', 'Hayabusa', 'Uranus', 'Popol and Kupa')","('Valentina', 'Lancelot', 'Mathilda', 'Clint', 'Chou')",1,11:44,704,3,2,1,0,bracket
163,20220214,Good Fellas,blue,"('Gloo', 'Kagura', 'Brody', 'Paquito', 'Khufra')","('Hayabusa', 'Valentina', 'Fanny', 'Beatrix', 'Popol and Kupa')",0,Team EVO,red,"('Wanwan', 'Aulus', 'Khaleed', 'Yve', 'Mathilda')","('Selena', 'Cecilion', 'Lylia', 'Lolita', 'Yi Sun-Shin')",1,15:57,957,3,1,0,0,bracket
163,20220214,Good Fellas,red,"('Yve', 'Esmeralda', 'Hayabusa', 'Wanwan', 'Chou')","('Yu Zhong', 'Ruby', 'Valentina', 'Fanny', 'Gloo')",0,Team EVO,blue,"('Kimmy', 'Uranus', 'Rafaela', 'Aulus', 'Selena')","('Khufra', 'Mathilda', 'Lolita', 'Lylia', 'Cecilion')",1,10:59,659,3,2,0,1,bracket
163,20220214,Good Fellas,blue,"('Lancelot', 'Lolita', 'Cecilion', 'Uranus', 'Bruno')","('Hayabusa', 'Valentina', 'Fanny', 'Lylia', 'Kagura')",0,Origen Esports,red,"('Vale', 'Claude', 'Paquito', 'Esmeralda', 'Mathilda')","('Gloo', 'Selena', 'Yve', 'Wanwan', 'Hylos')",1,14:05,845,3,1,0,0,bracket
163,20220214,Good Fellas,red,"('Paquito', 'Lylia', 'Beatrix', 'Hylos', 'Rafaela')","('Ling', 'Lancelot', 'Gloo', 'Cecilion', 'Selena')",0,Origen Esports,blue,"('Vale', 'Barats', 'Edith', 'Clint', 'Mathilda')","('Yu Zhong', 'Phoveus', 'Valentina', 'Esmeralda', 'Yve')",1,11:31,691,3,2,0,1,bracket
163,20220215,Team EVO,blue,"('Selena', 'Lolita', 'Aulus', 'Uranus', 'Brody')","('Johnson', 'Hayabusa', 'Cecilion', 'Yve', 'Popol and Kupa')",0,BURN x FLASH,red,"('Yu Zhong', 'Clint', 'Phoveus', 'Mathilda', 'Paquito')","('Valentina', 'Lylia', 'Gloo', 'Esmeralda', 'Kimmy')",1,14:17,857,3,1,0,0,bracket
163,20220215,Team EVO,red,"('Selena', 'Gloo', 'Wanwan', 'Kagura', 'Roger')","('Popol and Kupa', 'Phoveus', 'Cecilion', 'Hayabusa', 'Valentina')",0,BURN x FLASH,blue,"('Brody', 'Uranus', 'Lunox', 'Johnson', 'Paquito')","('Yve', 'Lancelot', 'Lylia', 'Mathilda', 'Aulus')",1,13:55,835,3,2,0,1,bracket
163,20220215,Team EVO,blue,"('Gloo', 'Kimmy', 'Rafaela', 'Yve', 'Yi Sun-Shin')","('Lancelot', 'Paquito', 'Lylia', 'Hayabusa', 'Fanny')",0,Trend Esports,red,"('Ling', 'Yu Zhong', 'Kagura', 'Mathilda', 'Clint')","('Selena', 'Valentina', 'Cecilion', 'Aulus', 'Roger')",1,21:14,1274,3,1,0,0,bracket
163,20220215,Team EVO,red,"('Cecilion', 'Clint', 'Esmeralda', 'Yi Sun-Shin', 'Lolita')","('Ling', 'Fanny', 'Hayabusa', 'Lancelot', 'Valentina')",0,Trend Esports,blue,"('Claude', 'Lunox', 'Uranus', 'Lylia', 'Mathilda')","('Roger', 'Aulus', 'Selena', 'Paquito', 'Gloo')",1,17:42,1062,3,2,0,1,bracket
