tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
165,20220127,Bigetron Beta,blue,"('Lancelot', 'Popol and Kupa', 'Cecilion', 'Esmeralda', 'Ruby')","('Hayabusa', 'Valentina', 'Selena', 'Roger', 'Fanny')",0,Pabz Esports,red,"('Ling', 'Clint', 'Chou', 'Mathilda', 'Yve')","('Khufra', 'Jawhead', 'Estes', 'Gloo', 'Phoveus')",1,30:40,1840,3,1,0,0,bracket
165,20220127,Bigetron Beta,red,"('Mathilda', 'Lancelot', 'Yu Zhong', 'Clint', 'Pharsa')","('Selena', 'Valentina', 'Hayabusa', 'Fanny', 'Ling')",0,Pabz Esports,blue,"('Claude', 'Paquito', 'Chou', 'Khufra', 'Yve')","('Lylia', 'Cecilion', 'Ruby', 'Gloo', 'Phoveus')",1,15:25,925,3,2,0,1,bracket
165,20220127,Dewa United Esports,blue,"('Lancelot', 'Kagura', 'Paquito', 'Popol and Kupa', 'Rafaela')","('Hayabusa', 'Gloo', 'Selena', 'Esmeralda', 'Yu Zhong')",1,Pabz Esports,red,"('Pharsa', 'Hylos', 'Roger', 'Lylia', 'Lolita')","('Kaja', 'Mathilda', 'Yve', 'Phoveus', 'Valentina')",0,20:04,1204,3,1,0,0,bracket
165,20220127,Dewa United Esports,red,"('Paquito', 'Lancelot', 'Kaja', 'Lunox', 'Ruby')","('Phoveus', 'Gloo', 'Lolita', 'Kagura', 'Rafaela')",1,Pabz Esports,blue,"('Lylia', 'Clint', 'Esmeralda', 'Hayabusa', 'Mathilda')","('Brody', 'Popol and Kupa', 'Selena', 'Yve', 'Valentina')",0,13:10,790,3,2,1,0,bracket
165,20220127,Alter Ego X,blue,"('Phoveus', 'Hayabusa', 'Cecilion', 'Lylia', 'Lolita')","('Gloo', 'Esmeralda', 'Yve', 'Fanny', 'Yu Zhong')",1,BRIC Greed,red,"('Granger', 'Hylos', 'Selena', 'Clint', 'Mathilda')","('Popol and Kupa', 'Brody', 'Valentina', 'Lancelot', 'Paquito')",0,14:21,861,3,1,0,0,bracket
165,20220127,Alter Ego X,red,"('Cecilion', 'Paquito', 'Khufra', 'Clint', 'Uranus')","('Valentina', 'Gloo', 'Yve', 'Brody', 'Popol and Kupa')",0,BRIC Greed,blue,"('Yu Zhong', 'Kimmy', 'Lolita', 'Lylia', 'Lancelot')","('Esmeralda', 'Ruby', 'Hayabusa', 'Selena', 'Phoveus')",1,21:26,1286,3,2,1,0,bracket
165,20220127,Alter Ego X,blue,"('Cecilion', 'Selena', 'Paquito', 'Brody', 'Edith')","('Gloo', 'Lylia', 'Yve', 'Kagura', 'Kimmy')",1,BRIC Greed,red,"('Mathilda', 'Claude', 'Fanny', 'Esmeralda', 'Lolita')","('Khufra', 'Ruby', 'Hayabusa', 'Lancelot', 'Valentina')",0,13:49,829,3,3,1,1,bracket
165,20220128,RedBull Rebellion,blue,"('Selena', 'Paquito', 'Clint', 'Chou', 'Jawhead')","('Valentina', 'Hayabusa', 'Cecilion', 'Popol and Kupa', 'Roger')",0,Alter Ego X,red,"('Bane', 'Yve', 'Lolita', 'Yu Zhong', 'Lylia')","('Edith', 'Kagura', 'Gloo', 'Lancelot', 'Fanny')",1,16:07,967,3,1,0,0,bracket
165,20220128,RedBull Rebellion,red,"('Chou', 'Kagura', 'Clint', 'Hayabusa', 'Uranus')","('Cecilion', 'Valentina', 'Selena', 'Popol and Kupa', 'Natalia')",0,Alter Ego X,blue,"('Brody', 'Khufra', 'Esmeralda', 'Yve', 'Lancelot')","('Yu Zhong', 'Helcurt', 'Lylia', 'Fanny', 'Gloo')",1,14:27,867,3,2,0,1,bracket
165,20220129,Dewa United Esports,blue,"('Yve', 'Paquito', 'Popol and Kupa', 'Diggie', 'Esmeralda')","('Phoveus', 'Selena', 'Gloo', 'Ling', 'Roger')",0,Alter Ego X,red,"('Cecilion', 'Bane', 'Lolita', 'Lylia', 'Yu Zhong')","('Ruby', 'Rafaela', 'Hayabusa', 'Lancelot', 'Valentina')",1,19:31,1171,3,1,0,0,bracket
165,20220129,Dewa United Esports,red,"('Kagura', 'Paquito', 'Kaja', 'Lolita', 'Ling')","('Valentina', 'Yve', 'Phoveus', 'Brody', 'Natalia')",1,Alter Ego X,blue,"('Chou', 'Benedetta', 'Esmeralda', 'Cecilion', 'Lancelot')","('Hayabusa', 'Khufra', 'Selena', 'Yu Zhong', 'Gloo')",0,17:07,1027,3,2,0,1,bracket
165,20220129,Dewa United Esports,blue,"('Paquito', 'Kagura', 'Kaja', 'Ling', 'Rafaela')","('Gloo', 'Yu Zhong', 'Selena', 'Bane', 'Brody')",0,Alter Ego X,red,"('Clint', 'Hayabusa', 'Phoveus', 'Lylia', 'Khufra')","('Lolita', 'Esmeralda', 'Yve', 'Lancelot', 'Valentina')",1,15:58,958,3,3,1,1,bracket
165,20220128,Bigetron Beta,blue,"('Selena', 'Popol and Kupa', 'Edith', 'Kagura', 'Hayabusa')","('Gloo', 'Fanny', 'Yve', 'Chou', 'Khufra')",0,RedBull Rebellion,red,"('Lunox', 'Mathilda', 'Yu Zhong', 'Paquito', 'Lylia')","('Yi Sun-Shin', 'Ling', 'Lancelot', 'Cecilion', 'Valentina')",1,18:12,1092,3,1,0,0,bracket
165,20220128,Bigetron Beta,red,"('Selena', 'Yve', 'Ling', 'Brody', 'Chou')","('Gloo', 'Fanny', 'Mathilda', 'Ruby', 'Clint')",0,RedBull Rebellion,blue,"('Edith', 'Kadita', 'Yu Zhong', 'Lylia', 'Lancelot')","('Uranus', 'Phoveus', 'Cecilion', 'Paquito', 'Valentina')",1,29:07,1747,3,2,0,1,bracket
