tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
16,20230513,Malaysia,red,"('Lapu-Lapu', 'Lancelot', 'Pharsa', 'Karrie', 'Chou')","('Wanwan', 'Joy', 'Gloo', 'Khufra', 'Lolita')",0,Cambodia,blue,"('Floryn', 'Claude', 'Yve', 'Fredrinn', 'Yu Zhong')","('Kadita', 'Valentina', 'Kaja', 'Arlott', 'Franco')",1,16:35,995,3,1,0,0,bracket
16,20230513,Malaysia,blue,"('Joy', 'Martis', 'Kadita', 'Claude', 'Akai')","('Faramis', 'Wanwan', 'Gloo', 'Karrie', 'Brody')",1,Cambodia,red,"('Franco', 'Beatrix', 'Valentina', 'Fredrinn', 'Lapu-Lapu')","('Chou', 'Atlas', 'Yve', 'Kaja', 'Arlott')",0,24:44,1484,3,2,0,1,bracket
16,20230513,Malaysia,red,"('Lapu-Lapu', 'Martis', 'Valentina', 'Beatrix', 'Grock')","('Wanwan', 'Joy', 'Gloo', 'Floryn', 'Angela')",1,Cambodia,blue,"('Estes', 'Claude', 'Faramis', 'Fredrinn', 'Yu Zhong')","('Akai', 'Franco', 'Karrie', 'Kaja', 'Arlott')",0,15:22,922,3,3,1,1,bracket
16,20230513,Myanmar,blue,"('Joy', 'Barats', 'Faramis', 'Karrie', 'Natalia')","('Fanny', 'Gloo', 'Kaja', 'Melissa', 'Lapu-Lapu')",1,Philippines,red,"('Franco', 'Claude', 'Valentina', 'Lancelot', 'Terizla')","('Fredrinn', 'Minsitthar', 'Yve', 'Arlott', 'Wanwan')",0,22:38,1358,3,1,0,0,bracket
16,20230513,Myanmar,red,"('Arlott', 'Fredrinn', 'Yve', 'Harith', 'Atlas')","('Wanwan', 'Kaja', 'Joy', 'Fanny', 'Helcurt')",0,Philippines,blue,"('Khufra', 'Karrie', 'Faramis', 'Akai', 'Gloo')","('Melissa', 'Lolita', 'Valentina', 'Franco', 'Natalia')",1,26:01,1561,3,2,1,0,bracket
16,20230513,Myanmar,blue,"('Gloo', 'Helcurt', 'Valentina', 'Beatrix', 'Lolita')","('Kaja', 'Joy', 'Yve', 'Lancelot', 'Fanny')",0,Philippines,red,"('Franco', 'Karrie', 'Kadita', 'Fredrinn', 'Yu Zhong')","('Claude', 'Harith', 'Faramis', 'Wanwan', 'Natalia')",1,14:15,855,3,3,1,1,bracket
16,20230514,Malaysia,red,"('Arlott', 'Lancelot', 'Valentina', 'Beatrix', 'Atlas')","('Wanwan', 'Gloo', 'Fanny', 'Hayabusa', 'Helcurt')",0,Philippines,blue,"('Khufra', 'Karrie', 'Faramis', 'Fredrinn', 'Lapu-Lapu')","('Akai', 'Martis', 'Joy', 'Yve', 'Kaja')",1,26:34,1594,5,1,0,0,bracket
16,20230514,Malaysia,blue,"('Lapu-Lapu', 'Martis', 'Valentina', 'Beatrix', 'Akai')","('Fanny', 'Faramis', 'Gloo', 'Kadita', 'Fredrinn')",0,Philippines,red,"('Franco', 'Karrie', 'Pharsa', 'Lancelot', 'Arlott')","('Chou', 'Atlas', 'Kaja', 'Joy', 'Wanwan')",1,21:29,1289,5,2,0,1,bracket
16,20230514,Malaysia,blue,"('Fredrinn', 'Martis', 'Yve', 'Karrie', 'Franco')","('Fanny', 'Gloo', 'Faramis', 'Khufra', 'Lolita')",0,Philippines,red,"('Atlas', 'Harith', 'Valentina', 'Helcurt', 'Arlott')","('Yu Zhong', 'Lapu-Lapu', 'Kaja', 'Joy', 'Wanwan')",1,10:50,650,5,3,0,2,bracket
16,20230514,Cambodia,blue,"('Arlott', 'Fredrinn', 'Valentina', 'Beatrix', 'Estes')","('Kaja', 'Natalia', 'Franco', 'Ling', 'Yve')",0,Myanmar,red,"('Khufra', 'Karrie', 'Pharsa', 'Helcurt', 'Gloo')","('Lolita', 'Melissa', 'Joy', 'Faramis', 'Wanwan')",1,13:33,813,3,1,0,0,bracket
