tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
171,20211201,Kaizen Fraccnant,blue,"('Hayabusa', 'Pharsa', 'Esmeralda', 'Floryn', 'Brody')","('Lancelot', 'Aamon', 'Natan', 'Selena', 'Mathilda')",0,RRQ Sena,red,"('Cecilion', 'Bane', 'Rafaela', 'Ruby', 'Clint')","('Karina', 'Barats', 'Yve', 'Estes', 'Phoveus')",1,20:41,1241,3,1,0,0,bracket
171,20211201,Kaizen Fraccnant,blue,"('Natan', 'Rafaela', 'Cecilion', 'Alice', 'X.Borg')","('Lancelot', 'Aamon', 'Pharsa', 'Hayabusa', 'Ling')",0,RRQ Sena,red,"('Kagura', 'Karina', 'Clint', 'Phoveus', 'Ruby')","('Barats', 'Bane', 'Yve', 'Estes', 'Esmeralda')",1,15:42,942,3,2,0,1,bracket
171,20211201,ARCEUS,blue,"('Clint', 'Karina', 'Yu Zhong', 'Ruby', 'Luo Yi')","('Natan', 'Aamon', 'Yve', 'Chou', 'Jawhead')",0,Alter Ego,red,"('Baxia', 'Phoveus', 'Lylia', 'Yi Sun-Shin', 'Paquito')","('Rafaela', 'Estes', 'Pharsa', 'Mathilda', 'Selena')",1,15:05,905,3,1,0,0,bracket
171,20211201,ARCEUS,blue,"('Aamon', 'Yu Zhong', 'Yi Sun-Shin', 'Mathilda', 'Aldous')","('Yve', 'Phoveus', 'Paquito', 'Chou', 'Hayabusa')",1,Alter Ego,red,"('Esmeralda', 'Rafaela', 'Lapu-Lapu', 'Natan', 'Pharsa')","('Estes', 'Khufra', 'Karina', 'Ruby', 'Selena')",0,17:51,1071,3,2,0,1,bracket
171,20211202,RRQ Sena,blue,"('Mathilda', 'Floryn', 'Clint', 'Paquito', 'X.Borg')","('Karina', 'Aamon', 'Phoveus', 'Pharsa', 'Luo Yi')",0,ARCEUS,red,"('Brody', 'Ruby', 'Estes', 'Yu Zhong', 'Natan')","('Ling', 'Lancelot', 'Aldous', 'Angela', 'Yve')",1,14:06,846,3,1,0,0,bracket
171,20211202,RRQ Sena,blue,"('Aamon', 'Rafaela', 'Ruby', 'Ling', 'Chou')","('Karina', 'Phoveus', 'Estes', 'Clint', 'Floryn')",1,ARCEUS,red,"('Esmeralda', 'Mathilda', 'Selena', 'Yu Zhong', 'Natan')","('Brody', 'Lunox', 'Aldous', 'Angela', 'Yve')",0,14:44,884,3,2,0,1,bracket
171,20211202,HotForex Elite Pro,blue,"('Ruby', 'Esmeralda', 'Ling', 'Harith', 'Kagura')","('Natan', 'Selena', 'Beatrix', 'Floryn', 'Rafaela')",0,Kaizen Fraccnant,red,"('Eudora', 'Karina', 'Beatrix', 'Alice', 'Yu Zhong')","('Clint', 'Lunox', 'Lancelot', 'Pharsa', 'Estes')",1,32:33,1953,3,1,0,0,bracket
171,20211202,HotForex Elite Pro,blue,"('Ruby', 'Mathilda', 'Brody', 'Selena', 'Hayabusa')","('Yu Zhong', 'Karina', 'Phoveus', 'Clint', 'Bane')",0,Kaizen Fraccnant,red,"('Bruno', 'Balmond', 'Esmeralda', 'Pharsa', 'Estes')","('Ling', 'Aamon', 'Yve', 'Lancelot', 'Natan')",1,15:08,908,3,2,0,1,bracket
171,20211203,ARCEUS,blue,"('Ruby', 'Clint', 'Luo Yi', 'Balmond', 'Karina')","('Pharsa', 'Aamon', 'Yve', 'Selena', 'Ling')",1,HotForex Elite Pro,red,"('Beatrix', 'Mathilda', 'Estes', 'Esmeralda', 'Natan')","('Jawhead', 'Paquito', 'Brody', 'Aldous', 'Yu Zhong')",0,12:43,763,3,1,0,0,bracket
171,20211203,ARCEUS,blue,"('Aamon', 'Rafaela', 'Paquito', 'Yi Sun-Shin', 'Balmond')","('Estes', 'Yve', 'Phoveus', 'Esmeralda', 'Barats')",0,HotForex Elite Pro,red,"('Chou', 'Thamuz', 'Pharsa', 'Beatrix', 'Mathilda')","('Lunox', 'Clint', 'Yu Zhong', 'Ruby', 'Karina')",1,Game 2,,3,2,1,0,bracket
171,20211203,Alter Ego,blue,"('Paquito', 'Beatrix', 'Mathilda', 'Lylia', 'Khaleed')","('Yve', 'Aldous', 'Ling', 'Hayabusa', 'Yi Sun-Shin')",1,RRQ Sena,red,"('Lancelot', 'Khufra', 'Pharsa', 'Ruby', 'Aamon')","('Karina', 'Barats', 'Natan', 'Esmeralda', 'Phoveus')",0,20:25,1225,3,1,0,0,bracket
171,20211203,Alter Ego,blue,"('Paquito', 'Ruby', 'Natan', 'Mathilda', 'Lunox')","('Yve', 'Aldous', 'Ling', 'Lancelot', 'Yu Zhong')",1,RRQ Sena,red,"('Brody', 'Chou', 'Lylia', 'Khufra', 'Aamon')","('Pharsa', 'Estes', 'Beatrix', 'Esmeralda', 'Phoveus')",0,16:53,1013,3,2,1,0,bracket
171,20211204,HotForex Elite Pro,blue,"('Esmeralda', 'Beatrix', 'Thamuz', 'Lunox', 'Floryn')","('Yve', 'Ruby', 'Aldous', 'Yu Zhong', 'Chou')",0,Alter Ego,red,"('Clint', 'Baxia', 'Hayabusa', 'Rafaela', 'Pharsa')","('Angela', 'Lylia', 'Mathilda', 'Phoveus', 'Selena')",1,21:22,1282,3,1,0,0,bracket
171,20211204,HotForex Elite Pro,blue,"('Esmeralda', 'Beatrix', 'Mathilda', 'Balmond', 'Jawhead')","('Aldous', 'Ruby', 'Yu Zhong', 'Estes', 'Natan')",0,Alter Ego,red,"('Brody', 'Khufra', 'Baxia', 'Paquito', 'Pharsa')","('Lylia', 'Thamuz', 'Selena', 'Yve', 'Rafaela')",1,16:41,1001,3,2,0,1,bracket
171,20211204,Kaizen Fraccnant,blue,"('Pharsa', 'Esmeralda', 'Clint', 'Barats', 'Rafaela')","('Yu Zhong', 'Estes', 'Aamon', 'Beatrix', 'Lunox')",1,ARCEUS,red,"('Mathilda', 'Roger', 'Natan', 'Paquito', 'Ruby')","('Bane', 'Balmond', 'Yve', 'Karina', 'Phoveus')",0,24:04,1444,3,1,0,0,bracket
171,20211204,Kaizen Fraccnant,blue,"('Esmeralda', 'Beatrix', 'Bane', 'Alice', 'Eudora')","('Yu Zhong', 'Estes', 'Aamon', 'Natan', 'Yi Sun-Shin')",0,ARCEUS,red,"('Hayabusa', 'Brody', 'Lylia', 'Rafaela', 'Ruby')","('Cecilion', 'Kagura', 'Yve', 'Pharsa', 'Karina')",1,16:40,1000,3,2,1,0,bracket
171,20211205,Alter Ego,blue,"('Esmeralda', 'Beatrix', 'Mathilda', 'Hayabusa', 'Lunox')","('Paquito', 'Karina', 'Yve', 'Clint', 'Brody')",1,Kaizen Fraccnant,red,"('Baxia', 'Bruno', 'Pharsa', 'Estes', 'Yu Zhong')","('Lylia', 'Lancelot', 'Natan', 'Aamon', 'Ruby')",0,15:07,907,3,1,0,0,bracket
171,20211205,Alter Ego,blue,"('Paquito', 'Beatrix', 'Rafaela', 'Aamon', 'Lapu-Lapu')","('Karina', 'Phoveus', 'Selena', 'Mathilda', 'Estes')",1,Kaizen Fraccnant,red,"('Alucard', 'Angela', 'Lunox', 'Esmeralda', 'Clint')","('Lylia', 'Natan', 'Ruby', 'Yve', 'Pharsa')",0,13:16,796,3,2,1,0,bracket
171,20211205,RRQ Sena,blue,"('Aldous', 'Paquito', 'Angela', 'Ling', 'Kagura')","('Phoveus', 'Esmeralda', 'Thamuz', 'Lancelot', 'Karina')",0,HotForex Elite Pro,red,"('Mathilda', 'Hayabusa', 'Mathilda', 'Pharsa', 'Yu Zhong')","('Chou', 'Selena', 'Aamon', 'Ruby', 'Yve')",1,15:21,921,3,1,0,0,bracket
