tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
173,20211203,Impunity KH,red,"('Valentina', 'Paquito', 'Lunox', 'Karina', 'Angela')","('Mathilda', 'Selena', 'Yve', 'Esmeralda', 'Yu Zhong')",0,DG Quantum,blue,"('Ruby', 'Barats', 'Pharsa', 'Natan', 'Estes')","('Helcurt', 'Lancelot', 'Roger', 'Johnson', 'Fanny')",1,19:22,1162,5,1,0,0,bracket
173,20211203,Impunity KH,red,"('Barats', 'Natan', 'Eudora', 'Benedetta', 'Kadita')","('Johnson', 'Fanny', 'Valentina', 'Helcurt', 'Karina')",1,DG Quantum,blue,"('Brody', 'Roger', 'Angela', 'Lunox', 'Paquito')","('Ruby', 'Jawhead', 'Selena', 'Yve', 'Mathilda')",0,11:53,713,5,2,0,1,bracket
173,20211203,Impunity KH,blue,"('Mathilda', 'Paquito', 'Beatrix', 'Hylos', 'Lylia')","('Fanny', 'Johnson', 'Natan', 'Angela', 'Diggie')",1,DG Quantum,red,"('Cyclops', 'Kaja', 'Karina', 'Clint', 'Esmeralda')","('Barats', 'Pharsa', 'Selena', 'Valentina', 'Yve')",0,15:10,910,5,3,1,1,bracket
173,20211203,Impunity KH,blue,"('Selena', 'Yu Zhong', 'Aldous', 'Yi Sun-Shin', 'Kadita')","('Johnson', 'Fanny', 'Estes', 'Karina', 'Diggie')",1,DG Quantum,red,"('Angela', 'Lancelot', 'Lylia', 'Paquito', 'Natan')","('Kagura', 'Pharsa', 'Valentina', 'Yve', 'Mathilda')",0,11:20,680,5,4,2,1,bracket
173,20211204,IDONOTSLEEP,red,"('Rafaela', 'Beatrix', 'Lunox', 'Hayabusa', 'Paquito')","('Benedetta', 'Kadita', 'Selena', 'Hylos', 'Valentina')",0,Impunity KH,blue,"('Roger', 'Kagura', 'Barats', 'Clint', 'Mathilda')","('Brody', 'Lylia', 'Yve', 'Lancelot', 'Yi Sun-Shin')",1,13:05,785,3,1,0,0,bracket
173,20211204,IDONOTSLEEP,blue,"('Rafaela', 'Beatrix', 'Wanwan', 'Barats', 'Esmeralda')","('Brody', 'Clint', 'Mathilda', 'Valentina', 'Selena')",1,Impunity KH,red,"('Aldous', 'Paquito', 'Kadita', 'Eudora', 'Benedetta')","('Ruby', 'Lancelot', 'Roger', 'Yi Sun-Shin', 'Yve')",0,19:50,1190,3,2,0,1,bracket
173,20211204,IDONOTSLEEP,blue,"('Yve', 'Yi Sun-Shin', 'Yu Zhong', 'Rafaela', 'Brody')","('Mathilda', 'Beatrix', 'Barats', 'Kadita', 'Hayabusa')",1,Impunity KH,red,"('Ruby', 'Lylia', 'Diggie', 'Baxia', 'Natan')","('Valentina', 'Selena', 'Paquito', 'Estes', 'Angela')",0,Game 3,,3,3,1,1,bracket
173,20211203,TAS TAS TAS,blue,"('Yve', 'Brody', 'Rafaela', 'Lapu-Lapu', 'Roger')","('Selena', 'Hayabusa', 'Esmeralda', 'Ruby', 'Chou')",0,Alpha Esports Pro,red,"('Gloo', 'Beatrix', 'Yu Zhong', 'Lancelot', 'Pharsa')","('Phoveus', 'Baxia', 'Mathilda', 'Estes', 'Valentina')",1,24:58,1498,5,1,0,0,bracket
173,20211203,TAS TAS TAS,blue,"('Paquito', 'Brody', 'Baxia', 'Lunox', 'Bane')","('Selena', 'Lancelot', 'Yu Zhong', 'Beatrix', 'Ruby')",1,Alpha Esports Pro,red,"('Popol and Kupa', 'Angela', 'Ling', 'Esmeralda', 'Yve')","('Hayabusa', 'Pharsa', 'Mathilda', 'Valentina', 'Estes')",0,12:58,778,5,2,0,1,bracket
173,20211203,TAS TAS TAS,red,"('Lunox', 'Paquito', 'Clint', 'Baxia', 'Yi Sun-Shin')","('Selena', 'Valentina', 'Lancelot', 'Beatrix', 'Yu Zhong')",0,Alpha Esports Pro,blue,"('Barats', 'Floryn', 'Chou', 'Natan', 'Pharsa')","('Jawhead', 'Ruby', 'Yve', 'Brody', 'Estes')",1,16:55,1015,5,3,1,1,bracket
