tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
17,20230511,Team Occupy,blue,"('Terizla', 'Lancelot', 'Lunox', 'Karrie', 'Faramis')","('Valentina', 'Yve', 'Joy', 'Melissa', 'Fredrinn')",1,Wildaxe,red,"('Kaja', 'Claude', 'Pharsa', 'Karina', 'Grock')","('Yu Zhong', 'Martis', 'Arlott', 'Akai', 'Gloo')",0,12:19,739,3,1,0,0,bracket
17,20230511,Team Occupy,red,"('Yu Zhong', 'Akai', 'Faramis', 'Brody', 'Kadita')","('Joy', 'Yve', 'Martis', 'Kaja', 'Franco')",1,Wildaxe,blue,"('Grock', 'Karrie', 'Valentina', 'Fredrinn', 'Lapu-Lapu')","('Lolita', 'Lunox', 'Lancelot', 'Arlott', 'Gloo')",0,18:20,1100,3,2,1,0,bracket
17,20230511,Axe,blue,"('Yu Zhong', 'Fredrinn', 'Faramis', 'Wanwan', 'Minotaur')","('Arlott', 'Luo Yi', 'Melissa', 'Lancelot', 'Julian')",0,Okami Esports,red,"('Kaja', 'Karrie', 'Pharsa', 'Akai', 'Joy')","('Hayabusa', 'Fanny', 'Martis', 'Valentina', 'Yve')",1,15:28,928,3,1,0,0,bracket
17,20230511,Axe,red,"('Joy', 'Baxia', 'Pharsa', 'Beatrix', 'Kaja')","('Yve', 'Martis', 'Valentina', 'Brody', 'Lancelot')",1,Okami Esports,blue,"('Grock', 'Karrie', 'Faramis', 'Hayabusa', 'Gloo')","('Fredrinn', 'Akai', 'Melissa', 'Arlott', 'Luo Yi')",0,13:15,795,3,2,0,1,bracket
17,20230511,Axe,red,"('Gloo', 'Akai', 'Kaja', 'Beatrix', 'Grock')","('Valentina', 'Martis', 'Yve', 'Yu Zhong', 'Lancelot')",0,Okami Esports,blue,"('Kaja', 'Wanwan', 'Faramis', 'Fredrinn', 'Terizla')","('Khufra', 'Lolita', 'Arlott', 'Joy', 'Luo Yi')",1,20:52,1252,3,3,1,1,bracket
17,20230512,Team Occupy,blue,"('Gloo', 'Hayabusa', 'Valentina', 'Karrie', 'Minsitthar')","('Martis', 'Joy', 'Minotaur', 'Lancelot', 'Barats')",1,Okami Esports,red,"('Kaja', 'Wanwan', 'Yve', 'Fredrinn', 'Terizla')","('Fanny', 'Beatrix', 'Akai', 'Faramis', 'Arlott')",0,15:07,907,3,1,0,0,bracket
17,20230512,Team Occupy,red,"('Gloo', 'Fredrinn', 'Valentina', 'Beatrix', 'Lolita')","('Martis', 'Minotaur', 'Wanwan', 'Grock', 'Benedetta')",0,Okami Esports,blue,"('Kaja', 'Karrie', 'Faramis', 'Akai', 'Terizla')","('Kadita', 'Melissa', 'Minsitthar', 'Joy', 'Arlott')",1,14:06,846,3,2,1,0,bracket
17,20230512,Team Occupy,blue,"('Yu Zhong', 'Akai', 'Yve', 'Karrie', 'Faramis')","('Martis', 'Minotaur', 'Wanwan', 'Fredrinn', 'Lancelot')",1,Okami Esports,red,"('Kaja', 'Melissa', 'Valentina', 'Grock', 'Benedetta')","('Lunox', 'Kadita', 'Minsitthar', 'Joy', 'Arlott')",0,12:34,754,3,3,1,1,bracket
17,20230511,Wildaxe,blue,"('Gloo', 'Akai', 'Kadita', 'Clint', 'Khufra')","('Luo Yi', 'Wanwan', 'Valentina', 'Beatrix', 'Claude')",1,Axe,red,"('Kaja', 'Brody', 'Pharsa', 'Martis', 'Fredrinn')","('Melissa', 'Karrie', 'Faramis', 'Joy', 'Yve')",0,17:11,1031,3,1,0,0,bracket
17,20230511,Wildaxe,red,"('Lapu-Lapu', 'Akai', 'Pharsa', 'Karrie', 'Kaja')","('Luo Yi', 'Wanwan', 'Arlott', 'Lolita', 'Grock')",1,Axe,blue,"('Gatotkaca', 'Beatrix', 'Kagura', 'Baxia', 'Joy')","('Gloo', 'Kadita', 'Valentina', 'Faramis', 'Yve')",0,13:23,803,3,2,1,0,bracket
