tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
181,20211001,Impunity KH,blue,"('Bane', 'Natan', 'Faramis', 'Esmeralda', 'Diggie')","('X.Borg', 'Jawhead', 'Mathilda', 'Kimmy', 'Yi Sun-Shin')",0,NewBlood,red,"('Estes', 'Aulus', 'Alice', 'Yu Zhong', 'Yve')","('Hayabusa', 'Ling', 'Benedetta', 'Paquito', 'Selena')",1,15:05,905,3,1,0,0,bracket
181,20211001,Impunity KH,red,"('Benedetta', 'Ling', 'Yve', 'Rafaela', 'Claude')","('Mathilda', 'Jawhead', 'Alice', 'Roger', 'Pharsa')",1,NewBlood,blue,"('Esmeralda', 'Cecilion', 'Kimmy', 'Paquito', 'Estes')","('Khufra', 'Angela', 'Phoveus', 'Hayabusa', 'Selena')",0,11:14,674,3,2,0,1,bracket
181,20211001,Impunity KH,blue,"('Yve', 'Benedetta', 'Yve', 'Yi Sun-Shin', 'Angela')","('Estes', 'Jawhead', 'Alice', 'X.Borg', 'Phoveus')",1,NewBlood,red,"('Rafaela', 'Pharsa', 'Roger', 'Yu Zhong', 'Paquito')","('Hayabusa', 'Bane', 'Ling', 'Mathilda', 'Selena')",0,10:52,652,3,3,1,1,bracket
181,20211001,See You Soon,red,"('Ling', 'Barats', 'Brody', 'Lunox', 'Angela')","('Mathilda', 'Yve', 'Hayabusa', 'Benedetta', 'Diggie')",1,Impunity KH,blue,"('Selena', 'Kagura', 'Esmeralda', 'Wanwan', 'Roger')","('Lylia', 'Pharsa', 'X.Borg', 'Phoveus', 'Popol and Kupa')",0,13:41,821,3,1,0,0,bracket
181,20211001,See You Soon,blue,"('Yu Zhong', 'Granger', 'Jawhead', 'Kimmy', 'Rafaela')","('Lancelot', 'Yve', 'Hayabusa', 'Benedetta', 'Pharsa')",0,Impunity KH,red,"('Estes', 'Claude', 'Ruby', 'Ling', 'Paquito')","('Angela', 'Roger', 'Eudora', 'Mathilda', 'Selena')",1,16:30,990,3,2,1,0,bracket
181,20211001,See You Soon,red,"('Aldous', 'Barats', 'Selena', 'Pharsa', 'Diggie')","('Mathilda', 'Yve', 'Ling', 'X.Borg', 'Claude')",1,Impunity KH,blue,"('Ruby', 'Kimmy', ""Chang'e"", 'Benedetta', 'Hayabusa')","('Angela', 'Popol and Kupa', 'Jawhead', 'Yi Sun-Shin', 'Roger')",0,19:07,1147,3,3,1,1,bracket
181,20211001,BURN Gaming,red,"(""Chang'e"", 'Benedetta', 'Esmeralda', 'Pharsa', 'Popol and Kupa')","('Diggie', 'Roger', 'Mathilda', 'Yve', 'Ling')",0,Fennec Esports,blue,"('Brody', 'Selena', 'Harley', 'Jawhead', 'Paquito')","('X.Borg', 'Barats', 'Natan', 'Hayabusa', 'Lunox')",1,16:37,997,3,1,0,0,bracket
181,20211001,BURN Gaming,red,"('Phoveus', 'Roger', 'Brody', 'Pharsa', 'Natalia')","('Jawhead', 'Paquito', 'Esmeralda', 'Barats', 'Yu Zhong')",1,Fennec Esports,blue,"('Diggie', 'Lapu-Lapu', 'Bruno', 'Mathilda', 'Aulus')","('Rafaela', 'Estes', 'Natan', 'Hayabusa', 'Lunox')",0,16:39,999,3,2,0,1,bracket
181,20211001,BURN Gaming,blue,"('Barats', 'Benedetta', 'Lylia', 'Natan', 'Mathilda')","('Diggie', 'Brody', 'Jawhead', 'Yve', 'Selena')",1,Fennec Esports,red,"('Popol and Kupa', 'Granger', 'X.Borg', 'Vale', 'Paquito')","('Alice', 'Pharsa', 'Phoveus', 'Hayabusa', 'Lunox')",0,20:48,1248,3,3,1,1,bracket
181,20211002,DG Quantum,blue,"('Esmeralda', 'Lancelot', 'Lunox', 'Yu Zhong', 'Diggie')","('Mathilda', 'Natan', 'Jawhead', 'Pharsa', 'Rafaela')",1,BURN Gaming,red,"('Baxia', 'Hayabusa', 'Lylia', 'Brody', 'Phoveus')","('X.Borg', 'Barats', 'Paquito', 'Johnson', 'Fanny')",0,12:02,722,3,1,0,0,bracket
