tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
182,20210904,Skull Cracker,red,"('Roger', 'X.Borg', 'Esmeralda', 'Popol and Kupa', 'Cecilion')",(),1,Team EVIL,blue,"('Atlas', 'Pharsa', 'Hayabusa', 'Granger', 'Yu Zhong')",(),0,13:38,818,3,1,0,0,bracket
182,20210904,Skull Cracker,blue,"('Benedetta', 'Vale', 'Hayabusa', 'Esmeralda', 'Popol and Kupa')",(),1,Team EVIL,red,"('Cecilion', 'Roger', ""Chang'e"", 'Grock', 'Yu Zhong')",(),0,20:17,1217,3,2,1,0,bracket
182,20210905,Todos Somos Uno,red,"('Barats', 'Natan', 'Hayabusa', 'Esmeralda', 'Estes')",(),1,Aesthetic,blue,"('Tigreal', 'Saber', 'Granger', 'Luo Yi', 'Phoveus')",(),0,20:22,1222,3,1,0,0,bracket
182,20210905,Todos Somos Uno,blue,"('X.Borg', 'Jawhead', 'Esmeralda', 'Pharsa', 'Ruby')",(),1,Aesthetic,red,"('Rafaela', 'Granger', 'Kagura', 'Kaja', 'Balmond')",(),0,14:21,861,3,2,1,0,bracket
182,20210909,Skull Cracker,blue,"('Barats', 'Alice', 'Lunox', 'Granger', 'Popol and Kupa')",(),1,Todos Somos Uno,red,"('Ruby', 'Pharsa', 'Esmeralda', 'Khufra', 'Roger')",(),0,17:45,1065,3,1,0,0,bracket
182,20210909,Skull Cracker,red,"('Phoveus', 'Lolita', 'Esmeralda', 'Cecilion', 'Ling')",(),0,Todos Somos Uno,blue,"('X.Borg', 'Natan', 'Kagura', 'Jawhead', 'Balmond')",(),1,15:49,949,3,2,1,0,bracket
182,20210909,Skull Cracker,blue,"('Roger', 'Grock', 'Lunox', 'Esmeralda', 'Ruby')",(),1,Todos Somos Uno,red,"('Kaja', 'Bruno', 'Pharsa', 'Jawhead', 'Thamuz')",(),0,14:43,883,3,3,1,1,bracket
182,20210908,Team EVIL,blue,"('Phoveus', 'Yi Sun-Shin', 'Pharsa', 'Esmeralda', 'Khufra')",(),0,Aesthetic,red,"('Baxia', 'Roger', 'Lunox', 'Paquito', 'Yve')",(),1,16:31,991,3,1,0,0,bracket
182,20210908,Team EVIL,red,"('Ling', 'Selena', 'Harith', 'Esmeralda', 'Khufra')",(),1,Aesthetic,blue,"('Chou', 'Natan', 'Pharsa', 'Chou', 'Paquito')",(),0,12:02,722,3,2,0,1,bracket
182,20210908,Team EVIL,blue,"('Popol and Kupa', 'Bruno', ""Chang'e"", 'Esmeralda', 'Khufra')",(),1,Aesthetic,red,"('Khufra', 'Kagura', 'Karrie', 'Kaja', 'Yu Zhong')",(),0,13:26,806,3,3,1,1,bracket
