tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
187,20210806,RRQ Mika,red,"('Lunox', 'Silvanna', 'Hanzo', 'Esmeralda', 'X.Borg')","('Popol and Kupa', 'Estes', 'Barats', 'Mathilda', 'Harley')",1,Alter Ego Nyx,blue,"('Tigreal', 'Paquito', 'Pharsa', 'Phoveus', 'Granger')","('Jawhead', 'Ling', 'Kaja', 'Saber', 'Hayabusa')",0,20:02,1202,3,1,0,0,bracket
187,20210806,RRQ Mika,blue,"('Jawhead', 'Lylia', 'Thamuz', 'Pharsa', 'Hayabusa')","('Barats', 'Popol and Kupa', 'Harley', 'Angela', 'Estes')",0,Alter Ego Nyx,red,"('Paquito', 'Tigreal', 'Selena', 'Esmeralda', 'Bruno')","('Mathilda', 'X.Borg', 'Lunox', 'Kagura', ""Chang'e"")",1,38:45,2325,3,2,1,0,bracket
187,20210806,RRQ Mika,red,"('Popol and Kupa', 'Jawhead', 'Lapu-Lapu', 'Cyclops', 'Paquito')","('Bruno', 'Phoveus', 'Mathilda', 'Barats', 'Harley')",1,Alter Ego Nyx,blue,"('Pharsa', 'Ruby', 'Khufra', 'Esmeralda', 'Yi Sun-Shin')","('Hanzo', 'Karrie', 'Kaja', 'Lunox', 'X.Borg')",0,28:59,1739,3,3,1,1,bracket
187,20210808,EVOS Lynx,red,"('Ruby', 'Popol and Kupa', 'Hayabusa', 'Luo Yi', 'Granger')","('Khufra', 'Kimmy', 'X.Borg', 'Hanzo', 'Mathilda')",1,RRQ Mika,blue,"('Esmeralda', 'Lunox', 'Sun', 'Estes', 'Paquito')","('Lylia', 'Pharsa', 'Uranus', 'Yve', 'Harley')",0,15:33,933,3,1,0,0,bracket
187,20210808,EVOS Lynx,blue,"('Ruby', 'Mathilda', 'Chou', 'Roger', 'Lylia')","('Hanzo', 'X.Borg', 'Hayabusa', 'Popol and Kupa', 'Benedetta')",1,RRQ Mika,red,"('Lancelot', 'Lunox', 'Pharsa', 'Paquito', 'Khufra')","('Harley', 'Yve', 'Uranus', 'Ling', 'Phoveus')",0,11:58,718,3,2,1,0,bracket
187,20210807,Belletron Era,blue,"('Mathilda', 'Yi Sun-Shin', 'Ruby', 'Kaja', 'Lunox')","('Phoveus', 'Hayabusa', 'Popol and Kupa', 'Roger', 'Granger')",1,EVOS Lynx,red,"('X.Borg', 'Rafaela', 'Yve', 'Esmeralda', 'Paquito')","('Benedetta', 'Jawhead', 'Harley', 'Pharsa', 'Cecilion')",0,19:38,1178,3,1,0,0,bracket
187,20210807,Belletron Era,red,"('Esmeralda', 'Phoveus', 'Ling', 'Beatrix', 'Rafaela')","('Roger', 'Kaja', 'Jawhead', 'Popol and Kupa', 'Mathilda')",1,EVOS Lynx,blue,"('Akai', 'Yi Sun-Shin', 'Pharsa', 'X.Borg', 'Paquito')","('Selena', 'Angela', 'Harley', 'Benedetta', 'Hayabusa')",0,17:51,1071,3,2,1,0,bracket
187,20210806,MBR Delphyne,blue,"('Harley', 'Jawhead', 'Ruby', 'Kagura', 'Uranus')","('Kaja', 'Phoveus', 'Gloo', 'Popol and Kupa', 'Cecilion')",1,Morph Akasha,red,"('Yve', 'Rafaela', 'Barats', 'Hayabusa', 'Benedetta')","('Paquito', 'Mathilda', 'X.Borg', 'Lunox', 'Sun')",0,19:33,1173,3,1,0,0,bracket
187,20210806,MBR Delphyne,red,"('Hayabusa', 'Ruby', 'Kagura', 'Uranus', 'Baxia')","('Lunox', 'Yve', 'Paquito', 'Harley', 'Kaja')",1,Morph Akasha,blue,"('Pharsa', 'Gloo', 'Saber', 'Roger', 'Mathilda')","('Grock', 'Popol and Kupa', 'Jawhead', 'X.Borg', 'Phoveus')",0,21:33,1293,3,2,1,0,bracket
187,20210808,Alter Ego Nyx,red,"('Popol and Kupa', 'Hayabusa', ""Chang'e"", 'Yve', 'Gloo')","('Uranus', 'Saber', 'Harley', 'X.Borg', 'Mathilda')",0,MBR Delphyne,blue,"('Ruby', 'Yi Sun-Shin', 'Kagura', 'Jawhead', 'Paquito')","('Esmeralda', 'Selena', 'Kaja', 'Phoveus', 'Barats')",1,16:37,997,3,1,0,0,bracket
187,20210808,Alter Ego Nyx,red,"('Hayabusa', 'Selena', 'Benedetta', 'Jawhead', 'Alice')","('Kaja', 'Ruby', 'Harley', 'Mathilda', 'X.Borg')",1,MBR Delphyne,blue,"('Roger', 'Paquito', 'Grock', 'Kagura', 'Uranus')","('Lunox', 'Yve', 'Popol and Kupa', 'Phoveus', 'Barats')",0,22:12,1332,3,2,0,1,bracket
187,20210808,Alter Ego Nyx,blue,"('Mathilda', 'Ruby', 'Popol and Kupa', 'Esmeralda', 'Granger')","('X.Borg', 'Uranus', 'Hayabusa', 'Kagura', 'Gloo')",0,MBR Delphyne,red,"('Roger', 'Luo Yi', 'Lunox', 'Paquito', 'Jawhead')","('Barats', 'Harley', 'Phoveus', 'Bruno', 'Yi Sun-Shin')",1,17:56,1076,3,3,1,1,bracket
187,20210808,RRQ Mika,red,"('X.Borg', 'Popol and Kupa', 'Harley', 'Ruby', 'Lancelot')","('Roger', 'Kagura', 'Mathilda', 'Grock', 'Uranus')",1,MBR Delphyne,blue,"('Hayabusa', 'Luo Yi', 'Esmeralda', 'Jawhead', 'Paquito')","('Barats', 'Estes', 'Kaja', 'Lunox', 'Hanzo')",0,26:40,1600,3,1,0,0,bracket
187,20210808,RRQ Mika,red,"('Paquito', 'Harith', 'Pharsa', 'Hayabusa', 'Popol and Kupa')","('Luo Yi', 'Yve', 'Mathilda', 'Esmeralda', 'Uranus')",1,MBR Delphyne,blue,"('X.Borg', ""Chang'e"", 'Ruby', 'Jawhead', 'Harley')","('Kaja', 'Kimmy', 'Phoveus', 'Lunox', 'Hanzo')",0,26:43,1603,3,2,1,0,bracket
