tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
188,20210729,ONIC Esports,blue,"('Phoveus', 'Benedetta', 'Harley', 'Nana', 'Khufra')","('Ling', 'Paquito', 'Esmeralda', 'Alice', 'Barats')",0,Alter Ego,red,"('Roger', 'Thamuz', 'Hayabusa', 'Kagura', 'Chou')","('Belerick', 'Akai', 'Popol and Kupa', 'Jawhead', 'Mathilda')",1,23:00,1380,1,1,0,0,bracket
188,20210729,Bren Esports,blue,"('Selena', 'Benedetta', 'Esmeralda', 'Diggie', 'Beatrix')","('Jawhead', 'Yve', 'Popol and Kupa', 'Lunox', 'Alice')",0,EVOS Icon,red,"('Nana', 'Thamuz', 'Khufra', 'Phoveus', 'Hayabusa')","('X.Borg', 'Ling', 'Harley', 'Mathilda', 'Paquito')",1,18:24,1104,1,1,0,0,bracket
188,20210730,Alter Ego,blue,"('Chou', 'Kagura', 'Ling', 'X.Borg', 'Lunox')","('Hayabusa', 'Popol and Kupa', 'Mathilda', 'Khufra', 'Akai')",1,EVOS Icon,red,"('Gloo', 'Phoveus', 'Roger', 'Esmeralda', 'Selena')","('Saber', 'Thamuz', 'Harley', 'Jawhead', 'Paquito')",0,20:55,1255,3,1,0,0,bracket
188,20210730,Alter Ego,red,"('Chou', 'Kagura', 'Thamuz', 'Ling', 'Benedetta')","('Mathilda', 'Jawhead', 'Paquito', 'Selena', 'Phoveus')",1,EVOS Icon,blue,"('Lunox', 'Barats', 'Khufra', 'Esmeralda', 'Hayabusa')","('Roger', 'Saber', 'Popol and Kupa', 'Harley', 'X.Borg')",0,17:00,1020,3,2,1,0,bracket
188,20210730,AURA Fire,red,"('Benedetta', 'Ling', 'Selena', 'X.Borg', 'Martis')","('Mathilda', 'Jawhead', 'Paquito', 'Kagura', 'Kaja')",0,Alter Ego,blue,"('Harley', 'Grock', 'Ruby', 'Hayabusa', 'Chou')","('Lunox', 'Khufra', 'Esmeralda', 'Popol and Kupa', 'Phoveus')",1,13:49,829,3,1,0,0,bracket
188,20210730,AURA Fire,blue,"('Paquito', 'Tigreal', 'Yve', 'Alice', 'Yi Sun-Shin')","('Harley', 'Hayabusa', 'Phoveus', 'Thamuz', 'Barats')",0,Alter Ego,red,"('Lancelot', 'Esmeralda', 'Pharsa', 'Jawhead', 'Benedetta')","('Ruby', 'Yu Zhong', 'Ling', 'Popol and Kupa', 'Mathilda')",1,28:03,1683,3,2,0,1,bracket
188,20210729,Geek Fam ID,blue,"('Jawhead', 'Ruby', 'Lunox', 'Yi Sun-Shin', 'Gloo')","('Paquito', 'X.Borg', 'Phoveus', 'Khufra', 'Alice')",1,Geng Kapak,red,"('Claude', 'Hayabusa', 'Lapu-Lapu', 'Benedetta', 'Kagura')","('Luo Yi', 'Ling', 'Selena', 'Harley', 'Mathilda')",0,15:59,959,1,1,0,0,bracket
188,20210729,KINGS Esports,blue,"('Jawhead', 'Phoveus', 'Kagura', 'Lapu-Lapu', 'Yi Sun-Shin')","('Hayabusa', 'Popol and Kupa', 'Paquito', 'Ruby', 'Ling')",1,AURA Esports,red,"('Khufra', 'Sun', 'Esmeralda', 'Selena', 'Benedetta')","('Saber', 'Cyclops', 'Harley', 'Mathilda', 'X.Borg')",0,17:29,1049,1,1,0,0,bracket
188,20210731,Alter Ego,blue,"('Jawhead', 'Kagura', 'Hayabusa', 'Thamuz', 'Yi Sun-Shin')","('Cecilion', 'Selena', 'Popol and Kupa', 'Akai', 'Khufra')",0,Bigetron Alpha,red,"('Rafaela', 'Ruby', 'Saber', 'Phoveus', 'Harley')","('Esmeralda', 'Barats', 'Paquito', 'Mathilda', 'Chou')",1,19:25,1165,3,1,0,0,bracket
188,20210731,Alter Ego,red,"('Paquito', 'Harley', 'Benedetta', 'Tigreal', 'Pharsa')","('Mathilda', 'Selena', 'Phoveus', 'Barats', 'Hayabusa')",1,Bigetron Alpha,blue,"('Thamuz', 'Yi Sun-Shin', 'Cecilion', 'Ruby', 'Jawhead')","('Khufra', 'Grock', 'Esmeralda', 'Popol and Kupa', 'Chou')",0,23:22,1402,3,2,0,1,bracket
188,20210731,Alter Ego,red,"('Popol and Kupa', 'Esmeralda', 'Pharsa', 'Beatrix', 'Lancelot')","('Mathilda', 'Paquito', 'Selena', 'Claude', 'Cecilion')",1,Bigetron Alpha,blue,"('Kagura', 'X.Borg', 'Rafaela', 'Lunox', 'Phoveus')","('Hayabusa', 'Ling', 'Jawhead', 'Harley', 'Chou')",0,17:13,1033,3,3,1,1,bracket
188,20210801,Blacklist Intl.,red,"('Paquito', 'Popol and Kupa', 'Lunox', 'Rafaela', 'Karrie')","('Harley', 'Jawhead', 'Chou', 'Grock', 'Kagura')",0,Alter Ego,blue,"('Lapu-Lapu', 'Pharsa', 'Benedetta', 'Barats', 'Mathilda')","('Hayabusa', 'Ruby', 'Estes', 'Phoveus', 'X.Borg')",1,13:09,789,3,1,0,0,bracket
