tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
18,20230510,Indonesia,red,"('Yu Zhong', 'Akai', 'Valentina', 'Brody', 'Mathilda')","('Joy', 'Melissa', 'Estes', 'Yve', 'Kadita')",1,Vietnam,blue,"('Minotaur', 'Beatrix', 'Lunox', 'Martis', 'Arlott')","('Lesley', 'Kaja', 'Gloo', 'Fanny', 'Beatrix')",0,10:38,638,3,1,0,0,bracket
18,20230510,Indonesia,red,"('Lapu-Lapu', 'Lancelot', 'Pharsa', 'Beatrix', 'Grock')","('Wanwan', 'Faramis', 'Gloo', 'Yu Zhong', 'Khufra')",1,Vietnam,blue,"('Atlas', 'Melissa', 'Yve', 'Akai', 'Khaleed')","('Martis', 'Claude', 'Arlott', 'Fanny', 'Joy')",0,10:29,629,3,2,1,0,bracket
18,20230510,Malaysia,red,"('Lapu-Lapu', 'Akai', 'Pharsa', 'Claude', 'Minsitthar')","('Gloo', 'Arlott', 'Wanwan', 'Kadita', 'Brody')",0,Philippines,blue,"('Franco', 'Karrie', 'Yve', 'Lancelot', 'Joy')","('Fredrinn', 'Martis', 'Melissa', 'Valentina', 'Kaja')",1,19:48,1188,3,1,0,0,bracket
18,20230510,Malaysia,blue,"('Lapu-Lapu', 'Martis', 'Pharsa', 'Harith', 'Khufra')","('Arlott', 'Valentina', 'Karrie', 'Faramis', 'Yve')",0,Philippines,red,"('Grock', 'Melissa', 'Xavier', 'Lancelot', 'Benedetta')","('Beatrix', 'Claude', 'Gloo', 'Wanwan', 'Joy')",1,19:23,1163,3,2,0,1,bracket
18,20230511,Indonesia,red,"('Terizla', 'Fredrinn', 'Yve', 'Claude', 'Khufra')","('Wanwan', 'Joy', 'Kadita', 'Melissa', 'Lesley')",1,Philippines,blue,"('Kaja', 'Karrie', 'Pharsa', 'Martis', 'Gloo')","('Lolita', 'Grock', 'Akai', 'Valentina', 'Yu Zhong')",0,16:10,970,5,1,0,0,bracket
18,20230511,Indonesia,red,"('Fredrinn', 'Karina', 'Pharsa', 'Claude', 'Grock')","('Wanwan', 'Joy', 'Kadita', 'Valentina', 'Faramis')",0,Philippines,blue,"('Natalia', 'Melissa', 'Xavier', 'Lancelot', 'Gloo')","('Lolita', 'Terizla', 'Yve', 'Akai', 'Yu Zhong')",1,19:18,1158,5,2,1,0,bracket
18,20230511,Indonesia,red,"('Benedetta', 'Lancelot', 'Valentina', 'Beatrix', 'Khufra')","('Gloo', 'Joy', 'Kadita', 'Natalia', 'Lolita')",0,Philippines,blue,"('Estes', 'Melissa', 'Yve', 'Martis', 'Arlott')","('Lapu-Lapu', 'Grock', 'Wanwan', 'Akai', 'Yu Zhong')",1,17:09,1029,5,3,1,1,bracket
18,20230511,Indonesia,blue,"('Gloo', 'Baxia', 'Pharsa', 'Beatrix', 'Grock')","('Joy', 'Faramis', 'Kadita', 'Estes', 'Fredrinn')",1,Philippines,red,"('Natalia', 'Melissa', 'Yve', 'Lancelot', 'Arlott')","('Martis', 'Claude', 'Akai', 'Wanwan', 'Yu Zhong')",0,13:54,834,5,4,1,2,bracket
18,20230511,Indonesia,red,"('Terizla', 'Fredrinn', 'Xavier', 'Melissa', 'Lolita')","('Joy', 'Kadita', 'Gloo', 'Hanzo', 'Estes')",1,Philippines,blue,"('Grock', 'Moskov', 'Yve', 'Martis', 'Arlott')","('Valentina', 'Pharsa', 'Wanwan', 'Akai', 'Yu Zhong')",0,15:33,933,5,5,2,2,bracket
18,20230511,Vietnam,red,"('Minsitthar', 'Fredrinn', 'Yve', 'Melissa', 'Franco')","('Wanwan', 'Pharsa', 'Gloo', 'Martis', 'Khufra')",0,Malaysia,blue,"('Grock', 'Claude', 'Valentina', 'Lancelot', 'Arlott')","('Lolita', 'Terizla', 'Joy', 'Estes', 'Minotaur')",1,14:28,868,3,1,0,0,bracket
18,20230511,Vietnam,blue,"('Arlott', 'Barats', 'Pharsa', 'Irithel', 'Lolita')","('Wanwan', 'Valentina', 'Gloo', 'Lancelot', 'Martis')",0,Malaysia,red,"('Khufra', 'Melissa', 'Yve', 'Fredrinn', 'Yu Zhong')","('Karrie', 'Claude', 'Joy', 'Minotaur', 'Estes')",1,13:47,827,3,2,0,1,bracket
18,20230510,Indonesia,red,"('Yu Zhong', 'Fredrinn', 'Valentina', 'Karrie', 'Grock')","('Joy', 'Wanwan', 'Faramis', 'Melissa', 'Kadita')",1,Cambodia,blue,"('Khufra', 'Moskov', 'Kagura', 'Martis', 'Gloo')","('Atlas', 'Claude', 'Ling', 'Yve', 'Fanny')",0,15:16,916,1,1,0,0,qualifiers
