tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
191,20210513,DreamMax,red,"('Popol and Kupa', 'Harith', 'Granger', 'Thamuz', 'Estes')","('Yve', 'Mathilda', 'Pharsa')",0,Zone,blue,"('Baxia', 'Kagura', 'Esmeralda', 'Benedetta', 'Paquito')","('Diggie', ""Chang'e"", 'Selena')",1,21:47,1307,3,1,0,0,bracket
191,20210513,DreamMax,blue,"('Mathilda', 'Granger', 'Wanwan', 'Chou', 'Yu Zhong')","('Diggie', 'Popol and Kupa', 'Claude')",1,Zone,red,"('Rafaela', 'Yi Sun-Shin', ""Chang'e"", 'Paquito', 'Harith')","('Jawhead', 'Yve', 'Selena')",0,16:54,1014,3,2,0,1,bracket
191,20210513,DreamMax,red,"('Selena', 'Jawhead', 'Harith', 'Chou', 'Ling')","('Diggie', 'Popol and Kupa', 'Angela')",0,Zone,blue,"(""Chang'e"", 'Benedetta', 'Estes', 'Paquito', 'Granger')","('Roger', 'Mathilda', 'Yve')",1,13:53,833,3,3,1,1,bracket
191,20210513,Zone,blue,"('Benedetta', 'Granger', ""Chang'e"", 'Belerick', 'Paquito')","('Jawhead', 'Mathilda', 'Lancelot')",1,No Mercy,red,"('Ling', 'Alice', 'Hayabusa', 'Selena', 'Khufra')","('Estes', 'Diggie', 'Popol and Kupa')",0,13:45,825,3,1,0,0,bracket
191,20210513,Zone,red,"('Popol and Kupa', 'Baxia', 'Hayabusa', 'Esmeralda', 'Kagura')","('Mathilda', 'Diggie', 'Lancelot')",1,No Mercy,blue,"('Belerick', 'Roger', 'Lapu-Lapu', 'Pharsa', 'Yve')","('Granger', 'Benedetta', ""Chang'e"")",0,21:08,1268,3,2,1,0,bracket
191,20210513,Zone,blue,"('Benedetta', 'Yve', 'Paquito', 'Yi Sun-Shin', 'Belerick')","(""Chang'e"", 'Pharsa', 'Karrie')",1,NINE,red,"('Baxia', 'Roger', 'Selena', 'Barats', 'Popol and Kupa')","('Granger', 'Mathilda', 'Diggie')",0,11:43,703,3,1,0,0,bracket
191,20210513,Zone,red,"('Pharsa', 'Paquito', ""Chang'e"", 'Baxia', 'Karrie')","('Popol and Kupa', 'Diggie', 'Yve')",1,NINE,blue,"('Cecilion', 'Uranus', 'Barats', 'Jawhead', 'Granger')","('Estes', 'Benedetta', 'Mathilda')",0,17:47,1067,3,2,1,0,bracket
191,20210513,Sons E-Sports,blue,"('Mathilda', 'Barats', 'Khufra', 'Chou', 'Ling')","('Diggie', 'Jawhead', 'Angela')",1,Team Zeus E-sports,red,"('Lylia', 'Tigreal', ""Chang'e"", 'Paquito', 'Granger')","('Pharsa', 'Popol and Kupa', 'Benedetta')",0,18:08,1088,3,1,0,0,bracket
191,20210513,Sons E-Sports,red,"('Barats', 'Selena', 'Esmeralda', 'Akai', 'Lancelot')","(""Chang'e"", 'Diggie', 'Granger')",1,Team Zeus E-sports,blue,"('Roger', 'Lunox', 'Yve', 'Khaleed', 'Popol and Kupa')","('Ling', 'Jawhead', 'Benedetta')",0,14:54,894,3,2,1,0,bracket
191,20210513,Team Coda Solid,blue,"('Popol and Kupa', 'Granger', 'Baxia', 'Esmeralda', ""Chang'e"")","('Jawhead', 'Mathilda', 'Angela')",0,Sons E-Sports,red,"('Bruno', 'Khufra', 'Lapu-Lapu', 'Barats', 'Yve')","('Claude', 'Benedetta', 'Diggie')",1,18:56,1136,3,1,0,0,bracket
