tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
210,20200418,Recca Esports,red,"('Guinevere', 'Harith', 'Chou', 'Atlas', 'Vale')","('Grock', 'Claude', 'Khufra')",1,Aerowolf Jr,blue,"('Akai', 'Selena', 'Esmeralda', 'Karrie', 'Jawhead')","('Valir', 'Natalia', 'Ling')",0,23:12,1392,3,1,0,0,bracket
210,20200418,Recca Esports,blue,"('Claude', 'Lunox', 'Uranus', 'Khufra', 'Angela')","('Natalia', 'Karrie', 'Valir')",0,Aerowolf Jr,red,"('Grock', 'Kadita', 'Terizla', 'Bruno', 'Chou')","('Jawhead', 'Ling', 'Selena')",1,12:39,759,3,2,1,0,bracket
210,20200418,Recca Esports,red,"('Natalia', 'Granger', 'Jawhead', 'Grock', 'Pharsa')","('Claude', 'Khufra', 'Hylos')",1,Aerowolf Jr,blue,"('Atlas', 'Rafaela', 'Terizla', 'Karrie', 'Chou')","('Harith', 'Selena', 'Ling')",0,11:01,661,3,3,1,1,bracket
210,20200418,Siren Clan,blue,"('Chou', 'Karrie', 'Jawhead', 'Angela', 'Grock')","('Diggie', 'Selena', 'Rafaela')",1,ONIC Prodigy,red,"('Khufra', 'Valir', 'Guinevere', 'Kimmy', 'Uranus')","('Pharsa', 'Claude', 'Natalia')",0,13:38,818,3,1,0,0,bracket
210,20200418,Siren Clan,red,"('Esmeralda', 'Kimmy', 'Jawhead', 'Rafaela', 'Grock')","('Claude', 'Selena', 'Ling')",1,ONIC Prodigy,blue,"('Khufra', 'Pharsa', 'Chou', 'Leomord', 'Uranus')","('Angela', 'Natalia', 'Karrie')",0,22:29,1349,3,2,1,0,bracket
210,20200419,Recca Esports,blue,"('Esmeralda', 'Claude', 'Uranus', 'Khufra', 'Cecilion')","('Natalia', 'Jawhead', 'Rafaela')",1,Siren Clan,red,"('Grock', 'Valir', 'Chou', 'Karrie', 'Thamuz')","('Pharsa', 'Ling', 'Selena')",0,15:01,901,3,1,0,0,bracket
210,20200419,Recca Esports,red,"('Esmeralda', 'Karrie', 'Jawhead', 'Khufra', 'Aurora')","('Natalia', 'Claude', 'Bruno')",0,Siren Clan,blue,"('Grock', 'Pharsa', 'Badang', 'Granger', 'Chou')","('Cecilion', 'Selena', 'Ling')",1,16:03,963,3,2,1,0,bracket
210,20200419,Recca Esports,blue,"('Lancelot', 'Karrie', 'Uranus', 'Baxia', 'Selena')","('Natalia', 'Jawhead', 'Pharsa')",1,Siren Clan,red,"('Grock', 'Cecilion', 'Esmeralda', 'Granger', 'Chou')","('Atlas', 'Claude', 'Ling')",0,10:14,614,3,3,1,1,bracket
210,20200418,XCN KINGS,red,"('Carmilla', 'Karrie', 'Chou', 'Atlas', 'Rafaela')","('Ling', 'Claude', 'Jawhead')",0,Alter Ego X,blue,"('Angela', 'Lolita', 'Uranus', 'Cecilion', 'Kimmy')","('Pharsa', 'Esmeralda', 'Grock')",1,17:02,1022,3,1,0,0,bracket
210,20200418,XCN KINGS,blue,"('Faramis', 'Karrie', 'Uranus', 'Chou', 'Kaja')","('Ling', 'Claude', 'Kimmy')",1,Alter Ego X,red,"('Angela', 'Carmilla', 'Esmeralda', 'Cecilion', 'Granger')","('Hylos', 'Pharsa', 'Grock')",0,12:34,754,3,2,0,1,bracket
