tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
220,20190518,Team Flash,blue,"('Martis', 'Selena', 'Hayabusa', 'Chou', 'Grock')","('Lunox', 'Leomord', 'Minotaur')",0,PSG.RRQ,red,"('Akai', 'Kaja', 'Claude', 'Harith', 'Lapu-Lapu')","('Gusion', 'Kimmy', 'Khufra')",1,10:51,651,1,1,0,0,bracket
220,20190518,Cignal Ultra,blue,"('Kadita', 'Guinevere', 'Hayabusa', 'Grock', 'Akai')","('Kaja', 'Khufra', 'Leomord')",0,PSG.RRQ,red,"('Minotaur', 'Franco', 'Thamuz', 'Lunox', 'Harith')","('Selena', 'Chou', 'Kimmy')",1,11:06,666,1,1,0,0,bracket
220,20190518,Cignal Ultra,blue,"('Alice', 'Kimmy', 'Leomord', 'Estes', 'Belerick')","('Lunox', 'Kaja', 'Hayabusa')",1,Team Flash,red,"('Grock', 'Khufra', 'Helcurt', 'Gusion', 'Karrie')","('Selena', 'Chou', 'Harith')",0,15:26,926,1,1,0,0,bracket
220,20190518,Geek Fam,blue,"('Esmeralda', 'Gusion', 'Hayabusa', 'Grock', 'Diggie')","('Lunox', 'Kaja', 'Chou')",1,Burmese Ghouls,red,"('Akai', 'Minotaur', 'Claude', 'Harith', 'Leomord')","('Guinevere', 'Kimmy', 'Khufra')",0,8:49,529,1,1,0,0,bracket
220,20190518,EVOS Singapore,blue,"('Leomord', 'Gusion', 'Hayabusa', 'Akai', 'Kaja')","('Grock', 'Claude', 'Minotaur')",1,Geek Fam,red,"('Diggie', 'Chou', 'Lunox', 'Harith', 'Thamuz')","('Helcurt', 'Khufra', 'Kimmy')",0,13:12,792,1,1,0,0,bracket
220,20190518,EVOS Singapore,blue,"('Lapu-Lapu', 'Lunox', 'Harith', 'Grock', 'Minotaur')","('Kaja', 'Claude', 'Gusion')",1,Burmese Ghouls,red,"('Akai', 'Chou', 'Leomord', 'Selena', 'Hayabusa')","('Kimmy', 'Khufra')",0,11:06,666,1,1,0,0,bracket
220,20190519,PSG.RRQ,red,"('Hayabusa', 'Kimmy', 'Thamuz', 'Khufra', 'Akai')","('Esmeralda', 'Chou', 'Claude')",1,Geek Fam,blue,"('Angela', 'Grock', 'Karrie', 'Harith', 'Leomord')","('Minotaur', 'Kaja', 'Lunox')",0,14:43,883,3,1,0,0,bracket
220,20190519,PSG.RRQ,blue,"('Guinevere', 'Harith', 'Claude', 'Khufra', 'Akai')","('Lunox', 'Chou', 'Esmeralda')",1,Geek Fam,red,"('Minotaur', 'Grock', 'Hayabusa', 'Kadita', 'Leomord')","('Lapu-Lapu', 'Kaja', 'Kimmy')",0,12:31,751,3,2,1,0,bracket
220,20190519,EVOS Singapore,blue,"('Lapu-Lapu', 'Gusion', 'Kimmy', 'Minotaur', 'Chou')","('Claude', 'Harith', 'Hayabusa')",1,Cignal Ultra,red,"('Khufra', 'Grock', 'Leomord', 'Selena', 'Alice')","('Thamuz', 'Lunox', 'Kaja')",0,18:52,1132,3,1,0,0,bracket
220,20190519,EVOS Singapore,red,"('Claude', 'Alice', 'Thamuz', 'Minotaur', 'Khufra')","('Kimmy', 'Harith', 'Guinevere')",0,Cignal Ultra,blue,"('Diggie', 'Grock', 'Hayabusa', 'Chou', 'Kadita')","('Gusion', 'Kaja', 'Lunox')",1,10:40,640,3,2,1,0,bracket
220,20190519,EVOS Singapore,blue,"('Hayabusa', 'Harley', 'Kimmy', 'Akai', 'Khufra')","('Harith', 'Chou', 'Leomord')",1,Cignal Ultra,red,"('Diggie', 'Grock', 'Thamuz', 'Selena', 'Gusion')","('Hylos', 'Lunox', 'Kaja')",0,22:12,1332,3,3,1,1,bracket
220,20190519,PSG.RRQ,red,"('Lapu-Lapu', 'Lunox', 'Harith', 'Minotaur', 'Akai')","('Chou', 'Kimmy', 'Diggie')",1,EVOS Singapore,blue,"('Grock', 'Khufra', 'Karrie', 'Selena', 'Esmeralda')","('Helcurt', 'Kaja', 'Claude')",0,10:01,601,3,1,0,0,bracket
220,20190519,PSG.RRQ,blue,"('Esmeralda', 'Harith', 'Karrie', 'Khufra', 'Akai')","('Chou', 'Kimmy', 'Diggie')",0,EVOS Singapore,red,"('Franco', 'Minotaur', 'Hayabusa', 'Lunox', 'Claude')","('Helcurt', 'Kaja', 'Grock')",1,16:32,992,3,2,1,0,bracket
220,20190519,PSG.RRQ,red,"('Chou', 'Lunox', 'Claude', 'Franco', 'Minotaur')","('Hayabusa', 'Kimmy', 'Diggie')",1,EVOS Singapore,blue,"('Akai', 'Grock', 'Karrie', 'Harith', 'Leomord')","('Helcurt', 'Khufra', 'Kaja')",0,9:35,575,3,3,1,1,bracket
220,20190518,Team Flash,red,"('Karrie', 'Lunox', 'Hayabusa', 'Grock', 'Minotaur')","('Chou', 'Kimmy', 'Harith')",1,Burmese Ghouls,blue,"('Belerick', 'Khufra', 'Claude', 'Selena', 'Leomord')","('Guinevere', 'Diggie', 'Kaja')",0,10:06,606,1,1,0,0,bracket
