tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
23,20221102,Orange Esports,blue,"('Benedetta', 'Akai', 'Pharsa', 'Brody', 'Mathilda')","('Gusion', 'Fanny', 'Faramis', 'Barats', 'Fredrinn')",1,BURN x FLASH,red,"('Diggie', 'Claude', 'Cecilion', 'Martis', 'Esmeralda')","('Lesley', 'Dyrroth', 'Valentina', 'Wanwan', 'Grock')",0,25:23,1523,3,1,0,0,bracket
23,20221102,Orange Esports,red,"('Fredrinn', 'Hayabusa', 'Lylia', 'Beatrix', 'Mathilda')","('Wanwan', 'Fanny', 'Valentina', 'Atlas', 'Lolita')",0,BURN x FLASH,blue,"('Diggie', 'Lesley', 'Gusion', 'Benedetta', 'Uranus')","('Masha', 'Phoveus', 'Akai', 'Faramis', 'Grock')",1,21:52,1312,3,2,1,0,bracket
23,20221102,Orange Esports,blue,"('Uranus', 'Akai', 'Phoveus', 'Irithel', 'Lolita')","('Fanny', 'Faramis', 'Lesley', 'Lylia', 'Yve')",1,BURN x FLASH,red,"('Mathilda', 'Claude', 'Xavier', 'Benedetta', 'Esmeralda')","('Beatrix', 'Dyrroth', 'Gusion', 'Valentina', 'Wanwan')",0,31:29,1889,3,3,1,1,bracket
23,20221102,RRQ Sena,red,"('Phoveus', 'Aamon', 'Gusion', 'Irithel', 'Grock')","('Fanny', 'Valentina', 'Faramis', 'Kadita', 'Barats')",0,Geek Fam ID,blue,"('Mathilda', 'Wanwan', 'Pharsa', 'Hayabusa', 'Benedetta')","('Hayabusa', 'Ling', 'Yve', 'Lylia', 'Akai')",1,19:42,1182,3,1,0,0,bracket
23,20221102,RRQ Sena,blue,"('Uranus', 'Hayabusa', 'Yve', 'Claude', 'Grock')","('Fanny', 'Gusion', 'Faramis', 'Ling', 'Karina')",1,Geek Fam ID,red,"('Mathilda', 'Beatrix', 'Lylia', 'Lancelot', 'Benedetta')","('Terizla', 'Martis', 'Valentina', 'Akai', 'Wanwan')",0,21:56,1316,3,2,0,1,bracket
23,20221102,RRQ Sena,red,"('Gloo', 'Hayabusa', 'Faramis', 'Claude', 'Chou')","('Fanny', 'Valentina', 'Mathilda', 'Lolita', 'Benedetta')",0,Geek Fam ID,blue,"('Franco', 'Wanwan', 'Lylia', 'Gusion', 'Fredrinn')","('Phoveus', 'Irithel', 'Akai', 'Grock', 'Yve')",1,14:10,850,3,3,1,1,bracket
23,20221104,Orange Esports,red,"('Benedetta', 'Fredrinn', 'Pharsa', 'Melissa', 'Grock')","('Wanwan', 'Fanny', 'Valentina', 'Karrie', 'Atlas')",0,Geek Fam ID,blue,"('Kadita', 'Beatrix', 'Faramis', 'Gusion', 'Paquito')","('Lylia', 'Yve', 'Mathilda', 'Akai', 'Diggie')",1,15:26,926,3,1,0,0,bracket
23,20221104,Orange Esports,blue,"('Paquito', 'Dyrroth', 'Lylia', 'Irithel', 'Mathilda')","('Gusion', 'Fanny', 'Faramis', 'Fredrinn', 'Phoveus')",1,Geek Fam ID,red,"('Grock', 'Beatrix', 'Pharsa', 'Ling', 'Benedetta')","('Karina', 'Martis', 'Valentina', 'Akai', 'Wanwan')",0,13:54,834,3,2,0,1,bracket
23,20221104,Orange Esports,red,"('Esmeralda', 'Ling', 'Faramis', 'Lesley', 'Grock')","('Wanwan', 'Fanny', 'Gusion', 'Dyrroth', 'Lolita')",0,Geek Fam ID,blue,"('Kadita', 'Irithel', 'Valentina', 'Aamon', 'Fredrinn')","('Brody', 'Leomord', 'Diggie', 'Akai', 'Mathilda')",1,14:39,879,3,3,1,1,bracket
23,20221105,Blacklist Intl.,blue,"('Terizla', 'Akai', 'Valentina', 'Claude', 'Lolita')","('Fanny', 'Gusion', 'Mathilda', 'Kadita', 'Beatrix')",0,Geek Fam ID,red,"('Ruby', 'Irithel', 'Faramis', 'Aamon', 'Grock')","('Dyrroth', 'Barats', 'Benedetta', 'Diggie', 'Wanwan')",1,13:51,831,3,1,0,0,bracket
23,20221105,Blacklist Intl.,blue,"('Esmeralda', 'Akai', 'Valentina', 'Claude', 'Lolita')","('Fanny', 'Grock', 'Faramis', 'Lylia', 'Pharsa')",0,Geek Fam ID,red,"('Mathilda', 'Irithel', 'Yve', 'Gusion', 'Fredrinn')","('Dyrroth', 'Barats', 'Benedetta', 'Wanwan', 'Diggie')",1,16:03,963,3,2,0,1,bracket
23,20221102,Omega Esports,blue,"('Fredrinn', 'Benedetta', 'Faramis', 'Claude', 'Ruby')","('Kadita', 'Akai', 'Fanny', 'Ling', 'Phoveus')",0,RSG Philippines,red,"('Chou', 'Lesley', 'Valentina', 'Martis', 'Paquito')","('Atlas', 'Karina', 'Grock', 'Gusion', 'Wanwan')",1,13:34,814,3,1,0,0,bracket
23,20221102,Omega Esports,red,"('Masha', 'Karina', 'Lylia', 'Claude', 'Atlas')","('Fanny', 'Wanwan', 'Valentina', 'Diggie', 'Chou')",0,RSG Philippines,blue,"('Kadita', 'Lesley', 'Faramis', 'Martis', 'Benedetta')","('Ling', 'Fredrinn', 'Phoveus', 'Grock', 'Gusion')",1,19:18,1158,3,2,0,1,bracket
23,20221102,Alter Ego,blue,"('Uranus', 'Gusion', 'Terizla', 'Irithel', 'Mathilda')","('Claude', 'Grock', 'Akai', 'Ruby', 'Atlas')",1,Rebellion Zion,red,"('Jawhead', 'Beatrix', 'Valentina', 'Fredrinn', 'Benedetta')","('Lylia', 'Yve', 'Faramis', 'Wanwan', 'Fanny')",0,13:58,838,3,1,0,0,bracket
23,20221102,Alter Ego,red,"('Terizla', 'Benedetta', 'Yve', 'Bruno', 'Diggie')","('Claude', 'Valentina', 'Wanwan', 'Mathilda', 'Esmeralda')",0,Rebellion Zion,blue,"('Rafaela', 'Beatrix', 'Lylia', 'Akai', 'Paquito')","('Irithel', 'Melissa', 'Gusion', 'Faramis', 'Fanny')",1,16:40,1000,3,2,1,0,bracket
23,20221102,Alter Ego,blue,"('Terizla', 'Leomord', 'Valentina', 'Irithel', 'Rafaela')","('Claude', 'Akai', 'Faramis', 'Fredrinn', 'Martis')",1,Rebellion Zion,red,"('Mathilda', 'Beatrix', 'Yve', 'Barats', 'Paquito')","('Atlas', 'Ling', 'Wanwan', 'Fanny', 'Gusion')",0,17:27,1047,3,3,1,1,bracket
23,20221104,RSG Philippines,red,"('Terizla', 'Martis', 'Pharsa', 'Lesley', 'Chou')","('Wanwan', 'Fanny', 'Gusion', 'Ling', 'Phoveus')",0,Alter Ego,blue,"('Diggie', 'Beatrix', 'Valentina', 'Leomord', 'Yu Zhong')","('Irithel', 'Melissa', 'Akai', 'Claude', 'Benedetta')",1,21:02,1262,3,1,0,0,bracket
23,20221104,RSG Philippines,blue,"('Benedetta', 'Leomord', 'Valentina', 'Lesley', 'Chou')","('Gusion', 'Akai', 'Wanwan', 'Phoveus', 'Paquito')",1,Alter Ego,red,"('Mathilda', 'Beatrix', 'Julian', 'Hayabusa', 'Terizla')","('Kadita', 'Atlas', 'Fanny', 'Martis', 'Claude')",0,22:20,1340,3,2,0,1,bracket
23,20221104,RSG Philippines,red,"('Dyrroth', 'Martis', 'Kadita', 'Irithel', 'Chou')","('Wanwan', 'Gusion', 'Fanny', 'Diggie', 'Mathilda')",1,Alter Ego,blue,"('Rafaela', 'Beatrix', 'Valentina', 'Leomord', 'Esmeralda')","('Melissa', 'Lesley', 'Akai', 'Benedetta', 'Claude')",0,13:07,787,3,3,1,1,bracket
23,20221105,Team HAQ,blue,"('Masha', 'Leomord', 'Valentina', 'Beatrix', 'Atlas')","('Akai', 'Benedetta', 'Kadita', 'Yve', 'Lylia')",0,RSG Philippines,red,"('Chou', 'Claude', 'Julian', 'Martis', 'Esmeralda')","('Lesley', 'Irithel', 'Gusion', 'Fanny', 'Wanwan')",1,15:05,905,3,1,0,0,bracket
