tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
25,20221020,RSG Philippines,red,"('Dyrroth', 'Karina', 'Pharsa', 'Claude', 'Atlas')","('Akai', 'Wanwan', 'Paquito', 'Irithel', 'Kadita')",1,ONIC Philippines,blue,"('Grock', 'Beatrix', 'Faramis', 'Minotaur', 'Masha')","('Yu Zhong', 'Balmond', 'Valentina', 'Esmeralda', 'Fanny')",0,20:52,1252,5,1,0,0,bracket
25,20221020,RSG Philippines,blue,"('Paquito', 'Julian', 'Pharsa', 'Irithel', 'Mathilda')","('Akai', 'Selena', 'Wanwan', 'Esmeralda', 'Paquito')",1,ONIC Philippines,red,"('Chou', 'Melissa', 'Valentina', 'Minotaur', 'Benedetta')","('Karina', 'Dyrroth', 'Claude', 'Grock', 'Fanny')",0,17:23,1043,5,2,1,0,bracket
25,20221020,RSG Philippines,blue,"('Thamuz', 'Karina', 'Faramis', 'Claude', 'Jawhead')","('Akai', 'Wanwan', 'Selena', 'Minotaur', 'Barats')",1,ONIC Philippines,red,"('Grock', 'Irithel', 'Pharsa', 'Dyrroth', 'Esmeralda')","('Atlas', 'Yu Zhong', 'Valentina', 'Paquito', 'Fanny')",0,22:42,1362,5,3,2,0,bracket
25,20221021,ECHO,red,"('Esmeralda', 'Akai', 'Faramis', 'Melissa', 'Atlas')","('Paquito', 'Valentina', 'Wanwan', 'Dyrroth', 'Diggie')",1,RSG Philippines,blue,"('Grock', 'Claude', 'Lylia', 'Fanny', 'Uranus')","('Beatrix', 'Brody', 'Phoveus', 'Selena', 'Julian')",0,21:10,1270,5,1,0,0,bracket
25,20221021,ECHO,blue,"('Phoveus', 'Julian', 'Faramis', 'Bruno', 'Grock')","('Atlas', 'Claude', 'Valentina', 'Karina', 'Esmeralda')",1,RSG Philippines,red,"('Ruby', 'Melissa', 'Lylia', 'Paquito', 'Uranus')","('Beatrix', 'Irithel', 'Yve', 'Selena', 'Wanwan')",0,23:49,1429,5,2,1,0,bracket
25,20221021,ECHO,red,"('Dyrroth', 'Barats', 'Lylia', 'Claude', 'Atlas')","('Paquito', 'Valentina', 'Diggie', 'Karrie', 'Irithel')",0,RSG Philippines,blue,"('Chou', 'Beatrix', 'Faramis', 'Karina', 'Esmeralda')","('Akai', 'Fanny', 'Wanwan', 'Julian', 'Selena')",1,19:14,1154,5,3,2,0,bracket
25,20221021,ECHO,red,"('Uranus', 'Karina', 'Lylia', 'Beatrix', 'Atlas')","('Valentina', 'Esmeralda', 'Wanwan', 'Irithel', 'Karrie')",1,RSG Philippines,blue,"('Diggie', 'Bruno', 'Pharsa', 'Paquito', 'Phoveus')","('Yve', 'Fanny', 'Faramis', 'Julian', 'Selena')",0,20:01,1201,5,4,2,1,bracket
25,20221020,Bren Esports,red,"('Paquito', 'Barats', 'Kadita', 'Melissa', 'Mathilda')","('Grock', 'Wanwan', 'Valentina', 'Balmond', 'Phoveus')",0,Omega Esports,blue,"('Atlas', 'Claude', 'Faramis', 'Karina', 'Esmeralda')","('Fredrinn', 'Dyrroth', 'Yve', 'Fanny', 'Akai')",1,15:26,926,5,1,0,0,bracket
25,20221020,Bren Esports,red,"('Fredrinn', 'Karina', 'Pharsa', 'Melissa', 'Grock')","('Wanwan', 'Valentina', 'Claude', 'Irithel', 'Balmond')",0,Omega Esports,blue,"('Atlas', 'Beatrix', 'Lylia', 'Paquito', 'Esmeralda')","('Dyrroth', 'Barats', 'Yve', 'Fanny', 'Akai')",1,13:43,823,5,2,0,1,bracket
25,20221020,Bren Esports,blue,"('Yu Zhong', 'Karina', 'Pharsa', 'Claude', 'Chou')","('Wanwan', 'Grock', 'Atlas', 'Aamon', 'Barats')",1,Omega Esports,red,"('Mathilda', 'Lesley', 'Lylia', 'Paquito', 'Fredrinn')","('Ruby', 'Masha', 'Yve', 'Fanny', 'Valentina')",0,16:36,996,5,3,0,2,bracket
25,20221020,Bren Esports,red,"('Esmeralda', 'Lancelot', 'Gusion', 'Melissa', 'Grock')","('Wanwan', 'Atlas', 'Claude', 'Dyrroth', 'Yu Zhong')",1,Omega Esports,blue,"('Rafaela', 'Beatrix', 'Lylia', 'Paquito', 'Baxia')","('Pharsa', 'Julian', 'Valentina', 'Fanny', 'Yve')",0,13:46,826,5,4,1,2,bracket
25,20221020,Bren Esports,blue,"('Fredrinn', 'Karina', 'Pharsa', 'Claude', 'Ruby')","('Wanwan', 'Atlas', 'Grock', 'Lylia', 'Faramis')",1,Omega Esports,red,"('Lolita', 'Melissa', 'Cecilion', 'Paquito', 'Esmeralda')","('Chou', 'Dyrroth', 'Valentina', 'Fanny', 'Yve')",0,13:59,839,5,5,2,2,bracket
25,20221021,Blacklist Intl.,blue,"('Benedetta', 'Barats', 'Xavier', 'Claude', 'Mathilda')","('Fanny', 'Paquito', 'Atlas', 'Esmeralda', 'Fredrinn')",1,Bren Esports,red,"('Grock', 'Karrie', 'Yve', 'Lancelot', 'Masha')","('Pharsa', 'Faramis', 'Valentina', 'Wanwan', 'Diggie')",0,28:38,1718,5,1,0,0,bracket
25,20221021,Blacklist Intl.,red,"('Uranus', 'Akai', 'Yve', 'Melissa', 'Mathilda')","('Atlas', 'Paquito', 'Claude', 'Fredrinn', 'Dyrroth')",0,Bren Esports,blue,"('Grock', 'Irithel', 'Valentina', 'Balmond', 'Benedetta')","('Esmeralda', 'Pharsa', 'Barats', 'Wanwan', 'Diggie')",1,17:27,1047,5,2,1,0,bracket
25,20221021,Blacklist Intl.,blue,"('Benedetta', 'Barats', 'Pharsa', 'Claude', 'Lolita')","('Paquito', 'Atlas', 'Grock', 'Kadita', 'Esmeralda')",0,Bren Esports,red,"('Mathilda', 'Irithel', 'Gusion', 'Fanny', 'Fredrinn')","('Estes', 'Faramis', 'Valentina', 'Wanwan', 'Diggie')",1,30:35,1835,5,3,1,1,bracket
25,20221021,Blacklist Intl.,red,"('Benedetta', 'Akai', 'Faramis', 'Claude', 'Estes')","('Paquito', 'Grock', 'Atlas', 'Fanny', 'Ling')",1,Bren Esports,blue,"('Mathilda', 'Melissa', 'Valentina', 'Aamon', 'Fredrinn')","('Balmond', 'Karina', 'Wanwan', 'Barats', 'Diggie')",0,10:26,626,5,4,1,2,bracket
25,20221021,Blacklist Intl.,blue,"('Benedetta', 'Akai', 'Pharsa', 'Claude', 'Faramis')","('Paquito', 'Atlas', 'Grock', 'Fredrinn', 'Esmeralda')",1,Bren Esports,red,"('Mathilda', 'Irithel', 'Yve', 'Balmond', 'Phoveus')","('Lolita', 'Estes', 'Valentina', 'Wanwan', 'Diggie')",0,26:14,1574,5,5,2,2,bracket
25,20221022,ECHO,red,"('Esmeralda', 'Karina', 'Valentina', 'Irithel', 'Faramis')","('Barats', 'Akai', 'Wanwan', 'Dyrroth', 'Uranus')",0,Blacklist Intl.,blue,"('Diggie', 'Claude', 'Pharsa', 'Fredrinn', 'Benedetta')","('Balmond', 'Beatrix', 'Chou', 'Julian', 'Atlas')",1,25:45,1545,5,1,0,0,bracket
25,20221022,ECHO,blue,"('Uranus', 'Balmond', 'Faramis', 'Beatrix', 'Rafaela')","('Barats', 'Akai', 'Valentina', 'Benedetta', 'Fredrinn')",0,Blacklist Intl.,red,"('Diggie', 'Claude', 'Pharsa', 'Guinevere', 'Esmeralda')","('Dyrroth', 'Mathilda', 'Chou', 'Wanwan', 'Julian')",1,19:31,1171,5,2,0,1,bracket
