tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
29,20220615,RRQ Akira,blue,"('Beatrix', 'Mathilda', 'Yve', 'Dyrroth', 'Barats')","('Diggie', 'Valentina', 'Esmeralda', 'Xavier', 'Cecilion')",1,New Wave,red,"('Lunox', 'Baxia', 'Claude', 'Thamuz', 'Masha')","('Karina', 'Fanny', 'Julian', 'Wanwan', 'Akai')",0,09:32,572,5,1,0,0,bracket
29,20220615,RRQ Akira,red,"('Xavier', 'Thamuz', 'Lolita', 'Popol and Kupa', 'Ling')","('Akai', 'Julian', 'Valentina', 'Esmeralda', 'Faramis')",1,New Wave,blue,"('Benedetta', 'Yu Zhong', 'Yve', 'Franco', 'Beatrix')","('Karina', 'Fanny', 'Mathilda', 'Masha', 'Wanwan')",0,20:34,1234,5,2,1,0,bracket
29,20220615,RRQ Akira,red,"('Franco', 'Xavier', 'Claude', 'Baxia', 'Thamuz')","('Akai', 'Julian', 'Valentina', 'Lolita', 'Faramis')",1,New Wave,blue,"('Khufra', 'X.Borg', 'Esmeralda', 'Cecilion', 'Beatrix')","('Karina', 'Fanny', 'Masha', 'Mathilda', 'Wanwan')",0,16:52,1012,5,3,2,0,bracket
29,20220615,DreamMax,red,"('Phoveus', 'Ling', 'Kagura', 'Claude', 'Natalia')","('Akai', 'Masha', 'Cecilion', 'Fanny', 'Valentina')",1,S11 Gaming,blue,"('Mathilda', 'Wanwan', 'Yve', 'Balmond', 'Thamuz')","('Karrie', 'Beatrix', 'Esmeralda', 'Franco', 'Karina')",0,22:47,1367,5,1,0,0,bracket
29,20220615,DreamMax,blue,"('Esmeralda', 'Fanny', 'Xavier', 'Aldous', 'Chou')","('Akai', 'Masha', 'Beatrix', 'Dyrroth', 'Uranus')",0,S11 Gaming,red,"('Natalia', 'Brody', 'Lunox', 'Hayabusa', 'Baxia')","('Valentina', 'Karina', 'Ling', 'Wanwan', 'Franco')",1,13:57,837,5,2,1,0,bracket
29,20220615,DreamMax,red,"('Thamuz', 'Baxia', 'Kagura', 'Claude', 'Natalia')","('Akai', 'Beatrix', 'Masha', 'Angela', 'Phoveus')",1,S11 Gaming,blue,"('Mathilda', 'Brody', 'Lunox', 'Ling', 'Ruby')","('Lancelot', 'Helcurt', 'Wanwan', 'Franco', 'Karina')",0,13:50,830,5,3,1,1,bracket
29,20220615,DreamMax,blue,"('Uranus', 'Barats', 'Lylia', 'Clint', 'Natalia')","('Akai', 'Masha', 'Brody', 'Yve', 'Angela')",1,S11 Gaming,red,"('Grock', 'Beatrix', 'Valentina', 'Karina', 'Thamuz')","('Karrie', 'Claude', 'Wanwan', 'Esmeralda', 'Franco')",0,28:57,1737,5,4,2,1,bracket
29,20220618,RRQ Akira,blue,"('Thamuz', 'Akai', 'Xavier', 'Brody', 'Lolita')","('Natalia', 'Ling', 'Julian', 'Dyrroth', 'Masha')",1,DreamMax,red,"('Grock', 'Karrie', 'Cecilion', 'Baxia', 'Esmeralda')","('Karina', 'Claude', 'Wanwan', 'Franco', 'Beatrix')",0,29:31,1771,5,1,0,0,bracket
29,20220618,RRQ Akira,red,"('Thamuz', 'Karina', 'Yve', 'Karrie', 'Rafaela')","('Wanwan', 'Julian', 'Natalia', 'Cecilion', 'Kagura')",1,DreamMax,blue,"('Akai', 'Claude', 'Lunox', 'Benedetta', 'Esmeralda')","('Angela', 'Mathilda', 'Xavier', 'Beatrix', 'Franco')",0,24:57,1497,5,2,1,0,bracket
29,20220618,RRQ Akira,red,"('Masha', 'Akai', 'Xavier', 'Beatrix', 'Mathilda')","('Wanwan', 'Claude', 'Natalia', 'Kagura', 'Irithel')",1,DreamMax,blue,"('Chou', 'Clint', 'Valentina', 'Karina', 'Julian')","('Phoveus', 'Esmeralda', 'Yve', 'Cecilion', 'Franco')",0,24:57,1497,5,3,2,0,bracket
29,20220616,DX Gaming,red,"('Diggie', 'Beatrix', 'Ruby', 'Martis', 'Kagura')","('Lunox', 'Xavier', 'Julian', 'Brody', 'Franco')",0,S11 Gaming Bolivia,blue,"('Clint', 'Mathilda', 'Cecilion', 'Masha', 'Akai')","('Baxia', 'Valentina', 'Esmeralda', 'Fanny', 'Karina')",1,23:19,1399,5,1,0,0,bracket
29,20220616,DX Gaming,red,"('Esmeralda', 'Franco', 'Brody', 'Balmond', 'Pharsa')","('Cecilion', 'Masha', 'Lunox', 'Atlas', 'Baxia')",1,S11 Gaming Bolivia,blue,"('Rafaela', 'Barats', 'Xavier', 'Beatrix', 'Julian')","('Helcurt', 'Ling', 'Akai', 'Karina', 'Fanny')",0,12:46,766,5,2,0,1,bracket
29,20220616,DX Gaming,blue,"('Esmeralda', 'Lolita', 'Karina', 'Luo Yi', 'Brody')","('Masha', 'Uranus', 'Lunox', 'Cecilion', 'Balmond')",1,S11 Gaming Bolivia,red,"('Yve', 'Thamuz', 'Ruby', 'Beatrix', 'Baxia')","('Lylia', 'Pharsa', 'Akai', 'Julian', 'Fanny')",0,17:33,1053,5,3,1,1,bracket
29,20220616,DX Gaming,red,"('Brody', 'Balmond', 'Uranus', 'Ruby', 'Valir')","('Masha', 'Cecilion', 'Lunox', 'Dyrroth', 'Clint')",0,S11 Gaming Bolivia,blue,"('Karrie', 'Ling', 'Khufra', 'Xavier', 'Akai')","('Pharsa', 'Lolita', 'Esmeralda', 'Karina', 'Fanny')",1,14:54,894,5,4,2,1,bracket
29,20220616,DX Gaming,red,"('Beatrix', 'Karina', 'Ruby', 'Franco', 'Eudora')","('Masha', 'Cecilion', 'Akai', 'Balmond', 'Brody')",0,S11 Gaming Bolivia,blue,"('Hayabusa', 'Popol and Kupa', 'Julian', 'Khufra', 'Lunox')","('Faramis', 'Pharsa', 'Lylia', 'Esmeralda', 'Fanny')",1,15:53,953,5,5,2,2,bracket
29,20220617,New Wave,blue,"('Yu Zhong', 'Barats', 'Xavier', 'Beatrix', 'Mathilda')","('Julian', 'Fanny', 'Lunox', 'Clint', 'Ling')",0,S11 Gaming Bolivia,red,"('Lolita', 'Claude', 'Cecilion', 'Hayabusa', 'Esmeralda')","('Dyrroth', 'Thamuz', 'Masha', 'Akai', 'Franco')",1,14:04,844,5,1,0,0,bracket
29,20220617,New Wave,blue,"('Dyrroth', 'Baxia', 'Valentina', 'Beatrix', 'Lolita')","('Fanny', 'Julian', 'Lunox', 'Ling', 'Hayabusa')",1,S11 Gaming Bolivia,red,"('Khufra', 'Karrie', 'Cecilion', 'Karina', 'Esmeralda')","('Yve', 'Xavier', 'Masha', 'Franco', 'Akai')",0,14:30,870,5,2,0,1,bracket
