tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
31,20220519,Philippines,blue,"('Yve', 'Akai', 'Esmeralda', 'Natalia', 'Claude')","('Ling', 'Franco', 'Masha', 'Karina', 'Chou')",0,Singapore,red,"('Baxia', 'Grock', 'Dyrroth', 'Xavier', 'Beatrix')","('Popol and Kupa', 'Lolita', 'Mathilda', 'Wanwan', 'Valentina')",1,13:43,823,3,1,0,0,bracket
31,20220519,Philippines,blue,"('Beatrix', 'Baxia', 'Yve', 'Benedetta', 'Diggie')","('Ling', 'Franco', 'Masha', 'Akai', 'Karina')",1,Singapore,red,"('Helcurt', 'Edith', 'Dyrroth', 'Popol and Kupa', 'Xavier')","('Natalia', 'Paquito', 'Mathilda', 'Wanwan', 'Valentina')",0,19:45,1185,3,2,0,1,bracket
31,20220519,Philippines,red,"('Beatrix', 'Baxia', 'Cecilion', 'Paquito', 'Rafaela')","('Valentina', 'Ling', 'Wanwan', 'Franco', 'Karrie')",1,Singapore,blue,"('Grock', 'Clint', 'Karina', 'Dyrroth', 'Yve')","('Diggie', 'Angela', 'Xavier', 'Masha', 'Mathilda')",0,27:11,1631,3,3,1,1,bracket
31,20220519,Indonesia,blue,"('Wanwan', 'Baxia', 'Esmeralda', 'Ruby', 'Vale')","('Chou', 'Hilda', 'Franco', 'Akai', 'Karina')",1,Malaysia,red,"('Balmond', 'Khufra', 'Karrie', 'Masha', 'Cecilion')","('Angela', 'Yve', 'Xavier', 'Ling', 'Valentina')",0,17:23,1043,3,1,0,0,bracket
31,20220519,Indonesia,red,"('Akai', 'Lylia', 'Popol and Kupa', 'Khufra', 'Lancelot')","('Valentina', 'Wanwan', 'Grock', 'Angela', 'Diggie')",1,Malaysia,blue,"('Hilda', 'Chou', 'Baxia', 'Cecilion', 'Beatrix')","('Fanny', 'Karina', 'Franco', 'Xavier', 'Ling')",0,20:44,1244,3,2,1,0,bracket
31,20220520,Philippines,blue,"('Esmeralda', 'Baxia', 'Xavier', 'Wanwan', 'Lolita')","('Ling', 'Franco', 'Fanny', 'Hayabusa', 'Karina')",1,Indonesia,red,"('Angela', 'Popol and Kupa', 'Lylia', 'Akai', 'Masha')","('Rafaela', 'Diggie', 'Mathilda', 'Estes', 'Valentina')",0,29:06,1746,5,1,0,0,bracket
31,20220520,Philippines,red,"('Esmeralda', 'Baxia', 'Cecilion', 'Brody', 'Popol and Kupa')","('Valentina', 'Ling', 'Wanwan', 'Akai', 'Beatrix')",0,Indonesia,blue,"('Franco', 'Clint', 'Xavier', 'Karina', 'Dyrroth')","('Angela', 'Lolita', 'Yve', 'Estes', 'Mathilda')",1,18:29,1109,5,2,1,0,bracket
31,20220520,Philippines,blue,"('Esmeralda', 'Akai', 'Xavier', 'Karrie', 'Rafaela')","('Ling', 'Franco', 'Fanny', 'Dyrroth', 'Ruby')",1,Indonesia,red,"('Khufra', 'Beatrix', 'Yve', 'Baxia', 'Uranus')","('Claude', 'Lolita', 'Wanwan', 'Mathilda', 'Valentina')",0,24:28,1468,5,3,1,1,bracket
31,20220520,Philippines,red,"('Uranus', 'Akai', 'Xavier', 'Beatrix', 'Lolita')","('Valentina', 'Ling', 'Franco', 'Lylia', 'Ruby')",1,Indonesia,blue,"('Diggie', 'Wanwan', 'Cecilion', 'Baxia', 'Esmeralda')","('Claude', 'Dyrroth', 'Yve', 'Estes', 'Mathilda')",0,10:52,652,5,4,2,1,bracket
31,20220519,Singapore,blue,"('Wanwan', 'Cecilion', 'Atlas', 'Dyrroth', 'Barats')","('Yve', 'Masha', 'Chou', 'Xavier', 'Kagura')",1,Malaysia,red,"('Grock', 'Vale', 'Beatrix', 'Franco', 'Ling')","('Akai', 'Helcurt', 'Baxia', 'Karina', 'Valentina')",0,19:29,1169,3,1,0,0,bracket
31,20220519,Singapore,red,"('Beatrix', 'Xavier', 'Dyrroth', 'Balmond', 'Mathilda')","('Valentina', 'Wanwan', 'Ling', 'Hilda', 'Hayabusa')",0,Malaysia,blue,"('Popol and Kupa', 'Roger', 'Esmeralda', 'Yve', 'Chou')","('Barats', 'Helcurt', 'Akai', 'Baxia', 'Karina')",1,14:59,899,3,2,1,0,bracket
31,20220519,Singapore,blue,"('Karina', 'Beatrix', 'Grock', 'Uranus', 'Xavier')","('Hilda', 'Ling', 'Franco', 'Akai', 'Helcurt')",1,Malaysia,red,"('Roger', 'Esmeralda', 'Yve', 'Popol and Kupa', 'Chou')","('Masha', 'Dyrroth', 'Wanwan', 'Baxia', 'Valentina')",0,17:16,1036,3,3,1,1,bracket
31,20220518,Philippines,blue,"('Yve', 'Esmeralda', 'Beatrix', 'Angela', 'Balmond')","('Ling', 'Franco', 'Masha', 'Karina', 'Akai')",1,Malaysia,red,"('Karrie', 'Baxia', 'Khaleed', 'Chou', 'Xavier')","('Barats', 'Grock', 'Wanwan', 'Mathilda', 'Valentina')",0,22:03,1323,3,1,0,0,qualifiers
31,20220518,Philippines,red,"('Beatrix', 'Esmeralda', 'Akai', 'Popol and Kupa', 'Cecilion')","('Ling', 'Valentina', 'Wanwan', 'Karina', 'Barats')",1,Malaysia,blue,"('Atlas', 'Karrie', 'Dyrroth', 'Franco', 'Xavier')","('Chou', 'Angela', 'Masha', 'Yve', 'Mathilda')",0,26:01,1561,3,2,1,0,qualifiers
31,20220518,Laos,blue,"('Xavier', 'Beatrix', 'Esmeralda', 'Angela', 'Balmond')","('Masha', 'Lylia', 'Mathilda', 'Dyrroth', 'Karrie')",0,Myanmar,red,"('Clint', 'Baxia', 'Yve', 'Grock', 'Hilda')","('Karina', 'Akai', 'Ling', 'Wanwan', 'Valentina')",1,18:39,1119,3,1,0,0,qualifiers
31,20220518,Laos,blue,"('Grock', 'Clint', 'Selena', 'Fanny', 'Uranus')","('Masha', 'Hilda', 'Mathilda', 'Franco', 'Natalia')",0,Myanmar,red,"('Dyrroth', 'Atlas', 'Esmeralda', 'Beatrix', 'Yve')","('Akai', 'Baxia', 'Wanwan', 'Ling', 'Valentina')",1,16:48,1008,3,2,0,1,qualifiers
31,20220518,Philippines,red,"('Esmeralda', 'Xavier', 'Claude', 'Karina', 'Lolita')","('Valentina', 'Ling', 'Wanwan', 'Fanny', 'Grock')",1,Laos,blue,"('Dyrroth', 'Barats', 'Franco', 'Popol and Kupa', 'Yve')","('Baxia', 'Akai', 'Beatrix', 'Masha', 'Mathilda')",0,16:18,978,3,1,0,0,qualifiers
