tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
46,20210430,RRQ Hoshi,blue,"('Benedetta', 'Roger', 'Yve', 'Cyclops', 'Baxia')","('Jawhead', 'Uranus', 'Mathilda', 'Hayabusa', 'Harith')",0,Aerowolf,red,"('Chou', 'Pharsa', 'Selena', 'Granger', 'Lapu-Lapu')","('Angela', 'Lancelot', 'Paquito', 'Diggie', 'Ling')",1,12:50,770,3,1,0,0,bracket
46,20210430,RRQ Hoshi,blue,"('Chou', 'Claude', 'Pharsa', 'Lapu-Lapu', 'Mathilda')","('Jawhead', 'Selena', 'Uranus', 'Wanwan', ""Chang'e"")",1,Aerowolf,red,"('Popol and Kupa', 'Esmeralda', 'Yve', 'Granger', 'Benedetta')","('Alice', 'Lancelot', 'Ling', 'Diggie', 'Paquito')",0,21:46,1306,3,2,0,1,bracket
46,20210430,RRQ Hoshi,red,"('Barats', 'Yi Sun-Shin', 'Pharsa', 'Lapu-Lapu', 'Chou')","('Jawhead', 'Selena', 'Mathilda', ""Chang'e"", 'Wanwan')",0,Aerowolf,blue,"('Angela', 'Alice', 'Lunox', 'Ling', 'Paquito')","('Granger', 'Lancelot', 'Yve', 'Benedetta', 'Diggie')",1,19:36,1176,3,3,1,1,bracket
46,20210430,EVOS Legends,red,"('Uranus', 'Granger', 'Yve', 'Wanwan', 'Popol and Kupa')","('Ling', 'Jawhead', 'Mathilda', 'Pharsa', 'Lancelot')",1,Aerowolf,blue,"('Baxia', ""Chang'e"", 'Selena', 'Claude', 'Paquito')","('Lapu-Lapu', 'Barats', 'Benedetta', 'Angela', 'Diggie')",0,13:43,823,3,1,0,0,bracket
46,20210430,EVOS Legends,red,"('Lapu-Lapu', 'Granger', 'Yve', 'Wanwan', 'Baxia')","('Jawhead', 'Uranus', 'Mathilda', 'Lancelot', 'Selena')",0,Aerowolf,blue,"('Chou', 'Pharsa', 'Lunox', 'Ling', 'Paquito')","('Harith', 'Popol and Kupa', 'Benedetta', 'Diggie', 'Angela')",1,21:08,1268,3,2,1,0,bracket
46,20210430,EVOS Legends,red,"('Paquito', 'Granger', 'Selena', 'Wanwan', 'Rafaela')","('Ling', 'Jawhead', 'Mathilda', 'Beatrix', ""Chang'e"")",1,Aerowolf,blue,"('Chou', 'Zhask', 'Yve', 'Yi Sun-Shin', 'Benedetta')","('Pharsa', 'Popol and Kupa', 'Uranus', 'Diggie', 'Angela')",0,17:30,1050,3,3,1,1,bracket
46,20210430,Bigetron Alpha,red,"('Gloo', 'Claude', 'Yve', 'Lapu-Lapu', 'Chou')","('Mathilda', 'Benedetta', 'Jawhead', 'Esmeralda', 'Kagura')",0,Alter Ego,blue,"('Rafaela', 'Alice', 'Pharsa', 'Granger', 'Martis')","('Kaja', 'Angela', 'Paquito', 'Popol and Kupa', 'Selena')",1,33:49,2029,3,1,0,0,bracket
46,20210430,Bigetron Alpha,red,"('Gloo', 'Karrie', 'Yve', 'Chou', 'Rafaela')","('Mathilda', 'Benedetta', 'Jawhead', 'Pharsa', 'Ling')",1,Alter Ego,blue,"('Angela', 'Alice', 'Kagura', 'Hayabusa', 'Paquito')","('Yi Sun-Shin', 'Bruno', 'Granger', 'Popol and Kupa', 'Selena')",0,31:34,1894,3,2,0,1,bracket
46,20210430,Bigetron Alpha,red,"('Paquito', 'Yi Sun-Shin', 'Cecilion', 'Lapu-Lapu', 'Jawhead')","('Mathilda', 'Benedetta', 'Yve', 'Barats', 'Esmeralda')",1,Alter Ego,blue,"('Rafaela', 'Harith', 'Pharsa', 'Granger', 'Uranus')","('Harley', 'Alice', 'Chou', 'Popol and Kupa', 'Selena')",0,11:27,687,3,3,1,1,bracket
46,20210501,ONIC Esports,red,"('Paquito', 'Harley', 'Lunox', 'Belerick', 'Popol and Kupa')","('Angela', 'Mathilda', 'Chou', 'Diggie', 'Estes')",1,Bigetron Alpha,blue,"('Baxia', 'Harith', 'Selena', 'Granger', 'Barats')","('Wanwan', 'Kaja', 'Jawhead', 'Benedetta', 'Yve')",0,23:17,1397,3,1,0,0,bracket
