tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
4,20211211,Blacklist Intl.,blue,"('Esmeralda', 'Estes', 'Pharsa', 'Harith', 'Bane')","('Roger', 'Natan', 'Yi Sun-Shin', 'Balmond', 'Granger')",0,BloodThirstyKings,red,"('Saber', 'Lolita', 'Lylia', 'Beatrix', 'Chou')","('Brody', 'Aldous', 'Yve', 'Rafaela', 'Clint')",1,15:37,937,5,1,0,0,bracket
4,20211211,Blacklist Intl.,blue,"('Beatrix', 'Barats', 'Estes', 'Alice', 'Hylos')","('Roger', 'Natan', 'Yi Sun-Shin', 'Lolita', 'Mathilda')",1,BloodThirstyKings,red,"('Balmond', 'Khufra', 'Lunox', 'Esmeralda', 'Pharsa')","('Aldous', 'Chou', 'Clint', 'Rafaela', 'Yve')",0,11:54,714,5,2,0,1,bracket
4,20211211,Blacklist Intl.,red,"('Chou', 'Yve', 'Aldous', 'Barats', 'Lunox')","('Natan', 'Yi Sun-Shin', 'Roger', 'Lolita', 'Mathilda')",1,BloodThirstyKings,blue,"('Grock', 'Karina', 'Esmeralda', 'Pharsa', 'Beatrix')","('Alice', 'Paquito', 'Estes', 'Rafaela', 'Clint')",0,18:09,1089,5,3,1,1,bracket
4,20211211,Blacklist Intl.,blue,"('Beatrix', 'Mathilda', 'Barats', 'Hylos', 'Alice')","('Roger', 'Yi Sun-Shin', 'Natan', 'Phoveus', 'Ruby')",0,BloodThirstyKings,red,"('Lunox', 'Granger', 'Lolita', 'Esmeralda', 'Yve')","('Paquito', 'Aldous', 'Estes', 'Rafaela', 'Clint')",1,15:43,943,5,4,2,1,bracket
4,20211211,Blacklist Intl.,blue,"('Yve', 'Aldous', 'Ruby', 'Alice', 'Thamuz')","('Lolita', 'Beatrix', 'Natan', 'Lylia', 'Selena')",0,BloodThirstyKings,red,"('Mathilda', 'Pharsa', 'Lunox', 'Esmeralda', 'Yi Sun-Shin')","('Barats', 'Paquito', 'Clint', 'Rafaela', 'Estes')",1,12:58,778,5,5,2,2,bracket
4,20211211,BEDEL,blue,"('Beatrix', 'Hayabusa', 'Hylos', 'Vale', 'Khufra')","('Mathilda', 'Phoveus', 'Yve', 'Ruby', 'Aamon')",0,EVOS Singapore,red,"('Luo Yi', 'Lolita', 'Karina', 'Esmeralda', 'Clint')","('Kagura', 'Selena', 'Lylia', 'Pharsa', 'Yu Zhong')",1,17:10,1030,5,1,0,0,bracket
4,20211211,BEDEL,red,"('Paquito', 'Lylia', 'Lolita', 'Barats', 'Kimmy')","('Beatrix', 'Yve', 'Mathilda', 'Ruby', 'Aamon')",1,EVOS Singapore,blue,"('Lunox', 'Rafaela', 'Karina', 'Brody', 'Phoveus')","('Roger', 'Clint', 'Esmeralda', 'Pharsa', 'Yu Zhong')",0,20:03,1203,5,2,0,1,bracket
4,20211211,BEDEL,blue,"('Phoveus', 'Paquito', 'Luo Yi', 'Brody', 'Lolita')","('Esmeralda', 'Beatrix', 'Mathilda', 'Ruby', 'Khufra')",0,EVOS Singapore,red,"('Jawhead', 'Clint', 'Lylia', 'Bane', 'Barats')","('Selena', 'Kagura', 'Yve', 'Pharsa', 'Yu Zhong')",1,24:07,1447,5,3,1,1,bracket
4,20211211,BEDEL,blue,"('Chou', 'Yi Sun-Shin', 'Kagura', 'Alice', 'Mathilda')","('Esmeralda', 'Beatrix', 'Lolita', 'Brody', 'Karina')",0,EVOS Singapore,red,"('Ruby', 'Clint', 'Lylia', 'Balmond', 'Yu Zhong')","('Barats', 'Paquito', 'Phoveus', 'Yve', 'Pharsa')",1,17:47,1067,5,4,1,2,bracket
4,20211216,BloodThirstyKings,red,"('Yve', 'Yu Zhong', 'Roger', 'Rafaela', 'Lunox')","('Clint', 'Paquito', 'Phoveus', 'Karina', 'Aamon')",1,EVOS Singapore,blue,"('Uranus', 'Bane', 'Lylia', 'Chou', 'Beatrix')","('Lolita', 'Mathilda', 'Esmeralda', 'Natan', 'Yi Sun-Shin')",0,13:34,814,5,1,0,0,bracket
