tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
52,20200703,RRQ Hoshi,red,"('Uranus', 'Lancelot', 'Valir', 'Alice', 'Atlas')","('Ling', 'Selena', 'Angela')",1,EVOS Legends,blue,"('Baxia', 'Esmeralda', 'Pharsa', 'Karrie', 'Thamuz')","('Lunox', 'Claude', 'Luo Yi')",0,10:10,610,3,1,0,0,bracket
52,20200703,RRQ Hoshi,red,"('Balmond', 'Granger', 'Luo Yi', 'Gatotkaca', 'Atlas')","('Ling', 'Selena', 'Khufra')",1,EVOS Legends,blue,"('Grock', 'Natalia', 'Valir', 'Lancelot', 'Uranus')","('Hayabusa', 'Esmeralda', 'Claude')",0,11:54,714,3,2,1,0,bracket
52,20200703,Resurgence,red,"('Baxia', 'Roger', 'Luo Yi', 'Lunox', 'Khufra')","('Claude', 'Uranus', 'Angela')",1,Burmese Ghouls,blue,"('Atlas', 'Esmeralda', 'Valir', 'Ling', 'Thamuz')","('Jawhead', 'Selena', 'Popol and Kupa')",0,20:02,1202,3,1,0,0,bracket
52,20200703,Resurgence,blue,"('Baxia', 'Claude', 'Diggie', 'Lunox', 'Khufra')","('Esmeralda', 'Luo Yi', 'Kagura')",1,Burmese Ghouls,red,"('Atlas', 'Karrie', 'Jawhead', 'Ling', 'Uranus')","('X.Borg', 'Selena', 'Popol and Kupa')",0,13:34,814,3,2,1,0,bracket
52,20200704,RRQ Hoshi,blue,"('X.Borg', 'Esmeralda', 'Valir', 'Kaja', 'Khufra')","('Claude', 'Lunox', 'Karrie')",1,Resurgence,red,"('Atlas', 'Uranus', 'Angela', 'Ling', 'Baxia')","('Lancelot', 'Luo Yi', 'Selena')",0,12:28,748,3,1,0,0,bracket
52,20200704,RRQ Hoshi,red,"('Chou', 'Lancelot', 'Pharsa', 'Uranus', 'Khufra')","('Claude', 'Lunox', 'Granger')",1,Resurgence,blue,"('Atlas', 'Baxia', 'Luo Yi', 'Ling', 'Hilda')","('Valir', 'Selena', 'Esmeralda')",0,15:00,900,3,2,1,0,bracket
52,20200703,Geek Fam,red,"('Uranus', 'Hayabusa', 'Valir', 'Jawhead', 'Popol and Kupa')","('Claude', 'Ling', 'Luo Yi')",1,Aerowolf,blue,"('Lylia', 'Masha', 'Selena', 'Lancelot', 'Thamuz')","('Pharsa', 'Natalia', 'Esmeralda')",0,18:44,1124,3,1,0,0,bracket
52,20200703,Geek Fam,red,"('Esmeralda', 'Lancelot', 'Valir', 'Jawhead', 'Popol and Kupa')","('Claude', 'Ling', 'Hayabusa')",1,Aerowolf,blue,"('Khufra', 'Thamuz', 'Luo Yi', 'Roger', 'Uranus')","('Pharsa', 'Selena', 'Natalia')",0,14:10,850,3,2,1,0,bracket
52,20200704,Burmese Ghouls,blue,"('X.Borg', 'Bruno', 'Selena', 'Masha', 'Diggie')","('Popol and Kupa', 'Esmeralda', 'Pharsa')",1,Geek Fam,red,"('Kaja', 'Jawhead', 'Luo Yi', 'Lancelot', 'Uranus')","('Hayabusa', 'Ling', 'Claude')",0,26:00,1560,3,1,0,0,bracket
52,20200704,Burmese Ghouls,blue,"('X.Borg', 'Hayabusa', 'Pharsa', 'Gatotkaca', 'Selena')","('Esmeralda', 'Popol and Kupa', 'Luo Yi')",1,Geek Fam,red,"('Khufra', 'Uranus', 'Valir', 'Lancelot', 'Chou')","('Diggie', 'Claude', 'Ling')",0,17:29,1049,3,2,1,0,bracket
