tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
69,20180729,Aether Main,blue,"('Grock', 'Lancelot', 'Chou', 'Saber', 'Selena')","('Hayabusa', 'Bane')",1,Aerowolf Roxy,red,"('Lolita', 'Karrie', 'Martis', 'Kagura', 'Jawhead')","('Johnson', 'Helcurt')",0,17:28,1048,3,1,0,0,bracket
69,20180729,Aether Main,red,"('Grock', 'Lancelot', 'Harley', 'Kagura', 'Chou')","('Hayabusa', 'Bane')",0,Aerowolf Roxy,blue,"('Akai', 'Pharsa', 'Selena', 'Martis', 'Jawhead')","('Johnson', 'Helcurt')",1,29:12,1752,3,2,1,0,bracket
69,20180729,Aether Main,blue,"('Grock', 'Lancelot', 'Pharsa', 'Lapu-Lapu', 'Chou')","('Hayabusa', 'Bane')",1,Aerowolf Roxy,red,"('Kaja', 'Saber', 'Kagura', 'Martis', 'Jawhead')","('Johnson', 'Helcurt')",0,15:05,905,3,3,1,1,bracket
69,20180729,Digital Devils Pro,blue,"('Akai', 'Claude', 'Martis', 'Lancelot', 'Rafaela')","('Hayabusa', 'Selena')",1,Rex Regum Qeon,red,"('Chou', 'Kagura', 'Lesley', 'Lolita', 'Bane')","('Helcurt', 'Grock')",0,10:53,653,3,1,0,0,bracket
69,20180729,Digital Devils Pro,red,"('Akai', 'Claude', 'Saber', 'Lancelot', 'Lolita')","('Grock', 'Selena')",1,Rex Regum Qeon,blue,"('Jawhead', 'Martis', 'Harley', 'Helcurt', 'Hylos')","('Chou', 'Hayabusa')",0,13:01,781,3,2,1,0,bracket
69,20180729,Aether Main,blue,"('Akai', 'Hayabusa', 'Martis', 'Harley', 'Chou')","('Claude', 'Lancelot')",1,Digital Devils Pro,red,"('Diggie', 'Kagura', 'Lolita', 'Helcurt', 'Jawhead')","('Grock', 'Selena')",0,10:38,638,5,1,0,0,bracket
69,20180729,Aether Main,red,"('Jawhead', 'Kagura', 'Lolita', 'Lancelot', 'Helcurt')","('Claude', 'Grock')",1,Digital Devils Pro,blue,"('Akai', 'Martis', 'Hayabusa', 'Harley', 'Rafaela')","('Chou', 'Selena')",0,11:33,693,5,2,1,0,bracket
69,20180729,Aether Main,blue,"('Jawhead', 'Claude', 'Martis', 'Aurora', 'Kaja')","('Lancelot', 'Helcurt')",1,Digital Devils Pro,red,"('Akai', 'Chou', 'Kagura', 'Harley', 'Bane')","('Selena', 'Grock')",0,14:15,855,5,3,2,0,bracket
69,20180729,Aerowolf Roxy,red,"('Jawhead', 'Kagura', 'Harley', 'Fanny', 'Chou')","('Grock', 'Selena')",0,Rex Regum Qeon,blue,"('Akai', 'Lancelot', 'Kaja', 'Hayabusa', 'Bane')","('Martis', 'Helcurt')",1,12:36,756,3,1,0,0,bracket
69,20180729,Aerowolf Roxy,blue,"('Helcurt', 'Chou', 'Martis', 'Kagura', 'Lolita')","('Bane', 'Selena')",0,Rex Regum Qeon,red,"('Akai', 'Lancelot', 'Vexana', 'Claude', 'Jawhead')","('Grock', 'Hayabusa')",1,12:36,756,3,2,0,1,bracket
