tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
74,20231201,Pajajaran Esports,blue,"('Martis', 'Lancelot', 'Faramis', 'Bruno', 'Kaja')","('Mathilda', 'Valentina', 'Wanwan', 'Brody', 'Claude')",1,Pendekar Esports,red,"('Khufra', 'Beatrix', 'Lylia', 'Guinevere', 'Arlott')","('Chou', 'Diggie', 'Baxia', 'Nolan', 'Joy')",0,25:44,1544,3,1,0,0,bracket
74,20231201,Pajajaran Esports,red,"('Martis', 'Lancelot', 'Valentina', 'Bruno', 'Khufra')","('Mathilda', 'Wanwan', 'Joy', 'Lylia', 'Novaria')",1,Pendekar Esports,blue,"('Edith', 'Brody', 'Luo Yi', 'Guinevere', 'Paquito')","('Kadita', 'Terizla', 'Nolan', 'Faramis', 'Baxia')",0,21:23,1283,3,2,1,0,bracket
74,20231201,ONIC Miracle,blue,"('Terizla', 'Fanny', 'Valentina', 'Wanwan', 'Minotaur')","('Lancelot', 'Faramis', 'Nolan', 'Phoveus', 'Martis')",0,Pajajaran Esports,red,"('Guinevere', 'Irithel', 'Angela', 'Hayabusa', 'Arlott')","('Franco', 'Kaja', 'Joy', 'Bruno', 'Mathilda')",1,15:34,934,3,1,0,0,bracket
74,20231201,ONIC Miracle,red,"('Arlott', 'Guinevere', 'Lylia', 'Irithel', 'Diggie')","('Wanwan', 'Nolan', 'Angela', 'Kaja', 'Martis')",0,Pajajaran Esports,blue,"('Khufra', 'Karrie', 'Faramis', 'Lancelot', 'Terizla')","('Brody', 'Claude', 'Mathilda', 'Joy', 'Bruno')",1,18:25,1105,3,2,0,1,bracket
74,20231201,Borneo FC Esports,blue,"('Terizla', 'Baxia', 'Novaria', 'Bruno', 'Minotaur')","('Diggie', 'Wanwan', 'Arlott', 'Yu Zhong', 'Martis')",1,Suber 24,red,"('Angela', 'Brody', 'Faramis', 'Fredrinn', 'Dyrroth')","('Rafaela', 'Mathilda', 'Guinevere', 'Joy', 'Nolan')",0,13:25,805,3,1,0,0,bracket
74,20231201,Borneo FC Esports,red,"('Gloo', 'Akai', 'Novaria', 'Claude', 'Angela')","('Diggie', 'Bruno', 'Guinevere', 'Mathilda', 'Rafaela')",1,Suber 24,blue,"('Floryn', 'Brody', 'Lylia', 'Martis', 'Arlott')","('Baxia', 'Terizla', 'Wanwan', 'Joy', 'Nolan')",0,24:32,1472,3,2,1,0,bracket
74,20231202,Team Gryffin,blue,"('Thamuz', 'Martis', 'Faramis', 'Bruno', 'Minotaur')","('Joy', 'Nolan', 'Angela', 'Ixia', 'Terizla')",0,Borneo FC Esports,red,"('Mathilda', 'Beatrix', 'Novaria', 'Baxia', 'Paquito')","('Kaja', 'Diggie', 'Fredrinn', 'Guinevere', 'Arlott')",1,20:14,1214,3,1,0,0,bracket
74,20231202,Team Gryffin,red,"('Thamuz', 'Martis', 'Faramis', 'Wanwan', 'Mathilda')","('Joy', 'Nolan', 'Bruno', 'Novaria', 'Phoveus')",1,Borneo FC Esports,blue,"('Kaja', 'Claude', 'Pharsa', 'Guinevere', 'Paquito')","('Akai', 'Fredrinn', 'Angela', 'Baxia', 'Arlott')",0,25:19,1519,3,2,0,1,bracket
74,20231202,Team Gryffin,blue,"('Esmeralda', 'Masha', 'Faramis', 'Bruno', 'Diggie')","('Joy', 'Mathilda', 'Nolan', 'Claude', 'Beatrix')",0,Borneo FC Esports,red,"('Guinevere', 'Ixia', 'Angela', 'Fanny', 'Terizla')","('Martis', 'Akai', 'Fredrinn', 'Baxia', 'Arlott')",1,17:36,1056,3,3,1,1,bracket
74,20231202,Pajajaran Esports,blue,"('Yu Zhong', 'Nolan', 'Faramis', 'Beatrix', 'Guinevere')","('Paquito', 'Mathilda', 'Bruno', 'Fanny', 'Baxia')",0,Borneo FC Esports,red,"('Angela', 'Wanwan', 'Novaria', 'Martis', 'Ruby')","('Karrie', 'Phoveus', 'Lancelot', 'Joy', 'Arlott')",1,19:24,1164,5,1,0,0,bracket
74,20231202,Pajajaran Esports,red,"('Martis', 'Hayabusa', 'Faramis', 'Bruno', 'Mathilda')","('Angela', 'Wanwan', 'Joy', 'Ixia', 'Claude')",1,Borneo FC Esports,blue,"('Kaja', 'Brody', 'Novaria', 'Guinevere', 'Terizla')","('Minotaur', 'Diggie', 'Valentina', 'Arlott', 'Lancelot')",0,20:23,1223,5,2,0,1,bracket
74,20231202,Pajajaran Esports,blue,"('Terizla', 'Lancelot', 'Valentina', 'Brody', 'Guinevere')","('Angela', 'Wanwan', 'Novaria', 'Mathilda', 'Ruby')",1,Borneo FC Esports,red,"('Hilda', 'Bruno', 'Lylia', 'Martis', 'Paquito')","('Dyrroth', 'Ixia', 'Faramis', 'Arlott', 'Joy')",0,15:18,918,5,3,1,1,bracket
74,20231202,Pajajaran Esports,red,"('Terizla', 'Benedetta', 'Novaria', 'Bruno', 'Mathilda')","('Angela', 'Wanwan', 'Joy', 'Fanny', 'Paquito')",1,Borneo FC Esports,blue,"('Guinevere', 'Brody', 'Faramis', 'Nolan', 'Ruby')","('Hayabusa', 'Martis', 'Valentina', 'Arlott', 'Lancelot')",0,26:06,1566,5,4,2,1,bracket
74,20231202,ONIC Miracle,blue,"('Uranus', 'Martis', 'Faramis', 'Wanwan', 'Khufra')","('Angela', 'Baxia', 'Arlott', 'Claude', 'Ixia')",1,Team Gryffin,red,"('Mathilda', 'Melissa', 'Novaria', 'Fredrinn', 'Paquito')","('Fanny', 'Kaja', 'Guinevere', 'Bruno', 'Joy')",0,13:40,820,3,1,0,0,bracket
74,20231202,ONIC Miracle,red,"('Uranus', 'Dyrroth', 'Angela', 'Irithel', 'Khufra')","('Guinevere', 'Wanwan', 'Arlott', 'Diggie', 'Esmeralda')",0,Team Gryffin,blue,"('Mathilda', 'Brody', 'Faramis', 'Baxia', 'Thamuz')","('Martis', 'Minotaur', 'Bruno', 'Fanny', 'Joy')",1,12:07,727,3,2,1,0,bracket
74,20231202,ONIC Miracle,blue,"('Terizla', 'Lancelot', 'Faramis', 'Wanwan', 'Mathilda')","('Baxia', 'Arlott', 'Angela', 'Valentina', 'Novaria')",0,Team Gryffin,red,"('Diggie', 'Bruno', 'Lylia', 'Martis', 'Fredrinn')","('Kaja', 'Nolan', 'Guinevere', 'Fanny', 'Joy')",1,11:28,688,3,3,1,1,bracket
74,20231203,Borneo FC Esports,red,"('Uranus', 'Bane', 'Pharsa', 'Wanwan', 'Guinevere')","('Baxia', 'Arlott', 'Faramis', 'Phoveus', 'Lylia')",1,Team Gryffin,blue,"('Angela', 'Claude', 'Valentina', 'Martis', 'Fredrinn')","('Kaja', 'Paquito', 'Novaria', 'Nolan', 'Joy')",0,11:50,710,5,1,0,0,bracket
74,20231203,Borneo FC Esports,blue,"('Fredrinn', 'Fanny', 'Lylia', 'Wanwan', 'Kaja')","('Baxia', 'Diggie', 'Arlott', 'Phoveus', 'Akai')",1,Team Gryffin,red,"('Angela', 'Brody', 'Novaria', 'Martis', 'Paquito')","('Terizla', 'Faramis', 'Guinevere', 'Nolan', 'Joy')",0,14:04,844,5,2,1,0,bracket
74,20231203,Borneo FC Esports,red,"('Terizla', 'Martis', 'Lylia', 'Claude', 'Angela')","('Arlott', 'Baxia', 'Wanwan', 'Diggie', 'Mathilda')",1,Team Gryffin,blue,"('Grock', 'Bruno', 'Faramis', 'Bane', 'Fredrinn')","('Novaria', 'Fanny', 'Guinevere', 'Nolan', 'Joy')",0,18:42,1122,5,3,2,0,bracket
74,20231203,Pajajaran Esports,blue,"('Martis', 'Baxia', 'Novaria', 'Bruno', 'Guinevere')","('Angela', 'Wanwan', 'Diggie', 'Claude', 'Ruby')",1,Borneo FC Esports,red,"('Arlott', 'Karrie', 'Faramis', 'Fanny', 'Uranus')","('Terizla', 'Hayabusa', 'Valentina', 'Joy', 'Lancelot')",0,24:11,1451,5,1,0,0,bracket
74,20231203,Pajajaran Esports,red,"('Martis', 'Hayabusa', 'Pharsa', 'Bruno', 'Khufra')","('Wanwan', 'Angela', 'Joy', 'Brody', 'Claude')",1,Borneo FC Esports,blue,"('Guinevere', 'Beatrix', 'Novaria', 'Bane', 'Ruby')","('Mathilda', 'Diggie', 'Arlott', 'Valentina', 'Lancelot')",0,11:22,682,5,2,1,0,bracket
74,20231203,Pajajaran Esports,blue,"('Arlott', 'Bane', 'Valentina', 'Brody', 'Grock')","('Angela', 'Wanwan', 'Diggie', 'Ruby', 'Khufra')",0,Borneo FC Esports,red,"('Kaja', 'Bruno', 'Faramis', 'Martis', 'Edith')","('Nolan', 'Hayabusa', 'Guinevere', 'Lancelot', 'Joy')",1,13:58,838,5,3,2,0,bracket
74,20231203,Pajajaran Esports,red,"('Yu Zhong', 'Hayabusa', 'Faramis', 'Brody', 'Minotaur')","('Wanwan', 'Angela', 'Joy', 'Claude', 'Kaja')",1,Borneo FC Esports,blue,"('Edith', 'Beatrix', 'Valentina', 'Martis', 'Arlott')","('Khufra', 'Mathilda', 'Bruno', 'Guinevere', 'Lancelot')",0,19:45,1185,5,4,2,1,bracket
74,20231006,Suber 24,blue,"('Gloo', 'Joy', 'Angela', 'Irithel', 'Chou')","('Fanny', 'Baxia', 'Terizla', 'Valentina', 'Kadita')",0,Borneo FC Esports,red,"('Franco', 'Claude', 'Novaria', 'Martis', 'Edith')","('Uranus', 'X.Borg', 'Fredrinn', 'Floryn', 'Mathilda')",1,13:48,828,3,1,0,0,qualifiers
74,20231006,Suber 24,red,"('Uranus', 'Baxia', 'Valentina', 'Irithel', 'Minotaur')","('Edith', 'Terizla', 'Angela', 'Hanzo', 'Fanny')",0,Borneo FC Esports,blue,"('Kadita', 'Brody', 'Novaria', 'Fredrinn', 'X.Borg')","('Yu Zhong', 'Estes', 'Mathilda', 'Rafaela', 'Floryn')",1,12:27,747,3,2,0,1,qualifiers
