tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
76,20231111,See You Soon,blue,"('Yu Zhong', 'Lancelot', 'Mathilda', 'Irithel', 'Minotaur')","('Martis', 'Diggie', 'Baxia', 'Angela', 'Hilda')",0,CFU Gaming,red,"('Guinevere', 'Bruno', 'Novaria', 'Fredrinn', 'Arlott')","('Fanny', 'Nolan', 'Joy', 'Karrie', 'Kadita')",1,14:29,869,3,1,0,0,bracket
76,20231111,See You Soon,blue,"('Yu Zhong', 'Fredrinn', 'Novaria', 'Bruno', 'Franco')","('Diggie', 'Baxia', 'Mathilda', 'Irithel', 'Claude')",0,CFU Gaming,red,"('Minotaur', 'Wanwan', 'Angela', 'Martis', 'Arlott')","('Fanny', 'Nolan', 'Joy', 'Valentina', 'Kadita')",1,12:08,728,3,2,0,1,bracket
76,20231111,BURN x FLASH,red,"('Edith', 'Akai', 'Valentina', 'Claude', 'Angela')","('Brody', 'Irithel', 'Fredrinn', 'Arlott', 'Nolan')",1,Team Max,blue,"('Faramis', 'Clint', 'Mathilda', 'Martis', 'Yu Zhong')","('Wanwan', 'Bruno', 'Novaria', 'Joy', 'Baxia')",0,15:58,958,3,1,0,0,bracket
76,20231111,BURN x FLASH,blue,"('Arlott', 'Baxia', 'Gord', 'Wanwan', 'Angela')","('Edith', 'Valentina', 'Terizla', 'Irithel', 'Claude')",1,Team Max,red,"('Lolita', 'Bruno', 'Kadita', 'Fredrinn', 'Phoveus')","('Nolan', 'Joy', 'Mathilda', 'Akai', 'Martis')",0,16:04,964,3,2,1,0,bracket
76,20231119,CFU Gaming,blue,"('Terizla', 'Baxia', 'Faramis', 'Wanwan', 'Minotaur')","('Novaria', 'Franco', 'Mathilda', 'Diggie', 'Khufra')",1,BURN x FLASH,red,"('Grock', 'Bruno', 'Gord', 'Martis', 'X.Borg')","('Joy', 'Nolan', 'Arlott', 'Guinevere', 'Angela')",0,13:45,825,3,1,0,0,bracket
76,20231119,CFU Gaming,blue,"('Arlott', 'Joy', 'Valentina', 'Melissa', 'Minotaur')","('Novaria', 'Mathilda', 'Franco', 'Yu Zhong', 'Lylia')",1,BURN x FLASH,red,"('Diggie', 'Bruno', 'Gord', 'Martis', 'Terizla')","('Claude', 'Ixia', 'Guinevere', 'Angela', 'Faramis')",0,15:43,943,3,2,1,0,bracket
76,20231112,Empire Esport,blue,"('Arlott', 'Fredrinn', 'Novaria', 'Karrie', 'Khufra')","('Wanwan', 'Mathilda', 'Joy', 'Yu Zhong', 'Paquito')",1,Team SV,red,"('Angela', 'Irithel', 'Xavier', 'Baxia', 'Khaleed')","('Terizla', 'Yve', 'Nolan', 'Claude', 'Bruno')",0,13:58,838,3,1,0,0,bracket
76,20231112,Empire Esport,blue,"('Terizla', 'Fredrinn', 'Novaria', 'Harith', 'Minotaur')","('Wanwan', 'Mathilda', 'Joy', 'Claude', 'Brody')",1,Team SV,red,"('Kaja', 'Clint', 'Valentina', 'Yin', 'X.Borg')","('Karrie', 'Irithel', 'Nolan', 'Khufra', 'Arlott')",0,15:35,935,3,2,1,0,bracket
76,20231112,DRoar Legends,blue,"('Terizla', 'Martis', 'Angela', 'Irithel', 'Minotaur')","('Arlott', 'Wanwan', 'Joy', 'Mathilda', 'Faramis')",1,PRO Esports,red,"('Guinevere', 'Harith', 'Cecilion', 'Baxia', 'X.Borg')","('Kaja', 'Edith', 'Lancelot', 'Nolan', 'Yu Zhong')",0,14:29,869,3,1,0,0,bracket
76,20231112,DRoar Legends,red,"('X.Borg', 'Lancelot', 'Novaria', 'Claude', 'Hilda')","('Nolan', 'Arlott', 'Wanwan', 'Faramis', 'Mathilda')",0,PRO Esports,blue,"('Minotaur', 'Bruno', 'Rafaela', 'Harith', 'Terizla')","('Kaja', 'Ixia', 'Martis', 'Angela', 'Yu Zhong')",1,15:28,928,3,2,1,0,bracket
