tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
77,20231109,Falcon Esports,red,"('Terizla', 'Fanny', 'Novaria', 'Bruno', 'Khufra')","('Nolan', 'Mathilda', 'Angela', 'Brody', 'Moskov')",1,TX,blue,"('Franco', 'Wanwan', 'Faramis', 'Fredrinn', 'Arlott')","('Yve', 'Ruby', 'Baxia', 'Edith', 'Joy')",0,13:55,835,3,1,0,0,bracket
77,20231109,Falcon Esports,blue,"('Uranus', 'Alice', 'Angela', 'Irithel', 'Grock')","('Valentina', 'Mathilda', 'Terizla', 'Beatrix', 'Brody')",1,TX,red,"('Kaja', 'Wanwan', 'Kadita', 'Martis', 'Esmeralda')","('Edith', 'Ruby', 'Faramis', 'Joy', 'Nolan')",0,13:58,838,3,2,1,0,bracket
77,20231109,Burmese Ghouls,blue,"('Arlott', 'Lancelot', 'Valentina', 'Beatrix', 'Franco')","('Mathilda', 'Edith', 'Joy', 'Yu Zhong', 'Irithel')",0,Mythic SEAL,red,"('Ruby', 'Wanwan', 'Angela', 'Fredrinn', 'Uranus')","('Gloo', 'Kaja', 'Nolan', 'Chou', 'Faramis')",1,14:48,888,3,1,0,0,bracket
77,20231109,Burmese Ghouls,red,"('Khaleed', 'Fredrinn', 'Novaria', 'Brody', 'Grock')","('Mathilda', 'Nolan', 'Joy', 'Edith', 'Lylia')",0,Mythic SEAL,blue,"('Khufra', 'Irithel', 'Angela', 'Lancelot', 'Yu Zhong')","('Terizla', 'Lapu-Lapu', 'Chou', 'Ruby', 'Faramis')",1,23:04,1384,3,2,0,1,bracket
77,20231110,Falcon Esports,red,"('Arlott', 'Joy', 'Yve', 'Bruno', 'Minotaur')","('Nolan', 'Mathilda', 'Angela', 'Wanwan', 'Brody')",0,Mythic SEAL,blue,"('Ruby', 'Irithel', 'Novaria', 'Fredrinn', 'Yu Zhong')","('Terizla', 'Grock', 'Edith', 'Faramis', 'Alice')",1,15:15,915,5,1,0,0,bracket
77,20231110,Falcon Esports,blue,"('Terizla', 'Joy', 'Faramis', 'Brody', 'Khufra')","('Valentina', 'Mathilda', 'Fredrinn', 'Arlott', 'Khaleed')",1,Mythic SEAL,red,"('Ruby', 'Irithel', 'Novaria', 'Martis', 'Yu Zhong')","('Edith', 'Grock', 'Nolan', 'Angela', 'Alice')",0,32:09,1929,5,2,0,1,bracket
77,20231110,Falcon Esports,red,"('Arlott', 'Lancelot', 'Lylia', 'Bruno', 'Ruby')","('Nolan', 'Mathilda', 'Angela', 'Uranus', 'Novaria')",0,Mythic SEAL,blue,"('Khufra', 'Ixia', 'Kadita', 'Joy', 'Fredrinn')","('Khaleed', 'Yve', 'Alice', 'Terizla', 'Faramis')",1,16:00,960,5,3,1,1,bracket
77,20231110,Falcon Esports,blue,"('Phoveus', 'Alice', 'Edith', 'Claude', 'Ruby')","('Fredrinn', 'Mathilda', 'Valentina', 'Brody', 'Kaja')",0,Mythic SEAL,red,"('Minotaur', 'Bruno', 'Kadita', 'Joy', 'Arlott')","('Wanwan', 'Novaria', 'Terizla', 'Angela', 'Faramis')",1,13:57,837,5,4,1,2,bracket
77,20231109,Team Star Boyz,blue,"('Uranus', 'Nolan', 'Novaria', 'Wanwan', 'Grock')","('Joy', 'Fanny', 'Angela', 'Lancelot', 'Pharsa')",1,Team Mahar,red,"('Khufra', 'Irithel', 'Mathilda', 'Julian', 'Terizla')","('Yu Zhong', 'Arlott', 'Edith', 'Faramis', 'Valentina')",0,21:27,1287,3,1,0,0,bracket
77,20231109,Team Star Boyz,red,"('Arlott', 'Lancelot', 'Novaria', 'Bruno', 'Kaja')","('Angela', 'Joy', 'Nolan', 'Yu Zhong', 'Uranus')",1,Team Mahar,blue,"('Mathilda', 'Irithel', 'Kadita', 'Fanny', 'Edith')","('Martis', 'Akai', 'Wanwan', 'Faramis', 'Valentina')",0,14:00,840,3,2,1,0,bracket
