tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
83,20231020,Cicaraga,blue,"('Khaleed', 'Fredrinn', 'Novaria', 'Bruno', 'Edith')","('Terizla', 'Mathilda', 'Fanny', 'Yu Zhong', 'Akai')",0,TODAK,red,"('Minotaur', 'Claude', 'Valentina', 'Lancelot', 'Gloo')","('X.Borg', 'Diggie', 'Kaja', 'Angela', 'Nolan')",1,11:40,700,3,1,0,0,bracket
83,20231020,Cicaraga,red,"('X.Borg', 'Lancelot', 'Valentina', 'Karrie', 'Rafaela')","('Nolan', 'Fanny', 'Edith', 'Faramis', 'Martis')",0,TODAK,blue,"('Khufra', 'Irithel', 'Angela', 'Joy', 'Terizla')","('Yu Zhong', 'Claude', 'Mathilda', 'Kadita', 'Kaja')",1,10:47,647,3,2,0,1,bracket
83,20231020,HomeBois,blue,"('Joy', 'Lancelot', 'Novaria', 'Bruno', 'Edith')","('Nolan', 'Fanny', 'Yu Zhong', 'Paquito', 'Gloo')",1,RSG Malaysia,red,"('Khufra', 'Irithel', 'Faramis', 'Martis', 'Phoveus')","('Lylia', 'Gord', 'Terizla', 'Angela', 'Mathilda')",0,18:26,1106,3,1,0,0,bracket
83,20231020,HomeBois,red,"('Joy', 'Martis', 'Gord', 'Bruno', 'Edith')","('Yu Zhong', 'Fanny', 'Mathilda', 'Harith', 'Wanwan')",1,RSG Malaysia,blue,"('Floryn', 'Ixia', 'Angela', 'Akai', 'Lapu-Lapu')","('Irithel', 'Claude', 'Nolan', 'Valentina', 'Terizla')",0,14:15,855,3,2,1,0,bracket
83,20231021,TODAK,blue,"('Edith', 'Joy', 'Faramis', 'Bruno', 'Minotaur')","('Kaja', 'Martis', 'Angela', 'Diggie', 'Rafaela')",1,HomeBois,red,"('Hilda', 'Irithel', 'Novaria', 'Lancelot', 'Terizla')","('Claude', 'Wanwan', 'Mathilda', 'Nolan', 'Fanny')",0,16:34,994,3,1,0,0,bracket
83,20231021,TODAK,red,"('Phoveus', 'Lancelot', 'Faramis', 'Ixia', 'Minotaur')","('Terizla', 'Edith', 'Angela', 'Lylia', 'Valentina')",1,HomeBois,blue,"('Khufra', 'Bruno', 'Gord', 'Martis', 'Benedetta')","('Yu Zhong', 'Wanwan', 'Mathilda', 'Nolan', 'Fanny')",0,14:20,860,3,2,1,0,bracket
83,20231020,MPX NSEA,blue,"('Edith', 'Baxia', 'Novaria', 'Brody', 'Floryn')","('Valentina', 'Fanny', 'Fredrinn', 'Martis', 'Lylia')",0,Alter Ego,red,"('Rafaela', 'Bruno', 'Kadita', 'Helcurt', 'Terizla')","('Khaleed', 'Paquito', 'Nolan', 'Angela', 'Mathilda')",1,14:25,865,3,1,0,0,bracket
83,20231020,MPX NSEA,red,"('Uranus', 'Fredrinn', 'Lylia', 'Claude', 'Minotaur')","('Nolan', 'Mathilda', 'Bruno', 'Lancelot', 'Fanny')",0,Alter Ego,blue,"('Rafaela', 'Ixia', 'Novaria', 'Helcurt', 'Terizla')","('Yu Zhong', 'Khaleed', 'Edith', 'Valentina', 'Angela')",1,12:47,767,3,2,0,1,bracket
83,20231020,Team SR,red,"('Lapu-Lapu', 'Martis', 'Kadita', 'Irithel', 'Edith')","('Nolan', 'Angela', 'Terizla', 'Lancelot', 'Joy')",0,Red Giants Esports,blue,"('Khufra', 'Bruno', 'Valentina', 'Akai', 'Arlott')","('Faramis', 'Novaria', 'Baxia', 'Fanny', 'Mathilda')",1,11:07,667,3,1,0,0,bracket
83,20231020,Team SR,blue,"('X.Borg', 'Akai', 'Novaria', 'Brody', 'Edith')","('Fanny', 'Valentina', 'Irithel', 'Bruno', 'Ixia')",0,Red Giants Esports,red,"('Minotaur', 'Clint', 'Kadita', 'Baxia', 'Joy')","('Wanwan', 'Claude', 'Faramis', 'Mathilda', 'Nolan')",1,16:47,1007,3,2,0,1,bracket
83,20231021,Alter Ego,red,"('Phoveus', 'Fredrinn', 'Kadita', 'Bruno', 'Rafaela')","('Mathilda', 'Angela', 'Nolan', 'Ixia', 'Irithel')",0,Red Giants Esports,blue,"('Edith', 'Wanwan', 'Faramis', 'Lancelot', 'Arlott')","('Lylia', 'Novaria', 'Valentina', 'Fanny', 'Terizla')",1,14:50,890,3,1,0,0,bracket
83,20231021,Alter Ego,blue,"('Khaleed', 'Lancelot', 'Valentina', 'Bruno', 'Minotaur')","('Edith', 'Angela', 'Arlott', 'Brody', 'Wanwan')",1,Red Giants Esports,red,"('Khufra', 'Irithel', 'Novaria', 'Baxia', 'Guinevere')","('Yu Zhong', 'Dyrroth', 'Terizla', 'Mathilda', 'Nolan')",0,12:57,777,3,2,0,1,bracket
83,20231021,Alter Ego,red,"('Uranus', 'Helcurt', 'Lylia', 'Irithel', 'Edith')","('Nolan', 'Mathilda', 'Angela', 'Brody', 'Wanwan')",1,Red Giants Esports,blue,"('Khufra', 'Claude', 'Valentina', 'Akai', 'Arlott')","('Kadita', 'Novaria', 'Bruno', 'Fanny', 'Terizla')",0,15:32,932,3,3,1,1,bracket
83,20231022,TODAK,blue,"('Edith', 'Joy', 'Yve', 'Irithel', 'Minotaur')","('Terizla', 'Fanny', 'Valentina', 'Rafaela', 'Uranus')",1,Alter Ego,red,"('Hilda', 'Bruno', 'Faramis', 'Lancelot', 'Yu Zhong')","('Claude', 'Ixia', 'Nolan', 'Angela', 'Mathilda')",0,16:27,987,3,1,0,0,bracket
83,20231022,TODAK,red,"('Gloo', 'Lancelot', 'Faramis', 'Claude', 'Minotaur')","('Terizla', 'Nolan', 'Mathilda', 'Diggie', 'Uranus')",0,Alter Ego,blue,"('Edith', 'Irithel', 'Valentina', 'Fredrinn', 'Arlott')","('Bruno', 'Ixia', 'Angela', 'Joy', 'Fanny')",1,13:02,782,3,2,1,0,bracket
83,20231022,TODAK,blue,"('Yu Zhong', 'Baxia', 'Angela', 'Wanwan', 'Edith')","('Valentina', 'Fanny', 'Terizla', 'Lylia', 'Kadita')",1,Alter Ego,red,"('Mathilda', 'Irithel', 'Novaria', 'Fredrinn', 'Khaleed')","('Bruno', 'Ixia', 'Lancelot', 'Joy', 'Nolan')",0,14:11,851,3,3,1,1,bracket
83,20231021,Cicaraga,red,"('Yu Zhong', 'Martis', 'Lylia', 'Irithel', 'Minotaur')","('Terizla', 'Mathilda', 'Nolan', 'Claude', 'Bruno')",0,Team HAQ,blue,"('Edith', 'Brody', 'Angela', 'Baxia', 'Paquito')","('Novaria', 'Rafaela')",1,14:37,877,3,1,0,0,bracket
83,20231021,Cicaraga,blue,"('Terizla', 'Lancelot', 'Yve', 'Claude', 'Angela')","('Mathilda', 'Fanny', 'Rafaela', 'Bruno', 'Paquito')",0,Team HAQ,red,"('Edith', 'Beatrix', 'Faramis', 'Fredrinn', 'Uranus')","('Lylia', 'Irithel', 'Joy', 'Valentina', 'Nolan')",1,16:25,985,3,2,0,1,bracket
83,20231021,Team HAQ,blue,"('Khaleed', 'Baxia', 'Faramis', 'Brody', 'Mathilda')","('Joy', 'Valentina', 'Angela', 'Floryn', 'Rafaela')",1,MPX NSEA,red,"('Novaria', 'Bruno', 'Terizla', 'Lancelot', 'Yu Zhong')","('Arlott', 'Uranus', 'Fanny', 'Edith', 'Nolan')",0,13:48,828,3,1,0,0,bracket
83,20231021,Team HAQ,red,"('Khaleed', 'Baxia', 'Faramis', 'Brody', 'Grock')","('Nolan', 'Joy', 'Angela', 'Floryn', 'Rafaela')",1,MPX NSEA,blue,"('Edith', 'Claude', 'Novaria', 'Lancelot', 'Arlott')","('Uranus', 'Khufra', 'Mathilda', 'Valentina', 'Fanny')",0,15:21,921,3,2,1,0,bracket
83,20231021,SEEC,blue,"('Esmeralda', 'Baxia', 'Valentina', 'Beatrix', 'Rafaela')","('Yu Zhong', 'Mathilda', 'Irithel', 'Bruno', 'Uranus')",0,RSG Malaysia,red,"('Edith', 'Ixia', 'Gord', 'Fanny', 'Dyrroth')","('Akai', 'Claude', 'Terizla', 'Angela', 'Nolan')",1,9:14,554,3,1,0,0,bracket
