tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
85,20231014,Next Rüya,blue,"('Yu Zhong', 'Lancelot', 'Valentina', 'Karrie', 'Minotaur')","('Edith', 'Novaria', 'Angela', 'Irithel', 'Kadita')",0,Slow Rush,red,"('Franco', 'Clint', 'Faramis', 'Baxia', 'Terizla')","('Grock', 'Kaja', 'Mathilda', 'Gloo', 'Fredrinn')",1,17:03,1023,3,1,0,0,bracket
85,20231014,Next Rüya,red,"('Terizla', 'Ling', 'Valentina', 'Irithel', 'Lolita')","('Faramis', 'Novaria', 'Edith', 'Joy', 'X.Borg')",0,Slow Rush,blue,"('Mathilda', 'Clint', 'Lylia', 'Baxia', 'Yu Zhong')","('Bruno', 'Brody', 'Angela', 'Gloo', 'Fredrinn')",1,19:12,1152,3,2,0,1,bracket
85,20231014,Fire Flux Esports,red,"('Terizla', 'Leomord', 'Valentina', 'Irithel', 'Atlas')","('Edith', 'Fredrinn', 'Mathilda', 'Gloo', 'Minotaur')",0,Inziva,blue,"('Khufra', 'Bruno', 'Novaria', 'Lancelot', 'Yu Zhong')","('Grock', 'Fanny', 'Angela', 'Baxia', 'Joy')",1,19:33,1173,3,1,0,0,bracket
85,20231014,Fire Flux Esports,red,"('Terizla', 'Lancelot', 'Faramis', 'Irithel', 'Kaja')","('Edith', 'Fredrinn', 'Mathilda', 'Minotaur', 'Khufra')",1,Inziva,blue,"('Estes', 'Bruno', 'Novaria', 'Martis', 'Gloo')","('Grock', 'Fanny', 'Angela', 'Baxia', 'Joy')",0,16:03,963,3,2,0,1,bracket
85,20231014,Fire Flux Esports,blue,"('Paquito', 'Baxia', 'Kadita', 'Karrie', 'Kaja')","('Edith', 'Irithel', 'Novaria', 'Akai', 'Minotaur')",1,Inziva,red,"('Grock', 'Ixia', 'Valentina', 'Martis', 'Terizla')","('Yu Zhong', 'Wanwan', 'Mathilda', 'Angela', 'Joy')",0,33:44,2024,3,3,1,1,bracket
85,20231014,Slow Rush,blue,"('Paquito', 'Lancelot', 'Novaria', 'Clint', 'Franco')","('Fredrinn', 'Angela', 'Joy', 'Atlas', 'Irithel')",0,Fire Flux Esports,red,"('Grock', 'Ixia', 'Valentina', 'Fanny', 'Terizla')","('Gloo', 'Khufra', 'Baxia', 'Mathilda', 'Edith')",1,14:35,875,3,1,0,0,bracket
85,20231014,Slow Rush,red,"('Terizla', 'Baxia', 'Faramis', 'Clint', 'Kaja')","('Lunox', 'Lylia', 'Angela', 'Mathilda', 'Fanny')",0,Fire Flux Esports,blue,"('Grock', 'Irithel', 'Yve', 'Joy', 'Yu Zhong')","('Ixia', 'Khufra', 'Valentina', 'Novaria', 'Edith')",1,20:11,1211,3,2,0,1,bracket
85,20231014,Next Rüya,blue,"('Terizla', 'Joy', 'Lunox', 'Brody', 'Mathilda')","('Edith', 'Faramis', 'Angela', 'Yu Zhong', 'Estes')",1,Inziva,red,"('Kaja', 'Irithel', 'Novaria', 'Baxia', 'Khaleed')","('Lylia', 'Helcurt', 'Kadita', 'Fredrinn', 'Gloo')",0,22:28,1348,3,1,0,0,bracket
85,20231014,Next Rüya,blue,"('Lapu-Lapu', 'Akai', 'Kadita', 'Bruno', 'Mathilda')","('Edith', 'Lancelot', 'Faramis', 'Martis', 'Ling')",1,Inziva,red,"('Angela', 'Irithel', 'Lylia', 'Benedetta', 'Terizla')","('Gloo', 'Fredrinn', 'Baxia', 'Joy', 'Helcurt')",0,14:11,851,3,2,1,0,bracket
85,20231015,Slow Rush,blue,"('Yu Zhong', 'Baxia', 'Novaria', 'Clint', 'Khufra')","('Gloo', 'Fredrinn', 'Angela', 'Irithel', 'Brody')",0,Next Rüya,red,"('Grock', 'Bruno', 'Kadita', 'Joy', 'Terizla')","('Kaja', 'Franco', 'Faramis', 'Mathilda', 'Edith')",1,19:51,1191,5,1,0,0,bracket
85,20231015,Slow Rush,blue,"('Terizla', 'Akai', 'Valentina', 'Irithel', 'Grock')","('Gloo', 'Fredrinn', 'Angela', 'Kaja', 'Franco')",0,Next Rüya,red,"('Floryn', 'Brody', 'Kadita', 'Baxia', 'Lapu-Lapu')","('Lancelot', 'Martis', 'Faramis', 'Mathilda', 'Edith')",1,17:23,1043,5,2,0,1,bracket
85,20231015,Slow Rush,blue,"('Yu Zhong', 'Baxia', 'Yve', 'Ixia', 'Minotaur')","('Gloo', 'Angela', 'Kadita', 'Grock', 'Diggie')",0,Next Rüya,red,"('Atlas', 'Irithel', 'Pharsa', 'Fredrinn', 'Terizla')","('Novaria', 'Estes', 'Faramis', 'Mathilda', 'Edith')",1,14:29,869,5,3,0,2,bracket
85,20231015,Fire Flux Esports,blue,"('Terizla', 'Baxia', 'Novaria', 'Karrie', 'Diggie')","('Gloo', 'Kadita', 'Angela', 'Grock', 'Brody')",1,Next Rüya,red,"('Rafaela', 'Bruno', 'Valentina', 'Baxia', 'Lapu-Lapu')","('Irithel', 'Ixia', 'Faramis', 'Mathilda', 'Joy')",0,13:13,793,7,1,0,0,bracket
