tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
86,20231005,See You Soon,blue,"('Uranus', 'Martis', 'Angela', 'Claude', 'Chou')","('Edith', 'Rafaela', 'Mathilda', 'Bruno', 'Irithel')",0,PRO Esports,red,"('Diggie', 'Lesley', 'Lylia', 'Baxia', 'Terizla')","('Grock', 'Kaja', 'Valentina', 'Yu Zhong', 'Lancelot')",1,15:32,932,5,1,0,0,bracket
86,20231005,See You Soon,red,"('Baxia', 'Joy', 'Novaria', 'Wanwan', 'Franco')","('Angela', 'Mathilda', 'Lylia', 'Irithel', 'Martis')",1,PRO Esports,blue,"('Minotaur', 'Benedetta', 'Rafaela', 'Harith', 'Terizla')","('Edith', 'Brody', 'Valentina', 'Yu Zhong', 'Lancelot')",0,10:30,630,5,2,0,1,bracket
86,20231005,See You Soon,red,"('X.Borg', 'Baxia', 'Novaria', 'Ixia', 'Minotaur')","('Angela', 'Mathilda', 'Lylia', 'Irithel', 'Diggie')",1,PRO Esports,blue,"('Floryn', 'Bruno', 'Faramis', 'Akai', 'Terizla')","('Franco', 'Grock', 'Valentina', 'Yu Zhong', 'Lancelot')",0,12:13,733,5,3,1,1,bracket
86,20231005,See You Soon,blue,"('Lapu-Lapu', 'Martis', 'Kadita', 'Ixia', 'Terizla')","('Mathilda', 'Lylia', 'Baxia', 'X.Borg', 'Gloo')",1,PRO Esports,red,"('Diggie', 'Irithel', 'Valentina', 'Fredrinn', 'Khaleed')","('Kaja', 'Franco', 'Angela', 'Yu Zhong', 'Lancelot')",0,16:32,992,5,4,2,1,bracket
86,20231006,BURN x FLASH,red,"('Terizla', 'Akai', 'Valentina', 'Irithel', 'Franco')","('Yu Zhong', 'Lancelot', 'Kaja', 'Minotaur', 'Ixia')",0,See You Soon,blue,"('Khufra', 'Brody', 'Angela', 'Joy', 'X.Borg')","('Fredrinn', 'Martis', 'Mathilda', 'Baxia', 'Diggie')",1,23:08,1388,5,1,0,0,bracket
86,20231006,BURN x FLASH,blue,"('Uranus', 'Fredrinn', 'Valentina', 'Lesley', 'Mathilda')","('Yu Zhong', 'Lancelot', 'Joy', 'Martis', 'Brody')",0,See You Soon,red,"('Kaja', 'Beatrix', 'Kadita', 'Karina', 'X.Borg')","('Bruno', 'Irithel', 'Angela', 'Baxia', 'Diggie')",1,16:10,970,5,2,0,1,bracket
86,20231006,BURN x FLASH,red,"('Uranus', 'Fredrinn', 'Valentina', 'Brody', 'Mathilda')","('Yu Zhong', 'Lancelot', 'Joy', 'Irithel', 'Claude')",0,See You Soon,blue,"('Minotaur', 'Ixia', 'Novaria', 'Martis', 'X.Borg')","('Franco', 'Kaja', 'Angela', 'Baxia', 'Diggie')",1,10:56,656,5,3,0,2,bracket
86,20231005,DRoar Legends,red,"('Paquito', 'Martis', 'Angela', 'Claude', 'Chou')","('Fanny', 'Kadita', 'Fredrinn', 'Barats', 'Akai')",0,Team Max,blue,"('Rafaela', 'Irithel', 'Mathilda', 'Hylos', 'Yu Zhong')","('Lylia', 'Terizla', 'Baxia', 'Valentina', 'Edith')",1,11:20,680,5,1,0,0,bracket
86,20231005,DRoar Legends,blue,"('Edith', 'Martis', 'Gord', 'Irithel', 'Khufra')","('Fanny', 'Kadita', 'Rafaela', 'Claude', 'Ixia')",0,Team Max,red,"('Grock', 'Brody', 'Valentina', 'Fredrinn', 'Yu Zhong')","('Lancelot', 'Terizla', 'Baxia', 'Angela', 'Mathilda')",1,18:16,1096,5,2,0,1,bracket
86,20231005,DRoar Legends,blue,"('Terizla', 'Lancelot', 'Valentina', 'Irithel', 'Minotaur')","('Fanny', 'Rafaela', 'Yu Zhong', 'Ixia', 'Brody')",1,Team Max,red,"('Edith', 'Bruno', 'Novaria', 'Fredrinn', 'X.Borg')","('Grock', 'Khufra', 'Baxia', 'Angela', 'Mathilda')",0,13:52,832,5,3,0,2,bracket
86,20231005,DRoar Legends,red,"('Terizla', 'Fredrinn', 'Xavier', 'Bruno', 'Rafaela')","('Fanny', 'Mathilda', 'Angela', 'Irithel', 'Claude')",0,Team Max,blue,"('Minotaur', 'Brody', 'Valentina', 'Joy', 'Yu Zhong')","('Ixia', 'Novaria', 'Baxia', 'Lancelot', 'Khufra')",1,13:36,816,5,4,1,2,bracket
86,20231006,CFU Gaming,red,"('Terizla', 'Guinevere', 'Novaria', 'Bruno', 'Rafaela')","('Fanny', 'Fredrinn', 'Mathilda', 'Brody', 'Irithel')",1,Team Max,blue,"('Minotaur', 'Ixia', 'Valentina', 'Baxia', 'Yu Zhong')","('Diggie', 'Floryn', 'Angela', 'Edith', 'Kadita')",0,12:33,753,5,1,0,0,bracket
86,20231006,CFU Gaming,red,"('Terizla', 'Baxia', 'Novaria', 'Bruno', 'Diggie')","('Yu Zhong', 'Fanny', 'Fredrinn', 'Brody', 'Irithel')",1,Team Max,blue,"('Minotaur', 'Karrie', 'Mathilda', 'Joy', 'X.Borg')","('Rafaela', 'Kaja', 'Angela', 'Edith', 'Kadita')",0,14:58,898,5,2,1,0,bracket
86,20231006,CFU Gaming,red,"('Paquito', 'Baxia', 'Novaria', 'Claude', 'Mathilda')","('Fanny', 'Fredrinn', 'Yu Zhong', 'Joy', 'Martis')",1,Team Max,blue,"('Rafaela', 'Bruno', 'Valentina', 'Hylos', 'Terizla')","('Irithel', 'Brody', 'Angela', 'Kadita', 'Edith')",0,20:46,1246,5,3,2,0,bracket
